# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.285
metadata : {}


# id : NWRW1800000048.285.1.1
국민TV 새 이사장에 현상윤씨

국민TV	국민TV/NNP
1985년	1985/SN+년/NNB
<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
프로듀서(PD)로	프로듀서/NNG+(/SS+PD/SL+)/SS+로/JKB
입사해	입사/NNG+하/XSV+아/EC
1999년	1999/SN+년/NNB
케이비에스	케이비에스/NNP
노조위원장과	노조/NNG+위원장/NNG+과/JC
2002년	2002/SN+년/NNB
전국언론노동조합	전국언론노동조합/NNP
수석부위원장을	수석/NNG+부위원장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.285.3.3
2014년 정년퇴임 뒤 새언론포럼 회장을 맡아 오던 중 최근 ‘국민티브이 사태의 올바른 해결을 위한 시민사회 공동대책위’에서 활동해왔다.

2014년	2014/SN+년/NNB
정년퇴임	정년/NNG+퇴임/NNG
뒤	뒤/NNG
새언론포럼	새/MMA+언론/NNG+포럼/NNG
회장을	회장/NNG+을/JKO
맡아	맡/VV+아/EC
오던	오/VX+던/ETM
중	중/NNB
최근	최근/MAG
‘국민티브이	‘/SS+국민티브이/NNP
사태의	사태/NNG+의/JKG
올바른	올바르/VA+ㄴ/ETM
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시민사회	시민/NNG+사회/NNG
공동대책위’에서	공동/NNG+대책위/NNG+’/SS+에서/JKB
활동해왔다.	활동/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.285.4.1
이사장은 모두 7명인 이사회에서 지명하고 대의원총회에서 결정된다.

이사장은	이사장/NNG+은/JX
모두	모두/MAG
7명인	7/SN+명/NNB+이/VCP+ㄴ/ETM
이사회에서	이사회/NNG+에서/JKB
지명하고	지명/NNG+하/XSV+고/EC
대의원총회에서	대의원/NNG+총회/NNG+에서/JKB
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.285.4.2
현 이사장은 이사회에 앞서 열린 조합원 임시총회에서 이강윤 시사평론가, 전영관 시인, 황웅길 조합원과 함께 이사로 선출됐다.

현	현/NNP
이사장은	이사장/NNG+은/JX
이사회에	이사회/NNG+에/JKB
앞서	앞서/MAG
열린	열리/VV+ㄴ/ETM
조합원	조합원/NNG
임시총회에서	임시/NNG+총회/NNG+에서/JKB
이강윤	이강윤/NNP
시사평론가,	시사/NNG+평론가/NNG+,/SP
전영관	전영관/NNP
시인,	시인/NNG+,/SP
황웅길	황웅길/NNP
조합원과	조합원/NNG+과/JKB
함께	함께/MAG
이사로	이사/NNG+로/JKB
선출됐다.	선출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.285.4.3
이들은 곧바로 임시이사회를 소집해 기존 김정일, 김철수 이사가 참석한 가운데 현 이사장을 지명했고, 이어 진행된 대의원 투표에서 재적 132명 가운데 찬성 104표(반대 17표, 기권 1표)로 당선이 확정됐다.

이들은	이/NP+들/XSN+은/JX
곧바로	곧바로/MAG
임시이사회를	임시/NNG+이사회/NNG+를/JKO
소집해	소집/NNG+하/XSV+아/EC
기존	기존/NNG
김정일,	김정일/NNP+,/SP
김철수	김철수/NNP
이사가	이사/NNG+가/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
현	현/NNP
이사장을	이사장/NNG+을/JKO
지명했고,	지명/NNG+하/XSV+았/EP+고/EC+,/SP
이어	이어/MAG
진행된	진행/NNG+되/XSV+ㄴ/ETM
대의원	대의원/NNG
투표에서	투표/NNG+에서/JKB
재적	재적/NNG
132명	132/SN+명/NNB
찬성	찬성/NNG
104표(반대	104/SN+표/NNG+(/SS+반대/NNG
17표,	17/SN+표/NNG+,/SP
기권	기권/NNG
1표)로	1/SN+표/NNG+)/SS+로/JKB
당선이	당선/NNG+이/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.285.4.4
이날 이사회에 불참한 서영석 전 이사장은 이사장직에선 물러났지만, 이사직은 계속 유지하기로 했다.

이날	이날/NNG
이사회에	이사회/NNG+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
서영석	서영석/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
이사장직에선	이사장/NNG+직/NNG+에서/JKB+ㄴ/JX
물러났지만,	물러나/VV+았/EP+지만/EC+,/SP
이사직은	이사직/NNG+은/JX
계속	계속/MAG
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.285.5.1
노조와 갈등 관계를 빚어왔던 서 전 이사장이 물러남에 따라 국민티브이 내홍 사태는 해결 가능성이 높아졌다.

노조와	노조/NNG+와/JC
갈등	갈등/NNG
관계를	관계/NNG+를/JKO
빚어왔던	빚/VV+어/EC+오/VX+았/EP+던/ETM
서	서/NNP
전	전/MMD
이사장이	이사장/NNG+이/JKS
물러남에	물러나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
국민티브이	국민티브이/NNP
내홍	내홍/NNG
사태는	사태/NNG+는/JX
해결	해결/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.285.5.2
국민티브이는 2013년 3월 시민 2만여명이 출자금 35억원을 모아 협동조합 형태로 만든 인터넷매체다.

국민티브이는	국민티브이/NNP+는/JX
2013년	2013/SN+년/NNB
3월	3/SN+월/NNB
시민	시민/NNG
2만여명이	2/SN+만/NR+여/XSN+명/NNB+이/JKS
출자금	출자금/NNG
35억원을	35/SN+억/NR+원/NNB+을/JKO
모아	모으/VV+아/EC
협동조합	협동조합/NNG
형태로	형태/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
인터넷매체다.	인터넷/NNG+매체/NNG+이/VCP+다/EF+./SF


