# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.454
metadata : {}


# id : NWRW1800000024.454.1.1
검찰-“수만달러 수수 진위 조사” /야권- “검찰-언론의 정치공작”

검찰-“수만달러	검찰/NNG+-/SO+“/SS+수만/NR+달러/NNB
입김이	입김/NNG+이/JKS
작용하지	작용/NNG+하/XSV+지/EC
않았겠느냐고	않/VX+았/EP+겠/EP+느냐고/EF
의심하고	의심/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.454.4.1
곽 전 사장은 검찰 조사에서 “한 전 총리에게 수만달러를 건넸다”고 진술했는데, 검찰은 곽씨가 사장에 선임될 때는 한 전 총리가 총리직에서 물러난 뒤였지만, 당시 여권 내에서 큰 비중과 영향력을 지녔던 점에 주목하고 있다.

곽	곽/NNP
전	전/MMD
사장은	사장/NNG+은/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
“한	“/SS+한/NNP
총리에게	총리/NNG+에게/JKB
수만달러를	수만/NR+달러/NNB+를/JKO
건넸다”고	건네/VV+었/EP+다/EF+”/SS+고/JKQ
진술했는데,	진술/NNG+하/XSV+았/EP+는데/EC+,/SP
검찰은	검찰/NNG+은/JX
곽씨가	곽/NNP+씨/NNB+가/JKS
사장에	사장/NNG+에/JKB
선임될	선임/NNG+되/XSV+ㄹ/ETM
때는	때/NNG+는/JX
한	한/NNP
총리가	총리/NNG+가/JKS
총리직에서	총리직/NNG+에서/JKB
물러난	물러나/VV+ㄴ/ETM
뒤였지만,	뒤/NNG+이/VCP+었/EP+지만/EC+,/SP
당시	당시/NNG
여권	여권/NNG
내에서	내/NNB+에서/JKB
큰	크/VA+ㄴ/ETM
비중과	비중/NNG+과/JC
영향력을	영향력/NNG+을/JKO
지녔던	지니/VV+었/EP+던/ETM
점에	점/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.454.4.2
두 사람은 주변 인사들의 소개로 아는 사이였다고 한다.

두	두/MMN
사람은	사람/NNG+은/JX
주변	주변/NNG
인사들의	인사/NNG+들/XSN+의/JKG
소개로	소개/NNG+로/JKB
아는	알/VV+는/ETM
사이였다고	사이/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.454.4.3
검찰은 곽 전 사장의 진술을 바탕으로 그 당시 곽 사장의 계좌에서 돈이 실제로 빠져나갔는지, 빠져나갔다면 그 뒤로 돈이 어떻게 흘러갔는지 등을 살펴보고 있는 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
곽	곽/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
진술을	진술/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
그	그/MMD
당시	당시/NNG
계좌에서	계좌/NNG+에서/JKB
돈이	돈/NNG+이/JKS
실제로	실제로/MAG
빠져나갔는지,	빠져나가/VV+았/EP+는지/EC+,/SP
빠져나갔다면	빠져나가/VV+았/EP+다면/EC
뒤로	뒤/NNG+로/JKB
어떻게	어떻/VA+게/EC
흘러갔는지	흘러가/VV+았/EP+는지/EF
등을	등/NNB+을/JKO
살펴보고	살펴보/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.454.5.1
한편 검찰은 이날 일부 언론이 곽 전 사장의 진술 내용을 보도한 것과 관련해 “이런 식의 (앞서가는) 보도가 한두 번이었느냐.

한편	한편/MAG
검찰은	검찰/NNG+은/JX
이날	이날/NNG
일부	일부/NNG
언론이	언론/NNG+이/JKS
곽	곽/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
진술	진술/NNG
내용을	내용/NNG+을/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“이런	“/SS+이런/MMD
식의	식/NNB+의/JKG
(앞서가는)	(/SS+앞서가/VV+는/ETM+)/SS
보도가	보도/NNG+가/JKS
한두	한두/MMN
번이었느냐.	번/NNB+이/VCP+었/EP+느냐/EF+./SF


# id : NWRW1800000024.454.5.2
일체 확인해줄 수 없다”며 격한 반응을 보였다.

일체	일체/MAG
확인해줄	확인/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
격한	격하/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.454.5.3
수사팀 입장에서 곽 전 사장의 진술 외에 혐의를 입증할 만한 증거를 추적하는 단계라 자칫 역공을 받을 수도 있다는 판단을 한 것으로 보인다.

수사팀	수사/NNG+팀/NNG
입장에서	입장/NNG+에서/JKB
곽	곽/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
진술	진술/NNG
외에	외/NNB+에/JKB
혐의를	혐의/NNG+를/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
증거를	증거/NNG+를/JKO
추적하는	추적/NNG+하/XSV+는/ETM
단계라	단계/NNG+이/VCP+라/EC
자칫	자칫/MAG
역공을	역공/NNG+을/JKO
받을	받/VV+을/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
판단을	판단/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.454.6.1
더구나 곽씨가 그동안 진술을 자주 번복한데다 명확하지 않은 부분도 있어 좀더 면밀한 조사가 필요한 상황이다.

더구나	더구나/MAG
곽씨가	곽/NNP+씨/NNB+가/JKS
그동안	그동안/NNG
진술을	진술/NNG+을/JKO
자주	자주/MAG
번복한데다	번복/NNG+하/XSV+ㄴ/ETM+데/NNB+다/JX
명확하지	명확하/VA+지/EC
않은	않/VX+은/ETM
부분도	부분/NNG+도/JX
있어	있/VA+어/EC
좀더	좀/MAG+더/MAG
면밀한	면밀하/VA+ㄴ/ETM
조사가	조사/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.454.6.2
검찰 관계자는 “통상 진술이라고 하면 증거로서 가치가 있을 때를 말하는데, 현재로선 곽씨의 말을 진술 수준으로 보기 어렵다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“통상	“/SS+통상/MAG
진술이라고	진술/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
증거로서	증거/NNG+로서/JKB
가치가	가치/NNG+가/JKS
있을	있/VA+을/ETM
때를	때/NNG+를/JKO
말하는데,	말/NNG+하/XSV+는데/EC+,/SP
현재로선	현재/NNG+로서/JKB+ㄴ/JX
곽씨의	곽/NNP+씨/NNB+의/JKG
말을	말/NNG+을/JKO
진술	진술/NNG
수준으로	수준/NNG+으로/JKB
보기	보/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


