# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.114
metadata : {}


# id : NWRW1800000037.114.1.1
김래원 “아이들 연기 열정 보고, 배우의 초심 되찾았어요”

김래원	김래원/NNP
빼긴	빼/VV+기/ETN+ㄴ/JX
했는데….”	하/VX+았/EP+는데/EC+…/SE+./SF+”/SS


# id : NWRW1800000037.114.4.1
영화 ‘어린신부’(2004년)에 문근영, 드라마 ‘러브 스토리 인 하버드’(2005년)에 김태희, ‘천일의 약속’(2011년)에 수애와 출연했던 그는 상대 여배우를 주목받게 하는 연기자로 꼽힌다.

영화	영화/NNG
‘어린신부’(2004년)에	‘/SS+어리/VA+ㄴ/ETM+신부/NNG+’/SS+(/SS+2004/SN+년/NNB+)/SS+에/JKB
문근영,	문근영/NNP+,/SP
드라마	드라마/NNG
‘러브	‘/SS+러브/NNP
스토리	스토리/NNP
인	인/NNP
하버드’(2005년)에	하버드/NNP+’/SS+(/SS+2005/SN+년/NNB+)/SS+에/JKB
김태희,	김태희/NNP+,/SP
‘천일의	‘/SS+천/NR+일/NNB+의/JKG
약속’(2011년)에	약속/NNG+’/SS+(/SS+2011/SN+년/NNB+)/SS+에/JKB
수애와	수애/NNP+와/JKB
출연했던	출연/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
상대	상대/NNG
여배우를	여배우/NNG+를/JKO
주목받게	주목/NNG+받/XSV+게/EC
하는	하/VX+는/ETM
연기자로	연기자/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.114.4.2
하지만 ‘마이 리틀 히어로’의 상대역 ‘영광’을 연기한 아역배우는 스리랑카 출신의 다문화 가정 2세인 지대한 군(12)이다.

하지만	하지만/MAJ
‘마이	‘/SS+마이/NNP
리틀	리틀/NNP
히어로’의	히어로/NNP+’/SS+의/JKG
상대역	상대역/NNG
‘영광’을	‘/SS+영광/NNP+’/SS+을/JKO
연기한	연기/NNG+하/XSV+ㄴ/ETM
아역배우는	아역/NNG+배우/NNG+는/JX
스리랑카	스리랑카/NNP
출신의	출신/NNG+의/JKG
다문화	다문화/NNG
가정	가정/NNG
2세인	2/SN+세/NNB+이/VCP+ㄴ/ETM
지대한	지대한/NNP
군(12)이다.	군/NNB+(/SS+12/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.114.4.3
영광의 친구 ‘성준’ 역은 아프리카 가나 출신의 다문화 가정 2세인 황용연 군(12)이 맡았다.

영광의	영광/NNP+의/JKG
친구	친구/NNG
‘성준’	‘/SS+성준/NNP+’/SS
역은	역/NNG+은/JX
아프리카	아프리카/NNP
가나	가나/NNP
출신의	출신/NNG+의/JKG
다문화	다문화/NNG
가정	가정/NNG
2세인	2/SN+세/NNB+이/VCP+ㄴ/ETM
황용연	황용연/NNP
군(12)이	군/NNB+(/SS+12/SN+)/SS+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.5.1
“착한 영화란 점이 와 닿았어요.

“착한	“/SS+착하/VA+ㄴ/ETM
영화란	영화/NNG+이/VCP+란/ETM
점이	점/NNG+이/JKS
와	오/VV+아/EC
닿았어요.	닿/VV+았/EP+어요/EF+./SF


# id : NWRW1800000037.114.5.2
시나리오에 있던 욕도 제가 다 빼자고 했어요.”

시나리오에	시나리오/NNG+에/JKB
있던	있/VA+던/ETM
욕도	욕/NNG+도/JX
제가	제/NP+가/JKS
다	다/MAG
빼자고	빼/VV+자고/EC
했어요.”	하/VV+았/EP+어요/EF+./SF+”/SS


# id : NWRW1800000037.114.5.3
김래원은 영화에서 ‘유일한’으로 나온다.

김래원은	김래원/NNP+은/JX
영화에서	영화/NNG+에서/JKB
‘유일한’으로	‘/SS+유일한/NNP+’/SS+으로/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.114.5.4
브로드웨이 입성이 꿈이지만 인기 없는 아동 뮤지컬을 맡고 있는 삼류 음악 감독이다.

브로드웨이	브로드웨이/NNP
입성이	입성/NNG+이/JKS
꿈이지만	꿈/NNG+이/VCP+지만/EC
인기	인기/NNG
없는	없/VA+는/ETM
아동	아동/NNG
뮤지컬을	뮤지컬/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
삼류	삼류/NNG
음악	음악/NNG
감독이다.	감독/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.114.5.5
영화는 인생 역전을 노리고 참가한 아동 오디션 프로그램에서 영광이를 파트너로 만나 벌어지는 에피소드를 담았다.

영화는	영화/NNG+는/JX
인생	인생/NNG
역전을	역전/NNG+을/JKO
노리고	노리/VV+고/EC
참가한	참가/NNG+하/XSV+ㄴ/ETM
아동	아동/NNG
오디션	오디션/NNG
프로그램에서	프로그램/NNG+에서/JKB
영광이를	영광이/NNP+를/JKO
파트너로	파트너/NNG+로/JKB
만나	만나/VV+아/EC
벌어지는	벌어지/VV+는/ETM
에피소드를	에피소드/NNG+를/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.6.1
영광이를 내켜하지 않다가 천천히 마음을 열어가는 역할에 몰입하려고 촬영 초반에는 아역들을 멀리 대했다.

영광이를	영광이/NNP+를/JKO
내켜하지	내키/VV+어/EC+하/VX+지/EC
않다가	않/VX+다가/EC
천천히	천천히/MAG
마음을	마음/NNG+을/JKO
열어가는	열/VV+어/EC+가/VX+는/ETM
역할에	역할/NNG+에/JKB
몰입하려고	몰입/NNG+하/XSV+려고/EC
촬영	촬영/NNG
초반에는	초반/NNG+에/JKB+는/JX
아역들을	아역/NNG+들/XSN+을/JKO
멀리	멀리/MAG
대했다.	대하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.6.2
“아이들이 상처받지 않을까 노심초사했죠.”

“아이들이	“/SS+아이/NNG+들/XSN+이/JKS
상처받지	상처/NNG+받/XSV+지/EC
않을까	않/VX+을까/EF
노심초사했죠.”	노심초사/NNG+하/XSV+았/EP+죠/EF+./SF+”/SS


# id : NWRW1800000037.114.6.3
하지만 촬영이 진행되면서 스크린 밖의 아이들과도 정이 들었고, 영광의 무대를 보고 미소 짓는 마지막 장면은 두 번 만에 오케이 사인을 받았다.

하지만	하지만/MAJ
촬영이	촬영/NNG+이/JKS
진행되면서	진행/NNG+되/XSV+면서/EC
스크린	스크린/NNG
밖의	밖/NNG+의/JKG
아이들과도	아이/NNG+들/XSN+과/JKB+도/JX
정이	정/NNG+이/JKS
들었고,	들/VV+었/EP+고/EC+,/SP
영광의	영광/NNP+의/JKG
무대를	무대/NNG+를/JKO
보고	보/VV+고/EC
미소	미소/NNG
짓는	짓/VV+는/ETM
마지막	마지막/NNG
장면은	장면/NNG+은/JX
두	두/MMN
번	번/NNB
만에	만/NNB+에/JKB
오케이	오케이/NNG
사인을	사인/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.7.1
“극 중 영광이와 경연을 펼치는 배우들은 뮤지컬 ‘빌리 엘리어트’ 무대에 섰던 실력파 아역들이에요.

“극	“/SS+극/NNG
중	중/NNB
영광이와	영광이/NNP+와/JKB
경연을	경연/NNG+을/JKO
펼치는	펼치/VV+는/ETM
배우들은	배우/NNG+들/XSN+은/JX
뮤지컬	뮤지컬/NNG
‘빌리	‘/SS+빌리/NNP
엘리어트’	엘리어트/NNP+’/SS
무대에	무대/NNG+에/JKB
섰던	서/VV+었/EP+던/ETM
실력파	실력파/NNG
아역들이에요.	아역/NNG+들/XSN+이/VCP+에요/EF+./SF


# id : NWRW1800000037.114.7.2
춤과 노래를 한 번도 전문적으로 배우지 않았지만 촬영 전 6개월 동안 발레와 춤동작을 훈련받은 대한이의 열정을 보며 배우의 초심을 배웠죠.”

춤과	춤/NNG+과/JC
노래를	노래/NNG+를/JKO
한	한/MMN
번도	번/NNB+도/JX
전문적으로	전문/NNG+적/XSN+으로/JKB
배우지	배우/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
촬영	촬영/NNG
전	전/NNG
6개월	6/SN+개월/NNB
동안	동안/NNG
발레와	발레/NNG+와/JC
춤동작을	춤/NNG+동작/NNG+을/JKO
훈련받은	훈련/NNG+받/XSV+은/ETM
대한이의	대한이/NNP+의/JKG
열정을	열정/NNG+을/JKO
보며	보/VV+며/EC
배우의	배우/NNG+의/JKG
초심을	초심/NNG+을/JKO
배웠죠.”	배우/VV+었/EP+죠/EF+./SF+”/SS


# id : NWRW1800000037.114.8.1
김래원도 음악 감독 역을 소화하기 위해 한 달 동안 하루 4시간씩 피아노와 지휘를 연습했다.

김래원도	김래원/NNP+도/JX
음악	음악/NNG
감독	감독/NNG
역을	역/NNG+을/JKO
소화하기	소화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
한	한/MMN
달	달/NNB
동안	동안/NNG
하루	하루/NNG
4시간씩	4/SN+시간/NNB+씩/XSN
피아노와	피아노/NNG+와/JC
지휘를	지휘/NNG+를/JKO
연습했다.	연습/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.8.2
상체를 앞으로 숙이는 지휘 자세 때문에 아침에 일어날 땐 허리가 찌릿찌릿 아파 오기도 했다.

상체를	상체/NNG+를/JKO
앞으로	앞/NNG+으로/JKB
숙이는	숙이/VV+는/ETM
지휘	지휘/NNG
자세	자세/NNG
때문에	때문/NNB+에/JKB
아침에	아침/NNG+에/JKB
일어날	일어나/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
허리가	허리/NNG+가/JKS
찌릿찌릿	찌릿찌릿/MAG
아파	아프/VA+아/EC
오기도	오/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.114.9.1
그는 1997년 MBC 청소년 드라마 ‘나’로 데뷔했다.

그는	그/NP+는/JX
1997년	1997/SN+년/NNB
MBC	MBC/SL
청소년	청소년/NNG
드라마	드라마/NNG
‘나’로	‘/SS+나/NP+’/SS+로/JKB
데뷔했다.	데뷔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.114.9.2
“10대에는 의욕이 넘치는 신인이었고, 20대에는 스스로 욕심 많은 스타라고 생각했어요.

“10대에는	“/SS+10/SN+대/NNB+에/JKB+는/JX
의욕이	의욕/NNG+이/JKS
넘치는	넘치/VV+는/ETM
신인이었고,	신인/NNG+이/VCP+었/EP+고/EC+,/SP
20대에는	20/SN+대/NNB+에/JKB+는/JX
스스로	스스로/MAG
욕심	욕심/NNG
많은	많/VA+은/ETM
스타라고	스타/NNG+이/VCP+라고/EC
생각했어요.	생각/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000037.114.9.3
오만했죠.”

오만했죠.”	오만/NNG+하/XSA+았/EP+죠/EF+./SF+”/SS


# id : NWRW1800000037.114.9.4
조금 뜸을 들이다 말을 이었다.

조금	조금/MAG
뜸을	뜸/NNG+을/JKO
들이다	들이/VV+다/EC
말을	말/NNG+을/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.114.9.5
“30대는 아직 모르겠어요.

“30대는	“/SS+30/SN+대/NNB+는/JX
아직	아직/MAG
모르겠어요.	모르/VV+겠/EP+어요/EF+./SF


# id : NWRW1800000037.114.9.6
납득할 수 없을 만큼 잔인한 악역도 시도해보고 싶어요.

납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
잔인한	잔인/NNG+하/XSA+ㄴ/ETM
악역도	악역/NNG+도/JX
시도해보고	시도/NNG+하/XSV+아/EC+보/VX+고/EC
싶어요.	싶/VX+어요/EF+./SF


# id : NWRW1800000037.114.9.7
여유와 지혜가 필요할 것 같아요.”

여유와	여유/NNG+와/JC
지혜가	지혜/NNG+가/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
것	것/NNB
같아요.”	같/VA+아요/EF+./SF+”/SS


