# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.215
metadata : {}


# id : NWRW1800000045.215.1.1
홈쇼핑, 10만원짜리 팔면 수수료 3만3500원 챙겨

홈쇼핑,	홈쇼핑/NNG+,/SP
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.215.4.1
공정거래위원회는 올해 TV홈쇼핑 6개 사, 백화점 7개 사의 평균 판매 수수료율을 분석한 결과 TV홈쇼핑사가 33.5%로 백화점(27.9%)보다 높다고 28일 밝혔다.

공정거래위원회는	공정/NNG+거래/NNG+위원회/NNG+는/JX
올해	올해/NNG
TV홈쇼핑	TV/SL+홈쇼핑/NNG
6개	6/SN+개/NNB
사,	사/NNG+,/SP
백화점	백화점/NNG
7개	7/SN+개/NNB
사의	사/NNG+의/JKG
평균	평균/NNG
판매	판매/NNG
수수료율을	수수료/NNG+율/XSN+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
TV홈쇼핑사가	TV/SL+홈쇼핑사/NNG+가/JKS
33.5%로	33/SN+./SP+5/SN+%/SW+로/JKB
백화점(27.9%)보다	백화점/NNG+(/SS+27/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
높다고	높/VA+다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.215.4.2
판매 수수료율은 제품의 최종 판매가에서 백화점 등 유통업체가 챙겨 가는 몫이다.

판매	판매/NNG
수수료율은	수수료/NNG+율/XSN+은/JX
제품의	제품/NNG+의/JKG
최종	최종/NNG
판매가에서	판매/NNG+가/XSN+에서/JKB
백화점	백화점/NNG
등	등/NNB
유통업체가	유통업체/NNG+가/JKS
챙겨	챙기/VV+어/EC
가는	가/VV+는/ETM
몫이다.	몫/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.215.4.3
TV홈쇼핑사의 판매 수수료율이 백화점보다 높은 이유는 홈쇼핑사들이 종합유선방송사업자(SO)에 총매출액의 약 11%를 송출 수수료로 내기 때문이다.

TV홈쇼핑사의	TV/SL+홈쇼핑사/NNG+의/JKG
판매	판매/NNG
수수료율이	수수료/NNG+율/XSN+이/JKS
백화점보다	백화점/NNG+보다/JKB
높은	높/VA+은/ETM
이유는	이유/NNG+는/JX
홈쇼핑사들이	홈쇼핑사/NNG+들/XSN+이/JKS
종합유선방송사업자(SO)에	종합/NNG+유선/NNG+방송/NNG+사업자/NNG+(/SS+SO/SL+)/SS+에/JKB
총매출액의	총매출액/NNG+의/JKG
약	약/MMA
11%를	11/SN+%/SW+를/JKO
송출	송출/NNG
수수료로	수수료/NNG+로/JKB
내기	내/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.215.4.4
TV홈쇼핑 업체별로 보면 평균 판매 수수료율이 가장 높은 곳은 현대홈쇼핑(36.7%)이고, CJO쇼핑(35.9%) 롯데홈쇼핑(35.4%) GS홈쇼핑(33.8%) 홈앤쇼핑(31.1%), NS홈쇼핑(30.5%)의 순으로 뒤를 이었다.

TV홈쇼핑	TV/SL+홈쇼핑/NNG
업체별로	업체/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
평균	평균/NNG
판매	판매/NNG
수수료율이	수수료/NNG+율/XSN+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
곳은	곳/NNG+은/JX
현대홈쇼핑(36.7%)이고,	현대홈쇼핑/NNP+(/SS+36/SN+./SP+7/SN+%/SW+)/SS+이/VCP+고/EC+,/SP
CJO쇼핑(35.9%)	CJO쇼핑/NNP+(/SS+35/SN+./SP+9/SN+%/SW+)/SS
롯데홈쇼핑(35.4%)	롯데홈쇼핑/NNP+(/SS+35/SN+./SP+4/SN+%/SW+)/SS
GS홈쇼핑(33.8%)	GS홈쇼핑/NNP+(/SS+33/SN+./SP+8/SN+%/SW+)/SS
홈앤쇼핑(31.1%),	홈앤쇼핑/NNP+(/SS+31/SN+./SP+1/SN+%/SW+)/SS+,/SP
NS홈쇼핑(30.5%)의	NS홈쇼핑/NNP+(/SS+30/SN+./SP+5/SN+%/SW+)/SS+의/JKG
순으로	순/NNB+으로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.215.5.1
GS홈쇼핑과 홈앤쇼핑을 제외한 4개 사는 지난해보다 판매 수수료율을 높인 것으로 나타났다.

GS홈쇼핑과	GS홈쇼핑/NNP+과/JC
홈앤쇼핑을	홈앤쇼핑/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
4개	4/SN+개/NNB
사는	사/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
판매	판매/NNG
수수료율을	수수료/NNG+율/XSN+을/JKO
높인	높이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.215.5.2
납품 업체들은 판매 수수료를 고려해 최종 가격을 결정하기 때문에 유통업체들이 판매 수수료율을 높게 책정할수록 소비자의 부담이 커진다.

납품	납품/NNG
업체들은	업체/NNG+들/XSN+은/JX
판매	판매/NNG
수수료를	수수료/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
최종	최종/NNG
가격을	가격/NNG+을/JKO
결정하기	결정/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
유통업체들이	유통업체/NNG+들/XSN+이/JKS
수수료율을	수수료/NNG+율/XSN+을/JKO
높게	높/VA+게/EC
책정할수록	책정/NNG+하/XSV+ㄹ수록/EC
소비자의	소비자/NNG+의/JKG
부담이	부담/NNG+이/JKS
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.215.6.1
납품 업체 규모별 평균 판매 수수료율은 대기업(31.5%)보다 중소기업(34.1%)이 더 높다.

납품	납품/NNG
업체	업체/NNG
규모별	규모/NNG+별/XSN
평균	평균/NNG
판매	판매/NNG
수수료율은	수수료/NNG+율/XSN+은/JX
대기업(31.5%)보다	대/XPN+기업/NNG+(/SS+31/SN+./SP+5/SN+%/SW+)/SS+보다/JKB
중소기업(34.1%)이	중소기업/NNG+(/SS+34/SN+./SP+1/SN+%/SW+)/SS+이/JKS
더	더/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.215.6.2
공정위 관계자는 “대기업이 납품하는 제품은 중소기업 제품에 비해 상대적으로 반품률이 낮고 소비자 선호도가 높기 때문에 판매 수수료율이 낮게 책정된 것으로 보인다”고 설명했다.

공정위	공정위/NNG
관계자는	관계자/NNG+는/JX
“대기업이	“/SS+대/XPN+기업/NNG+이/JKS
납품하는	납품/NNG+하/XSV+는/ETM
제품은	제품/NNG+은/JX
중소기업	중소기업/NNG
제품에	제품/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
반품률이	반품/NNG+률/XSN+이/JKS
낮고	낮/VA+고/EC
소비자	소비자/NNG
선호도가	선호도/NNG+가/JKS
높기	높/VA+기/ETN
때문에	때문/NNB+에/JKB
판매	판매/NNG
수수료율이	수수료/NNG+율/XSN+이/JKS
낮게	낮/VA+게/EC
책정된	책정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.215.7.1
매출 기준 백화점 상위 3개 사의 평균 판매 수수료율은 롯데(28.5%) 신세계(28.4%) 현대(27.5%) 순이다.

매출	매출/NNG
기준	기준/NNG
백화점	백화점/NNG
상위	상위/NNG
3개	3/SN+개/NNB
사의	사/NNG+의/JKG
평균	평균/NNG
판매	판매/NNG
수수료율은	수수료/NNG+율/XSN+은/JX
롯데(28.5%)	롯데/NNP+(/SS+28/SN+./SP+5/SN+%/SW+)/SS
신세계(28.4%)	신세계/NNP+(/SS+28/SN+./SP+4/SN+%/SW+)/SS
현대(27.5%)	현대/NNP+(/SS+27/SN+./SP+5/SN+%/SW+)/SS
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.215.7.2
입점 업체에 따른 평균 판매 수수료율은 해외 명품 업체(22.1%)가 대기업(29.3%) 중소기업(27.7%)보다 낮았다.

입점	입점/NNG
업체에	업체/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
평균	평균/NNG
판매	판매/NNG
수수료율은	수수료/NNG+율/XSN+은/JX
해외	해외/NNG
명품	명품/NNG
업체(22.1%)가	업체/NNG+(/SS+22/SN+./SP+1/SN+%/SW+)/SS+가/JKS
대기업(29.3%)	대/XPN+기업/NNG+(/SS+29/SN+./SP+3/SN+%/SW+)/SS
중소기업(27.7%)보다	중소기업/NNG+(/SS+27/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000045.215.7.3
백화점들 간에 해외 유명 브랜드를 입점시키려는 경쟁이 치열하다 보니 명품 업체들에 수수료 인센티브를 주고 있다는 게 공정위의 분석이다.

백화점들	백화점/NNG+들/XSN
간에	간/NNB+에/JKB
해외	해외/NNG
유명	유명/NNG
브랜드를	브랜드/NNG+를/JKO
입점시키려는	입점/NNG+시키/XSV+려는/ETM
경쟁이	경쟁/NNG+이/JKS
치열하다	치열/NNG+하/XSA+다/EC
보니	보/VX+니/EC
명품	명품/NNG
업체들에	업체/NNG+들/XSN+에/JKB
수수료	수수료/NNG
인센티브를	인센티브/NNG+를/JKO
주고	주/VV+고/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
공정위의	공정위/NNG+의/JKG
분석이다.	분석/NNG+이/VCP+다/EF+./SF


