# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.245
metadata : {}


# id : NWRW1800000040.245.1.1
“외박 때 애인과 성관계한 육사생 퇴학 부당”

“외박	“/SS+외박/NNG
대한	대하/VV+ㄴ/ETM
양심보고	양심/NNG+보고/NNG
불이행’,	불/XPN+이행/NNG+’/SS+,/SP
‘원룸에서의	‘/SS+원룸/NNG+에서/JKB+의/JKG
성관계	성관계/NNG
이에	이/NP+에/JKB
불이행’	불/XPN+이행/NNG+’/SS
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
ㄱ씨를	ㄱ/NNG+씨/NNB+를/JKO
퇴학처분했다.	퇴학/NNG+처분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.245.7.3
ㄱ씨는 소위 임관을 앞둔 4학년 2학기에 퇴학을 당해 지난 5월 현역 입영 통지서를 받았다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
소위	소위/MAG
임관을	임관/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
4학년	4/SN+학년/NNG
2학기에	2/SN+학기/NNG+에/JKB
퇴학을	퇴학/NNG+을/JKO
당해	당하/VV+아/EC
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
현역	현역/NNG
입영	입영/NNG
통지서를	통지서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.245.8.1
재판부는 “ㄱ씨가 사복착용 금지 규정 위반에 대해 양심보고를 한 점, 생도 생활을 성실히 한 점, 졸업과 임관이 얼마 남지 않은 점, 퇴학 처분을 받으면 현역으로 입영되는 점 등을 고려할 때 학교 쪽이 징계재량권을 일탈·남용했다”고 밝혔다.

재판부는	재판부/NNG+는/JX
“ㄱ씨가	“/SS+ㄱ/NNG+씨/NNB+가/JKS
사복착용	사복/NNG+착용/NNG
금지	금지/NNG
규정	규정/NNG
위반에	위반/NNG+에/JKB
대해	대하/VV+아/EC
양심보고를	양심/NNG+보고/NNG+를/JKO
한	하/VV+ㄴ/ETM
점,	점/NNG+,/SP
생도	생도/NNG
생활을	생활/NNG+을/JKO
성실히	성실히/MAG
졸업과	졸업/NNG+과/JC
임관이	임관/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않은	않/VX+은/ETM
퇴학	퇴학/NNG
처분을	처분/NNG+을/JKO
받으면	받/VV+으면/EC
현역으로	현역/NNG+으로/JKB
입영되는	입영/NNG+되/XSV+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
학교	학교/NNG
쪽이	쪽/NNB+이/JKS
징계재량권을	징계/NNG+재량/NNG+권/XSN+을/JKO
일탈·남용했다”고	일탈/NNG+·/SP+남용/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


