# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.323
metadata : {}


# id : NWRW1800000022.323.1.1
조윤희·이정은 공동선두;신세계배 골프 2R… KLPGA 역대 컷 최소타수

조윤희·이정은	조윤희/NNP+·/SP+이정은/NNP
정확한	정확/NNG+하/XSA+ㄴ/ETM
아이언	아이언/NNG
샷으로	샷/NNG+으로/JKB
홀	홀/NNG
옆에	옆/NNG+에/JKB
바짝	바짝/MAG
붙인	붙이/VV+ㄴ/ETM
뒤	뒤/NNG
손쉽게	손쉽/VA+게/EC
버디를	버디/NNG+를/JKO
사냥하고	사냥/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.323.6.1
남자프로골프(KPGA) SBS 메리츠솔모로오픈 1라운드에선 김성용과 김형우가 4언더파 67타로 공동 선두에 올랐다.

남자프로골프(KPGA)	남자/NNG+프로/NNG+골프/NNG+(/SS+KPGA/SL+)/SS
SBS	SBS/SL
메리츠솔모로오픈	메리츠/NNP+솔모로/NNP+오픈/NNG
1라운드에선	1/SN+라운드/NNG+에서/JKB+ㄴ/JX
김성용과	김성용/NNP+과/JC
김형우가	김형우/NNP+가/JKS
4언더파	4/SN+언더/NNG+파/NNG
67타로	67/SN+타/NNG+로/JKB
공동	공동/NNG
선두에	선두/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


