# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.323
metadata : {}


# id : NWRW1800000046.323.1.1
[리퍼트 美대사 테러] 25㎝ 과도 품은 前科 6범, 아무 제지 없이 입장

[리퍼트	[/SS+리퍼트/NNP
사전	사전/NNG
신청을	신청/NNG+을/JKO
통해	통하/VV+아/EC
참석자	참석자/NNG
200여명을	200/SN+여/XSN+명/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.323.5.3
하지만 입장객이 행사장 입구에서 이름과 소속을 말하면 초청자 명단과 대조한 뒤 이름이 있으면 신분증 확인 절차도 없이 명찰을 내주고 입장시켰다.

하지만	하지만/MAJ
입장객이	입장객/NNG+이/JKS
행사장	행사장/NNG
입구에서	입구/NNG+에서/JKB
이름과	이름/NNG+과/JC
소속을	소속/NNG+을/JKO
말하면	말/NNG+하/XSV+면/EC
초청자	초청자/NNG
명단과	명단/NNG+과/JKB
대조한	대조/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이름이	이름/NNG+이/JKS
있으면	있/VA+으면/EC
신분증	신분증/NNG
확인	확인/NNG
절차도	절차/NNG+도/JX
없이	없이/MAG
명찰을	명찰/NNG+을/JKO
내주고	내주/VV+고/EC
입장시켰다.	입장/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.323.5.4
초청자였던 송재익(59·강남대 안보학과 교수)씨는 "입구에 금속탐지기도 없었고 신분증이나 사진 등도 확인하지 않아 아무나 들어갈 수 있을 만큼 보안이 허술했다"고 말했다.

초청자였던	초청자/NNG+이/VCP+었/EP+던/ETM
송재익(59·강남대	송재익/NNP+(/SS+59/SN+·/SP+강남대/NNP
안보학과	안보학/NNG+과/NNG
교수)씨는	교수/NNG+)/SS+씨/NNB+는/JX
"입구에	"/SS+입구/NNG+에/JKB
금속탐지기도	금속/NNG+탐지기/NNG+도/JX
없었고	없/VA+었/EP+고/EC
신분증이나	신분증/NNG+이나/JC
사진	사진/NNG
등도	등/NNB+도/JX
확인하지	확인/NNG+하/XSV+지/EC
않아	않/VX+아/EC
아무나	아무/NP+나/JX
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
만큼	만큼/NNB
보안이	보안/NNG+이/JKS
허술했다"고	허술하/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.323.6.1
심지어 참석 예약을 하지도 않은 김씨도 현장 등록을 통해 입장할 수 있었다.

심지어	심지어/MAG
참석	참석/NNG
예약을	예약/NNG+을/JKO
하지도	하/VV+지/EC+도/JX
않은	않/VX+은/ETM
김씨도	김/NNP+씨/NNB+도/JX
현장	현장/NNG
등록을	등록/NNG+을/JKO
통해	통하/VV+아/EC
입장할	입장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.323.6.2
민화협은 "직원들이 정신없는 틈을 타 김씨가 왔다"며 "김씨를 알던 실무진이 손으로 이름을 써서 명찰을 만들어줬다"고 밝혔다.

민화협은	민화협/NNP+은/JX
"직원들이	"/SS+직원/NNG+들/XSN+이/JKS
정신없는	정신없/VA+는/ETM
틈을	틈/NNG+을/JKO
타	타/VV+아/EC
김씨가	김/NNP+씨/NNB+가/JKS
왔다"며	오/VV+았/EP+다/EF+"/SS+며/EC
"김씨를	"/SS+김/NNP+씨/NNB+를/JKO
알던	알/VV+던/ETM
실무진이	실무진/NNG+이/JKS
손으로	손/NNG+으로/JKB
이름을	이름/NNG+을/JKO
써서	쓰/VV+어서/EC
명찰을	명찰/NNG+을/JKO
만들어줬다"고	만들/VV+어/EC+주/VX+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.323.6.3
김씨를 발견한 종로경찰서 관계자가 민화협 직원에게 "등록도 되지 않은 김씨를 왜 입장시키느냐"고 지적했지만 민화협 직원은 "(김씨가) 회원 단체(서울시민문화단체연석회의) 임원이기 때문에 괜찮다"는 식으로 말했다고 한다.

김씨를	김/NNP+씨/NNB+를/JKO
발견한	발견/NNG+하/XSV+ㄴ/ETM
종로경찰서	종로경찰서/NNP
관계자가	관계자/NNG+가/JKS
민화협	민화협/NNP
직원에게	직원/NNG+에게/JKB
"등록도	"/SS+등록/NNG+도/JX
되지	되/VV+지/EC
않은	않/VX+은/ETM
왜	왜/MAG
입장시키느냐"고	입장/NNG+시키/XSV+느냐/EF+"/SS+고/JKQ
지적했지만	지적/NNG+하/XSV+았/EP+지만/EC
직원은	직원/NNG+은/JX
"(김씨가)	"/SS+(/SS+김/NNP+씨/NNB+가/JKS+)/SS
회원	회원/NNG
단체(서울시민문화단체연석회의)	단체/NNG+(/SS+서울시민문화단체연석회의/NNP+)/SS
임원이기	임원/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
괜찮다"는	괜찮/VA+다/EF+"/SS+는/ETM
식으로	식/NNB+으로/JKB
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.323.7.1
미 대사관은 이날 리퍼트 대사 곁에 한국인 수행 경호원 한 명을 배치한 것으로 알려졌다.

미	미/NNP
대사관은	대사관/NNG+은/JX
이날	이날/NNG
리퍼트	리퍼트/NNP
대사	대사/NNG
곁에	곁/NNG+에/JKB
한국인	한국인/NNG
수행	수행/NNG
경호원	경호원/NNG
한	한/MMN
명을	명/NNB+을/JKO
배치한	배치/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.323.7.2
미국 대사에 대한 경호는 미 대사관 보안과가 담당하며, 미국 대사 등 외교관은 기본적으로 경찰 경호 대상이 아니라는 게 경찰의 설명이다.

미국	미국/NNP
대사에	대사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경호는	경호/NNG+는/JX
미	미/NNP
대사관	대사관/NNG
보안과가	보안과/NNG+가/JKS
담당하며,	담당/NNG+하/XSV+며/EC+,/SP
대사	대사/NNG
등	등/NNB
외교관은	외교관/NNG+은/JX
기본적으로	기본/NNG+적/XSN+으로/JKB
경찰	경찰/NNG
경호	경호/NNG
대상이	대상/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
게	거/NNB+이/JKS
경찰의	경찰/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.323.7.3
경찰은 "대사관 측에서 별도의 신변 보호를 요청하지도 않았다"고 밝혔다.

경찰은	경찰/NNG+은/JX
"대사관	"/SS+대사관/NNG
측에서	측/NNB+에서/JKB
별도의	별도/NNG+의/JKG
신변	신변/NNG
보호를	보호/NNG+를/JKO
요청하지도	요청/NNG+하/XSV+지/EC+도/JX
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.323.7.4
경찰은 사건 직후인 이날 오전 10시부터 미국 대사를 '요인 경호 대상자'로 지정하고 대사에게 경찰 4명, 대사 부인에게 경찰 3명을 배치했다.

경찰은	경찰/NNG+은/JX
사건	사건/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
이날	이날/NNG
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
미국	미국/NNP
대사를	대사/NNG+를/JKO
'요인	'/SS+요인/NNG
경호	경호/NNG
대상자'로	대상자/NNG+'/SS+로/JKB
지정하고	지정/NNG+하/XSV+고/EC
대사에게	대사/NNG+에게/JKB
경찰	경찰/NNG
4명,	4/SN+명/NNB+,/SP
대사	대사/NNG
부인에게	부인/NNG+에게/JKB
3명을	3/SN+명/NNB+을/JKO
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


