# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.17
metadata : {}


# id : NWRW1800000056.17.1.1
공정위가 ‘하도급 반칙왕’ 3년만에 발표한 이유?

공정위가	공정위/NNG+가/JKS
공정위는 29일 ‘2017년도 하도급거래 분야 상습 법 위반사업자’로 11개 기업을 발표했다.

공정위는	공정위/NNG+는/JX
29일	29/SN+일/NNB
‘2017년도	‘/SS+2017/SN+년도/NNB
하도급거래	하도급/NNG+거래/NNG
분야	분야/NNG
상습	상습/NNG
법	법/NNG
위반사업자’로	위반/NNG+사업자/NNG+’/SS+로/JKB
11개	11/SN+개/NNB
기업을	기업/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.17.6.2
이들은 최근 3년간 하도급법 위반과 관련해 제재를 3차례 이상 받고, 제재 유형별 누적 벌점이 4점이 넘었다.

이들은	이/NP+들/XSN+은/JX
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
하도급법	하도급법/NNG
위반과	위반/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
제재를	제재/NNG+를/JKO
3차례	3/SN+차례/NNG
이상	이상/NNG
받고,	받/VV+고/EC+,/SP
제재	제재/NNG
유형별	유형/NNG+별/XSN
누적	누적/NNG
벌점이	벌점/NNG+이/JKS
4점이	4/SN+점/NNB+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.17.6.3
제재 유형별 벌점은 검찰고발(3.0점), 과징금 부과(2.5점) 등 제재 수위가 높을수록 커진다.

제재	제재/NNG
유형별	유형/NNG+별/XSN
벌점은	벌점/NNG+은/JX
검찰고발(3.0점),	검찰/NNG+고발/NNG+(/SS+3/SN+./SP+0/SN+점/NNB+)/SS+,/SP
과징금	과징금/NNG
부과(2.5점)	부과/NNG+(/SS+2/SN+./SP+5/SN+점/NNB+)/SS
등	등/NNB
수위가	수위/NNG+가/JKS
높을수록	높/VA+을수록/EC
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.17.7.1
기업규모별로는 재벌 가운데는 김승연 한화그룹 회장의 아들 3형제가 지분 100%를 보유한 한화에스앤씨가 유일하다.

기업규모별로는	기업/NNG+규모/NNG+별/XSN+로/JKB+는/JX
재벌	재벌/NNG
가운데는	가운데/NNG+는/JX
김승연	김승연/NNP
한화그룹	한화그룹/NNP
회장의	회장/NNG+의/JKG
아들	아들/NNG
3형제가	3/SN+형제/NNG+가/JKS
지분	지분/NNG
100%를	100/SN+%/SW+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
한화에스앤씨가	한화에스앤씨/NNP+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000056.17.7.2
중견기업으로는 현대가 3세인 정대선 사장이 대표인 현대비에스앤씨를 비롯해 동일, 에스피피조선, 신성에프에이 등 4곳이다.

중견기업으로는	중견/NNG+기업/NNG+으로/JKB+는/JX
현대가	현대가/NNG
3세인	3/SN+세/NNB+이/VCP+ㄴ/ETM
정대선	정대선/NNP
사장이	사장/NNG+이/JKS
대표인	대표/NNG+이/VCP+ㄴ/ETM
현대비에스앤씨를	현대비에스앤씨/NNP+를/JKO
비롯해	비롯하/VV+아/EC
동일,	동일/NNP+,/SP
에스피피조선,	에스피피조선/NNP+,/SP
신성에프에이	신성에프에이/NNP
등	등/NNB
4곳이다.	4/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.17.7.3
중소기업으로 더 중소기업에 ‘갑질’을 한 곳은 대경건설, 군장종합건설, 한일중공업, 넥스콘테크놀러지, 세영종합건설, 아이엠티 등이다.

중소기업으로	중소기업/NNG+으로/JKB
더	더/MAG
중소기업에	중소기업/NNG+에/JKB
‘갑질’을	‘/SS+갑/NNG+질/XSN+’/SS+을/JKO
한	하/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
대경건설,	대경건설/NNP+,/SP
군장종합건설,	군장종합건설/NNP+,/SP
한일중공업,	한일중공업/NNP+,/SP
넥스콘테크놀러지,	넥스콘테크놀러지/NNP+,/SP
세영종합건설,	세영종합건설/NNP+,/SP
아이엠티	아이엠티/NNP
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.17.7.4
현대비에스앤씨, 동일, 에스피피조선 등은 2년 연속, 대경건설은 3년 연속으로 포함됐다.

현대비에스앤씨,	현대비에스앤씨/NNP+,/SP
동일,	동일/NNP+,/SP
에스피피조선	에스피피조선/NNP
등은	등/NNB+은/JX
2년	2/SN+년/NNB
연속,	연속/NNG+,/SP
대경건설은	대경건설/NNP+은/JX
3년	3/SN+년/NNB
연속으로	연속/NNG+으로/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.17.8.1
공정위는 상습적으로 하도급법을 위반하는 기업이 늘자 2010년 하도급법을 개정해 2014년까지 매년 반칙왕을 선정해 공개했다.

공정위는	공정위/NNG+는/JX
상습적으로	상습/NNG+적/XSN+으로/JKB
하도급법을	하도급법/NNG+을/JKO
위반하는	위반/NNG+하/XSV+는/ETM
기업이	기업/NNG+이/JKS
늘자	늘/VV+자/EC
2010년	2010/SN+년/NNB
개정해	개정/NNG+하/XSV+아/EC
2014년까지	2014/SN+년/NNB+까지/JX
매년	매년/MAG
반칙왕을	반칙왕/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.17.8.2
하지만 박근혜 정부 기간인 2015~2016년은 내부적으로 해당 기업을 선정하고도 공개하지 않았다.

하지만	하지만/MAJ
박근혜	박근혜/NNP
정부	정부/NNG
기간인	기간/NNG+이/VCP+ㄴ/ETM
2015~2016년은	2015/SN+~/SO+2016/SN+년/NNB+은/JX
내부적으로	내부/NNG+적/XSN+으로/JKB
해당	해당/NNG
기업을	기업/NNG+을/JKO
선정하고도	선정/NNG+하/XSV+고도/EC
공개하지	공개/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.17.8.3
정재찬 공정위원장과 김학현 부위원장이 재직한 기간이다.

정재찬	정재찬/NNP
공정위원장과	공정위원장/NNG+과/JC
김학현	김학현/NNP
부위원장이	부위원장/NNG+이/JKS
재직한	재직/NNG+하/XSV+ㄴ/ETM
기간이다.	기간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.17.8.4
정 위원장과 김 부위원장은 박근혜·최순실 국정농단사건 관련 특검수사에서 2015년 삼성의 신규 순환출자를 해소하기 위한 삼성물산 주식 매각물량을 줄여준 혐의가 드러났다.

정	정/NNP
위원장과	위원장/NNG+과/JC
김	김/NNP
부위원장은	부위원장/NNG+은/JX
박근혜·최순실	박근혜/NNP+·/SP+최순실/NNP
국정농단사건	국정/NNG+농단/NNG+사건/NNG
관련	관련/NNG
특검수사에서	특검/NNG+수사/NNG+에서/JKB
2015년	2015/SN+년/NNB
삼성의	삼성/NNP+의/JKG
신규	신규/NNG
순환출자를	순환/NNG+출자/NNG+를/JKO
해소하기	해소/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
삼성물산	삼성물산/NNP
주식	주식/NNG
매각물량을	매각/NNG+물량/NNG+을/JKO
줄여준	줄이/VV+어/EC+주/VX+ㄴ/ETM
혐의가	혐의/NNG+가/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.17.8.5
공정위는 “상습 법위반 기업으로 선정되면 공공발주사업 입찰에 참여할 때 점수가 깎이는 불이익을 받는다”며 “하도급법 취지를 감안할 때 명단을 공표하는 것이 좋겠다는 내부의견이 많아 발표하게 됐다”고 설명했다.

공정위는	공정위/NNG+는/JX
“상습	“/SS+상습/NNG
법위반	법/NNG+위반/NNG
기업으로	기업/NNG+으로/JKB
선정되면	선정/NNG+되/XSV+면/EC
공공발주사업	공공/NNG+발주/NNG+사업/NNG
입찰에	입찰/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
때	때/NNG
점수가	점수/NNG+가/JKS
깎이는	깎이/VV+는/ETM
불이익을	불/XPN+이익/NNG+을/JKO
받는다”며	받/VV+는다/EF+”/SS+며/EC
“하도급법	“/SS+하도급법/NNG
취지를	취지/NNG+를/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
명단을	명단/NNG+을/JKO
공표하는	공표/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋겠다는	좋/VA+겠/EP+다는/ETM
내부의견이	내부/NNG+의견/NNG+이/JKS
많아	많/VA+아/EC
발표하게	발표/NNG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.17.8.6
이번 발표는 문재인 정부의 대기업 갑질 근절 약속에 영향을 받은 것으로 보인다.

이번	이번/NNG
발표는	발표/NNG+는/JX
문재인	문재인/NNP
정부의	정부/NNG+의/JKG
대기업	대/XPN+기업/NNG
갑질	갑/NNG+질/XSN
근절	근절/NNG
약속에	약속/NNG+에/JKB
영향을	영향/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.17.9.1
한편 공정위는 이날 넥스콘테크놀러지가 76개 중소기업에 대해 어음할인료 2억5천만원, 지연이자 4천만원, 어음대체결제 수수료 1800만원, 하도급대금 490만원을 제대로 지급하지 않는 등 하도급법 위반 행위와 관련해 과징금 2억6천만원을 부과했다고 밝혔다.

한편	한편/MAG
공정위는	공정위/NNG+는/JX
이날	이날/NNG
넥스콘테크놀러지가	넥스콘테크놀러지/NNP+가/JKS
76개	76/SN+개/NNB
중소기업에	중소기업/NNG+에/JKB
대해	대하/VV+아/EC
어음할인료	어음/NNG+할인료/NNG
2억5천만원,	2/SN+억/NR+5/SN+천만/NR+원/NNB+,/SP
지연이자	지연/NNG+이자/NNG
4천만원,	4/SN+천만/NR+원/NNB+,/SP
어음대체결제	어음/NNG+대체/NNG+결제/NNG
수수료	수수료/NNG
1800만원,	1800/SN+만/NR+원/NNB+,/SP
하도급대금	하도급/NNG+대금/NNG
490만원을	490/SN+만/NR+원/NNB+을/JKO
제대로	제대로/MAG
지급하지	지급/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
등	등/NNB
하도급법	하도급법/NNG
위반	위반/NNG
행위와	행위/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
과징금	과징금/NNG
2억6천만원을	2/SN+억/NR+6/SN+천만/NR+원/NNB+을/JKO
부과했다고	부과/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


