# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.181
metadata : {}


# id : NWRW1800000045.181.1.1
‘CCTV 부결’ 후폭풍에 놀란 복지부, 어린이집 직접 찾아 설치 설득 나서

‘CCTV	‘/SS+CCTV/SL
의견을	의견/NNG+을/JKO
나눌	나누/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“보육업무를	“/SS+보육/NNG+업무/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
복지부	복지부/NNG
직원과	직원/NNG+과/JC
국회	국회/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
최대한	최대한/MAG
많이	많이/MAG
참여할	참여/NNG+하/XSV+ㄹ/ETM
체험활동을	체험/NNG+활동/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.181.5.1
복지부가 이처럼 적극적으로 보육교사들과의 소통에 나서려는 이유는 보육업계의 조직적인 반발이 이어지는 한 4월 임시국회 때도 영유아보육법의 통과를 장담하기 어렵다는 판단 때문이다.

복지부가	복지부/NNG+가/JKS
이처럼	이/NP+처럼/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
보육교사들과의	보육/NNG+교사/NNG+들/XSN+과/JKB+의/JKG
소통에	소통/NNG+에/JKB
나서려는	나서/VV+려는/ETM
이유는	이유/NNG+는/JX
보육업계의	보육/NNG+업계/NNG+의/JKG
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
반발이	반발/NNG+이/JKS
이어지는	이어지/VV+는/ETM
한	한/NNG
4월	4/SN+월/NNB
임시국회	임시/NNG+국회/NNG
때도	때/NNG+도/JX
영유아보육법의	영유아/NNG+보육법/NNG+의/JKG
통과를	통과/NNG+를/JKO
장담하기	장담/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.181.5.2
이번 국회 본회의를 앞두고도 보육업계 관계자들의 의원들을 대상으로 한 압박이 있었던 것으로 알려졌다.

이번	이번/NNG
국회	국회/NNG
본회의를	본회의/NNG+를/JKO
앞두고도	앞두/VV+고/EC+도/JX
보육업계	보육/NNG+업계/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
의원들을	의원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
압박이	압박/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.181.6.1
복지위 소속의 한 의원은 “‘인천 K어린이집 아동학대 사태’가 터진 뒤 처음 아동학대 대책이 발표됐을 때부터 보육업계의 반발이 있었다”며 “내년에 총선이 있기 때문에 많은 의원이 적지 않은 부담을 느낄 수밖에 없었다”고 말했다.

복지위	복지위/NNG
소속의	소속/NNG+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“‘인천	“/SS+‘/SS+인천/NNP
K어린이집	K/SL+어린이집/NNG
아동학대	아동/NNG+학대/NNG
사태’가	사태/NNG+’/SS+가/JKS
터진	터지/VV+ㄴ/ETM
뒤	뒤/NNG
처음	처음/NNG
대책이	대책/NNG+이/JKS
발표됐을	발표/NNG+되/XSV+었/EP+을/ETM
때부터	때/NNG+부터/JX
보육업계의	보육/NNG+업계/NNG+의/JKG
반발이	반발/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“내년에	“/SS+내년/NNG+에/JKB
총선이	총선/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
많은	많/VA+은/ETM
의원이	의원/NNG+이/JKS
적지	적/VA+지/EC
않은	않/VX+은/ETM
부담을	부담/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.181.7.1
일반 국민의 긍정적인 반응에 고무돼 정작 가장 직접적인 이해 당사자인 어린이집 원장과 보육교사들을 대상으로는 영유아보육법의 취지와 필요성을 효과적으로 전달하지 못했다는 것도 현장 설득 작업에 나서는 이유다.

일반	일반/NNG
국민의	국민/NNG+의/JKG
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
반응에	반응/NNG+에/JKB
고무돼	고무/NNG+되/XSV+어/EC
정작	정작/MAG
가장	가장/MAG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
이해	이해/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
어린이집	어린이집/NNG
원장과	원장/NNG+과/JC
보육교사들을	보육/NNG+교사/NNG+들/XSN+을/JKO
대상으로는	대상/NNG+으로/JKB+는/JX
영유아보육법의	영유아/NNG+보육법/NNG+의/JKG
취지와	취지/NNG+와/JC
필요성을	필요/NNG+성/XSN+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
전달하지	전달/NNG+하/XSV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
것도	것/NNB+도/JX
현장	현장/NNG
설득	설득/NNG
작업에	작업/NNG+에/JKB
나서는	나서/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.181.8.1
실제로 어린이집 CCTV 설치 의무화의 경우 ‘실시간 모니터링’이 불가능하도록 네트워크 카메라 설치 부분을 금지하기로 했다.

실제로	실제로/MAG
어린이집	어린이집/NNG
CCTV	CCTV/SL
설치	설치/NNG
의무화의	의무/NNG+화/XSN+의/JKG
경우	경우/NNG
‘실시간	‘/SS+실시간/NNG
모니터링’이	모니터링/NNG+’/SS+이/JKS
불가능하도록	불/XPN+가능/NNG+하/XSA+도록/EC
네트워크	네트워크/NNG
카메라	카메라/NNG
부분을	부분/NNG+을/JKO
금지하기로	금지/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.181.8.2
이에 따라 학부모가 아이의 안전에 의심이 생겨 확인 차원에서 CCTV 영상 공개를 요청하기 전까지는 영상 공개가 안 되지만 여전히 보육교사들에 대한 ‘인권침해 우려’가 제기되고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
학부모가	학부모/NNG+가/JKS
아이의	아이/NNG+의/JKG
안전에	안전/NNG+에/JKB
의심이	의심/NNG+이/JKS
생겨	생기/VV+어/EC
확인	확인/NNG
차원에서	차원/NNG+에서/JKB
CCTV	CCTV/SL
영상	영상/NNG
공개를	공개/NNG+를/JKO
요청하기	요청/NNG+하/XSV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
공개가	공개/NNG+가/JKS
안	안/MAG
되지만	되/VV+지만/EC
여전히	여전히/MAG
보육교사들에	보육/NNG+교사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
‘인권침해	‘/SS+인권/NNG+침해/NNG
우려’가	우려/NNG+’/SS+가/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.181.9.1
또 △보조교사와 대체교사 배치 의무화 △보육교사들에 대한 정기적인 인성교육 △보육교사에 대한 심리상담 지원 등 보육교사 처우 개선과 관련된 항목들도 영유아보육법 개정안에 담겨 있었지만 이런 부분들은 제대로 부각되지 않았다.

또	또/MAG
△보조교사와	△/SW+보조/NNG+교사/NNG+와/JC
대체교사	대체/NNG+교사/NNG
배치	배치/NNG
의무화	의무/NNG+화/XSN
△보육교사들에	△/SW+보육/NNG+교사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
인성교육	인성/NNG+교육/NNG
△보육교사에	△/SW+보육/NNG+교사/NNG+에/JKB
심리상담	심리/NNG+상담/NNG
지원	지원/NNG
등	등/NNB
보육교사	보육/NNG+교사/NNG
처우	처우/NNG
개선과	개선/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
항목들도	항목/NNG+들/XSN+도/JX
영유아보육법	영유아/NNG+보육법/NNG
개정안에	개정안/NNG+에/JKB
담겨	담기/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
이런	이런/MMD
부분들은	부분/NNG+들/XSN+은/JX
제대로	제대로/MAG
부각되지	부각/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.181.10.1
한편 어린이집 CCTV 설치 의무화 등에 찬성했던 학부모들의 반발도 점차 조직화되어 가는 양상을 보이고 있다.

한편	한편/MAG
어린이집	어린이집/NNG
CCTV	CCTV/SL
설치	설치/NNG
의무화	의무/NNG+화/XSN
등에	등/NNB+에/JKB
찬성했던	찬성/NNG+하/XSV+았/EP+던/ETM
학부모들의	학부모/NNG+들/XSN+의/JKG
반발도	반발/NNG+도/JX
점차	점차/MAG
조직화되어	조직/NNG+화/XSN+되/XSV+어/EC
가는	가/VX+는/ETM
양상을	양상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.181.11.1
아동학대 방지 시민모임인 ‘하늘소풍’은 영유아보육법 개정안에 반대한 의원들을 비판하는 성명을 내고 이들에 대한 낙선운동을 추진하겠다고 밝혔다.

아동학대	아동/NNG+학대/NNG
방지	방지/NNG
시민모임인	시민/NNG+모임/NNG+이/VCP+ㄴ/ETM
‘하늘소풍’은	‘/SS+하늘/NNG+소풍/NNG+’/SS+은/JX
영유아보육법	영유아/NNG+보육법/NNG
개정안에	개정안/NNG+에/JKB
반대한	반대/NNG+하/XSV+ㄴ/ETM
의원들을	의원/NNG+들/XSN+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
낙선운동을	낙선/NNG+운동/NNG+을/JKO
추진하겠다고	추진/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


