# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.112
metadata : {}


# id : NWRW1800000030.112.1.1
김정은 가계도 일일이 수집해 북한 앱 만든 북한학과 대학생

김정은	김정은/NNP
1000명	1000/SN+명/NNB
넘게	넘/VV+게/EC
받아갔고,	받/VV+아/EC+가/VX+았/EP+고/EC+,/SP
앱	앱/NNG
인기	인기/NNG
순위를	순위/NNG+를/JKO
300위까지	300/SN+위/NNB+까지/JX
올리는	올리/VV+는/ETM
'팟게이트'에도	'/SS+팟게이트/NNP+'/SS+에/JKB+도/JX
20위	20/SN+위/NNB
안팎에	안팎/NNG+에/JKB
랭크된	랭크/NNG+되/XSV+ㄴ/ETM
앱이다.	앱/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.112.5.1
제작 기획은 김씨가 직접 했고, 500만원을 들여 앱 개발사에 의뢰해 만들었다.

제작	제작/NNG
기획은	기획/NNG+은/JX
김씨가	김/NNP+씨/NNB+가/JKS
직접	직접/MAG
했고,	하/VV+았/EP+고/EC+,/SP
500만원을	500/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
앱	앱/NNG
개발사에	개발사/NNG+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.112.5.2
안드로이드폰에서 무료로 다운받을 수 있다.

안드로이드폰에서	안드로이드폰/NNG+에서/JKB
무료로	무료/NNG+로/JKB
다운받을	다운/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.112.5.3
북한의 인구·체제·행정구역 등 기본 정보뿐 아니라, 남북 군사력 비교, 김정일 가계도, 북한의 권력기구와 구조, 북한관련 최신뉴스 등을 담았다.

북한의	북한/NNP+의/JKG
인구·체제·행정구역	인구/NNG+·/SP+체제/NNG+·/SP+행정/NNG+구역/NNG
등	등/NNB
기본	기본/NNG
정보뿐	정보/NNG+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
남북	남북/NNP
군사력	군사력/NNG
비교,	비교/NNG+,/SP
김정일	김정일/NNP
가계도,	가계도/NNG+,/SP
권력기구와	권력/NNG+기구/NNG+와/JC
구조,	구조/NNG+,/SP
북한관련	북한/NNP+관련/NNG
최신뉴스	최신/NNG+뉴스/NNG
등을	등/NNB+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.112.5.4
북한의 핵미사일이 서울에 떨어질 경우 피해 규모를 가늠해 볼 수 있는 '핵미사일 실험'이라는 코너도 있다.

북한의	북한/NNP+의/JKG
핵미사일이	핵미사일/NNG+이/JKS
서울에	서울/NNP+에/JKB
떨어질	떨어지/VV+ㄹ/ETM
경우	경우/NNG
피해	피해/NNG
규모를	규모/NNG+를/JKO
가늠해	가늠/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'핵미사일	'/SS+핵미사일/NNG
실험'이라는	실험/NNG+'/SS+이/VCP+라는/ETM
코너도	코너/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.112.5.5
서울의 특정지역이 핵 공격을 당했을 때 자신이 사망할 확률과 추정 사망자 수를 보여주는 섬뜩한 기능이다.

서울의	서울/NNP+의/JKG
특정지역이	특정/NNG+지역/NNG+이/JKS
핵	핵/NNG
공격을	공격/NNG+을/JKO
당했을	당하/VV+았/EP+을/ETM
때	때/NNG
자신이	자신/NNG+이/JKS
사망할	사망/NNG+하/XSV+ㄹ/ETM
확률과	확률/NNG+과/JC
추정	추정/NNG
사망자	사망자/NNG
수를	수/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
섬뜩한	섬뜩/MAG+하/XSA+ㄴ/ETM
기능이다.	기능/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.112.6.1
"작년 여름 뉴질랜드 연수 때 스마트폰과 앱을 처음 만났어요.

"작년	"/SS+작년/NNG
여름	여름/NNG
뉴질랜드	뉴질랜드/NNP
연수	연수/NNG
때	때/NNG
스마트폰과	스마트폰/NNG+과/JC
앱을	앱/NNG+을/JKO
처음	처음/NNG
만났어요.	만나/VV+았/EP+어요/EF+./SF


# id : NWRW1800000030.112.6.2
전공도 그렇고, 제가 북한 문제에 관심 많잖아요.

전공도	전공/NNG+도/JX
그렇고,	그렇/VA+고/EC+,/SP
제가	제/NP+가/JKS
북한	북한/NNP
문제에	문제/NNG+에/JKB
관심	관심/NNG
많잖아요.	많/VA+잖아/EF+요/JX+./SF


# id : NWRW1800000030.112.6.3
당연히 통일부가 관련 앱을 냈을 거라고 생각했는데 별것 없더라고요.

당연히	당연히/MAG
통일부가	통일부/NNG+가/JKS
관련	관련/NNG
앱을	앱/NNG+을/JKO
냈을	내/VV+었/EP+을/ETM
거라고	거/NNB+이/VCP+라고/EC
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
별것	별것/NNG
없더라고요.	없/VA+더라고/EF+요/JX+./SF


# id : NWRW1800000030.112.6.4
그래서 직접 만들어보기로 한 거죠."

그래서	그래서/MAJ
직접	직접/MAG
만들어보기로	만들/VV+어/EC+보/VX+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
거죠."	거/NNB+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000030.112.7.1
앱에 담을 정보들은 통일부와 국내외 언론 보도, 해외의 북한관련 사이트 등을 뒤져 모았다.

앱에	앱/NNG+에/JKB
담을	담/VV+을/ETM
정보들은	정보/NNG+들/XSN+은/JX
통일부와	통일부/NNG+와/JC
국내외	국내외/NNG
언론	언론/NNG
보도,	보도/NNG+,/SP
해외의	해외/NNG+의/JKG
북한관련	북한/NNP+관련/NNG
사이트	사이트/NNG
등을	등/NNB+을/JKO
뒤져	뒤지/VV+어/EC
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.112.7.2
이 자료들을 비교·대조해 주제별로 재분류했다.

이	이/MMD
자료들을	자료/NNG+들/XSN+을/JKO
비교·대조해	비교/NNG+·/SP+대조/NNG+하/XSV+아/EC
주제별로	주제/NNG+별/XSN+로/JKB
재분류했다.	재/XPN+분류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.112.7.3
그는 "그런데 김정일 아들 김정은의 정확한 가계도는 어디에도 없었다"며 "단편적 정보들을 퍼즐 맞추듯 조립했는데 그게 제일 힘들었다"고 했다.

그는	그/NP+는/JX
"그런데	"/SS+그런데/MAJ
김정일	김정일/NNP
아들	아들/NNG
김정은의	김정은/NNP+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
가계도는	가계도/NNG+는/JX
어디에도	어디/NP+에/JKB+도/JX
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"단편적	"/SS+단편/NNG+적/XSN
정보들을	정보/NNG+들/XSN+을/JKO
퍼즐	퍼즐/NNG
맞추듯	맞추/VV+듯/EC
조립했는데	조립/NNG+하/XSV+았/EP+는데/EC
그게	그거/NP+이/JKS
제일	제일/MAG
힘들었다"고	힘들/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.112.8.1
지난여름 귀국한 김씨는 이렇게 만든 기획서를 들고 앱 개발업체들을 찾아다녔다.

지난여름	지난여름/NNG
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
이렇게	이렇/VA+게/EC
만든	만들/VV+ㄴ/ETM
기획서를	기획서/NNG+를/JKO
들고	들/VV+고/EC
앱	앱/NNG
개발업체들을	개발업체/NNG+들/XSN+을/JKO
찾아다녔다.	찾아다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.112.8.2
대부분 수천만원의 제작비를 요구하거나 "북한이니 뭐니 다 골치 아프다"며 나서기를 꺼려 어려움을 겪었다고 한다.

대부분	대/XPN+부분/NNG
수천만원의	수천만/NR+원/NNB+의/JKG
제작비를	제작비/NNG+를/JKO
요구하거나	요구/NNG+하/XSV+거나/EC
"북한이니	"/SS+북한/NNP+이/VCP+니/EC
뭐니	뭐/NP+이/VCP+니/EC
다	다/MAG
골치	골치/NNG
아프다"며	아프/VA+다/EF+"/SS+며/EC
나서기를	나서/VV+기/ETN+를/JKO
꺼려	꺼리/VV+어/EC
어려움을	어려움/NNG+을/JKO
겪었다고	겪/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.112.9.1
"500원이라도 받고 유료 배포한다면 돈 문제는 해결됐겠죠.

"500원이라도	"/SS+500/SN+원/NNB+이/VCP+라도/EC
받고	받/VV+고/EC
유료	유료/NNG
배포한다면	배포/NNG+하/XSV+ㄴ다면/EC
돈	돈/NNG
문제는	문제/NNG+는/JX
해결됐겠죠.	해결/NNG+되/XSV+었/EP+겠/EP+죠/EF+./SF


# id : NWRW1800000030.112.9.2
하지만 돈 벌자고 나선 일이 아니잖아요.

하지만	하지만/MAJ
돈	돈/NNG
벌자고	벌/VV+자고/EC
나선	나서/VV+ㄴ/ETM
일이	일/NNG+이/JKC
아니잖아요.	아니/VCN+잖아/EF+요/JX+./SF


# id : NWRW1800000030.112.9.3
좀 더 많은 사람, 특히 젊은이들이 북한에 대해 좀 더 정확하게 알기를 바라서죠."

좀	좀/MAG
더	더/MAG
많은	많/VA+은/ETM
사람,	사람/NNG+,/SP
특히	특히/MAG
젊은이들이	젊은이/NNG+들/XSN+이/JKS
북한에	북한/NNP+에/JKB
대해	대하/VV+아/EC
정확하게	정확/NNG+하/XSA+게/EC
알기를	알/VV+기/ETN+를/JKO
바라서죠."	바라/VV+아서/EC+죠/EF+./SF+"/SS


# id : NWRW1800000030.112.10.1
그는 앞으로 꾸준히 업데이트하는 것은 물론, 아이폰용과 영문판·중문판도 만들어 배포할 생각이다.

그는	그/NP+는/JX
앞으로	앞/NNG+으로/JKB
꾸준히	꾸준히/MAG
업데이트하는	업데이트/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론,	물론/MAG+,/SP
아이폰용과	아이폰/NNP+용/XSN+과/JC
영문판·중문판도	영문판/NNG+·/SP+중문판/NNG+도/JX
만들어	만들/VV+어/EC
배포할	배포/NNG+하/XSV+ㄹ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


