# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.27
metadata : {}


# id : NWRW1800000054.27.1.1
[월드 톡톡] 돼지고기 즐기다 뚱보 될라… 채식 찾는 왕서방

[월드	[/SS+월드/NNG
중국 국가 통계 연보를 봐도 중국인의 1인당 돼지고기 소비량은 2014년 41.68㎏으로 정점을 찍은 뒤 내리 감소해 지난해에는 38.44㎏으로 떨어졌다.

중국	중국/NNP
국가	국가/NNG
통계	통계/NNG
연보를	연보/NNG+를/JKO
봐도	보/VV+아도/EC
중국인의	중국인/NNG+의/JKG
1인당	1/SN+인/NNG+당/XSN
돼지고기	돼지고기/NNG
소비량은	소비량/NNG+은/JX
2014년	2014/SN+년/NNB
41.68㎏으로	41/SN+./SP+68/SN+㎏/SW+으로/JKB
정점을	정점/NNG+을/JKO
찍은	찍/VV+은/ETM
뒤	뒤/NNG
내리	내리/MAG
감소해	감소/NNG+하/XSV+아/EC
지난해에는	지난해/NNG+에/JKB+는/JX
38.44㎏으로	38/SN+./SP+44/SN+㎏/SW+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.27.5.1
중국인들이 돼지고기 소비를 줄이고 있는 것은 건강을 생각하는 소비자들이 늘고 있기 때문이라고 로이터는 분석했다.

중국인들이	중국인/NNG+들/XSN+이/JKS
돼지고기	돼지고기/NNG
소비를	소비/NNG+를/JKO
줄이고	줄이/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
건강을	건강/NNG+을/JKO
생각하는	생각/NNG+하/XSV+는/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
늘고	늘/VV+고/EC
있기	있/VX+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
로이터는	로이터/NNP+는/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.6.1
미국 식품 기업 제너럴밀스의 중국 마케팅 담당자는 "20~35세의 젊은 층들은 과거에 비해 고기를 덜 먹고 채소 섭취를 늘리는 경향이 뚜렷하다"고 말했다.

미국	미국/NNP
식품	식품/NNG
기업	기업/NNG
제너럴밀스의	제너럴밀스/NNP+의/JKG
중국	중국/NNP
마케팅	마케팅/NNG
담당자는	담당자/NNG+는/JX
"20~35세의	"/SS+20/SN+~/SO+35/SN+세/NNB+의/JKG
젊은	젊/VA+은/ETM
층들은	층/NNG+들/XSN+은/JX
과거에	과거/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
고기를	고기/NNG+를/JKO
덜	덜/MAG
먹고	먹/VV+고/EC
채소	채소/NNG
섭취를	섭취/NNG+를/JKO
늘리는	늘리/VV+는/ETM
경향이	경향/NNG+이/JKS
뚜렷하다"고	뚜렷하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.7.1
중국 내에서는 정부가 나서서 '지방과 소금을 덜 먹자'는 건강 캠페인을 벌이고, 대도시의 화이트칼라층이 여기에 호응하면서 돼지고기의 인기가 추락하는 현상도 나타나고 있다.

중국	중국/NNP
내에서는	내/NNB+에서/JKB+는/JX
정부가	정부/NNG+가/JKS
나서서	나서/VV+어서/EC
'지방과	'/SS+지방/NNG+과/JC
소금을	소금/NNG+을/JKO
덜	덜/MAG
먹자'는	먹/VV+자/EF+'/SS+는/ETM
건강	건강/NNG
캠페인을	캠페인/NNG+을/JKO
벌이고,	벌이/VV+고/EC+,/SP
대도시의	대/XPN+도시/NNG+의/JKG
화이트칼라층이	화이트칼라/NNG+층/XSN+이/JKS
여기에	여기/NP+에/JKB
호응하면서	호응/NNG+하/XSV+면서/EC
돼지고기의	돼지고기/NNG+의/JKG
인기가	인기/NNG+가/JKS
추락하는	추락/NNG+하/XSV+는/ETM
현상도	현상/NNG+도/JX
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.27.8.1
인스턴트 만두를 만드는 기업들은 변화를 절감하고 있다.

인스턴트	인스턴트/NNG
만두를	만두/NNG+를/JKO
만드는	만들/VV+는/ETM
기업들은	기업/NNG+들/XSN+은/JX
변화를	변화/NNG+를/JKO
절감하고	절감/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.27.8.2
지난해 만두 소비는 전년과 비교해 전체적으로 7% 증가했지만, 고기를 쓰지 않고 채소로만 속을 채운 만두는 그 네 배가 넘는 30% 가까이 급증했다.

지난해	지난해/NNG
만두	만두/NNG
소비는	소비/NNG+는/JX
전년과	전년/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
전체적으로	전체/NNG+적/XSN+으로/JKB
7%	7/SN+%/SW
증가했지만,	증가/NNG+하/XSV+았/EP+지만/EC+,/SP
고기를	고기/NNG+를/JKO
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
채소로만	채소/NNG+로/JKB+만/JX
속을	속/NNG+을/JKO
채운	채우/VV+ㄴ/ETM
만두는	만두/NNG+는/JX
그	그/MMD
네	네/MMN
배가	배/NNG+가/JKS
넘는	넘/VV+는/ETM
30%	30/SN+%/SW
가까이	가까이/MAG
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.9.1
마오쩌둥(毛澤東) 시대만 해도 중국에선 고기를 먹는 게 사치로 통했다.

마오쩌둥(毛澤東)	마오쩌둥/NNP+(/SS+毛澤東/SH+)/SS
시대만	시대/NNG+만/JX
해도	하/VV+아도/EC
중국에선	중국/NNP+에서/JKB+ㄴ/JX
고기를	고기/NNG+를/JKO
먹는	먹/VV+는/ETM
게	거/NNB+이/JKS
사치로	사치/NNG+로/JKB
통했다.	통하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.27.9.2
그러나 1978년부터 개혁·개방과 경제성장이 본격화되면서 돼지고기 소비는 연평균 5.7%씩 증가해왔다.

그러나	그러나/MAJ
1978년부터	1978/SN+년/NNB+부터/JX
개혁·개방과	개혁/NNG+·/SP+개방/NNG+과/JC
경제성장이	경제/NNG+성장/NNG+이/JKS
본격화되면서	본격/NNG+화/XSN+되/XSV+면서/EC
돼지고기	돼지고기/NNG
소비는	소비/NNG+는/JX
연평균	연평균/NNG
5.7%씩	5/SN+./SP+7/SN+%/SW+씩/XSN
증가해왔다.	증가/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.27.9.3
돼지가 전체 육류 소비에서 차지하는 비중도 절반에 이른다.

돼지가	돼지/NNG+가/JKS
전체	전체/NNG
육류	육류/NNG
소비에서	소비/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중도	비중/NNG+도/JX
절반에	절반/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


