# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.325
metadata : {}


# id : NWRW1800000026.325.1.1
中·日 갈등 그 이후… 격화되는 자원전쟁;비상 걸린 美 "희귀금속 희토류를 확보하라"

中·日	中/SH+·/SP+日/SH
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
희토류의	희토/NNG+류/XSN+의/JKG
현황과	현황/NNG+과/JC
발표된	발표/NNG+되/XSV+ㄴ/ETM
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
위험성을	위험/NNG+성/XSN+을/JKO
경고한	경고/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.325.6.2
당시 이 보고서는 "미국 주도의 희토류 공급망을 복원하는 데 15년이나 걸리고 다른 외국 회사들이 갖고 있는 특허 문제를 해결해야 한다"며 오바마 정부가 이 문제에 대해 비상한 관심을 기울일 필요가 있다고 강조했다.

당시	당시/NNG
이	이/MMD
보고서는	보고서/NNG+는/JX
"미국	"/SS+미국/NNP
주도의	주도/NNG+의/JKG
희토류	희토/NNG+류/XSN
공급망을	공급망/NNG+을/JKO
복원하는	복원/NNG+하/XSV+는/ETM
데	데/NNB
15년이나	15/SN+년/NNB+이나/JX
걸리고	걸리/VV+고/EC
다른	다른/MMD
외국	외국/NNG
회사들이	회사/NNG+들/XSN+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
특허	특허/NNG
문제를	문제/NNG+를/JKO
해결해야	해결/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
오바마	오바마/NNP
정부가	정부/NNG+가/JKS
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
비상한	비상/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
기울일	기울이/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.6.3
미국은 최근에야 희토류의 생산이 중국에 좌우되는 현실의 심각성을 깨닫고 내부적으로 이에 대한 대응책을 준비해온 것으로 알려졌다.

미국은	미국/NNP+은/JX
최근에야	최근/NNG+에/JKB+야/JX
희토류의	희토/NNG+류/XSN+의/JKG
생산이	생산/NNG+이/JKS
중국에	중국/NNP+에/JKB
좌우되는	좌우/NNG+되/XSV+는/ETM
현실의	현실/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
깨닫고	깨닫/VV+고/EC
내부적으로	내부/NNG+적/XSN+으로/JKB
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대응책을	대응책/NNG+을/JKO
준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.325.7.1
미국은 중국이 적극적으로 희토류 생산에 나서기 시작하기 전인 1980년대만 해도 희토류 생산을 주도했었다.

미국은	미국/NNP+은/JX
중국이	중국/NNP+이/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
희토류	희토/NNG+류/XSN
생산에	생산/NNG+에/JKB
나서기	나서/VV+기/ETN
시작하기	시작/NNG+하/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
1980년대만	1980/SN+년대/NNB+만/JX
해도	하/VV+아도/EC
생산을	생산/NNG+을/JKO
주도했었다.	주도/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000026.325.7.2
하지만 희토류를 채취하는 과정이 어렵고, 채산성이 좋지 않다는 이유로 생산이 줄기 시작했다.

하지만	하지만/MAJ
희토류를	희토/NNG+류/XSN+를/JKO
채취하는	채취/NNG+하/XSV+는/ETM
과정이	과정/NNG+이/JKS
어렵고,	어렵/VA+고/EC+,/SP
채산성이	채산/NNG+성/XSN+이/JKS
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
이유로	이유/NNG+로/JKB
생산이	생산/NNG+이/JKS
줄기	줄/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.7.3
특히 희토류를 채취하는 과정에서 환경오염이 우려된다는 사실 때문에 미국 정부가 적극적으로 나서지 못했다.

특히	특히/MAG
희토류를	희토/NNG+류/XSN+를/JKO
채취하는	채취/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
환경오염이	환경/NNG+오염/NNG+이/JKS
우려된다는	우려/NNG+되/XSV+ㄴ다는/ETM
사실	사실/NNG
때문에	때문/NNB+에/JKB
미국	미국/NNP
정부가	정부/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
나서지	나서/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.325.8.1
이 같은 상황을 간파하고 적극적으로 움직인 것이 중국이었다.

이	이/NP
같은	같/VA+은/ETM
상황을	상황/NNG+을/JKO
간파하고	간파/NNG+하/XSV+고/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
움직인	움직이/VV+ㄴ/ETM
것이	것/NNB+이/JKS
중국이었다.	중국/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.325.8.2
중국의 개혁·개방을 선도했던 덩샤오핑(鄧小平)은 희토류를 사우디아라비아의 석유에 비유하며 국가의 전략산업으로 이를 적극 장려했다.

중국의	중국/NNP+의/JKG
개혁·개방을	개혁/NNG+·/SP+개방/NNG+을/JKO
선도했던	선도/NNG+하/XSV+았/EP+던/ETM
덩샤오핑(鄧小平)은	덩샤오핑/NNP+(/SS+鄧小平/SH+)/SS+은/JX
희토류를	희토/NNG+류/XSN+를/JKO
사우디아라비아의	사우디아라비아/NNP+의/JKG
석유에	석유/NNG+에/JKB
비유하며	비유/NNG+하/XSV+며/EC
국가의	국가/NNG+의/JKG
전략산업으로	전략/NNG+산업/NNG+으로/JKB
이를	이/NP+를/JKO
적극	적극/NNG
장려했다.	장려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.325.8.3
중국은 일단 저가(低價)로 희토류 시장을 장악한 후, 최근에는 수출 물량을 줄여서 가격을 올리는 방법을 취하고 있다.

중국은	중국/NNP+은/JX
일단	일단/MAG
저가(低價)로	저가/NNG+(/SS+低價/SH+)/SS+로/JKB
희토류	희토/NNG+류/XSN
시장을	시장/NNG+을/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
후,	후/NNG+,/SP
최근에는	최근/NNG+에/JKB+는/JX
수출	수출/NNG
물량을	물량/NNG+을/JKO
줄여서	줄이/VV+어서/EC
가격을	가격/NNG+을/JKO
올리는	올리/VV+는/ETM
방법을	방법/NNG+을/JKO
취하고	취하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.325.9.1
오바마 정부는 지난 2002년 문을 닫았던 캘리포니아 마운틴 패스 광산에서의 채굴 재개를 포함, 희토류의 생산에 적극 나설 방침이지만 환경 조사 등의 문제가 선결돼야 한다.

오바마	오바마/NNP
정부는	정부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
문을	문/NNG+을/JKO
닫았던	닫/VV+았/EP+던/ETM
캘리포니아	캘리포니아/NNP
마운틴	마운틴/NNP
패스	패스/NNP
광산에서의	광산/NNG+에서/JKB+의/JKG
채굴	채굴/NNG
재개를	재개/NNG+를/JKO
포함,	포함/NNG+,/SP
희토류의	희토/NNG+류/XSN+의/JKG
생산에	생산/NNG+에/JKB
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
방침이지만	방침/NNG+이/VCP+지만/EC
환경	환경/NNG
조사	조사/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
선결돼야	선결/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.325.9.2
이에 따라 미국이 중국과의 격차를 좁히기에는 상당한 시간이 걸릴 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
미국이	미국/NNP+이/JKS
중국과의	중국/NNP+과/JKB+의/JKG
격차를	격차/NNG+를/JKO
좁히기에는	좁히/VV+기/ETN+에/JKB+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


