# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.171
metadata : {}


# id : NWRW1800000025.171.1.1
IBK투자증권, ELS 2종 15, 16일 공모

IBK투자증권,	IBK투자증권/NNP+,/SP
이상이면	이상/NNG+이/VCP+면/EC
연	연/NNG
10%	10/SN+%/SW
수익을	수익/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.171.3.5
만기까지 55% 미만으로 하락한 적이 없어도 연 10% 수익이 나지만 한 번이라도 55% 미만으로 하락하면 원금 손실이 발생한다.

만기까지	만기/NNG+까지/JX
55%	55/SN+%/SW
미만으로	미만/NNG+으로/JKB
하락한	하락/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없어도	없/VA+어도/EC
연	연/NNG
10%	10/SN+%/SW
수익이	수익/NNG+이/JKS
나지만	나/VV+지만/EC
한	한/MMN
번이라도	번/NNB+이/VCP+라도/EC
하락하면	하락/NNG+하/XSV+면/EC
원금	원금/NNG
손실이	손실/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.171.4.1
‘IBK투자증권 제26회 ELS’는 현대중공업과 삼성화재를 기초자산으로 한다.

‘IBK투자증권	‘/SS+IBK투자증권/NNP
제26회	제/XPN+26/SN+회/NNB
ELS’는	ELS/SL+’/SS+는/JX
현대중공업과	현대중공업/NNP+과/JC
삼성화재를	삼성화재/NNP+를/JKO
기초자산으로	기초/NNG+자산/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.171.4.2
3년 만기에 연 20.4% 수익을 지급하는 원금 비보장 조기상환형 상품이다.

3년	3/SN+년/NNB
만기에	만기/NNG+에/JKB
연	연/NNG
20.4%	20/SN+./SP+4/SN+%/SW
수익을	수익/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
원금	원금/NNG
비보장	비/XPN+보장/NNG
조기상환형	조기/NNG+상환/NNG+형/XSN
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.171.4.3
조기상환 평가일에 두 기초자산의 종가가 최초 기준가격의 90%(6, 12개월), 85%(18, 24개월), 80%(30개월) 이상이면 연 20.4% 수익을 제공한다.

조기상환	조기/NNG+상환/NNG
평가일에	평가일/NNG+에/JKB
두	두/MMN
기초자산의	기초/NNG+자산/NNG+의/JKG
종가가	종가/NNG+가/JKS
최초	최초/NNG
기준가격의	기준/NNG+가격/NNG+의/JKG
90%(6,	90/SN+%/SW+(/SS+6/SN+,/SP
12개월),	12/SN+개월/NNB+)/SS+,/SP
85%(18,	85/SN+%/SW+(/SS+18/SN+,/SP
24개월),	24/SN+개월/NNB+)/SS+,/SP
80%(30개월)	80/SN+%/SW+(/SS+30/SN+개월/NNB+)/SS
이상이면	이상/NNG+이/VCP+면/EC
연	연/NNG
20.4%	20/SN+./SP+4/SN+%/SW
수익을	수익/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


