# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.37
metadata : {}


# id : NWRW1800000044.37.1.1
민생 민생 하더니…쥐꼬리만큼 올린 최저생계비

민생	민생/NNG
중앙생활보장위원회를	중앙/NNG+생활/NNG+보장/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
2015년	2015/SN+년/NNB
최저생계비를	최저/NNG+생계비/NNG+를/JKO
심의·의결했다고	심의/NNG+·/SP+의결/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.37.5.2
가구당 최저생계비를 구체적으로 보면 1인 가구는 61만7281원, 2인 가구 105만1048원, 3인 가구 135만9688원 등이다.

가구당	가구/NNG+당/XSN
최저생계비를	최저/NNG+생계비/NNG+를/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
보면	보/VV+면/EC
1인	1/SN+인/NNG
가구는	가구/NNG+는/JX
61만7281원,	61/SN+만/NR+7281/SN+원/NNB+,/SP
2인	2/SN+인/NNG
가구	가구/NNG
105만1048원,	105/SN+만/NR+1048/SN+원/NNB+,/SP
3인	3/SN+인/NNG
135만9688원	135/SN+만/NR+9688/SN+원/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.37.5.3
5~6인 가구는 각각 197만6970원, 228만5610원으로 올랐다.

5~6인	5/SN+~/SO+6/SN+인/NNG
가구는	가구/NNG+는/JX
각각	각각/MAG
197만6970원,	197/SN+만/NR+6970/SN+원/NNB+,/SP
228만5610원으로	228/SN+만/NR+5610/SN+원/NNB+으로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.37.5.4
내년 1월1일부터 적용되는 새 최저생계비는 기초생활보장이나 차상위계층 지원 등 각종 사회복지 대상자 및 지원액을 정할 때 기준으로 쓰인다.

내년	내년/NNG
1월1일부터	1/SN+월/NNB+1/SN+일/NNB+부터/JX
적용되는	적용/NNG+되/XSV+는/ETM
새	새/MMA
최저생계비는	최저/NNG+생계비/NNG+는/JX
기초생활보장이나	기초/NNG+생활/NNG+보장/NNG+이나/JC
차상위계층	차상위/NNG+계층/NNG
지원	지원/NNG
등	등/NNB
각종	각종/NNG
사회복지	사회/NNG+복지/NNG
대상자	대상자/NNG
및	및/MAG
지원액을	지원액/NNG+을/JKO
정할	정하/VV+ㄹ/ETM
때	때/NNG
기준으로	기준/NNG+으로/JKB
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.37.6.1
복지부는 3년에 한번씩 소득 하위 40% 2만 가구를 대상으로 주거비·식료품비·광열수도비·교통통신비 등 11개 분야 367개 필수 품목에 대한 ‘최소한의 합리적 소비’를 할 때, 모두 얼마가 필요한지를 따져(계측조사) 최저생계비를 정한다.

복지부는	복지부/NNG+는/JX
3년에	3/SN+년/NNB+에/JKB
한번씩	한/MMN+번/NNB+씩/XSN
소득	소득/NNG
하위	하위/NNG
40%	40/SN+%/SW
2만	2/SN+만/NR
가구를	가구/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
주거비·식료품비·광열수도비·교통통신비	주거비/NNG+·/SP+식료품비/NNG+·/SP+광열/NNG+수도비/NNG+·/SP+교통/NNG+통신비/NNG
등	등/NNB
11개	11/SN+개/NNB
분야	분야/NNG
367개	367/SN+개/NNB
필수	필수/NNG
품목에	품목/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘최소한의	‘/SS+최소한/NNG+의/JKG
합리적	합리/NNG+적/XSN
소비’를	소비/NNG+’/SS+를/JKO
할	하/VV+ㄹ/ETM
때,	때/NNG+,/SP
모두	모두/MAG
얼마가	얼마/NNG+가/JKS
필요한지를	필요/NNG+하/XSA+ㄴ지/EF+를/JKO
따져(계측조사)	따지/VV+어/EC+(/SS+계측/NNG+조사/NNG+)/SS
최저생계비를	최저/NNG+생계비/NNG+를/JKO
정한다.	정하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.37.6.2
올해처럼 계측조사가 없는 해에는 물가상승률을 반영해 최저생계비를 정한다.

올해처럼	올해/NNG+처럼/JKB
계측조사가	계측/NNG+조사/NNG+가/JKS
없는	없/VA+는/ETM
해에는	해/NNG+에/JKB+는/JX
물가상승률을	물가/NNG+상승/NNG+률/XSN+을/JKO
반영해	반영/NNG+하/XSV+아/EC
최저생계비를	최저/NNG+생계비/NNG+를/JKO
정한다.	정하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.37.6.3
올해 소비자 물가상승률은 1.3%다.

올해	올해/NNG
소비자	소비자/NNG
물가상승률은	물가/NNG+상승/NNG+률/XSN+은/JX
1.3%다.	1/SN+./SP+3/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000044.37.6.4
계측조사 결과를 반영한 2005년과 2008년, 2011년, 2014년의 최저생계비 인상률은 5.0~7.7%였다.

계측조사	계측/NNG+조사/NNG
결과를	결과/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
2005년과	2005/SN+년/NNB+과/JC
2008년,	2008/SN+년/NNB+,/SP
2011년,	2011/SN+년/NNB+,/SP
2014년의	2014/SN+년/NNB+의/JKG
최저생계비	최저/NNG+생계비/NNG
인상률은	인상/NNG+률/XSN+은/JX
5.0~7.7%였다.	5/SN+./SP+0/SN+~/SO+7/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.37.7.1
복지부 관계자는 “원래 계측조사가 없는 해에는 소비자 물가상승률을 자동 반영해 최저생계비를 결정해왔는데, 올해에는 물가상승률이 1%대를 기록할 만큼 낮아 생활 수준의 변화 등을 추가로 반영한 2.3%로 인상폭을 결정했다”고 말했다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“원래	“/SS+원래/MAG
계측조사가	계측/NNG+조사/NNG+가/JKS
없는	없/VA+는/ETM
해에는	해/NNG+에/JKB+는/JX
소비자	소비자/NNG
물가상승률을	물가/NNG+상승/NNG+률/XSN+을/JKO
자동	자동/NNG
반영해	반영/NNG+하/XSV+아/EC
최저생계비를	최저/NNG+생계비/NNG+를/JKO
결정해왔는데,	결정/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC+,/SP
올해에는	올해/NNG+에/JKB+는/JX
물가상승률이	물가/NNG+상승/NNG+률/XSN+이/JKS
1%대를	1/SN+%/SW+대/XSN+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
낮아	낮/VA+아/EC
생활	생활/NNG
수준의	수준/NNG+의/JKG
변화	변화/NNG
등을	등/NNB+을/JKO
추가로	추가/NNG+로/JKB
반영한	반영/NNG+하/XSV+ㄴ/ETM
2.3%로	2/SN+./SP+3/SN+%/SW+로/JKB
인상폭을	인상/NNG+폭/NNG+을/JKO
결정했다”고	결정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


