# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.291
metadata : {}


# id : NWRW1800000048.291.1.1
“숙부님 좋아한 ‘한겨레’ 통해 생전 유지 전하고 싶어”

“숙부님	“/SS+숙부/NNG+님/XSN
이사장이자	이사장/NNG+이/VCP+자/EC
재미동포	재미/NNG+동포/NNG
의사인	의사/NNG+이/VCP+ㄴ/ETM
유정호(70·오른쪽	유정호/NNP+(/SS+70/SN+·/SP+오른쪽/NNG
둘째)씨는	둘째/NR+)/SS+씨/NNB+는/JX
“재단을	“/SS+재단/NNG+을/JKO
창립하신	창립/NNG+하/XSV+시/EP+ㄴ/ETM
작은아버님의	작은아버님/NNG+의/JKG
유언대로	유언/NNG+대로/JX
모교에	모교/NNG+에/JKB
유산을	유산/NNG+을/JKO
기증하게	기증/NNG+하/XSV+게/EC
돼	되/VV+어/EC
감개무량하다.	감개무량/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.291.3.3
형편이 어려운 학생들에게 조금이나마 도움이 되기를 바란다”며 기금을 전달했다.

형편이	형편/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
학생들에게	학생/NNG+들/XSN+에게/JKB
조금이나마	조금/NNG+이나마/JX
도움이	도움/NNG+이/JKC
되기를	되/VV+기/ETN+를/JKO
바란다”며	바라/VV+ㄴ다/EF+”/SS+며/EC
기금을	기금/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.291.3.4
정남식(왼쪽 둘째) 연세의료원장은 거듭 감사를 표하면서 “요긴하게 쓰겠다”고 화답했다.

정남식(왼쪽	정남식/NNP+(/SS+왼쪽/NNG
둘째)	둘째/NR+)/SS
연세의료원장은	연세의료원장/NNG+은/JX
거듭	거듭/MAG
감사를	감사/NNG+를/JKO
표하면서	표/NNG+하/XSV+면서/EC
“요긴하게	“/SS+요긴하/VA+게/EC
쓰겠다”고	쓰/VV+겠/EP+다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.291.4.1
유헤리티지재단은 1941년 세브란스의학전문학교를 나와 58년 미국으로 건너간 뒤 시카고에서 병리전문의로 활동하다 몇년 전 작고한, 유 이사장의 숙부 유기진씨가 2004년 장학·선교·교육·구제사업을 위해 설립했다.

유헤리티지재단은	유헤리티지재단/NNP+은/JX
1941년	1941/SN+년/NNB
세브란스의학전문학교를	세브란스의학전문학교/NNP+를/JKO
나와	나오/VV+아/EC
58년	58/SN+년/NNB
미국으로	미국/NNP+으로/JKB
건너간	건너가/VV+ㄴ/ETM
뒤	뒤/NNG
시카고에서	시카고/NNP+에서/JKB
병리전문의로	병리/NNG+전문의/NNG+로/JKB
활동하다	활동/NNG+하/XSV+다/EC
몇년	몇/NR+년/NNB
전	전/NNG
작고한,	작고/NNG+하/XSV+ㄴ/ETM+,/SP
유	유/NNP
이사장의	이사장/NNG+의/JKG
숙부	숙부/NNG
유기진씨가	유기진/NNP+씨/NNB+가/JKS
2004년	2004/SN+년/NNB
장학·선교·교육·구제사업을	장학/NNG+·/SP+선교/NNG+·/SP+교육/NNG+·/SP+구제/NNG+사업/NNG+을/JKO
위해	위하/VV+아/EC
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.291.4.2
유 이사장은 “의사로 왕성한 활동을 하면서 많은 사람들을 도왔던 작은아버님은 15만 시카고 한인 사회의 구심점이었다”고 전했다.

유	유/NNP
이사장은	이사장/NNG+은/JX
“의사로	“/SS+의사/NNG+로/JKB
왕성한	왕성/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하면서	하/VV+면서/EC
많은	많/VA+은/ETM
사람들을	사람/NNG+들/XSN+을/JKO
도왔던	돕/VV+았/EP+던/ETM
작은아버님은	작은아버님/NNG+은/JX
15만	15/SN+만/NR
시카고	시카고/NNP
한인	한인/NNG
사회의	사회/NNG+의/JKG
구심점이었다”고	구심점/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.291.5.1
고 유기진씨는 6남2녀 8형제 중 다섯째로, 큰형인 유기원 전 국립의료원장과 캘리포니아주립대 의대 내과 교수인 막내 유기묵씨와 함께 3형제가 세브란스의전 동문이다.

고	고/MMA
유기진씨는	유기진/NNP+씨/NNB+는/JX
6남2녀	6/SN+남/NNG+2/SN+녀/NNG
8형제	8/SN+형제/NNG
중	중/NNB
다섯째로,	다섯째/NR+로/JKB+,/SP
큰형인	큰형/NNG+이/VCP+ㄴ/ETM
유기원	유기원/NNP
전	전/MMD
국립의료원장과	국립의료원장/NNG+과/JC
캘리포니아주립대	캘리포니아주립대/NNP
의대	의대/NNG
내과	내과/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
막내	막내/NNG
유기묵씨와	유기묵/NNP+씨/NNB+와/JKB
함께	함께/MAG
3형제가	3/SN+형제/NNG+가/JKS
세브란스의전	세브란스의전/NNP
동문이다.	동문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.291.6.1
세브란스 졸업 뒤 평양기독병원에서 외과 과장인 장기려 박사 밑에서 전공의 과정을 마치고 춘천도립병원 외과 과장으로 근무하던 유기진씨는 한국전쟁 때부터 육군 군의관으로 8년간 복무하다 58년 중령으로 예편한 뒤 미국으로 건너가 다시 병리과 인턴과 레지던트 과정을 거쳐 병리전문의가 됐다.

세브란스	세브란스/NNP
졸업	졸업/NNG
뒤	뒤/NNG
평양기독병원에서	평양기독병원/NNP+에서/JKB
외과	외과/NNG
과장인	과장/NNG+이/VCP+ㄴ/ETM
장기려	장기려/NNP
박사	박사/NNG
밑에서	밑/NNG+에서/JKB
전공의	전공의/NNG
과정을	과정/NNG+을/JKO
마치고	마치/VV+고/EC
춘천도립병원	춘천도립병원/NNP
과장으로	과장/NNG+으로/JKB
근무하던	근무/NNG+하/XSV+던/ETM
유기진씨는	유기진/NNP+씨/NNB+는/JX
한국전쟁	한국/NNP+전쟁/NNG
때부터	때/NNG+부터/JX
육군	육군/NNG
군의관으로	군의관/NNG+으로/JKB
8년간	8/SN+년/NNB+간/XSN
복무하다	복무/NNG+하/XSV+다/EC
58년	58/SN+년/NNB
중령으로	중령/NNG+으로/JKB
예편한	예편/NNG+하/XSV+ㄴ/ETM
미국으로	미국/NNP+으로/JKB
건너가	건너가/VV+아/EC
다시	다시/MAG
병리과	병리과/NNG
인턴과	인턴/NNG+과/JC
레지던트	레지던트/NNG
거쳐	거치/VV+어/EC
병리전문의가	병리/NNG+전문의/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.291.7.1
그의 바로 위 형은 65~66년 서울대 9대 총장을 지내고, 박정희 유신정권의 학원 탄압에 저항하다 미국으로 망명한 예일대 출신의 형법학자 유기천(1915~98) 교수다.

그의	그/NP+의/JKG
바로	바로/MAG
위	위/NNG
형은	형/NNG+은/JX
65~66년	65/SN+~/SO+66/SN+년/NNB
서울대	서울대/NNP
9대	9/SN+대/NNB
총장을	총장/NNG+을/JKO
지내고,	지내/VV+고/EC+,/SP
박정희	박정희/NNP
유신정권의	유신/NNG+정권/NNG+의/JKG
학원	학원/NNG
탄압에	탄압/NNG+에/JKB
저항하다	저항/NNG+하/XSV+다/EC
미국으로	미국/NNP+으로/JKB
망명한	망명/NNG+하/XSV+ㄴ/ETM
예일대	예일대/NNP
출신의	출신/NNG+의/JKG
형법학자	형법학자/NNG
유기천(1915~98)	유기천/NNP+(/SS+1915/SN+~/SO+98/SN+)/SS
교수다.	교수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.291.7.2
‘유신’ 직전인 71년, 이에 항거하는 학생들을 진압한 경찰의 무자비한 폭력에 분개해 “백주에 학생의 뒷머리를 내리친 행위는 미필적 고의에 의한 살인미수”라고 규탄한 유 교수는 그해 4월 마지막 강의 때 박 정권이 총통제 영구집권을 위해 장성들을 대만으로 파견해 절대통치자 장제스의 계엄통치를 연구하게 했다는 사실을 폭로하기도 했다.

‘유신’	‘/SS+유신/NNG+’/SS
직전인	직전/NNG+이/VCP+ㄴ/ETM
71년,	71/SN+년/NNB+,/SP
이에	이/NP+에/JKB
항거하는	항거/NNG+하/XSV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
진압한	진압/NNG+하/XSV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
무자비한	무/XPN+자비/NNG+하/XSA+ㄴ/ETM
폭력에	폭력/NNG+에/JKB
분개해	분개/NNG+하/XSV+아/EC
“백주에	“/SS+백주/NNG+에/JKB
학생의	학생/NNG+의/JKG
뒷머리를	뒷머리/NNG+를/JKO
내리친	내리치/VV+ㄴ/ETM
행위는	행위/NNG+는/JX
미필적	미필/NNG+적/XSN
고의에	고의/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
살인미수”라고	살인/NNG+미수/NNG+”/SS+라고/JKQ
규탄한	규탄/NNG+하/XSV+ㄴ/ETM
유	유/NNP
교수는	교수/NNG+는/JX
그해	그해/NNG
4월	4/SN+월/NNB
마지막	마지막/NNG
강의	강의/NNG
때	때/NNG
박	박/NNP
정권이	정권/NNG+이/JKS
총통제	총통/NNG+제/XSN
영구집권을	영구/NNG+집권/NNG+을/JKO
위해	위하/VV+아/EC
장성들을	장성/NNG+들/XSN+을/JKO
대만으로	대만/NNP+으로/JKB
파견해	파견/NNG+하/XSV+아/EC
절대통치자	절대/NNG+통치자/NNG
장제스의	장제스/NNP+의/JKG
계엄통치를	계엄/NNG+통치/NNG+를/JKO
연구하게	연구/NNG+하/XSV+게/EC
했다는	하/VX+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
폭로하기도	폭로/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.291.7.3
그는 그해 10월 위수령 발포 뒤 학생운동 배후와 내란선동 혐의로 수배당하자 결국 조국을 떠나야 했다.

그는	그/NP+는/JX
그해	그해/NNG
10월	10/SN+월/NNB
위수령	위수령/NNG
발포	발포/NNG
뒤	뒤/NNG
학생운동	학생/NNG+운동/NNG
배후와	배후/NNG+와/JC
내란선동	내란/NNG+선동/NNG
혐의로	혐의/NNG+로/JKB
수배당하자	수배/NNG+당하/XSV+자/EC
결국	결국/NNG
조국을	조국/NNG+을/JKO
떠나야	떠나/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.291.7.4
이런 사실은 서울법대 학생운동사 편찬위원회가 펴낸 <서울법대 학생운동사-정의의 함성 1964~1979> 등에 자세히 나와 있다.

이런	이런/MMD
사실은	사실/NNG+은/JX
서울법대	서울법대/NNP
학생운동사	학생/NNG+운동사/NNG
편찬위원회가	편찬/NNG+위원회/NNG+가/JKS
펴낸	펴내/VV+ㄴ/ETM
<서울법대	</SS+서울법대/NNP
학생운동사-정의의	학생/NNG+운동사/NNG+-/SO+정의/NNG+의/JKG
함성	함성/NNG
1964~1979>	1964/SN+~/SO+1979/SN+>/SS
등에	등/NNB+에/JKB
자세히	자세히/MAG
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.291.8.1
유 이사장은 1969년 부산대 의대(신경과)를 졸업하고 숙부들의 권유로 1974년에 미국 유학을 가 신경과 전문의 자격을 획득하고 시카고에서 활동해 왔으며, 3년 전부터 재단 운영을 맡고 있다.

유	유/NNP
이사장은	이사장/NNG+은/JX
1969년	1969/SN+년/NNB
부산대	부산대/NNP
의대(신경과)를	의대/NNG+(/SS+신경과/NNG+)/SS+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
숙부들의	숙부/NNG+들/XSN+의/JKG
권유로	권유/NNG+로/JKB
1974년에	1974/SN+년/NNB+에/JKB
미국	미국/NNP
유학을	유학/NNG+을/JKO
가	가/VV+아/EC
신경과	신경과/NNG
전문의	전문의/NNG
자격을	자격/NNG+을/JKO
획득하고	획득/NNG+하/XSV+고/EC
시카고에서	시카고/NNP+에서/JKB
활동해	활동/NNG+하/XSV+아/EC
왔으며,	오/VX+았/EP+으며/EC+,/SP
3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
재단	재단/NNG
운영을	운영/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.291.8.2
그는 이날 기증식에 앞서 한겨레신문사를 방문해 “유기천·유기진 두 숙부 모두 생전에 <한겨레>를 특별히 사랑했다”며 “‘한겨레’를 통해 선대의 업적과 발자취, 재단이 널리 알려져 또 하나의 소중한 역사로 기억되기를 바란다”고 말했다.

그는	그/NP+는/JX
이날	이날/NNG
기증식에	기증식/NNG+에/JKB
앞서	앞서/VV+어/EC
한겨레신문사를	한겨레신문사/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
“유기천·유기진	“/SS+유기천/NNP+·/SP+유기진/NNP
두	두/MMN
숙부	숙부/NNG
모두	모두/MAG
생전에	생전/NNG+에/JKB
<한겨레>를	</SS+한겨레/NNP+>/SS+를/JKO
특별히	특별히/MAG
사랑했다”며	사랑/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“‘한겨레’를	“/SS+‘/SS+한겨레/NNP+’/SS+를/JKO
통해	통하/VV+아/EC
선대의	선대/NNG+의/JKG
업적과	업적/NNG+과/JC
발자취,	발자취/NNG+,/SP
재단이	재단/NNG+이/JKS
널리	널리/MAG
알려져	알려지/VV+어/EC
또	또/MAG
하나의	하나/NR+의/JKG
소중한	소중하/VA+ㄴ/ETM
역사로	역사/NNG+로/JKB
기억되기를	기억/NNG+되/XSV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


