# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.274
metadata : {}


# id : NWRW1800000036.274.1.1
‘차병원 리베이트’ 수사, 변죽만 울리고…

‘차병원	‘/SS+차병원/NNP
불구속	불/XPN+구속/NNG
입건한	입건/NNG+하/XSV+ㄴ/ETM
채	채/NNB
사실상	사실상/MAG
수사를	수사/NNG+를/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.274.4.2
수사인력을 보강해 6개월 동안 전방위적 수사에 나섰던 것과는 달리 변죽만 올린 ‘용두사미’ 수사에 그친 게 아니냐는 지적이 나온다.

수사인력을	수사/NNG+인력/NNG+을/JKO
보강해	보강/NNG+하/XSV+아/EC
6개월	6/SN+개월/NNB
동안	동안/NNG
전방위적	전방위/NNG+적/XSN
수사에	수사/NNG+에/JKB
나섰던	나서/VV+었/EP+던/ETM
것과는	것/NNB+과/JKB+는/JX
달리	달리/MAG
변죽만	변죽/NNG+만/JX
올린	올리/VV+ㄴ/ETM
‘용두사미’	‘/SS+용두사미/NNG+’/SS
그친	그치/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.274.5.1
경기지방경찰청 광역수사대는 의약품 납품 대가로 리베이트를 받은 혐의(의료법 위반)로 차병원그룹 성광의료재단 경영관리본부장 이아무개(60)씨를 불구속 입건했다고 13일 밝혔다.

경기지방경찰청	경기지방경찰청/NNP
광역수사대는	광역/NNG+수사대/NNG+는/JX
의약품	의약품/NNG
납품	납품/NNG
대가로	대가/NNG+로/JKB
리베이트를	리베이트/NNG+를/JKO
받은	받/VV+은/ETM
혐의(의료법	혐의/NNG+(/SS+의료법/NNG
위반)로	위반/NNG+)/SS+로/JKB
차병원그룹	차병원그룹/NNP
성광의료재단	성광의료재단/NNP
경영관리본부장	경영/NNG+관리/NNG+본부장/NNG
이아무개(60)씨를	이/NNP+아무개/NP+(/SS+60/SN+)/SS+씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.274.5.2
경찰은 또 이씨에게 고급 승용차를 건넨 혐의(약사법 위반 등)로 의약품 도매업체 ㄷ약품 대표 최아무개(60)씨도 불구속 입건했다.

경찰은	경찰/NNG+은/JX
또	또/MAG
이씨에게	이/NNP+씨/NNB+에게/JKB
고급	고급/NNG
승용차를	승용차/NNG+를/JKO
건넨	건네/VV+ㄴ/ETM
혐의(약사법	혐의/NNG+(/SS+약사법/NNG
위반	위반/NNG
등)로	등/NNB+)/SS+로/JKB
의약품	의약품/NNG
도매업체	도매업체/NNG
ㄷ약품	ㄷ/NNG+약품/NNG
대표	대표/NNG
최아무개(60)씨도	최/NNP+아무개/NP+(/SS+60/SN+)/SS+씨/NNB+도/JX
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.274.6.1
이씨는 2010년 12월 최씨에게 의약품 납품 대가로 승용차를 요구해, 지난해 1월 초 8300만원 상당의 에쿠스승용차를 넘겨받아 타고 다닌 혐의를 받고 있다.

이씨는	이/NNP+씨/NNB+는/JX
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
최씨에게	최/NNP+씨/NNB+에게/JKB
의약품	의약품/NNG
납품	납품/NNG
대가로	대가/NNG+로/JKB
승용차를	승용차/NNG+를/JKO
요구해,	요구/NNG+하/XSV+아/EC+,/SP
지난해	지난해/NNG
1월	1/SN+월/NNB
초	초/NNB
8300만원	8300/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
에쿠스승용차를	에쿠스승용차/NNP+를/JKO
넘겨받아	넘겨받/VV+아/EC
타고	타/VV+고/EC
다닌	다니/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.274.6.2
최씨는 퇴직자 4명을 사원으로 등재시켜 급여를 준 것처럼 관련 서류를 꾸미는 수법으로 2005년 3월부터 최근까지 2억7000만원 상당의 비자금을 만들어 횡령한 혐의도 받고 있다.

최씨는	최/NNP+씨/NNB+는/JX
퇴직자	퇴직자/NNG
4명을	4/SN+명/NNB+을/JKO
사원으로	사원/NNG+으로/JKB
등재시켜	등재/NNG+시키/XSV+어/EC
급여를	급여/NNG+를/JKO
준	주/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
관련	관련/NNG
서류를	서류/NNG+를/JKO
꾸미는	꾸미/VV+는/ETM
수법으로	수법/NNG+으로/JKB
2005년	2005/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
최근까지	최근/NNG+까지/JX
2억7000만원	2/SN+억/NR+7000/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
비자금을	비자금/NNG+을/JKO
만들어	만들/VV+어/EC
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.274.6.3
경찰은 “이씨와 최씨가 고급 승용차에 대해선 대가성을 인정하고 있으나 이외에는 다른 금품을 주고 받은 흔적은 밝혀내지 못했다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“이씨와	“/SS+이/NNP+씨/NNB+와/JC
최씨가	최/NNP+씨/NNB+가/JKS
고급	고급/NNG
승용차에	승용차/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
대가성을	대가/NNG+성/XSN+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
이외에는	이외/NNG+에/JKB+는/JX
다른	다른/MMD
금품을	금품/NNG+을/JKO
주고	주/VV+고/EC
받은	받/VV+은/ETM
흔적은	흔적/NNG+은/JX
밝혀내지	밝혀내/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.274.7.1
그러나 경찰은 도매업체 쪽에 대해선 회계장부 압수, 계좌추적을 했으나 차병원그룹 쪽은 계좌추적조차 하지 않았다.

그러나	그러나/MAJ
경찰은	경찰/NNG+은/JX
도매업체	도매업체/NNG
쪽에	쪽/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
회계장부	회계/NNG+장부/NNG
압수,	압수/NNG+,/SP
계좌추적을	계좌/NNG+추적/NNG+을/JKO
했으나	하/VV+았/EP+으나/EC
차병원그룹	차병원그룹/NNP
쪽은	쪽/NNB+은/JX
계좌추적조차	계좌/NNG+추적/NNG+조차/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.274.7.2
또 이 도매업체가 1998년부터 한 해 최고 500억원대의 매출 가운데 80%가 넘는 의약품을 분당 차병원 등 차병원그룹에 납품하는 회사이고 억대의 비자금까지 만든 사실을 확인하고도, 경찰은 이 돈의 사용처를 명확히 밝혀내지 못했다.

또	또/MAG
이	이/MMD
도매업체가	도매업체/NNG+가/JKS
1998년부터	1998/SN+년/NNB+부터/JX
한	한/MMN
해	해/NNB
최고	최고/NNG
500억원대의	500/SN+억/NR+원/NNB+대/XSN+의/JKG
매출	매출/NNG
가운데	가운데/NNG
80%가	80/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
의약품을	의약품/NNG+을/JKO
분당	분당/NNP
차병원	차병원/NNP
등	등/NNB
차병원그룹에	차병원그룹/NNP+에/JKB
납품하는	납품/NNG+하/XSV+는/ETM
회사이고	회사/NNG+이/VCP+고/EC
억대의	억/NR+대/XSN+의/JKG
비자금까지	비자금/NNG+까지/JX
만든	만들/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인하고도,	확인/NNG+하/XSV+고도/EC+,/SP
경찰은	경찰/NNG+은/JX
돈의	돈/NNG+의/JKG
사용처를	사용처/NNG+를/JKO
명확히	명확히/MAG
밝혀내지	밝혀내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.274.8.1
경찰은 이씨와 최씨가 범행을 부인하자 지난 2일 이들에 대한 사전 구속영장을 신청했으나, 수원지검 성남지청이 ‘증거 인멸과 도주가 우려 없다’며 기각하자 수사를 접었다.

경찰은	경찰/NNG+은/JX
이씨와	이/NNP+씨/NNB+와/JC
최씨가	최/NNP+씨/NNB+가/JKS
범행을	범행/NNG+을/JKO
부인하자	부인/NNG+하/XSV+자/EC
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
사전	사전/NNG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했으나,	신청/NNG+하/XSV+았/EP+으나/EC+,/SP
수원지검	수원지검/NNP
성남지청이	성남/NNP+지청/NNG+이/JKS
‘증거	‘/SS+증거/NNG
인멸과	인멸/NNG+과/JC
도주가	도주/NNG+가/JKS
우려	우려/NNG
없다’며	없/VA+다/EF+’/SS+며/EC
기각하자	기각/NNG+하/XSV+자/EC
수사를	수사/NNG+를/JKO
접었다.	접/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.274.8.2
차병원그룹은 대검 중수부를 거쳐 인천지검장을 지낸 이훈규 전 검사장을 올해 차의과학대학 총장으로, 홍만표 전 대검 수사기획관을 성광학원 감사로 영입하는 등 검찰 출신 인사들을 영입했다.

차병원그룹은	차병원그룹/NNP+은/JX
대검	대검/NNG
중수부를	중수부/NNG+를/JKO
거쳐	거치/VV+어/EC
인천지검장을	인천지검장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
이훈규	이훈규/NNP
전	전/MMD
검사장을	검사장/NNG+을/JKO
올해	올해/NNG
차의과학대학	차의과학대학/NNP
총장으로,	총장/NNG+으로/JKB+,/SP
홍만표	홍만표/NNP
수사기획관을	수사/NNG+기획관/NNG+을/JKO
성광학원	성광학원/NNP
감사로	감사/NNG+로/JKB
영입하는	영입/NNG+하/XSV+는/ETM
등	등/NNB
검찰	검찰/NNG
출신	출신/NNG
인사들을	인사/NNG+들/XSN+을/JKO
영입했다.	영입/NNG+하/XSV+았/EP+다/EF+./SF


