# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.161
metadata : {}


# id : NWRW1800000029.161.1.1
수출주도국 → 자본주도국… 日경제 ‘체질 전환’

수출주도국	수출/NNG+주도국/NNG
다케다제약이	다케다제약/NNP+이/JKS
경쟁사였던	경쟁사/NNG+이/VCP+었/EP+던/ETM
스위스의	스위스/NNP+의/JKG
나이코메드를	나이코메드/NNP+를/JKO
140억	140/SN+억/NR
달러에	달러/NNB+에/JKB
인수하는	인수/NNG+하/XSV+는/ETM
등	등/NNB
굵직굵직한	굵직굵직하/VA+ㄴ/ETM
M&A가	M/SL+&/SW+A/SL+가/JKS
줄을	줄/NNG+을/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.161.5.1
일본은 거품경제 논란이 있던 1980년대 말에 해외 M&A에 눈뜨기 시작해 정보기술(IT) 호경기인 2000년과 글로벌 금융팽창기인 2008년에도 M&A 붐이 있었다.

일본은	일본/NNP+은/JX
거품경제	거품/NNG+경제/NNG
논란이	논란/NNG+이/JKS
있던	있/VA+던/ETM
1980년대	1980/SN+년대/NNB
말에	말/NNB+에/JKB
해외	해외/NNG
M&A에	M/SL+&/SW+A/SL+에/JKB
눈뜨기	눈뜨/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
호경기인	호경기/NNG+이/VCP+ㄴ/ETM
2000년과	2000/SN+년/NNB+과/JC
글로벌	글로벌/NNG
금융팽창기인	금융/NNG+팽창기/NNG+이/VCP+ㄴ/ETM
2008년에도	2008/SN+년/NNB+에/JKB+도/JX
M&A	M/SL+&/SW+A/SL
붐이	붐/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.161.5.2
일본의 해외 M&A는 과거에는 주로 미국과 유럽 기업이 대상이었지만 이제는 아시아 중동 남미 등 고성장 신흥경제국으로 확대되는 점에서 차이가 있다.

일본의	일본/NNP+의/JKG
해외	해외/NNG
M&A는	M/SL+&/SW+A/SL+는/JX
과거에는	과거/NNG+에/JKB+는/JX
주로	주로/MAG
미국과	미국/NNP+과/JC
유럽	유럽/NNP
기업이	기업/NNG+이/JKS
대상이었지만	대상/NNG+이/VCP+었/EP+지만/EC
이제는	이제/NNG+는/JX
아시아	아시아/NNP
중동	중동/NNP
남미	남미/NNP
등	등/NNB
고성장	고/XPN+성장/NNG
신흥경제국으로	신흥/NNG+경제국/NNG+으로/JKB
확대되는	확대/NNG+되/XSV+는/ETM
점에서	점/NNG+에서/JKB
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.161.5.3
올해 성사된 M&A 중 중국 인도 싱가포르 등 아시아 기업이 43%를 차지했다.

올해	올해/NNG
성사된	성사/NNG+되/XSV+ㄴ/ETM
M&A	M/SL+&/SW+A/SL
중	중/NNB
중국	중국/NNP
인도	인도/NNP
싱가포르	싱가포르/NNP
등	등/NNB
아시아	아시아/NNP
기업이	기업/NNG+이/JKS
43%를	43/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.161.5.4
10년 전 47%였던 북미 기업은 올해는 24%로 줄었다.

10년	10/SN+년/NNB
전	전/NNG
47%였던	47/SN+%/SW+이/VCP+었/EP+던/ETM
북미	북미/NNP
기업은	기업/NNG+은/JX
올해는	올해/NNG+는/JX
24%로	24/SN+%/SW+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.161.6.1
수출 제조업 중심에서 자본투자국가로 전환한 일본이 한 해 해외투자 이익과 배당금 형태로 벌어들이는 소득수지 흑자액은 약 12조 엔(약 180조 원)에 이른다.

수출	수출/NNG
제조업	제조업/NNG
중심에서	중심/NNG+에서/JKB
자본투자국가로	자본/NNG+투자/NNG+국가/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
일본이	일본/NNP+이/JKS
한	한/MMN
해	해/NNB
해외투자	해외/NNG+투자/NNG
이익과	이익/NNG+과/JC
배당금	배당금/NNG
형태로	형태/NNG+로/JKB
벌어들이는	벌어들이/VV+는/ETM
소득수지	소득/NNG+수지/NNG
흑자액은	흑자액/NNG+은/JX
약	약/MMA
12조	12/SN+조/NR
엔(약	엔/NNB+(/SS+약/MMA
180조	180/SN+조/NR
원)에	원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.161.6.2
일본이 올해 31년 만에 무역수지가 적자(11월 말 누적 무역적자 2조2831억 엔)로 돌아설 것으로 예상되지만 경상수지가 흑자인 것도 이 같은 무역외 수지 흑자 때문이다.

일본이	일본/NNP+이/JKS
올해	올해/NNG
31년	31/SN+년/NNB
만에	만/NNB+에/JKB
무역수지가	무역/NNG+수지/NNG+가/JKS
적자(11월	적자/NNG+(/SS+11/SN+월/NNB
말	말/NNB
누적	누적/NNG
무역적자	무역/NNG+적자/NNG
2조2831억	2/SN+조/NR+2831/SN+억/NR
엔)로	엔/NNB+)/SS+로/JKB
돌아설	돌아서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되지만	예상/NNG+되/XSV+지만/EC
경상수지가	경상/NNG+수지/NNG+가/JKS
흑자인	흑자/NNG+이/VCP+ㄴ/ETM
것도	것/NNB+도/JX
이	이/NP
같은	같/VA+은/ETM
무역외	무역/NNG+외/NNB
수지	수지/NNG
흑자	흑자/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.161.7.1
일본 기업이 해외 투자로 벌어들인 외화를 엔화로 바꾸려는 환전수요가 늘어나는 한 엔화 가치는 당분간 떨어지지 않을 것으로 전망된다.

일본	일본/NNP
기업이	기업/NNG+이/JKS
해외	해외/NNG
투자로	투자/NNG+로/JKB
벌어들인	벌어들이/VV+ㄴ/ETM
외화를	외화/NNG+를/JKO
엔화로	엔화/NNG+로/JKB
바꾸려는	바꾸/VV+려는/ETM
환전수요가	환전/NNG+수요/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
한	한/NNG
엔화	엔화/NNG
가치는	가치/NNG+는/JX
당분간	당분간/MAG
떨어지지	떨어지/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.161.7.2
일본이 올해 유럽 재정위기, 동일본 대지진, 태국 홍수 등으로 악재가 많았지만 엔화가 유독 강세를 보이는 배경에는 경상수지 만년 흑자국이라는 것이 바탕이 됐다.

일본이	일본/NNP+이/JKS
올해	올해/NNG
유럽	유럽/NNP
재정위기,	재정/NNG+위기/NNG+,/SP
동일본	동일본/NNP
대지진,	대/XPN+지진/NNG+,/SP
태국	태국/NNP
홍수	홍수/NNG
등으로	등/NNB+으로/JKB
악재가	악재/NNG+가/JKS
많았지만	많/VA+았/EP+지만/EC
엔화가	엔화/NNG+가/JKS
유독	유독/MAG
강세를	강세/NNG+를/JKO
보이는	보이/VV+는/ETM
배경에는	배경/NNG+에/JKB+는/JX
경상수지	경상/NNG+수지/NNG
만년	만년/NNG
흑자국이라는	흑자국/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
바탕이	바탕/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.161.7.3
하지만 그 내용은 달라지고 있다.

하지만	하지만/MAJ
그	그/MMD
내용은	내용/NNG+은/JX
달라지고	달라지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.161.7.4
소니와 도요타 등을 앞세우고 세계적인 제조업 제품으로 세계를 제패했던 제조업 강국의 모습이 약간씩 옅어지고 있는 것이다.

소니와	소니/NNP+와/JC
도요타	도요타/NNP
등을	등/NNB+을/JKO
앞세우고	앞세우/VV+고/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
제조업	제조업/NNG
제품으로	제품/NNG+으로/JKB
세계를	세계/NNG+를/JKO
제패했던	제패/NNG+하/XSV+았/EP+던/ETM
강국의	강국/NNG+의/JKG
모습이	모습/NNG+이/JKS
약간씩	약간/NNG+씩/XSN
옅어지고	옅/VA+어/EC+지/VX+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


