# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.343
metadata : {}


# id : NWRW1800000038.343.1.1
차관때 "복지 공약 검증" 소신 펴

차관때	차관/NNG+때/NNG
지난해 총선과 대선 때는 여야 정치권의 포퓰리즘 복지 공약을 견제하기 위해 "정부가 정치권의 공약 이행에 필요한 재원 마련 계획을 검증해야 한다"는 주장을 펴 정치권과 대립각을 세우기도 했다.

지난해	지난해/NNG
총선과	총선/NNG+과/JC
대선	대선/NNG
때는	때/NNG+는/JX
여야	여야/NNG
정치권의	정치/NNG+권/XSN+의/JKG
포퓰리즘	포퓰리즘/NNG
복지	복지/NNG
공약을	공약/NNG+을/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
"정부가	"/SS+정부/NNG+가/JKS
공약	공약/NNG
이행에	이행/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
재원	재원/NNG
마련	마련/NNG
계획을	계획/NNG+을/JKO
검증해야	검증/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
주장을	주장/NNG+을/JKO
펴	펴/VV+어/EC
정치권과	정치/NNG+권/XSN+과/JKB
대립각을	대립각/NNG+을/JKO
세우기도	세우/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.343.6.2
그러나 선관위의 반대로 무산됐다.

그러나	그러나/MAJ
선관위의	선관위/NNG+의/JKG
반대로	반대/NNG+로/JKB
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.343.7.1
공직 생활을 하는 동안 서울대에서 석사, 미국 미시간대에서 정책학 박사 학위를 받았고, 세계은행에 파견돼 일한 경험도 있다.

공직	공직/NNG
생활을	생활/NNG+을/JKO
하는	하/VV+는/ETM
동안	동안/NNG
서울대에서	서울대/NNP+에서/JKB
석사,	석사/NNG+,/SP
미국	미국/NNP
미시간대에서	미시간대/NNP+에서/JKB
정책학	정책학/NNG
박사	박사/NNG
학위를	학위/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
세계은행에	세계은행/NNP+에/JKB
파견돼	파견/NNG+되/XSV+어/EC
일한	일/NNG+하/XSV+ㄴ/ETM
경험도	경험/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.343.7.2
작년 3월 공직자 재산 공개 때 서울 강남구 도곡동 18평형(59.98㎡) 아파트(5억2200만원)와 경기 안양시 평촌동 25평형(84.99㎡) 아파트(2억8000만원) 전세권을 합쳐 총 11억4288만2000원의 재산을 신고했다.

작년	작년/NNG
3월	3/SN+월/NNB
공직자	공직자/NNG
재산	재산/NNG
공개	공개/NNG
때	때/NNG
서울	서울/NNP
강남구	강남구/NNP
도곡동	도곡동/NNP
18평형(59.98㎡)	18/SN+평/NNB+형/XSN+(/SS+59/SN+./SP+98/SN+㎡/SW+)/SS
아파트(5억2200만원)와	아파트/NNG+(/SS+5/SN+억/NR+2200/SN+만/NR+원/NNB+)/SS+와/JC
경기	경기/NNP
안양시	안양시/NNP
평촌동	평촌동/NNP
25평형(84.99㎡)	25/SN+평/NNB+형/XSN+(/SS+84/SN+./SP+99/SN+㎡/SW+)/SS
아파트(2억8000만원)	아파트/NNG+(/SS+2/SN+억/NR+8000/SN+만/NR+원/NNB+)/SS
전세권을	전세/NNG+권/XSN+을/JKO
합쳐	합치/VV+어/EC
총	총/MMA
11억4288만2000원의	11/SN+억/NR+4288/SN+만/NR+2000/SN+원/NNB+의/JKG
재산을	재산/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.343.8.1
시력이 나빠 방위병(1년3개월)으로 군 복무를 마쳤다.

시력이	시력/NNG+이/JKS
나빠	나쁘/VA+아/EC
방위병(1년3개월)으로	방위병/NNG+(/SS+1/SN+년/NNB+3/SN+개월/NNB+)/SS+으로/JKB
군	군/NNG
복무를	복무/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.343.8.2
큰아들은 원래 현역병 입영 대상이었지만 중병에 걸려 병역을 면제받았고, 미국 유학 중 낳은 둘째 아들은 현재 대학 3학년으로 미국 시민권자이지만 대학 졸업 후 입대할 계획이라고 김 내정자 측은 밝혔다.

큰아들은	큰아들/NNG+은/JX
원래	원래/MAG
현역병	현역병/NNG
입영	입영/NNG
대상이었지만	대상/NNG+이/VCP+었/EP+지만/EC
중병에	중병/NNG+에/JKB
걸려	걸리/VV+어/EC
병역을	병역/NNG+을/JKO
면제받았고,	면제/NNG+받/XSV+았/EP+고/EC+,/SP
미국	미국/NNP
유학	유학/NNG
중	중/NNB
낳은	낳/VV+은/ETM
둘째	둘째/NR
아들은	아들/NNG+은/JX
현재	현재/MAG
대학	대학/NNG
3학년으로	3/SN+학년/NNG+으로/JKB
시민권자이지만	시민권자/NNG+이/VCP+지만/EC
졸업	졸업/NNG
후	후/NNG
입대할	입대/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
김	김/NNP
내정자	내정자/NNG
측은	측/NNB+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


