# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.229
metadata : {}


# id : NWRW1800000025.229.1.1
‘수비형 콤비’ 김경아-박미영 女복식 2연패

‘수비형	‘/SS+수비/NNG+형/XSN
금맥을 다시 잇기 위해 총력을 기울이고 있지만 중국세가 워낙 강하고 나머지 국가가 평준화 추세라 쉽지 않다.

금맥을	금맥/NNG+을/JKO
다시	다시/MAG
잇기	잇/VV+기/ETN
위해	위하/VV+아/EC
총력을	총력/NNG+을/JKO
기울이고	기울이/VV+고/EC
있지만	있/VX+지만/EC
중국세가	중국/NNP+세/NNG+가/JKS
워낙	워낙/MAG
강하고	강하/VA+고/EC
나머지	나머지/NNG
국가가	국가/NNG+가/JKS
평준화	평준/NNG+화/XSN
추세라	추세/NNG+이/VCP+라/EC
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.229.5.3
김경아에 대한 기대가 더욱 커질 만하다.

김경아에	김경아/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
기대가	기대/NNG+가/JKS
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000025.229.5.4
그는 “단식은 강자가 워낙 많아 메달 보장은 못한다”며 “하지만 미영이와 오래 호흡을 맞춘 복식이라면 이제 결실을 볼 때가 된 것 같다”고 자신했다.

그는	그/NP+는/JX
“단식은	“/SS+단식/NNG+은/JX
강자가	강자/NNG+가/JKS
워낙	워낙/MAG
많아	많/VA+아/EC
메달	메달/NNG
보장은	보장/NNG+은/JX
못한다”며	못/MAG+하/VV+ㄴ다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
미영이와	미영이/NNP+와/JKB
오래	오래/MAG
호흡을	호흡/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
복식이라면	복식/NNG+이/VCP+라면/EC
이제	이제/MAG
결실을	결실/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때가	때/NNG+가/JKC
된	되/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
자신했다.	자신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.229.6.1
남자 단식에선 주세혁(삼성생명·세계 10위)이 세계 2위인 독일의 티모 볼을 준결승에서 4-1로 꺾는 파란을 일으켰지만 결승에서 세계 7위 블라디미르 삼소노프(벨라루스)에게 3-4로 아쉽게 패했다.

남자	남자/NNG
단식에선	단식/NNG+에서/JKB+ㄴ/JX
주세혁(삼성생명·세계	주세혁/NNP+(/SS+삼성생명/NNP+·/SP+세계/NNG
10위)이	10/SN+위/NNB+)/SS+이/JKS
세계	세계/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
독일의	독일/NNP+의/JKG
티모	티모/NNP
볼을	볼/NNP+을/JKO
준결승에서	준/XPN+결승/NNG+에서/JKB
4-1로	4/SN+-/SO+1/SN+로/JKB
꺾는	꺾/VV+는/ETM
파란을	파란/NNG+을/JKO
일으켰지만	일으키/VV+었/EP+지만/EC
결승에서	결승/NNG+에서/JKB
7위	7/SN+위/NNB
블라디미르	블라디미르/NNP
삼소노프(벨라루스)에게	삼소노프/NNP+(/SS+벨라루스/NNP+)/SS+에게/JKB
3-4로	3/SN+-/SO+4/SN+로/JKB
아쉽게	아쉽/VA+게/EC
패했다.	패/NNG+하/XSV+았/EP+다/EF+./SF


