# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.272
metadata : {}


# id : NWRW1800000053.272.1.1
[하종대의 取中珍談]류샤오보와 시진핑의 엇갈린 꿈

[하종대의	[/SS+하종대/NNP+의/JKG
끝나자마자	끝나/VV+자마자/EC
통제를	통제/NNG+를/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.8.2
류샤오보 역시 ‘08헌장’이 나온 이듬해 구속돼 징역 11년형을 선고받았다.

류샤오보	류샤오보/NNP
역시	역시/MAG
‘08헌장’이	‘/SS+08/SN+헌장/NNG+’/SS+이/JKS
나온	나오/VV+ㄴ/ETM
이듬해	이듬해/NNG
구속돼	구속/NNG+되/XSV+어/EC
징역	징역/NNG
11년형을	11/SN+년/NNB+형/NNG+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.9.1
1989년 톈안먼 사태로 유명해진 류샤오보지만 사실 그는 광장 사수를 외친 강경파와 달리 학생 철수를 주장한 온건파였다.

1989년	1989/SN+년/NNB
톈안먼	톈안먼/NNP
사태로	사태/NNG+로/JKB
유명해진	유명/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
류샤오보지만	류샤오보/NNP+이/VCP+지만/EC
사실	사실/MAG
그는	그/NP+는/JX
광장	광장/NNG
사수를	사수/NNG+를/JKO
외친	외치/VV+ㄴ/ETM
강경파와	강경파/NNG+와/JKB
달리	달리/MAG
학생	학생/NNG
철수를	철수/NNG+를/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
온건파였다.	온건파/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.272.9.2
그는 폭력을 철저히 거부했다.

그는	그/NP+는/JX
폭력을	폭력/NNG+을/JKO
철저히	철저히/MAG
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.9.3
그가 공산당에 요구한 것은 인권 보장과 집회 결사의 자유 등 소박한 민주 가치로 중국 헌법에도 모두 명기돼 있었다.

그가	그/NP+가/JKS
공산당에	공산당/NNP+에/JKB
요구한	요구/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
인권	인권/NNG
보장과	보장/NNG+과/JC
집회	집회/NNG
결사의	결사/NNG+의/JKG
자유	자유/NNG
등	등/NNB
소박한	소박하/VA+ㄴ/ETM
민주	민주/NNG
가치로	가치/NNG+로/JKB
중국	중국/NNP
헌법에도	헌법/NNG+에/JKB+도/JX
모두	모두/MAG
명기돼	명기/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.272.9.4
그가 유일하게 공산당과 차이가 있었던 것은 위로부터 개혁만 고집한 공산당과 달리 인민도 개혁을 추동할 수 있어야 한다는 생각이었다.

그가	그/NP+가/JKS
유일하게	유일/NNG+하/XSA+게/EC
공산당과	공산당/NNP+과/JKB
차이가	차이/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
위로부터	위/NNG+로부터/JKB
개혁만	개혁/NNG+만/JX
고집한	고집/NNG+하/XSV+ㄴ/ETM
달리	달리/MAG
인민도	인민/NNG+도/JX
개혁을	개혁/NNG+을/JKO
추동할	추동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
생각이었다.	생각/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.272.10.1
상당수 서방 학자들은 이런 민주적 기본 가치조차 보장하지 못하는 중국의 공산당 독재가 조만간 무너질 것이라고 예상한다.

상당수	상당수/NNG
서방	서방/NNG
학자들은	학자/NNG+들/XSN+은/JX
이런	이런/MMD
민주적	민주/NNG+적/XSN
기본	기본/NNG
가치조차	가치/NNG+조차/JX
보장하지	보장/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
중국의	중국/NNP+의/JKG
공산당	공산당/NNP
독재가	독재/NNG+가/JKS
조만간	조만간/MAG
무너질	무너지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
예상한다.	예상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.272.10.2
하지만 자오후지(趙虎吉) 전 공산당 중앙당교 교수는 최근 펴낸 ‘중국의 정치권력은 어떻게 유지되는가’라는 저서에서 “그런 일은 없을 것”이라고 단언했다.

하지만	하지만/MAJ
자오후지(趙虎吉)	자오후지/NNP+(/SS+趙虎吉/SH+)/SS
전	전/MMD
공산당	공산당/NNP
중앙당교	중앙당교/NNP
교수는	교수/NNG+는/JX
최근	최근/NNG
펴낸	펴내/VV+ㄴ/ETM
‘중국의	‘/SS+중국/NNP+의/JKG
정치권력은	정치권력/NNG+은/JX
어떻게	어떻/VA+게/EC
유지되는가’라는	유지/NNG+되/XSV+는가/EF+’/SS+이/VCP+라는/ETM
저서에서	저서/NNG+에서/JKB
“그런	“/SS+그런/MMD
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
단언했다.	단언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.10.3
엘리트 충원 능력이 서방 정당보다 탁월한 중국 공산당의 생명력이 만만치 않다는 얘기다.

엘리트	엘리트/NNG
충원	충원/NNG
능력이	능력/NNG+이/JKS
서방	서방/NNG
정당보다	정당/NNG+보다/JKB
탁월한	탁월하/VA+ㄴ/ETM
중국	중국/NNP
공산당의	공산당/NNP+의/JKG
생명력이	생명력/NNG+이/JKS
만만치	만만하/VA+지/EC
않다는	않/VX+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.272.11.1
블룸버그통신은 올 상반기 런민일보에 게재된 시진핑 주석 기사는 2902개로 후진타오 집권 마지막 해의 1000여 개보다 3배 가까이 많았다고 19일 보도했다.

블룸버그통신은	블룸버그통신/NNP+은/JX
올	올/NNG
상반기	상반기/NNG
런민일보에	런민일보/NNP+에/JKB
게재된	게재/NNG+되/XSV+ㄴ/ETM
시진핑	시진핑/NNP
주석	주석/NNG
기사는	기사/NNG+는/JX
2902개로	2902/SN+개/NNB+로/JKB
후진타오	후진타오/NNP
집권	집권/NNG
마지막	마지막/NNG
해의	해/NNG+의/JKG
1000여	1000/SN+여/XSN
개보다	개/NNB+보다/JKB
3배	3/SN+배/NNG
가까이	가까이/MAG
많았다고	많/VA+았/EP+다고/EC
19일	19/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.11.2
올가을 열리는 제19차 당 대회를 앞두고 중국 언론의 ‘시(習)비어천가’는 갈수록 심화하는 양상이다.

올가을	올가을/NNG
열리는	열리/VV+는/ETM
제19차	제/XPN+19/SN+차/NNB
당	당/NNG
대회를	대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
중국	중국/NNP
언론의	언론/NNG+의/JKG
‘시(習)비어천가’는	‘/SS+시/NNP+(/SS+習/SH+)/SS+비어천가/NA+’/SS+는/JX
갈수록	갈수록/MAG
심화하는	심화/NNG+하/XSV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.272.11.3
시 주석 집권 이후 류샤오보처럼 인터넷에 비판적 글을 한두 개 올렸다는 이유만으로 징역 10년 안팎의 중형을 선고하는 사례가 급증하고 있다.

시	시/NNP
주석	주석/NNG
집권	집권/NNG
이후	이후/NNG
류샤오보처럼	류샤오보/NNP+처럼/JKB
인터넷에	인터넷/NNG+에/JKB
비판적	비판/NNG+적/XSN
글을	글/NNG+을/JKO
한두	한두/MMN
개	개/NNB
올렸다는	올리/VV+었/EP+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
징역	징역/NNG
10년	10/SN+년/NNB
안팎의	안팎/NNG+의/JKG
중형을	중형/NNG+을/JKO
선고하는	선고/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.272.12.1
인민의 입과 귀가 막히면

인민의	인민/NNG+의/JKG
입과	입/NNG+과/JC
귀가	귀/NNG+가/JKS
막히면	막히/VV+면/EC


# id : NWRW1800000053.272.13.1
2010년 중국이 주요 2개국(G2)으로 부상한 이후 중국의 인권 침해를 지적하던 서방 각국의 비판도 크게 줄었다.

2010년	2010/SN+년/NNB
중국이	중국/NNP+이/JKS
주요	주요/NNG
2개국(G2)으로	2/SN+개국/NNB+(/SS+G/SL+2/SN+)/SS+으로/JKB
부상한	부상/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
중국의	중국/NNP+의/JKG
인권	인권/NNG
침해를	침해/NNG+를/JKO
지적하던	지적/NNG+하/XSV+던/ETM
서방	서방/NNG
각국의	각국/NNG+의/JKG
비판도	비판/NNG+도/JX
크게	크/VA+게/EC
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.272.13.2
노벨평화상 수상자가 투옥됐다 결국 숨졌지만 미국을 비롯한 대부분 국가가 침묵했다.

노벨평화상	노벨/NNP+평화상/NNG
수상자가	수상자/NNG+가/JKS
투옥됐다	투옥/NNG+되/XSV+었/EP+다/EC
결국	결국/MAG
숨졌지만	숨지/VV+었/EP+지만/EC
미국을	미국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
대부분	대/XPN+부분/NNG
국가가	국가/NNG+가/JKS
침묵했다.	침묵/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.272.13.3
‘동양의 황제’를 꿈꾸는 시 주석의 야망이 점차 현실화하는 듯하다.

‘동양의	‘/SS+동양/NNG+의/JKG
황제’를	황제/NNG+’/SS+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
시	시/NNP
주석의	주석/NNG+의/JKG
야망이	야망/NNG+이/JKS
점차	점차/MAG
현실화하는	현실/NNG+화/XSN+하/XSV+는/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000053.272.13.4
하지만 분명한 것은 인민의 입과 귀를 틀어막아 태평성대를 이룬 왕조는 아직 역사에 나타난 적이 없다는 사실이다.

하지만	하지만/MAJ
분명한	분명/MAG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
인민의	인민/NNG+의/JKG
입과	입/NNG+과/JC
귀를	귀/NNG+를/JKO
틀어막아	틀어막/VV+아/EC
태평성대를	태평성대/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
왕조는	왕조/NNG+는/JX
아직	아직/MAG
역사에	역사/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다는	없/VA+다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


