# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.392
metadata : {}


# id : NWRW1800000030.392.1.1
[수도권Ⅲ] 참여·교육·자연 테마별 가족축제 펼쳐

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
율동을	율동/NNG+을/JKO
하고	하/VV+고/EC
사진을	사진/NNG+을/JKO
찍어주는	찍/VV+어/EC+주/VX+는/ETM
공연이다.	공연/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.392.3.3
'랄랄라! 이솝동요 극장'에서는 이솝 언니와 함께 동요와 율동을 배우고, 캐릭터들과 직접 대화해볼 수 있다.

'랄랄라!	'/SS+랄랄라/IC+!/SF
이솝동요	이솝/NNP+동요/NNG
극장'에서는	극장/NNG+'/SS+에서/JKB+는/JX
이솝	이솝/NNP
언니와	언니/NNG+와/JKB
함께	함께/MAG
동요와	동요/NNG+와/JC
율동을	율동/NNG+을/JKO
배우고,	배우/VV+고/EC+,/SP
캐릭터들과	캐릭터/NNG+들/XSN+과/JKB
직접	직접/MAG
대화해볼	대화/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.392.3.4
또 '오디의 동화 콘서트' 공연에 참여해 신기한 악기 소리에 따라 노래를 부르며 음악적 감성을 기를 수 있다.

또	또/MAG
'오디의	'/SS+오디/NNP+의/JKG
동화	동화/NNG
콘서트'	콘서트/NNG+'/SS
공연에	공연/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
신기한	신기하/VA+ㄴ/ETM
악기	악기/NNG
소리에	소리/NNG+에/JKB
따라	따르/VV+아/EC
노래를	노래/NNG+를/JKO
부르며	부르/VV+며/EC
음악적	음악/NNG+적/XSN
감성을	감성/NNG+을/JKO
기를	기르/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.392.4.1
'교육'을 테마로는 ▲나비체험스쿨 ▲키즈 동물 사랑단 등 어린이들을 위한 동물 체험 프로그램이 마련돼 있다.

'교육'을	'/SS+교육/NNG+'/SS+을/JKO
테마로는	테마/NNG+로/JKB+는/JX
▲나비체험스쿨	▲/SW+나비/NNG+체험/NNG+스쿨/NNG
▲키즈	▲/SW+키즈/NNG
동물	동물/NNG
사랑단	사랑단/NNG
등	등/NNB
어린이들을	어린이/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
체험	체험/NNG
프로그램이	프로그램/NNG+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.392.4.2
마지막 '자연'을 테마로 어린이들이 꽃과 동물을 가까이서 직접 보고 느낄 수 있는 '자연 테마 학습장'이 꾸려졌다.

마지막	마지막/NNG
'자연'을	'/SS+자연/NNG+'/SS+을/JKO
테마로	테마/NNG+로/JKB
어린이들이	어린이/NNG+들/XSN+이/JKS
꽃과	꽃/NNG+과/JC
동물을	동물/NNG+을/JKO
가까이서	가까이/NNG+서/JKB
직접	직접/MAG
보고	보/VV+고/EC
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'자연	'/SS+자연/NNG
테마	테마/NNG
학습장'이	학습장/NNG+'/SS+이/JKS
꾸려졌다.	꾸리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.392.4.3
동물원에서 시간대별로 사육사가 평소에 보기 어려운 각종 동물에 대한 궁금증을 알기 쉽게 설명해줘 어린이들이 동물에 대한 지식을 습득할 수 있다.

동물원에서	동물원/NNG+에서/JKB
시간대별로	시간대/NNG+별/XSN+로/JKB
사육사가	사육사/NNG+가/JKS
평소에	평소/NNG+에/JKB
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
각종	각종/NNG
동물에	동물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
궁금증을	궁금증/NNG+을/JKO
알기	알/VV+기/ETN
쉽게	쉽/VA+게/EC
설명해줘	설명/NNG+하/XSV+아/EC+주/VX+어/EC
어린이들이	어린이/NNG+들/XSN+이/JKS
지식을	지식/NNG+을/JKO
습득할	습득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.392.5.1
어린이날 당일에는 어린이 동물 사랑단원 50명이 참여하는 '카니발 판타지 퍼레이드'가 열리고, 경찰의장대의 시범공연과 용인대 태권도 시범단의 태권도 시범도 펼쳐질 예정이다.

어린이날	어린이날/NNG
당일에는	당일/NNG+에/JKB+는/JX
어린이	어린이/NNG
동물	동물/NNG
사랑단원	사랑/NNG+단원/NNG
50명이	50/SN+명/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
'카니발	'/SS+카니발/NNG
판타지	판타지/NNG
퍼레이드'가	퍼레이드/NNG+'/SS+가/JKS
열리고,	열리/VV+고/EC+,/SP
경찰의장대의	경찰/NNG+의장대/NNG+의/JKG
시범공연과	시범/NNG+공연/NNG+과/JC
용인대	용인대/NNP
태권도	태권도/NNG
시범단의	시범단/NNG+의/JKG
시범도	시범/NNG+도/JX
펼쳐질	펼쳐지/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.392.6.1
워터파크 캐리비안 베이도 어린이날을 앞두고 예년보다 1주일 앞당긴 4월 30일 '야외 파도풀'을 개장한다고 하니, 함께 들러보는 것도 좋을 것 같다.

워터파크	워터파크/NNG
캐리비안	캐리비안/NNP
베이도	베이/NNP+도/JX
어린이날을	어린이날/NNG+을/JKO
앞두고	앞두/VV+고/EC
예년보다	예년/NNG+보다/JKB
1주일	1/SN+주일/NNB
앞당긴	앞당기/VV+ㄴ/ETM
4월	4/SN+월/NNB
30일	30/SN+일/NNB
'야외	'/SS+야외/NNG
파도풀'을	파도/NNG+풀/NNG+'/SS+을/JKO
개장한다고	개장/NNG+하/XSV+ㄴ다고/EC
하니,	하/VV+니/EC+,/SP
함께	함께/MAG
들러보는	들르/VV+어/EC+보/VX+는/ETM
것도	것/NNB+도/JX
좋을	좋/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


