# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.70
metadata : {}


# id : NWRW1800000046.70.1.1
닮은 듯 다른 듯… 韓日 디자인이 걸어온 50년

닮은	닮/VV+은/ETM
한다	하/VX+ㄴ다/EF
"고	"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.70.5.1
그러나 디자이너의 인지도, 국교 정상화 기념전이라는 거창한 타이틀에 비춰 봤을 때 전시 수준은 아쉽다.

그러나	그러나/MAJ
디자이너의	디자이너/NNG+의/JKG
인지도,	인지도/NNG+,/SP
국교	국교/NNG
정상화	정상/NNG+화/XSN
기념전이라는	기념전/NNG+이/VCP+라는/ETM
거창한	거창하/VA+ㄴ/ETM
타이틀에	타이틀/NNG+에/JKB
비춰	비추/VV+어/EC
봤을	보/VX+았/EP+을/ETM
때	때/NNG
전시	전시/NNG
수준은	수준/NNG+은/JX
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000046.70.5.2
전시장엔 지난 50년간 양국 그래픽 디자인의 변화를 보여주는 포스터, 캘리그래피, 기업 이미지(CI) 등이 벽면에 다닥다닥 붙어 있다.

전시장엔	전시장/NNG+에/JKB+ㄴ/JX
지난	지나/VV+ㄴ/ETM
50년간	50/SN+년/NNB+간/XSN
양국	양국/NNG
그래픽	그래픽/NNG
디자인의	디자인/NNG+의/JKG
변화를	변화/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
포스터,	포스터/NNG+,/SP
캘리그래피,	캘리그래피/NNG+,/SP
기업	기업/NNG
이미지(CI)	이미지/NNG+(/SS+CI/SL+)/SS
등이	등/NNB+이/JKS
벽면에	벽면/NNG+에/JKB
다닥다닥	다닥다닥/MAG
붙어	붙/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.70.5.3
'서로, 어우러져 진동한다' '양국이 함께 부르는 합창'이란 의미를 담았다는 전시 제목이 무색하게 두 나라 디자이너가 협업한 작품은 거의 찾아볼 수 없다.

'서로,	'/SS+서로/MAG+,/SP
어우러져	어우러지/VV+어/EC
진동한다'	진동/NNG+하/XSV+ㄴ다/EF+'/SS
'양국이	'/SS+양국/NNG+이/JKS
함께	함께/MAG
부르는	부르/VV+는/ETM
합창'이란	합창/NNG+'/SS+이/VCP+란/ETM
의미를	의미/NNG+를/JKO
담았다는	담/VV+았/EP+다는/ETM
전시	전시/NNG
제목이	제목/NNG+이/JKS
무색하게	무색하/VA+게/EC
두	두/MMN
나라	나라/NNG
디자이너가	디자이너/NNG+가/JKS
협업한	협업/NNG+하/XSV+ㄴ/ETM
작품은	작품/NNG+은/JX
거의	거의/MAG
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.70.5.4
1988년 서울 올림픽과 1964년 도쿄 올림픽 포스터, 1993년 대전 엑스포와 1970년 오사카 엑스포 포스터 등 비슷한 행사를 다룬 양국 포스터를비교해 보는 게 그나마 재밋거리다.

1988년	1988/SN+년/NNB
서울	서울/NNP
올림픽과	올림픽/NNG+과/JC
1964년	1964/SN+년/NNB
도쿄	도쿄/NNP
올림픽	올림픽/NNG
포스터,	포스터/NNG+,/SP
1993년	1993/SN+년/NNB
대전	대전/NNP
엑스포와	엑스포/NNG+와/JC
1970년	1970/SN+년/NNB
오사카	오사카/NNP
엑스포	엑스포/NNG
포스터	포스터/NNG
등	등/NNB
비슷한	비슷하/VA+ㄴ/ETM
행사를	행사/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
양국	양국/NNG
포스터를비교해	포스터/NNG+를/JKO+비교/NNG+하/XSV+아/EC
보는	보/VX+는/ETM
게	거/NNB+이/JKS
그나마	그나마/MAG
재밋거리다.	재밋거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.70.5.5
이들 국제 행사 개최에 양국 간에 20년 가까운 간극이 있었을 정도로 과거 국력과 경제력 차이가 있었지만, 최근 젊은 디자이너들의 작업에선 수준 차가 한층 줄어든 것도 위안이다.

이들	이/NP+들/XSN
국제	국제/NNG
행사	행사/NNG
개최에	개최/NNG+에/JKB
양국	양국/NNG
간에	간/NNB+에/JKB
20년	20/SN+년/NNB
가까운	가깝/VA+ㄴ/ETM
간극이	간극/NNG+이/JKS
있었을	있/VA+었/EP+을/ETM
정도로	정도/NNG+로/JKB
과거	과거/NNG
국력과	국력/NNG+과/JC
경제력	경제력/NNG
차이가	차이/NNG+가/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
최근	최근/MAG
젊은	젊/VA+은/ETM
디자이너들의	디자이너/NNG+들/XSN+의/JKG
작업에선	작업/NNG+에서/JKB+ㄴ/JX
수준	수준/NNG
차가	차/NNG+가/JKS
한층	한층/MAG
줄어든	줄어들/VV+ㄴ/ETM
것도	것/NNB+도/JX
위안이다.	위안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.70.6.1
인쇄 매체로 주로 전달되는 그래픽 디자인만을 다뤘기 때문에 구성도 단조롭다.

인쇄	인쇄/NNG
매체로	매체/NNG+로/JKB
주로	주로/MAG
전달되는	전달/NNG+되/XSV+는/ETM
그래픽	그래픽/NNG
디자인만을	디자인/NNG+만/JX+을/JKO
다뤘기	다루/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
구성도	구성/NNG+도/JX
단조롭다.	단조/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000046.70.6.2
기획위원으로 참여한 김경균 한국예술종합학교 교수는 "일상에서 사람들이 가장 가깝게 느끼는 시각 예술이 그래픽 디자인이라 주제를 좁힌 것"이라고 설명했다.

기획위원으로	기획/NNG+위원/NNG+으로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
김경균	김경균/NNP
한국예술종합학교	한국예술종합학교/NNP
교수는	교수/NNG+는/JX
"일상에서	"/SS+일상/NNG+에서/JKB
사람들이	사람/NNG+들/XSN+이/JKS
가장	가장/MAG
가깝게	가깝/VA+게/EC
느끼는	느끼/VV+는/ETM
시각	시각/NNG
예술이	예술/NNG+이/JKS
그래픽	그래픽/NNG
디자인이라	디자인/NNG+이/VCP+라/EC
주제를	주제/NNG+를/JKO
좁힌	좁히/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.70.6.3
그러나 전시장에서 만난 한 전시 관계자는 "(국립현대미술관 상위 기관인) 문화체육관광부의 김종덕 장관이 디자인, 그중에서도 시각 디자인을 전공하지 않았냐"고 겸연쩍어 했다.

그러나	그러나/MAJ
전시장에서	전시장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
한	한/MMN
전시	전시/NNG
관계자는	관계자/NNG+는/JX
"(국립현대미술관	"/SS+(/SS+국립현대미술관/NNP
상위	상위/NNG
기관인)	기관/NNG+이/VCP+ㄴ/ETM+)/SS
문화체육관광부의	문화/NNG+체육/NNG+관광부/NNG+의/JKG
김종덕	김종덕/NNP
장관이	장관/NNG+이/JKS
디자인,	디자인/NNG+,/SP
그중에서도	그중/NNG+에서/JKB+도/JX
시각	시각/NNG
디자인을	디자인/NNG+을/JKO
전공하지	전공/NNG+하/XSV+지/EC
않았냐"고	않/VX+았/EP+냐/EF+"/SS+고/JKQ
겸연쩍어	겸연쩍/VA+어/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.70.6.4
이 전시는 국립현대미술관 서울관이 2013년 11월 개관 후 처음 여는 디자인 전시다.

이	이/MMD
전시는	전시/NNG+는/JX
국립현대미술관	국립현대미술관/NNP
서울관이	서울관/NNG+이/JKS
2013년	2013/SN+년/NNB
11월	11/SN+월/NNB
개관	개관/NNG
후	후/NNG
처음	처음/NNG
여는	열/VV+는/ETM
디자인	디자인/NNG
전시다.	전시/NNG+이/VCP+다/EF+./SF


