# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.284
metadata : {}


# id : NWRW1800000024.284.1.1
정권 ‘눈엣가시 프로그램’ 폐지·개조 나설듯

정권	정권/NNG
<동아일보>는 1일치 사설(‘방문진 이사진, 엠비시 근원적 개혁에 직을 걸어야’)에서부터 “방문진은 엄기영 엠비시 사장을 포함해 방송의 공정성을 추락시킨 피디수첩 관련자를 엄중 문책하도록 하는 것으로 ‘기강 바로잡기’를 시작할 필요가 있다”며 ‘행동지침’까지 제시했다.

<동아일보>는	</SS+동아일보/NNP+>/SS+는/JX
1일치	1/SN+일/NNB+치/NNB
사설(‘방문진	사설/NNG+(/SS+‘/SS+방문진/NNG
이사진,	이사진/NNG+,/SP
엠비시	엠비시/NNP
근원적	근원/NNG+적/XSN
개혁에	개혁/NNG+에/JKB
직을	직/NNG+을/JKO
걸어야’)에서부터	걷/VV+어야/EC+’/SS+)/SS+에서부터/JKB
“방문진은	“/SS+방문진/NNG+은/JX
엄기영	엄기영/NNP
사장을	사장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
방송의	방송/NNG+의/JKG
공정성을	공정/NNG+성/XSN+을/JKO
추락시킨	추락/NNG+시키/XSV+ㄴ/ETM
피디수첩	피디/NNG+수첩/NNG
관련자를	관련자/NNG+를/JKO
엄중	엄중/NNG
문책하도록	문책/NNG+하/XSV+도록/EC
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
‘기강	‘/SS+기강/NNG
바로잡기’를	바로잡/VV+기/ETN+’/SS+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
‘행동지침’까지	‘/SS+행동/NNG+지침/NNG+’/SS+까지/JX
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.284.4.4
<조선일보>도 같은 날 기사를 통해 “10년 만의 개혁”을 주문했다.

<조선일보>도	</SS+조선일보/NNP+>/SS+도/JX
같은	같/VA+은/ETM
날	날/NNG
기사를	기사/NNG+를/JKO
통해	통하/VV+아/EC
“10년	“/SS+10/SN+년/NNB
만의	만/NNB+의/JKG
개혁”을	개혁/NNG+”/SS+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.284.4.5
언론계에선 엄기영 사장 취임 2년째 되는 내년 2월까지 경영진 교체 작업을 마무리할 것으로 보고 있다.

언론계에선	언론/NNG+계/XSN+에서/JKB+ㄴ/JX
엄기영	엄기영/NNP
사장	사장/NNG
취임	취임/NNG
2년째	2/SN+년/NNB+째/XSN
되는	되/VV+는/ETM
내년	내년/NNG
2월까지	2/SN+월/NNB+까지/JX
경영진	경영진/NNG
교체	교체/NNG
작업을	작업/NNG+을/JKO
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.284.4.6
신태섭 전 동의대 교수는 “정연주 전 사장 강제 퇴진 과정에서 케이비에스 이사회가 겪었던 위법 논란과 달리, 방문진은 상법상 주식회사인 엠비시의 대주주 자격으로 법적 부담을 덜며 경영진 교체를 강행할 수 있다”고 말했다.

신태섭	신태섭/NNP
전	전/MMD
동의대	동의대/NNP
교수는	교수/NNG+는/JX
“정연주	“/SS+정연주/NNP
사장	사장/NNG
강제	강제/NNG
퇴진	퇴진/NNG
과정에서	과정/NNG+에서/JKB
케이비에스	케이비에스/NNP
이사회가	이사회/NNG+가/JKS
겪었던	겪/VV+었/EP+던/ETM
위법	위법/NNG
논란과	논란/NNG+과/JKB
달리,	달리/MAG+,/SP
방문진은	방문진/NNG+은/JX
상법상	상법/NNG+상/XSN
주식회사인	주식회사/NNG+이/VCP+ㄴ/ETM
엠비시의	엠비시/NNP+의/JKG
대주주	대/XPN+주주/NNG
자격으로	자격/NNG+으로/JKB
법적	법/NNG+적/XSN
부담을	부담/NNG+을/JKO
덜며	덜/VV+며/EC
경영진	경영진/NNG
교체를	교체/NNG+를/JKO
강행할	강행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.284.5.1
경영진 교체는 ‘문제 프로그램’ 개편 순서로 이어질 공산이 다분하다.

경영진	경영진/NNG
교체는	교체/NNG+는/JX
‘문제	‘/SS+문제/NNG
프로그램’	프로그램/NNG+’/SS
개편	개편/NNG
순서로	순서/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
다분하다.	다분하/VA+다/EF+./SF


# id : NWRW1800000024.284.5.2
‘피디수첩’과 ‘김미화의 세계는 그리고 우리는’, ‘100분 토론’ 등 정권이 불편해하는 프로그램과 진행자 폐지·교체 논의가 적극 이루어질 것이란 우려가 많다.

‘피디수첩’과	‘/SS+피디/NNG+수첩/NNG+’/SS+과/JC
‘김미화의	‘/SS+김미화/NNP+의/JKG
세계는	세계/NNG+는/JX
그리고	그리고/MAJ
우리는’,	우리/NP+는/JX+’/SS+,/SP
‘100분	‘/SS+100/SN+분/NNB
토론’	토론/NNG+’/SS
등	등/NNB
정권이	정권/NNG+이/JKS
불편해하는	불편/NNG+하/XSA+아/EC+하/VX+는/ETM
프로그램과	프로그램/NNG+과/JC
진행자	진행자/NNG
폐지·교체	폐지/NNG+·/SP+교체/NNG
논의가	논의/NNG+가/JKS
적극	적극/NNG
이루어질	이루어지/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
우려가	우려/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.284.6.1
‘방만경영’이란 논리가 힘을 받으면 공영방송의 이익이 사적으로 전환되는 길이 열린다는 지적도 제기된다.

‘방만경영’이란	‘/SS+방만경영/NNG+’/SS+이/VCP+란/ETM
논리가	논리/NNG+가/JKS
힘을	힘/NNG+을/JKO
받으면	받/VV+으면/EC
공영방송의	공영/NNG+방송/NNG+의/JKG
이익이	이익/NNG+이/JKS
사적으로	사/NNG+적/XSN+으로/JKB
전환되는	전환/NNG+되/XSV+는/ETM
길이	길/NNG+이/JKS
열린다는	열리/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.284.6.2
김서중 성공회대 교수는 “공영방송은 이익을 시청자에게 돌려주는 시스템을 취하지만, 방만경영을 수술하겠다면서 질 높은 공영적 프로그램을 줄여 돈을 쥐어짜면 결국 방송사 이익이 주주배당을 통해 사적 이득으로 변질된다”고 말했다.

김서중	김서중/NNP
성공회대	성공회대/NNP
교수는	교수/NNG+는/JX
“공영방송은	“/SS+공영/NNG+방송/NNG+은/JX
이익을	이익/NNG+을/JKO
시청자에게	시청자/NNG+에게/JKB
돌려주는	돌려주/VV+는/ETM
시스템을	시스템/NNG+을/JKO
취하지만,	취하/VV+지만/EC+,/SP
방만경영을	방만경영/NNG+을/JKO
수술하겠다면서	수술/NNG+하/XSV+겠/EP+다면서/EC
질	질/NNG
높은	높/VA+은/ETM
공영적	공영/NNG+적/XSN
프로그램을	프로그램/NNG+을/JKO
줄여	줄이/VV+어/EC
돈을	돈/NNG+을/JKO
쥐어짜면	쥐어짜/VV+면/EC
결국	결국/MAG
방송사	방송사/NNG
이익이	이익/NNG+이/JKS
주주배당을	주주/NNG+배당/NNG+을/JKO
통해	통하/VV+아/EC
사적	사/NNG+적/XSN
이득으로	이득/NNG+으로/JKB
변질된다”고	변질/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.284.7.1
문화방송 민영화는 방송공사법 및 민영미디어렙 도입과 동시에 형식적·내용적 틀거리가 만들어진다.

문화방송	문화방송/NNP
민영화는	민영/NNG+화/XSN+는/JX
방송공사법	방송/NNG+공사법/NNG
및	및/MAG
민영미디어렙	민영/NNG+미디어렙/NNG
도입과	도입/NNG+과/JKB
동시에	동시/NNG+에/JKB
형식적·내용적	형식/NNG+적/XSN+·/SP+내용/NNG+적/XSN
틀거리가	틀거리/NNG+가/JKS
만들어진다.	만들/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.284.7.2
정부·여당은 방송공사법 제정으로 공영방송 시스템에서 문화방송을 밀어내고, 방문진은 주식 매각을 통한 지분구조 개편을 적극 논의할 것으로 보인다.

정부·여당은	정부/NNG+·/SP+여당/NNG+은/JX
방송공사법	방송/NNG+공사법/NNG
제정으로	제정/NNG+으로/JKB
공영방송	공영/NNG+방송/NNG
시스템에서	시스템/NNG+에서/JKB
문화방송을	문화방송/NNP+을/JKO
밀어내고,	밀어내/VV+고/EC+,/SP
방문진은	방문진/NNG+은/JX
주식	주식/NNG
매각을	매각/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
지분구조	지분/NNG+구조/NNG
개편을	개편/NNG+을/JKO
적극	적극/NNG
논의할	논의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.284.7.3
방문진 이사장이 유력한 김우룡 이사는 지난해 19개 지역 문화방송을 팔아 마련한 5000여억원의 돈으로 정수장학회 지분을 인수한 뒤 방문진 주식 70%를 국민(60%)과 우리사주조합(10%)에 매각하는 방식을 제시한 바 있다.

방문진	방문진/NNG
이사장이	이사장/NNG+이/JKS
유력한	유력/NNG+하/XSA+ㄴ/ETM
김우룡	김우룡/NNP
이사는	이사/NNG+는/JX
지난해	지난해/NNG
19개	19/SN+개/NNB
지역	지역/NNG
문화방송을	문화방송/NNP+을/JKO
팔아	팔/VV+아/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
5000여억원의	5000/SN+여/XSN+억/NR+원/NNB+의/JKG
돈으로	돈/NNG+으로/JKB
정수장학회	정수장학회/NNP
지분을	지분/NNG+을/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
주식	주식/NNG
70%를	70/SN+%/SW+를/JKO
국민(60%)과	국민/NNG+(/SS+60/SN+%/SW+)/SS+과/JC
우리사주조합(10%)에	우리사주조합/NNP+(/SS+10/SN+%/SW+)/SS+에/JKB
매각하는	매각/NNG+하/XSV+는/ETM
방식을	방식/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.284.7.4
김 이사는 <한겨레>와의 통화에서 “엠비시 민영화는 현실적으로 불가능하다고 생각하지만 방송 발전의 토대가 되도록 타인 자본을 조달하는 것은 필요하다”면서도 “교수로서의 의견일 뿐 이사가 된 지금은 아니다.

김	김/NNP
이사는	이사/NNG+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“엠비시	“/SS+엠비시/NNP
민영화는	민영/NNG+화/XSN+는/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
불가능하다고	불/XPN+가능/NNG+하/XSA+다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
방송	방송/NNG
발전의	발전/NNG+의/JKG
토대가	토대/NNG+가/JKC
되도록	되/VV+도록/EC
타인	타인/NNG
자본을	자본/NNG+을/JKO
조달하는	조달/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
필요하다”면서도	필요/NNG+하/XSA+다/EF+”/SS+면서/EC+도/JX
“교수로서의	“/SS+교수/NNG+로서/JKB+의/JKG
의견일	의견/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
이사가	이사/NNG+가/JKC
된	되/VV+ㄴ/ETM
지금은	지금/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000024.284.7.5
민영화는 다른 이사들과 논의해서 결정할 문제”라고 밝혔다.

민영화는	민영/NNG+화/XSN+는/JX
다른	다른/MMD
이사들과	이사/NNG+들/XSN+과/JKB
논의해서	논의/NNG+하/XSV+아서/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
문제”라고	문제/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.284.8.1
민영미디어렙은 민영화를 반대하는 문화방송 구성원들을 설득하는 ‘아킬레스건’으로 활용될 가능성이 있다.

민영미디어렙은	민영/NNG+미디어렙/NNG+은/JX
민영화를	민영/NNG+화/XSN+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
문화방송	문화방송/NNP
구성원들을	구성원/NNG+들/XSN+을/JKO
설득하는	설득/NNG+하/XSV+는/ETM
‘아킬레스건’으로	‘/SS+아킬레스건/NNG+’/SS+으로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.284.8.2
갈수록 심해지는 경영압박 속에서 문화방송이 공영미디어렙 잔류를 고수하기란 쉽지 않은 게 사실이다.

갈수록	갈수록/MAG
심해지는	심하/VA+아/EC+지/VX+는/ETM
경영압박	경영/NNG+압박/NNG
속에서	속/NNG+에서/JKB
문화방송이	문화방송/NNP+이/JKS
공영미디어렙	공영/NNG+미디어렙/NNG
잔류를	잔류/NNG+를/JKO
고수하기란	고수/NNG+하/XSV+기/ETN+란/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
게	거/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.284.8.3
민영미디어렙은 도입을 결사반대하는 지역 문화방송과 서울 문화방송의 이해관계가 부딪히는 지점이기도 하다.

민영미디어렙은	민영/NNG+미디어렙/NNG+은/JX
도입을	도입/NNG+을/JKO
결사반대하는	결사반대/NNG+하/XSV+는/ETM
지역	지역/NNG
문화방송과	문화방송/NNP+과/JC
서울	서울/NNP
문화방송의	문화방송/NNP+의/JKG
이해관계가	이해관계/NNG+가/JKS
부딪히는	부딪히/VV+는/ETM
지점이기도	지점/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000024.284.8.4
서울 문화방송 한 관계자는 “정권이 미디어렙 문제를 민영화 추진과 연결시켜 정치적으로 활용하고 있는 지금 사내에서 미디어렙의 방향을 입에 올리는 것은 금기와도 같다”며 곤혹스러워했다.

서울	서울/NNP
문화방송	문화방송/NNP
한	한/MMN
관계자는	관계자/NNG+는/JX
“정권이	“/SS+정권/NNG+이/JKS
미디어렙	미디어렙/NNG
문제를	문제/NNG+를/JKO
민영화	민영/NNG+화/XSN
추진과	추진/NNG+과/JKB
연결시켜	연결/NNG+시키/XSV+어/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
활용하고	활용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
지금	지금/MAG
사내에서	사내/NNG+에서/JKB
미디어렙의	미디어렙/NNG+의/JKG
방향을	방향/NNG+을/JKO
입에	입/NNG+에/JKB
올리는	올리/VV+는/ETM
것은	것/NNB+은/JX
금기와도	금기/NNG+와/JKB+도/JX
같다”며	같/VA+다/EF+”/SS+며/EC
곤혹스러워했다.	곤혹/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


