# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.15
metadata : {}


# id : NWRW1800000046.15.1.1
[깨알지식] 독일 國歌는 1·2절은 안부르고 왜 3절만 부르나

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
우선한	우선/NNG+하/XSV+ㄴ/ETM
독일"이라는	독일/NNP+"/SS+이/VCP+라는/ETM
가사로	가사/NNG+로/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.15.3.3
본뜻은 다른 사안보다 독일 통일이 우선이라는 것이다.

본뜻은	본뜻/NNG+은/JX
다른	다른/MMD
사안보다	사안/NNG+보다/JKB
독일	독일/NNP
통일이	통일/NNG+이/JKS
우선이라는	우선/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.15.3.4
2절은 독일의 여성, 충직함, 와인, 노래 등을 칭송하는 내용이다.

2절은	2/SN+절/NNG+은/JX
독일의	독일/NNP+의/JKG
여성,	여성/NNG+,/SP
충직함,	충직/NNG+하/XSA+ㅁ/ETN+,/SP
와인,	와인/NNG+,/SP
노래	노래/NNG
등을	등/NNB+을/JKO
칭송하는	칭송/NNG+하/XSV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.15.3.5
민주주의와 통일에 대한 의식이 고조됐던 19세기를 반영한 결과다.

민주주의와	민주주의/NNG+와/JC
통일에	통일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의식이	의식/NNG+이/JKS
고조됐던	고조/NNG+되/XSV+었/EP+던/ETM
19세기를	19/SN+세기/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.15.3.6
독일 최초 공화국 바이마르공화국은 그 점을 높이 평가해 이 곡을 1922년 국가로 삼았다.

독일	독일/NNP
최초	최초/NNG
공화국	공화국/NNG
바이마르공화국은	바이마르공화국/NNP+은/JX
그	그/MMD
점을	점/NNG+을/JKO
높이	높이/MAG
평가해	평가/NNG+하/XSV+아/EC
이	이/MMD
곡을	곡/NNG+을/JKO
1922년	1922/SN+년/NNB
국가로	국가/NNG+로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.15.4.1
이후 등장한 나치는 1절을 좋아했다.

이후	이후/NNG
등장한	등장/NNG+하/XSV+ㄴ/ETM
나치는	나치/NNP+는/JX
1절을	1/SN+절/NNG+을/JKO
좋아했다.	좋아하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.15.4.2
"모든 것에 우선한 독일"이란 부분을 "독일이 최고"라고 해석했다.

"모든	"/SS+모든/MMN
것에	것/NNB+에/JKB
우선한	우선/NNG+하/XSV+ㄴ/ETM
독일"이란	독일/NNP+"/SS+이/VCP+란/ETM
부분을	부분/NNG+을/JKO
"독일이	"/SS+독일/NNP+이/JKS
최고"라고	최고/NNG+"/SS+라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.15.4.3
1936년 베를린올림픽 개막식에서 히틀러가 스타디움에 들어서자 관중들이 불렀던 노래도 1절이었다.

1936년	1936/SN+년/NNB
베를린올림픽	베를린/NNP+올림픽/NNG
개막식에서	개막식/NNG+에서/JKB
히틀러가	히틀러/NNP+가/JKS
스타디움에	스타디움/NNG+에/JKB
들어서자	들어서/VV+자/EC
관중들이	관중/NNG+들/XSN+이/JKS
불렀던	부르/VV+었/EP+던/ETM
노래도	노래/NNG+도/JX
1절이었다.	1/SN+절/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.15.5.1
2차대전 종전 이후 연합국은 '독일의 노래'를 나치의 상징으로 여겨 금지했다.

2차대전	2/SN+차/NNB+대전/NNG
종전	종전/NNG
이후	이후/NNG
연합국은	연합국/NNG+은/JX
'독일의	'/SS+독일/NNP+의/JKG
노래'를	노래/NNG+'/SS+를/JKO
나치의	나치/NNP+의/JKG
상징으로	상징/NNG+으로/JKB
여겨	여기/VV+어/EC
금지했다.	금지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.15.5.2
논란 끝에 서독 초대 총리 콘라트 아데나워가 당시 대통령 테오도어 호이스에게 "공식 석상에서 3절만 부르는 조건으로 독일의 노래를 다시 국가로 지정해달라"고 요청했고, 독일의 노래는 다시 국가가 됐다.

논란	논란/NNG
끝에	끝/NNG+에/JKB
서독	서독/NNP
초대	초대/NNG
총리	총리/NNG
콘라트	콘라트/NNP
아데나워가	아데나워/NNP+가/JKS
당시	당시/NNG
대통령	대통령/NNG
테오도어	테오도어/NNP
호이스에게	호이스/NNP+에게/JKB
"공식	"/SS+공식/NNG
석상에서	석상/NNG+에서/JKB
3절만	3/SN+절/NNG+만/JX
부르는	부르/VV+는/ETM
조건으로	조건/NNG+으로/JKB
독일의	독일/NNP+의/JKG
노래를	노래/NNG+를/JKO
다시	다시/MAG
국가로	국가/NNG+로/JKB
지정해달라"고	지정/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
요청했고,	요청/NNG+하/XSV+았/EP+고/EC+,/SP
노래는	노래/NNG+는/JX
국가가	국가/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.15.5.3
이후 독일 우파를 중심으로 1~3절 모두를 국가로 재채택하려는 움직임이 벌어지자, 독일 헌법재판소는 1990년 3절만이 국가라고 선포했다.

이후	이후/NNG
독일	독일/NNP
우파를	우파/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
1~3절	1/SN+~/SO+3/SN+절/NNG
모두를	모두/NNG+를/JKO
국가로	국가/NNG+로/JKB
재채택하려는	재/XPN+채택/NNG+하/XSV+려는/ETM
움직임이	움직임/NNG+이/JKS
벌어지자,	벌어지/VV+자/EC+,/SP
헌법재판소는	헌법/NNG+재판소/NNG+는/JX
1990년	1990/SN+년/NNB
3절만이	3/SN+절/NNG+만/JX+이/JKS
국가라고	국가/NNG+이/VCP+라고/EC
선포했다.	선포/NNG+하/XSV+았/EP+다/EF+./SF


