# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.383
metadata : {}


# id : NWRW1800000052.383.1.1
야3당, 백남기 사건 상설특검안 국회 제출

야3당,	야/NNG+3/SN+당/NNG+,/SP
박완주(더민주)·김관영(국민의당)·이정미(정의당) 등 야3당 원내수석부대표는 5일 낮 국회 의안과에 ‘경찰폭력에 의한 백남기 농민 사망사건에 대한 진상규명 등을 위한 특별검사의 수사요구안’을 냈다.

박완주(더민주)·김관영(국민의당)·이정미(정의당)	박완주/NNP+(/SS+더민주/NNP+)/SS+·/SP+김관영/NNP+(/SS+국민의당/NNP+)/SS+·/SP+이정미/NNP+(/SS+정의당/NNP+)/SS
등	등/NNB
야3당	야/NNG+3/SN+당/NNG
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
5일	5/SN+일/NNB
낮	낮/NNG
국회	국회/NNG
의안과에	의안과/NNG+에/JKB
‘경찰폭력에	‘/SS+경찰/NNG+폭력/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
백남기	백남기/NNP
농민	농민/NNG
사망사건에	사망/NNG+사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진상규명	진상/NNG+규명/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
특별검사의	특별/NNG+검사/NNG+의/JKG
수사요구안’을	수사/NNG+요구안/NNG+’/SS+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.383.7.2
특검안에서 야당은 “백 농민의 사인과 관련해 명확한 진상규명을 위해 국회 차원의 청문회를 진행했지만 사건 관계자들의 책임 회피와 은폐, 협조 거부 등으로 진상규명에 한계를 보였다”며 “현재 상황에서 경찰이나 검찰의 자체 수사로는 사건의 실체적 진실규명이 불가능할 것으로 판단되므로 특별검사의 수사를 요청한다”고 요청 이유를 밝혔다.

특검안에서	특검/NNG+안/NNG+에서/JKB
야당은	야당/NNG+은/JX
“백	“/SS+백/NNP
농민의	농민/NNG+의/JKG
사인과	사인/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
명확한	명확하/VA+ㄴ/ETM
진상규명을	진상/NNG+규명/NNG+을/JKO
위해	위하/VV+아/EC
국회	국회/NNG
차원의	차원/NNG+의/JKG
청문회를	청문회/NNG+를/JKO
진행했지만	진행/NNG+하/XSV+았/EP+지만/EC
사건	사건/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
책임	책임/NNG
회피와	회피/NNG+와/JC
은폐,	은폐/NNG+,/SP
협조	협조/NNG
거부	거부/NNG
등으로	등/NNB+으로/JKB
진상규명에	진상/NNG+규명/NNG+에/JKB
한계를	한계/NNG+를/JKO
보였다”며	보이/VV+었/EP+다/EF+”/SS+며/EC
“현재	“/SS+현재/NNG
상황에서	상황/NNG+에서/JKB
경찰이나	경찰/NNG+이나/JC
검찰의	검찰/NNG+의/JKG
자체	자체/NNG
수사로는	수사/NNG+로/JKB+는/JX
사건의	사건/NNG+의/JKG
실체적	실체/NNG+적/XSN
진실규명이	진실/NNG+규명/NNG+이/JKS
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
판단되므로	판단/NNG+되/XSV+므로/EC
특별검사의	특별/NNG+검사/NNG+의/JKG
수사를	수사/NNG+를/JKO
요청한다”고	요청/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
요청	요청/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.383.8.1
특검 대상은 백 농민이 쓰러진 지난해 11월14일 민중총궐기 집회 때 경찰이 규정을 위반해 물대포를 사용함으로써 백 농민을 중태에 빠지게 하고 결국 사망에 이르게 한 사실 등으로, 다소 포괄적으로 표현돼 있다.

특검	특검/NNG
대상은	대상/NNG+은/JX
백	백/NNP
농민이	농민/NNG+이/JKS
쓰러진	쓰러지/VV+ㄴ/ETM
지난해	지난해/NNG
11월14일	11/SN+월/NNB+14/SN+일/NNB
민중총궐기	민중/NNG+총궐기/NNG
집회	집회/NNG
때	때/NNG
경찰이	경찰/NNG+이/JKS
규정을	규정/NNG+을/JKO
위반해	위반/NNG+하/XSV+아/EC
물대포를	물대포/NNG+를/JKO
사용함으로써	사용/NNG+하/XSV+ㅁ/ETN+으로써/JKB
농민을	농민/NNG+을/JKO
중태에	중태/NNG+에/JKB
빠지게	빠지/VV+게/EC
하고	하/VX+고/EC
결국	결국/NNG
사망에	사망/NNG+에/JKB
이르게	이르/VV+게/EC
한	하/VX+ㄴ/ETM
사실	사실/NNG
등으로,	등/NNB+으로/JKB+,/SP
다소	다소/MAG
포괄적으로	포괄/NNG+적/XSN+으로/JKB
표현돼	표현/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.383.8.2
박완주 원내수석은 “조사 범위를 너무 구체적으로 적시하면 특별검사가 지명된 뒤 범위를 두고 또 논란이 있을 수 있다”고 설명했다.

박완주	박완주/NNP
원내수석은	원내/NNG+수석/NNG+은/JX
“조사	“/SS+조사/NNG
범위를	범위/NNG+를/JKO
너무	너무/MAG
구체적으로	구체/NNG+적/XSN+으로/JKB
적시하면	적시/NNG+하/XSV+면/EC
특별검사가	특별/NNG+검사/NNG+가/JKS
지명된	지명/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
두고	두/VV+고/EC
또	또/MAG
논란이	논란/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.383.9.1
야당 쪽은 당초 상설특검법에 따라 대통령이 특별검사를 임명할 경우 정부·여당에 특검이 휘둘릴 수도 있다고 보고 별도의 특별법을 발의하는 방안을 고민했으나, 결국 상설특검법에 따르기로 결론냈다.

야당	야당/NNG
쪽은	쪽/NNB+은/JX
당초	당초/NNG
상설특검법에	상설/NNG+특검법/NNG+에/JKB
따라	따르/VV+아/EC
대통령이	대통령/NNG+이/JKS
특별검사를	특별/NNG+검사/NNG+를/JKO
임명할	임명/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
정부·여당에	정부/NNG+·/SP+여당/NNG+에/JKB
특검이	특검/NNG+이/JKS
휘둘릴	휘둘리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
보고	보/VV+고/EC
별도의	별도/NNG+의/JKG
특별법을	특별법/NNG+을/JKO
발의하는	발의/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
고민했으나,	고민/NNG+하/XSV+았/EP+으나/EC+,/SP
결국	결국/MAG
따르기로	따르/VV+기/ETN+로/JKB
결론냈다.	결론/NNG+내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.383.9.2
김관영 원내수석은 “상설특검제를 이용하기로 한 것은 국회 스스로 만든 제도를 이용할 필요가 있을 뿐 아니라, 그동안 특검 도입에 반대해온 새누리당의 수용 가능성을 높일 방법이라는 판단 때문”이라고 말했다.

김관영	김관영/NNP
원내수석은	원내/NNG+수석/NNG+은/JX
“상설특검제를	“/SS+상설/NNG+특검/NNG+제/XSN+를/JKO
이용하기로	이용/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
국회	국회/NNG
스스로	스스로/MAG
만든	만들/VV+ㄴ/ETM
제도를	제도/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있을	있/VA+을/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
그동안	그동안/NNG
특검	특검/NNG
도입에	도입/NNG+에/JKB
반대해온	반대/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
새누리당의	새누리당/NNP+의/JKG
수용	수용/NNG
가능성을	가능/NNG+성/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
방법이라는	방법/NNG+이/VCP+라는/ETM
판단	판단/NNG
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.383.9.3
특검안이 법제사법위원회를 거쳐 본회의에서 의결되면, 박근혜 대통령의 대선 공약으로 2014년 도입된 ‘상설특검제’의 1호 사건이 된다.

특검안이	특검/NNG+안/NNG+이/JKS
법제사법위원회를	법제/NNG+사법/NNG+위원회/NNG+를/JKO
거쳐	거치/VV+어/EC
본회의에서	본회의/NNG+에서/JKB
의결되면,	의결/NNG+되/XSV+면/EC+,/SP
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
대선	대선/NNG
공약으로	공약/NNG+으로/JKB
2014년	2014/SN+년/NNB
도입된	도입/NNG+되/XSV+ㄴ/ETM
‘상설특검제’의	‘/SS+상설/NNG+특검/NNG+제/XSN+’/SS+의/JKG
1호	1/SN+호/NNB
사건이	사건/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.383.10.1
하지만 김재수 농림수산식품부 장관 해임건의안 정국을 거치며 여당이 와신상담하는 중이어서 특검안의 본회의 통과 전망은 불투명하다.

하지만	하지만/MAJ
김재수	김재수/NNP
농림수산식품부	농림/NNG+수산/NNG+식품부/NNG
장관	장관/NNG
해임건의안	해임/NNG+건의안/NNG
정국을	정국/NNG+을/JKO
거치며	거치/VV+며/EC
여당이	여당/NNG+이/JKS
와신상담하는	와신상담/NNG+하/XSV+는/ETM
중이어서	중/NNB+이/VCP+어서/EC
특검안의	특검/NNG+안/NNG+의/JKG
본회의	본회의/NNG
통과	통과/NNG
전망은	전망/NNG+은/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000052.383.10.2
앞서 지난 2월 세월호 특별조사위원회가 제출한 세월호 참사 특검안의 경우에도 여야가 대립하다 여당이 위원장을 맡은 법사위의 문턱을 넘지 못했다.

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
세월호	세월호/NNP
특별조사위원회가	특별/NNG+조사/NNG+위원회/NNG+가/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
참사	참사/NNG
특검안의	특검/NNG+안/NNG+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
여야가	여야/NNG+가/JKS
대립하다	대립/NNG+하/XSV+다/EC
여당이	여당/NNG+이/JKS
위원장을	위원장/NNG+을/JKO
맡은	맡/VV+은/ETM
법사위의	법사위/NNG+의/JKG
문턱을	문턱/NNG+을/JKO
넘지	넘/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.383.10.3
당장 이날 특검안이 제출되자마자 김정재 새누리당 원내대변인은 브리핑을 통해 “고인의 죽음을 정쟁의 도구로 이용하려는 야당의 의도가 아닌가 하는 우려가 앞선다.

당장	당장/NNG
이날	이날/NNG
특검안이	특검/NNG+안/NNG+이/JKS
제출되자마자	제출/NNG+되/XSV+자마자/EC
김정재	김정재/NNP
새누리당	새누리당/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
“고인의	“/SS+고인/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
정쟁의	정쟁/NNG+의/JKG
도구로	도구/NNG+로/JKB
이용하려는	이용/NNG+하/XSV+려는/ETM
야당의	야당/NNG+의/JKG
의도가	의도/NNG+가/JKC
아닌가	아니/VCN+ㄴ가/EF
하는	하/VV+는/ETM
우려가	우려/NNG+가/JKS
앞선다.	앞서/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.383.10.4
우여곡절 끝에 정상화된 국회가 또다시 정쟁의 장으로 전락할 것을 심히 우려한다”고 밝혔다.

우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
정상화된	정상/NNG+화/XSN+되/XSV+ㄴ/ETM
국회가	국회/NNG+가/JKS
또다시	또다시/MAG
정쟁의	정쟁/NNG+의/JKG
장으로	장/NNG+으로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
심히	심히/MAG
우려한다”고	우려/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


