# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.26
metadata : {}


# id : NWRW1800000046.26.1.1
"신문사 으깨자" "광고 끊어야"… 日, 또 언론 입막기

"신문사	"/SS+신문사/NNG
미국	미국/NNP
워싱턴포스트에	워싱턴포스트/NNP+에/JKB
"일본군이	"/SS+일본군/NNG+이/JKS
본인	본인/NNG
의사에	의사/NNG+에/JKB
반해	반하/VV+아/EC
매춘을	매춘/NNG+을/JKO
강요했다는	강요/NNG+하/XSV+았/EP+다는/ETM
증거가	증거/NNG+가/JKS
없다"는	없/VA+다/EF+"/SS+는/ETM
광고를	광고/NNG+를/JKO
냈던	내/VV+었/EP+던/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.26.11.2
일본 주요 언론사 중, 기하라가 조직한 모임에서 "신문사를 으깨버리겠다"는 말이 오갔다는 기사를 비중 있게 보도한 곳은 마이니치·아사히를 제외하면 거의 없었다.

일본	일본/NNP
주요	주요/NNG
언론사	언론사/NNG
중,	중/NNB+,/SP
기하라가	기하라/NNP+가/JKS
조직한	조직/NNG+하/XSV+ㄴ/ETM
모임에서	모임/NNG+에서/JKB
"신문사를	"/SS+신문사/NNG+를/JKO
으깨버리겠다"는	으깨/VV+어/EC+버리/VX+겠/EP+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
오갔다는	오가/VV+았/EP+다는/ETM
기사를	기사/NNG+를/JKO
비중	비중/NNG
있게	있/VA+게/EC
보도한	보도/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
마이니치·아사히를	마이니치/NNP+·/SP+아사히/NNP+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
거의	거의/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.26.11.3
스가 장관은 이날 "일본은 언론의 자유가 있다"고 했다.

스가	스가/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
"일본은	"/SS+일본/NNP+은/JX
언론의	언론/NNG+의/JKG
자유가	자유/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


