# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.305
metadata : {}


# id : NWRW1800000054.305.1.1
[萬物相] 커피집 10만개의 그늘

[萬物相]	[/SS+萬物相/SH+]/SS
커피가	커피/NNG+가/JKS
250억잔이란다.	250/SN+억/NR+잔/NNG+이/VCP+란다/EF+./SF


# id : NWRW1800000054.305.3.6
1인당 500잔꼴이다.

1인당	1/SN+인/NNG+당/XSN
500잔꼴이다.	500/SN+잔/NNG+꼴/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.3.7
이 시장을 겨냥해 커피집 창업이 점점 늘어나 커피 전문점이 9만개에 달한다.

이	이/MMD
시장을	시장/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
커피집	커피집/NNG
창업이	창업/NNG+이/JKS
점점	점점/MAG
늘어나	늘어나/VV+아/EC
커피	커피/NNG
전문점이	전문점/NNG+이/JKS
9만개에	9/SN+만/NR+개/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.305.3.8
커피와 디저트 파는 가게까지 합하면 커피집 10만개 시대다.

커피와	커피/NNG+와/JC
디저트	디저트/NNG
파는	팔/VV+는/ETM
가게까지	가게/NNG+까지/JX
합하면	합/NNG+하/XSV+면/EC
커피집	커피집/NNG
10만개	10/SN+만/NR+개/NNB
시대다.	시대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.3.9
커피집이 치킨집, 동네 편의점보다도 많아졌다.

커피집이	커피집/NNG+이/JKS
치킨집,	치킨집/NNG+,/SP
동네	동네/NNG
편의점보다도	편의점/NNG+보다/JKB+도/JX
많아졌다.	많아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.305.4.1
▶'스벅 덕후'라는 말이 있다.

▶'스벅	▶/SW+'/SS+스벅/NNP
덕후'라는	덕후/NNG+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.305.4.2
스벅은 커피점 브랜드 스타벅스의 줄임말이다.

스벅은	스벅/NNP+은/JX
커피점	커피점/NNG
브랜드	브랜드/NNG
스타벅스의	스타벅스/NNP+의/JKG
줄임말이다.	줄임/NNG+말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.4.3
덕후는 한 분야에 열중하는 사람이라는 뜻으로 쓰이는 일본어 '오타쿠'를 네티즌들이 '오덕후'로 부르면서 생겨난 유행어다.

덕후는	덕후/NNG+는/JX
한	한/MMN
분야에	분야/NNG+에/JKB
열중하는	열중/NNG+하/XSV+는/ETM
사람이라는	사람/NNG+이/VCP+라는/ETM
뜻으로	뜻/NNG+으로/JKB
쓰이는	쓰이/VV+는/ETM
일본어	일본어/NNP
'오타쿠'를	'/SS+오타쿠/NNG+'/SS+를/JKO
네티즌들이	네티즌/NNG+들/XSN+이/JKS
'오덕후'로	'/SS+오덕후/NNG+'/SS+로/JKB
부르면서	부르/VV+면서/EC
생겨난	생겨나/VV+ㄴ/ETM
유행어다.	유행어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.4.4
'스벅 덕후'가 많은 덕에 스타벅스 코리아는 작년에 1조원도 넘는 매출을 올렸다.

'스벅	'/SS+스벅/NNP
덕후'가	덕후/NNG+'/SS+가/JKS
많은	많/VA+은/ETM
덕에	덕/NNG+에/JKB
스타벅스	스타벅스/NNP
코리아는	코리아/NNP+는/JX
작년에	작년/NNG+에/JKB
1조원도	1/SN+조/NR+원/NNB+도/JX
넘는	넘/VV+는/ETM
매출을	매출/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.305.4.5
커피점으로 매출 1조원을 넘기는 국내 처음이고, 전 세계에서도 미국, 캐나다, 중국, 일본에 이어 5번째다.

커피점으로	커피점/NNG+으로/JKB
매출	매출/NNG
1조원을	1/SN+조/NR+원/NNB+을/JKO
넘기는	넘기/VV+는/ETM
국내	국내/NNG
처음이고,	처음/NNG+이/VCP+고/EC+,/SP
전	전/MMN
세계에서도	세계/NNG+에서/JKB+도/JX
미국,	미국/NNP+,/SP
캐나다,	캐나다/NNP+,/SP
중국,	중국/NNP+,/SP
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
5번째다.	5/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.4.6
미국 시애틀은 부슬부슬 내리는 비가 잦은 탓에 스타벅스를 키웠다는데 한국에서 이런 현상이 일어나는 이유는 무엇일까.

미국	미국/NNP
시애틀은	시애틀/NNP+은/JX
부슬부슬	부슬부슬/MAG
내리는	내리/VV+는/ETM
비가	비/NNG+가/JKS
잦은	잦/VA+은/ETM
탓에	탓/NNG+에/JKB
스타벅스를	스타벅스/NNP+를/JKO
키웠다는데	키우/VV+었/EP+다는데/EC
한국에서	한국/NNP+에서/JKB
이런	이런/MMD
현상이	현상/NNG+이/JKS
일어나는	일어나/VV+는/ETM
이유는	이유/NNG+는/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000054.305.5.1
▶진한 에스프레소를 즐기는 이탈리아에는 커피 파는 바가 15만개 가까이 된다.

▶진한	▶/SW+진하/VA+ㄴ/ETM
에스프레소를	에스프레소/NNG+를/JKO
즐기는	즐기/VV+는/ETM
이탈리아에는	이탈리아/NNP+에/JKB+는/JX
커피	커피/NNG
파는	팔/VV+는/ETM
바가	바/NNG+가/JKS
15만개	15/SN+만/NR+개/NNB
가까이	가까이/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.305.5.2
이탈리아 사람 406명당 하나꼴이다.

이탈리아	이탈리아/NNP
사람	사람/NNG
406명당	406/SN+명/NNB+당/XSN
하나꼴이다.	하나/NR+꼴/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.5.3
보통 에스프레소 한 잔에 1유로(1200원), 카푸치노도 1.5유로(1800원) 정도로 부담없이 즐기는 생활의 일부다.

보통	보통/MAG
에스프레소	에스프레소/NNG
한	한/MMN
잔에	잔/NNG+에/JKB
1유로(1200원),	1/SN+유로/NNB+(/SS+1200/SN+원/NNB+)/SS+,/SP
카푸치노도	카푸치노/NNG+도/JX
1.5유로(1800원)	1/SN+./SP+5/SN+유로/NNB+(/SS+1800/SN+원/NNB+)/SS
정도로	정도/NNG+로/JKB
부담없이	부담/NNG+없이/MAG
즐기는	즐기/VV+는/ETM
생활의	생활/NNG+의/JKG
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.5.4
우리나라도 인구당 커피집 수는 얼추 '카페의 본고장' 이탈리아와 비슷해졌는데 커피값도 비싸고 시장 상황은 딴판이다.

우리나라도	우리나라/NNG+도/JX
인구당	인구/NNG+당/XSN
커피집	커피집/NNG
수는	수/NNG+는/JX
얼추	얼추/MAG
'카페의	'/SS+카페/NNG+의/JKG
본고장'	본고장/NNG+'/SS
이탈리아와	이탈리아/NNP+와/JKB
비슷해졌는데	비슷하/VA+아/EC+지/VX+었/EP+는데/EC
커피값도	커피값/NNG+도/JX
비싸고	비싸/VA+고/EC
시장	시장/NNG
상황은	상황/NNG+은/JX
딴판이다.	딴판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.305.5.5
한국 경제 비슷하게 양극화가 너무 심하다.

한국	한국/NNP
경제	경제/NNG
비슷하게	비슷하/VA+게/EC
양극화가	양극/NNG+화/XSN+가/JKS
너무	너무/MAG
심하다.	심하/VA+다/EF+./SF


# id : NWRW1800000054.305.6.1
▶한 토종 커피점 체인은 점포를 1000개까지 늘리며 기세를 올렸지만 경쟁에서 살아남지 못해 최근 자본 잠식 상태에 빠졌다.

▶한	▶/SW+한/MMN
토종	토종/NNG
커피점	커피점/NNG
체인은	체인/NNG+은/JX
점포를	점포/NNG+를/JKO
1000개까지	1000/SN+개/NNB+까지/JX
늘리며	늘리/VV+며/EC
기세를	기세/NNG+를/JKO
올렸지만	올리/VV+었/EP+지만/EC
경쟁에서	경쟁/NNG+에서/JKB
살아남지	살아남/VV+지/EC
못해	못하/VX+아/EC
최근	최근/NNG
자본	자본/NNG
잠식	잠식/NNG
상태에	상태/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.305.6.2
이 커피 전문점으로 창업한 사람들은 창업 자금을 다 날리게 됐다.

이	이/MMD
커피	커피/NNG
전문점으로	전문점/NNG+으로/JKB
창업한	창업/NNG+하/XSV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
창업	창업/NNG
자금을	자금/NNG+을/JKO
다	다/MAG
날리게	날리/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.305.6.3
최근엔 점심값보다 비싼 커피에 맞서 저가 브랜드들이 속속 등장했다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
점심값보다	점심값/NNG+보다/JKB
비싼	비싸/VA+ㄴ/ETM
커피에	커피/NNG+에/JKB
맞서	맞서/VV+어/EC
저가	저가/NNG
브랜드들이	브랜드/NNG+들/XSN+이/JKS
속속	속속/MAG
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.305.6.4
900원짜리 아메리카노 커피를 파는 브랜드까지 등장했다.

900원짜리	900/SN+원/NNB+짜리/XSN
아메리카노	아메리카노/NNG
커피를	커피/NNG+를/JKO
파는	팔/VV+는/ETM
브랜드까지	브랜드/NNG+까지/JX
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.305.6.5
커피 한 잔에 여유와 위안을 누리는 소비자들은 커피집 늘어나고 가격이 내려갈수록 선택권이 늘어나 즐겁지만, 커피집 주인들의 마음은 그와는 정반대일 듯싶다.

커피	커피/NNG
한	한/MMN
잔에	잔/NNG+에/JKB
여유와	여유/NNG+와/JC
위안을	위안/NNG+을/JKO
누리는	누리/VV+는/ETM
소비자들은	소비자/NNG+들/XSN+은/JX
커피집	커피집/NNG
늘어나고	늘어나/VV+고/EC
가격이	가격/NNG+이/JKS
내려갈수록	내려가/VV+ㄹ수록/EC
선택권이	선택/NNG+권/XSN+이/JKS
늘어나	늘어나/VV+아/EC
즐겁지만,	즐겁/VA+지만/EC+,/SP
주인들의	주인/NNG+들/XSN+의/JKG
마음은	마음/NNG+은/JX
그와는	그/NP+와/JKB+는/JX
정반대일	정반대/NNG+이/VCP+ㄹ/ETM
듯싶다.	듯/NNB+싶/VX+다/EF+./SF


