# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.335
metadata : {}


# id : NWRW1800000030.335.1.1
총리·장관 등 고위공무원 4600명 전자여권 정보 유출

총리·장관	총리/NNG+·/SP+장관/NNG
국정원(65명), 국방부(999명), 육군본부(285명), 경찰청(39명) 등 신상 자체가 보안사항인 안보 부서 당국자들도 상당수 포함돼 있다.

국정원(65명),	국정원/NNG+(/SS+65/SN+명/NNB+)/SS+,/SP
국방부(999명),	국방부/NNG+(/SS+999/SN+명/NNB+)/SS+,/SP
육군본부(285명),	육군/NNG+본부/NNG+(/SS+285/SN+명/NNB+)/SS+,/SP
경찰청(39명)	경찰청/NNG+(/SS+39/SN+명/NNB+)/SS
등	등/NNB
신상	신상/NNG
자체가	자체/NNG+가/JKS
보안사항인	보안/NNG+사항/NNG+이/VCP+ㄴ/ETM
안보	안보/NNG
부서	부서/NNG
당국자들도	당국자/NNG+들/XSN+도/JX
상당수	상당수/NNG
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


