# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.82
metadata : {}


# id : NWRW1800000033.82.1.1
인도까지 반발… ‘中여권 지도’ 파문 확산

인도까지	인도/NNP+까지/JX
공식	공식/NNG
반발하며	반발/NNG+하/XSV+며/EC
대응책	대응책/NNG
마련에	마련/NNG+에/JKB
나서	나서/VV+어/EC
파문이	파문/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.82.4.1
25일 AP통신과 홍콩 사우스차이나모닝포스트 등에 따르면 살만 쿠르시드 인도 외교장관은 “(중국과의 분쟁지역인) 아루나찰프라데시와 히말라야 일대의 아커싸이친이 중국 영토로 들어간 여권을 받아들일 수 없다”고 24일 비난했다.

25일	25/SN+일/NNB
AP통신과	AP통신/NNP+과/JC
홍콩	홍콩/NNP
사우스차이나모닝포스트	사우스차이나모닝포스트/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
살만	살만/NNP
쿠르시드	쿠르시드/NNP
인도	인도/NNP
외교장관은	외교/NNG+장관/NNG+은/JX
“(중국과의	“/SS+(/SS+중국/NNP+과/JKB+의/JKG
분쟁지역인)	분쟁/NNG+지역/NNG+이/VCP+ㄴ/ETM+)/SS
아루나찰프라데시와	아루나찰프라데시/NNP+와/JC
히말라야	히말라야/NNP
일대의	일대/NNG+의/JKG
아커싸이친이	아커싸이친/NNP+이/JKS
중국	중국/NNP
영토로	영토/NNG+로/JKB
들어간	들어가/VV+ㄴ/ETM
여권을	여권/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
24일	24/SN+일/NNB
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.82.4.2
인도는 즉각 중국인에게 발급하는 비자에 문제의 두 지역이 인도 영토로 양각된 지도를 새겨 발급하는 등 정면 대응에 나섰다.

인도는	인도/NNP+는/JX
즉각	즉각/MAG
중국인에게	중국인/NNG+에게/JKB
발급하는	발급/NNG+하/XSV+는/ETM
비자에	비자/NNG+에/JKB
문제의	문제/NNG+의/JKG
두	두/MMN
지역이	지역/NNG+이/JKS
인도	인도/NNP
영토로	영토/NNG+로/JKB
양각된	양각/NNG+되/XSV+ㄴ/ETM
지도를	지도/NNG+를/JKO
새겨	새기/VV+어/EC
등	등/NNB
정면	정면/NNG
대응에	대응/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.82.4.3
인도 일간지 ‘더 힌두’는 “말 대신 행동에 착수하는 게 낫다고 인도 정부가 판단한 것으로 보인다”고 밝혔다.

인도	인도/NNP
일간지	일간지/NNG
‘더	‘/SS+더/NNP
힌두’는	힌두/NNP+’/SS+는/JX
“말	“/SS+말/NNG
대신	대신/NNG
행동에	행동/NNG+에/JKB
착수하는	착수/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
낫다고	낫/VA+다고/EC
정부가	정부/NNG+가/JKS
판단한	판단/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.82.5.1
아커싸이친은 현재 중국이 통제하고, 아루나찰프라데시는 인도가 지배하고 있다.

아커싸이친은	아커싸이친/NNP+은/JX
현재	현재/MAG
중국이	중국/NNP+이/JKS
통제하고,	통제/NNG+하/XSV+고/EC+,/SP
아루나찰프라데시는	아루나찰프라데시/NNP+는/JX
인도가	인도/NNP+가/JKS
지배하고	지배/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.82.5.2
양측은 1962년 유혈 무력충돌까지 벌이며 두 지역 전부에 대한 영유권을 주장해 왔다.

양측은	양측/NNG+은/JX
1962년	1962/SN+년/NNB
유혈	유혈/NNG
무력충돌까지	무력/NNG+충돌/NNG+까지/JX
벌이며	벌이/VV+며/EC
두	두/MMN
지역	지역/NNG
전부에	전부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영유권을	영유/NNG+권/XSN+을/JKO
주장해	주장/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.82.5.3
하지만 지금까지 14차례의 국경선 획정 협상을 벌였으나 타결되지 않고 있다.

하지만	하지만/MAJ
지금까지	지금/NNG+까지/JX
14차례의	14/SN+차례/NNG+의/JKG
국경선	국경선/NNG
획정	획정/NNG
협상을	협상/NNG+을/JKO
벌였으나	벌이/VV+었/EP+으나/EC
타결되지	타결/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.82.5.4
사안을 더는 확대하지 않겠다는 양국 간의 전술적 선택도 있는 것으로 보인다.

사안을	사안/NNG+을/JKO
더는	더/MAG+는/JX
확대하지	확대/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
양국	양국/NNG
간의	간/NNB+의/JKG
전술적	전술/NNG+적/XSN
선택도	선택/NNG+도/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.82.5.5
하지만 중국이 여권에 영토 지도를 넣으면서 양국의 외교적 묵계가 깨져 버린 것이다.

하지만	하지만/MAJ
중국이	중국/NNP+이/JKS
여권에	여권/NNG+에/JKB
영토	영토/NNG
지도를	지도/NNG+를/JKO
넣으면서	넣/VV+으면서/EC
양국의	양국/NNG+의/JKG
외교적	외교/NNG+적/XSN
묵계가	묵계/NNG+가/JKS
깨져	깨지/VV+어/EC
버린	버리/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.82.6.1
앞서 중국은 5월부터 주변의 영유권 분쟁 지역을 모두 자국 영토로 표시한 지도와 대만의 명승지 사진을 넣은 새 여권을 배포해 왔다.

앞서	앞서/MAG
중국은	중국/NNP+은/JX
5월부터	5/SN+월/NNB+부터/JX
주변의	주변/NNG+의/JKG
영유권	영유/NNG+권/XSN
분쟁	분쟁/NNG
지역을	지역/NNG+을/JKO
모두	모두/MAG
자국	자국/NNG
영토로	영토/NNG+로/JKB
표시한	표시/NNG+하/XSV+ㄴ/ETM
지도와	지도/NNG+와/JC
대만의	대만/NNP+의/JKG
명승지	명승지/NNG
사진을	사진/NNG+을/JKO
넣은	넣/VV+은/ETM
새	새/MMA
여권을	여권/NNG+을/JKO
배포해	배포/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.82.6.2
여기에는 베트남 필리핀 말레이시아 브루나이와 갈등을 빚고 있는 남중국해의 난사(南沙) 군도와 시사(西沙) 군도, 일본과 물리적 대결을 벌인 댜오위다오(釣魚島·일본명 센카쿠·尖閣 열도) 등도 포함됐다.

여기에는	여기/NP+에/JKB+는/JX
베트남	베트남/NNP
필리핀	필리핀/NNP
말레이시아	말레이시아/NNP
브루나이와	브루나이/NNP+와/JKB
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
남중국해의	남중국해/NNP+의/JKG
난사(南沙)	난사/NNP+(/SS+南沙/SH+)/SS
군도와	군도/NNG+와/JC
시사(西沙)	시사/NNP+(/SS+西沙/SH+)/SS
군도,	군도/NNG+,/SP
일본과	일본/NNP+과/JKB
물리적	물리/NNG+적/XSN
대결을	대결/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
댜오위다오(釣魚島·일본명	댜오위다오/NNP+(/SS+釣魚島/SH+·/SP+일본/NNP+명/NNG
센카쿠·尖閣	센카쿠/NNP+·/SP+尖閣/SH
열도)	열도/NNG+)/SS
등도	등/NNB+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.82.7.1
뒤늦게 이 사실을 안 베트남 필리핀 대만 등 관련국이 강력히 반발했다.

뒤늦게	뒤늦/VA+게/EC
이	이/MMD
사실을	사실/NNG+을/JKO
안	알/VV+ㄴ/ETM
베트남	베트남/NNP
필리핀	필리핀/NNP
대만	대만/NNP
등	등/NNB
관련국이	관련국/NNG+이/JKS
강력히	강력히/MAG
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.82.7.2
베트남은 중국의 새 여권을 인정하지 않는다는 항의의 뜻으로 최근 북부 라오까이 접경을 거쳐 입국하려던 중국인들이 제시한 새 여권 100여 개에 ‘무효’ 직인을 찍고 별도의 여행허가서를 발급해 입국을 허용했다.

베트남은	베트남/NNP+은/JX
중국의	중국/NNP+의/JKG
새	새/MMA
여권을	여권/NNG+을/JKO
인정하지	인정/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
항의의	항의/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
최근	최근/MAG
북부	북부/NNG
라오까이	라오까이/NNP
접경을	접경/NNG+을/JKO
거쳐	거치/VV+어/EC
입국하려던	입국/NNG+하/XSV+려던/ETM
중국인들이	중국인/NNG+들/XSN+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
여권	여권/NNG
100여	100/SN+여/XSN
개에	개/NNB+에/JKB
‘무효’	‘/SS+무효/NNG+’/SS
직인을	직인/NNG+을/JKO
찍고	찍/VV+고/EC
별도의	별도/NNG+의/JKG
여행허가서를	여행/NNG+허가서/NNG+를/JKO
발급해	발급/NNG+하/XSV+아/EC
입국을	입국/NNG+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.82.7.3
중국의 새 여권에 입국 확인 직인을 찍으면 여권 지도상의 국경을 사실상 인정하기 때문이라는 것이다.

중국의	중국/NNP+의/JKG
새	새/MMA
여권에	여권/NNG+에/JKB
입국	입국/NNG
확인	확인/NNG
직인을	직인/NNG+을/JKO
찍으면	찍/VV+으면/EC
여권	여권/NNG
지도상의	지도/NNG+상/XSN+의/JKG
국경을	국경/NNG+을/JKO
사실상	사실/NNG+상/XSN
인정하기	인정/NNG+하/XSV+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.82.8.1
이번 사안은 근본적으로 ‘힘의 외교’를 본격화하고 있는 중국의 새 주변국 정책에서 기인한 것으로 풀이된다.

이번	이번/NNG
사안은	사안/NNG+은/JX
근본적으로	근본/NNG+적/XSN+으로/JKB
‘힘의	‘/SS+힘/NNG+의/JKG
외교’를	외교/NNG+’/SS+를/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있는	있/VX+는/ETM
중국의	중국/NNP+의/JKG
새	새/MMA
주변국	주변국/NNG
정책에서	정책/NNG+에서/JKB
기인한	기인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.82.9.1
공산당 기관지 런민(人民)일보는 23일 ‘중국의 새 지도부는 어떤 외교노선을 갈 것인가’라는 해외판 칼럼에서 “공산당 제18차 전국대표대회에서 우리는 국가주권과 안전, 발전이익을 지키고 어떠한 외부의 압력에도 절대 굴복하지 않을 것임을 밝혔다”며 “중국이 (외교 정책에서) 화평발전 노선을 견지한다는 것은 국가이익 수호의 권리를 포기한다는 게 아니다”고 강조했다.

공산당	공산당/NNP
기관지	기관지/NNG
런민(人民)일보는	런민/NNP+(/SS+人民/SH+)/SS+일보/NNG+는/JX
23일	23/SN+일/NNB
‘중국의	‘/SS+중국/NNP+의/JKG
새	새/MMA
지도부는	지도부/NNG+는/JX
어떤	어떤/MMD
외교노선을	외교/NNG+노선/NNG+을/JKO
갈	가/VV+ㄹ/ETM
것인가’라는	것/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
해외판	해외판/NNG
칼럼에서	칼럼/NNG+에서/JKB
“공산당	“/SS+공산당/NNP
제18차	제/XPN+18/SN+차/NNB
전국대표대회에서	전국/NNG+대표/NNG+대회/NNG+에서/JKB
우리는	우리/NP+는/JX
국가주권과	국가주권/NNG+과/JC
안전,	안전/NNG+,/SP
발전이익을	발전/NNG+이익/NNG+을/JKO
지키고	지키/VV+고/EC
어떠한	어떠하/VA+ㄴ/ETM
외부의	외부/NNG+의/JKG
압력에도	압력/NNG+에/JKB+도/JX
절대	절대/MAG
굴복하지	굴복/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
밝혔다”며	밝히/VV+었/EP+다/EF+”/SS+며/EC
“중국이	“/SS+중국/NNP+이/JKS
(외교	(/SS+외교/NNG
정책에서)	정책/NNG+에서/JKB+)/SS
화평발전	화평/NNG+발전/NNG
노선을	노선/NNG+을/JKO
견지한다는	견지/NNG+하/XSV+ㄴ다는/ETM
것은	것/NNB+은/JX
국가이익	국가/NNG+이익/NNG
수호의	수호/NNG+의/JKG
권리를	권리/NNG+를/JKO
포기한다는	포기/NNG+하/XSV+ㄴ다는/ETM
게	거/NNB+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.82.10.1
런민일보는 중국 지도부의 의중을 반영하고 있다는 점에서 이날 칼럼은 ‘화평’에 무게를 뒀던 외교 기조의 중심축을 ‘이익 수호’로 점차 옮겨갈 것임을 나타낸 것으로 해석된다.

런민일보는	런민일보/NNP+는/JX
중국	중국/NNP
지도부의	지도부/NNG+의/JKG
의중을	의중/NNG+을/JKO
반영하고	반영/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점에서	점/NNG+에서/JKB
이날	이날/NNG
칼럼은	칼럼/NNG+은/JX
‘화평’에	‘/SS+화평/NNG+’/SS+에/JKB
무게를	무게/NNG+를/JKO
뒀던	두/VV+었/EP+던/ETM
외교	외교/NNG
기조의	기조/NNG+의/JKG
중심축을	중심축/NNG+을/JKO
‘이익	‘/SS+이익/NNG
수호’로	수호/NNG+’/SS+로/JKB
점차	점차/MAG
옮겨갈	옮기/VV+어/EC+가/VX+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
나타낸	나타내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.82.10.2
칼럼은 시진핑(習近平) 총서기 체제의 외교노선이 기존 후진타오(胡錦濤) 국가주석이 내세운 화평발전론을 큰 틀에서 수용하되 필요할 경우 강공 외교도 마다하지 않을 것임을 확실히 한 것이다.

칼럼은	칼럼/NNG+은/JX
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
총서기	총서기/NNG
체제의	체제/NNG+의/JKG
외교노선이	외교/NNG+노선/NNG+이/JKS
기존	기존/NNG
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
국가주석이	국가주석/NNG+이/JKS
내세운	내세우/VV+ㄴ/ETM
화평발전론을	화평/NNG+발전/NNG+론/XSN+을/JKO
큰	크/VA+ㄴ/ETM
틀에서	틀/NNG+에서/JKB
수용하되	수용/NNG+하/XSV+되/EC
필요할	필요/NNG+하/XSA+ㄹ/ETM
경우	경우/NNG
강공	강공/NNG
외교도	외교/NNG+도/JX
마다하지	마다하/VV+지/EC
않을	않/VX+을/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
확실히	확실히/MAG
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


