# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.197
metadata : {}


# id : NWRW1800000025.197.1.1
[월드컵]절반의 성공 ‘신형전차’ 독일 “2014년엔 우승”

[월드컵]절반의	[/SS+월드컵/NNG+]/SS+절반/NNG+의/JKG
독일은 이번 대회에서 강호 잉글랜드와 아르헨티나를 각각 4-1, 4-0으로 꺾으며 젊은 전차군단의 위용을 세계에 알렸다.

독일은	독일/NNP+은/JX
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
강호	강호/NNG
잉글랜드와	잉글랜드/NNP+와/JC
아르헨티나를	아르헨티나/NNP+를/JKO
각각	각각/MAG
4-1,	4/SN+-/SO+1/SN+,/SP
4-0으로	4/SN+-/SO+0/SN+으로/JKB
꺾으며	꺾/VV+으며/EC
젊은	젊/VA+은/ETM
전차군단의	전차/NNG+군단/NNG+의/JKG
위용을	위용/NNG+을/JKO
세계에	세계/NNG+에/JKB
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.197.4.3
강호를 상대로 마음껏 실력을 발휘한 젊은 피들은 독일 축구의 미래를 밝게 했다.

강호를	강호/NNG+를/JKO
상대로	상대/NNG+로/JKB
마음껏	마음껏/MAG
실력을	실력/NNG+을/JKO
발휘한	발휘/NNG+하/XSV+ㄴ/ETM
젊은	젊/VA+은/ETM
피들은	피/NNG+들/XSN+은/JX
독일	독일/NNP
축구의	축구/NNG+의/JKG
미래를	미래/NNG+를/JKO
밝게	밝/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.197.5.1
독일 대표팀의 평균 나이는 25.3세.

독일	독일/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
평균	평균/NNG
나이는	나이/NNG+는/JX
25.3세.	25/SN+./SP+3/SN+세/NNB+./SF


# id : NWRW1800000025.197.5.2
독일이 월드컵에 처음 출전한 1934년 이탈리아 대회(평균 24.2세) 이후 가장 젊다.

독일이	독일/NNP+이/JKS
월드컵에	월드컵/NNG+에/JKB
처음	처음/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
1934년	1934/SN+년/NNB
이탈리아	이탈리아/NNP
대회(평균	대회/NNG+(/SS+평균/NNG
24.2세)	24/SN+./SP+2/SN+세/NNB+)/SS
이후	이후/NNG
가장	가장/MAG
젊다.	젊/VA+다/EF+./SF


# id : NWRW1800000025.197.5.3
독일은 이번 대회를 앞두고 세대교체를 단행했다.

독일은	독일/NNP+은/JX
이번	이번/NNG
대회를	대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
세대교체를	세대교체/NNG+를/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.197.5.4
주전 선수 가운데는 미로슬라프 클로제(32)와 중앙 수비수 아르네 프리드리히(31) 다음으로 주장 필리프 람(27)이 가장 나이가 많다.

주전	주전/NNG
선수	선수/NNG
가운데는	가운데/NNG+는/JX
미로슬라프	미로슬라프/NNP
클로제(32)와	클로제/NNP+(/SS+32/SN+)/SS+와/JC
중앙	중앙/NNG
수비수	수비수/NNG
아르네	아르네/NNP
프리드리히(31)	프리드리히/NNP+(/SS+31/SN+)/SS
다음으로	다음/NNG+으로/JKB
주장	주장/NNG
필리프	필리프/NNP
람(27)이	람/NNP+(/SS+27/SN+)/SS+이/JKS
가장	가장/MAG
나이가	나이/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000025.197.5.5
이번 대회에서 가장 눈에 띄는 활약을 펼친 토마스 뮐러(4골 3어시스트)는 1989년생, 미드필더 메주트 외칠과 수비수 제롬 보아텡은 1988년생이다.

이번	이번/NNG
대회에서	대회/NNG+에서/JKB
가장	가장/MAG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
활약을	활약/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
토마스	토마스/NNP
뮐러(4골	뮐러/NNP+(/SS+4/SN+골/NNG
3어시스트)는	3/SN+어시스트/NNG+)/SS+는/JX
1989년생,	1989/SN+년/NNB+생/XSN+,/SP
미드필더	미드필더/NNG
메주트	메주트/NNP
외칠과	외칠/NNP+과/JC
수비수	수비수/NNG
제롬	제롬/NNP
보아텡은	보아텡/NNP+은/JX
1988년생이다.	1988/SN+년/NNB+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.197.5.6
바스티안 슈바인슈타이거와 피오트르 트로호프스키도 1984년생, 2골을 넣은 루카스 포돌스키는 1985년생이다.

바스티안	바스티안/NNP
슈바인슈타이거와	슈바인슈타이거/NNP+와/JC
피오트르	피오트르/NNP
트로호프스키도	트로호프스키/NNP+도/JX
1984년생,	1984/SN+년/NNB+생/XSN+,/SP
2골을	2/SN+골/NNG+을/JKO
넣은	넣/VV+은/ETM
루카스	루카스/NNP
포돌스키는	포돌스키/NNP+는/JX
1985년생이다.	1985/SN+년/NNB+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.197.6.1
포돌스키를 제외하고는 큰 국제대회 경험이 거의 없는 독일의 젊은 피들은 이번 월드컵에서 뛰어난 경기 운영과 개인기를 선보였다.

포돌스키를	포돌스키/NNP+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
큰	크/VA+ㄴ/ETM
국제대회	국제/NNG+대회/NNG
경험이	경험/NNG+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
독일의	독일/NNP+의/JKG
젊은	젊/VA+은/ETM
피들은	피/NNG+들/XSN+은/JX
이번	이번/NNG
월드컵에서	월드컵/NNG+에서/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
경기	경기/NNG
운영과	운영/NNG+과/JC
개인기를	개인기/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.197.6.2
벌써부터 빅리그로부터 이적 제의가 이어지고 있다.

벌써부터	벌써/MAG+부터/JX
빅리그로부터	빅리그/NNG+로부터/JKB
이적	이적/NNG
제의가	제의/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.197.6.3
빅리그에서 경험을 쌓는다면 발전 가능성은 더 커진다.

빅리그에서	빅리그/NNG+에서/JKB
경험을	경험/NNG+을/JKO
쌓는다면	쌓/VV+는다면/EC
발전	발전/NNG
가능성은	가능/NNG+성/XSN+은/JX
더	더/MAG
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.197.6.4
잉글랜드 대표 출신 축구전문가 크리스 와들은 “이번 월드컵에서 독일의 젊은 선수들은 전 세계 축구팬을 깜짝 놀라게 하는 활약을 펼쳤다.

잉글랜드	잉글랜드/NNP
대표	대표/NNG
출신	출신/NNG
축구전문가	축구/NNG+전문가/NNG
크리스	크리스/NNP
와들은	와들/NNP+은/JX
“이번	“/SS+이번/NNG
월드컵에서	월드컵/NNG+에서/JKB
독일의	독일/NNP+의/JKG
젊은	젊/VA+은/ETM
선수들은	선수/NNG+들/XSN+은/JX
전	전/MMN
세계	세계/NNG
축구팬을	축구/NNG+팬/NNG+을/JKO
깜짝	깜짝/MAG
놀라게	놀라/VV+게/EC
하는	하/VX+는/ETM
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.197.6.5
머지않아 독일의 시대가 올 것이다”라고 평가했다.

머지않아	머지않/VA+아/EC
독일의	독일/NNP+의/JKG
시대가	시대/NNG+가/JKS
올	오/VV+ㄹ/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.197.6.6
많은 잠재력을 가진 독일의 젊은 선수들이 유로 2012와 2014년 브라질 월드컵에서 우승 트로피를 차지할 수 있을지 벌써부터 관심이 쏠린다.

많은	많/VA+은/ETM
잠재력을	잠재력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
독일의	독일/NNP+의/JKG
젊은	젊/VA+은/ETM
선수들이	선수/NNG+들/XSN+이/JKS
유로	유로/NNP
2012와	2012/SN+와/JC
2014년	2014/SN+년/NNB
브라질	브라질/NNP
월드컵에서	월드컵/NNG+에서/JKB
우승	우승/NNG
트로피를	트로피/NNG+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
벌써부터	벌써/MAG+부터/JX
관심이	관심/NNG+이/JKS
쏠린다.	쏠리/VV+ㄴ다/EF+./SF


