# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.342
metadata : {}


# id : NWRW1800000028.342.1.1
유럽, 2년만에 라이더컵 탈환

유럽,	유럽/NNP+,/SP
내줬던	내주/VV+었/EP+던/ETM
우승컵을	우승컵/NNG+을/JKO
되찾았다.	되찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.342.3.4
1927년 시작돼 2년마다 열리는 라이더컵에서 유럽은 2002년과 2004년, 2006년까지 3연승을 달리다 2008년 미국에 패한 바 있다.

1927년	1927/SN+년/NNB
시작돼	시작/NNG+되/XSV+어/EC
2년마다	2/SN+년/NNB+마다/JX
열리는	열리/VV+는/ETM
라이더컵에서	라이더/NNG+컵/NNG+에서/JKB
유럽은	유럽/NNP+은/JX
2002년과	2002/SN+년/NNB+과/JC
2004년,	2004/SN+년/NNB+,/SP
2006년까지	2006/SN+년/NNB+까지/JX
3연승을	3/SN+연승/NNG+을/JKO
달리다	달리/VV+다/EC
2008년	2008/SN+년/NNB
미국에	미국/NNP+에/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.342.4.1
유럽은 전날까지 9.5-6.5로 앞서 우승을 눈앞에 두는 듯했다.

유럽은	유럽/NNP+은/JX
전날까지	전날/NNG+까지/JX
9.5-6.5로	9/SN+./SP+5/SN+-/SO+6/SN+./SP+5/SN+로/JKB
앞서	앞서/MAG
우승을	우승/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
두는	두/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000028.342.4.2
하지만 싱글매치플레이에서는 미국의 반격에 고전했다.

하지만	하지만/MAJ
싱글매치플레이에서는	싱글매치플레이/NNG+에서/JKB+는/JX
미국의	미국/NNP+의/JKG
반격에	반격/NNG+에/JKB
고전했다.	고전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.342.4.3
리 웨스트우드(잉글랜드)가 스티브 스트리커(미국)에 2홀차로 패하며 불안하게 출발했다.

리	리/NNP
웨스트우드(잉글랜드)가	웨스트우드/NNP+(/SS+잉글랜드/NNP+)/SS+가/JKS
스티브	스티브/NNP
스트리커(미국)에	스트리커/NNP+(/SS+미국/NNP+)/SS+에/JKB
2홀차로	2/SN+홀/NNG+차/NNG+로/JKB
패하며	패/NNG+하/XSV+며/EC
불안하게	불안/NNG+하/XSA+게/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.342.4.4
이어 로리 매킬로이(북아일랜드)가 스튜어트 싱크(미국)와 무승부를 기록하며 승점 0.5점을 보태는 데 그쳤다.

이어	이어/MAG
로리	로리/NNP
매킬로이(북아일랜드)가	매킬로이/NNP+(/SS+북아일랜드/NNP+)/SS+가/JKS
스튜어트	스튜어트/NNP
싱크(미국)와	싱크/NNP+(/SS+미국/NNP+)/SS+와/JKB
무승부를	무/XPN+승부/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
승점	승점/NNG
0.5점을	0/SN+./SP+5/SN+점/NNB+을/JKO
보태는	보태/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.342.4.5
그러나 루크 도널드(잉글랜드)와 이언 폴터(잉글랜드), 미겔 앙헬 히메네스(스페인) 등이 이기면서 승기를 잡는 듯 했다.

그러나	그러나/MAJ
루크	루크/NNP
도널드(잉글랜드)와	도널드/NNP+(/SS+잉글랜드/NNP+)/SS+와/JC
이언	이언/NNP
폴터(잉글랜드),	폴터/NNP+(/SS+잉글랜드/NNP+)/SS+,/SP
미겔	미겔/NNP
앙헬	앙헬/NNP
히메네스(스페인)	히메네스/NNP+(/SS+스페인/NNP+)/SS
등이	등/NNB+이/JKS
이기면서	이기/VV+면서/EC
승기를	승기/NNG+를/JKO
잡는	잡/VV+는/ETM
듯	듯/NNB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.342.5.1
미국은 타이거 우즈가 프란체스코 몰리나리(이탈리아)에 4홀차 완승을 거두더니, 필 미켈슨도 페테르 한손(스웨덴)을 4홀차로 꺾고 1점차로 따라붙였다.

미국은	미국/NNP+은/JX
타이거	타이거/NNP
우즈가	우즈/NNP+가/JKS
프란체스코	프란체스코/NNP
몰리나리(이탈리아)에	몰리나리/NNP+(/SS+이탈리아/NNP+)/SS+에/JKB
4홀차	4/SN+홀/NNG+차/NNG
완승을	완승/NNG+을/JKO
거두더니,	거두/VV+더니/EC+,/SP
필	필/NNP
미켈슨도	미켈슨/NNP+도/JX
페테르	페테르/NNP
한손(스웨덴)을	한손/NNP+(/SS+스웨덴/NNP+)/SS+을/JKO
4홀차로	4/SN+홀/NNG+차/NNG+로/JKB
꺾고	꺾/VV+고/EC
1점차로	1/SN+점/NNB+차/NNG+로/JKB
따라붙였다.	따라붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.342.5.2
라이더컵에 처음 출전한 미국의 리키 파울러는 에도아르도 몰리나리(이탈리아)에 내내 끌려다니다 18번홀(파5)에서 극적인 무승부를 만들었고, 잭 존슨(미국)도 파드리그 해링턴(아일랜드)을 꺾어 13.5-13.5 동점이 됐다.

라이더컵에	라이더/NNG+컵/NNG+에/JKB
처음	처음/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
미국의	미국/NNP+의/JKG
리키	리키/NNP
파울러는	파울러/NNP+는/JX
에도아르도	에도아르도/NNP
몰리나리(이탈리아)에	몰리나리/NNP+(/SS+이탈리아/NNP+)/SS+에/JKB
내내	내내/MAG
끌려다니다	끌려다니/VV+다/EC
18번홀(파5)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
무승부를	무/XPN+승부/NNG+를/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
잭	잭/NNP
존슨(미국)도	존슨/NNP+(/SS+미국/NNP+)/SS+도/JX
파드리그	파드리그/NNP
해링턴(아일랜드)을	해링턴/NNP+(/SS+아일랜드/NNP+)/SS+을/JKO
꺾어	꺾/VV+어/EC
13.5-13.5	13/SN+./SP+5/SN+-/SO+13/SN+./SP+5/SN
동점이	동점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.342.6.1
유럽은 마지막으로 나선 그레임 맥도웰이 헌터 메이헌(미국)을 3홀차로 물리치며 승점 1을 추가하면서 승부에 마침표를 찍었다.

유럽은	유럽/NNP+은/JX
마지막으로	마지막/NNG+으로/JKB
나선	나서/VV+ㄴ/ETM
그레임	그레임/NNP
맥도웰이	맥도웰/NNP+이/JKS
헌터	헌터/NNP
메이헌(미국)을	메이헌/NNP+(/SS+미국/NNP+)/SS+을/JKO
3홀차로	3/SN+홀/NNG+차/NNG+로/JKB
물리치며	물리치/VV+며/EC
승점	승점/NNG
1을	1/SN+을/JKO
추가하면서	추가/NNG+하/XSV+면서/EC
승부에	승부/NNG+에/JKB
마침표를	마침표/NNG+를/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


