# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.22
metadata : {}


# id : NWRW1800000029.22.1.1
뉴요커 “10% 비싸도 그린에너지 써요”

뉴요커	뉴요커/NNG
허드슨	허드슨/NNP
강변의	강변/NNG+의/JKG
‘첼시	‘/SS+첼시/NNP
피어’는	피어/NNP+’/SS+는/JX
볼링장,	볼링장/NNG+,/SP
아이스링크,	아이스링크/NNG+,/SP
골프연습장	골프/NNG+연습장/NNG
등을	등/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
맨해튼의	맨해튼/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
스포츠	스포츠/NNG
콤플렉스다.	콤플렉스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.22.4.2
11만 m² 규모인 이곳에서는 3년 전부터 모든 전기를 풍력 발전으로 충당하고 있다.

11만	11/SN+만/NR
m²	m²/SW
규모인	규모/NNG+이/VCP+ㄴ/ETM
이곳에서는	이곳/NP+에서/JKB+는/JX
3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
모든	모든/MMN
전기를	전기/NNG+를/JKO
풍력	풍력/NNG
발전으로	발전/NNG+으로/JKB
충당하고	충당/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.22.4.3
첼시 피어는 또 이면지 사용 의무화, 음식물 쓰레기 줄이기, 일회용 용기 안 쓰기 등 폭넓은 ‘친환경 경영’ 운동을 펼치고 있다.

첼시	첼시/NNP
피어는	피어/NNP+는/JX
또	또/MAG
이면지	이면지/NNG
사용	사용/NNG
의무화,	의무/NNG+화/XSN+,/SP
음식물	음식물/NNG
쓰레기	쓰레기/NNG
줄이기,	줄이/VV+기/ETN+,/SP
일회용	일회/NNG+용/XSN
용기	용기/NNG
안	안/MAG
쓰기	쓰/VV+기/ETN
등	등/NNB
폭넓은	폭넓/VA+은/ETM
‘친환경	‘/SS+친/XPN+환경/NNG
경영’	경영/NNG+’/SS
운동을	운동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.22.4.4
직원 더그 지오다노 씨는 “690여 개에 이르는 건물 내 모든 전등을 에너지 효율이 높은 제품으로 교체해 전기 사용량을 6% 줄였다”고 설명했다.

직원	직원/NNG
더그	더그/NNP
지오다노	지오다노/NNP
씨는	씨/NNB+는/JX
“690여	“/SS+690/SN+여/XSN
개에	개/NNB+에/JKB
이르는	이르/VV+는/ETM
건물	건물/NNG
내	내/NNB
모든	모든/MMN
전등을	전등/NNG+을/JKO
에너지	에너지/NNG
효율이	효율/NNG+이/JKS
높은	높/VA+은/ETM
제품으로	제품/NNG+으로/JKB
교체해	교체/NNG+하/XSV+아/EC
전기	전기/NNG
사용량을	사용량/NNG+을/JKO
6%	6/SN+%/SW
줄였다”고	줄이/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.22.5.1
맨해튼 이스트빌리지의 스윙 헤어살롱도 작년부터 풍력발전을 이용하고 있다.

맨해튼	맨해튼/NNP
이스트빌리지의	이스트빌리지/NNP+의/JKG
스윙	스윙/NNP
헤어살롱도	헤어살롱/NNG+도/JX
작년부터	작년/NNG+부터/JX
풍력발전을	풍력/NNG+발전/NNG+을/JKO
이용하고	이용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.22.5.2
미용실을 운영하는 캐럴라인 홀리 씨는 “한 달에 전기요금으로 이전에 비해 20달러쯤 많은 150달러를 내고 있다”며 “그러나 환경보호에 기여하고 있다는 자부심을 갖게 됐다”고 말했다.

미용실을	미용실/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
캐럴라인	캐럴라인/NNP
홀리	홀리/NNP
씨는	씨/NNB+는/JX
“한	“/SS+한/MMN
달에	달/NNB+에/JKB
전기요금으로	전기/NNG+요금/NNG+으로/JKB
이전에	이전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
20달러쯤	20/SN+달러/NNB+쯤/XSN
많은	많/VA+은/ETM
150달러를	150/SN+달러/NNB+를/JKO
내고	내/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
환경보호에	환경/NNG+보호/NNG+에/JKB
기여하고	기여/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
자부심을	자부심/NNG+을/JKO
갖게	갖/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.22.6.1
브루클린에 있는 게임·휴식공간인 ‘바이케드’도 2004년 개점 직후부터 풍력 전기를 사용하고 있다.

브루클린에	브루클린/NNP+에/JKB
있는	있/VA+는/ETM
게임·휴식공간인	게임/NNG+·/SP+휴식/NNG+공간/NNG+이/VCP+ㄴ/ETM
‘바이케드’도	‘/SS+바이케드/NNP+’/SS+도/JX
2004년	2004/SN+년/NNB
개점	개점/NNG
직후부터	직후/NNG+부터/JX
풍력	풍력/NNG
전기를	전기/NNG+를/JKO
사용하고	사용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.22.6.2
폴 커미지언 사장은 “7년 전 처음 풍력발전을 사용할 때는 일반 전기에 비해 요금이 많이 비쌌지만 요즘은 유가가 올라서 그런지 요금 차가 많이 줄어 10% 정도 비싼 것 같다”고 말했다.

폴	폴/NNP
커미지언	커미지언/NNP
사장은	사장/NNG+은/JX
“7년	“/SS+7/SN+년/NNB
전	전/NNG
처음	처음/NNG
풍력발전을	풍력/NNG+발전/NNG+을/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
일반	일반/NNG
전기에	전기/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
요금이	요금/NNG+이/JKS
많이	많이/MAG
비쌌지만	비싸/VA+았/EP+지만/EC
요즘은	요즘/NNG+은/JX
유가가	유가/NNG+가/JKS
올라서	오르/VV+아서/EC
그런지	그렇/VA+ㄴ지/EC
요금	요금/NNG
차가	차/NNG+가/JKS
줄어	줄/VV+어/EC
10%	10/SN+%/SW
정도	정도/NNG
비싼	비싸/VA+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.22.7.1
뉴욕 주와 코네티컷 주, 매사추세츠 주에 풍력발전을 이용해 전기를 공급하고 있는 콘에디슨 솔루션의 조지 로페즈 최고경영자(CEO)는 “최근 뉴욕을 중심으로 친환경 에너지 사용이 크게 늘고 있다”며 “현재 풍력발전 사용 고객이 2만3000명에 이르며 이 중 5000명은 지난해 새로 가입한 고객”이라고 설명했다.

뉴욕	뉴욕/NNP
주와	주/NNG+와/JC
코네티컷	코네티컷/NNP
주,	주/NNG+,/SP
매사추세츠	매사추세츠/NNP
주에	주/NNG+에/JKB
풍력발전을	풍력/NNG+발전/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
전기를	전기/NNG+를/JKO
공급하고	공급/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
콘에디슨	콘에디슨/NNP
솔루션의	솔루션/NNP+의/JKG
조지	조지/NNP
로페즈	로페즈/NNP
최고경영자(CEO)는	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+는/JX
“최근	“/SS+최근/MAG
뉴욕을	뉴욕/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
친환경	친/XPN+환경/NNG
에너지	에너지/NNG
사용이	사용/NNG+이/JKS
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
풍력발전	풍력/NNG+발전/NNG
사용	사용/NNG
고객이	고객/NNG+이/JKS
2만3000명에	2/SN+만/NR+3000/SN+명/NNB+에/JKB
이르며	이르/VV+며/EC
이	이/MMD
중	중/NNB
5000명은	5000/SN+명/NNB+은/JX
지난해	지난해/NNG
새로	새로/MAG
가입한	가입/NNG+하/XSV+ㄴ/ETM
고객”이라고	고객/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.22.8.1
한편 뉴욕을 상징하는 엠파이어스테이트빌딩은 최근 모든 전력을 뉴저지의 풍력발전소에서 공급받아 충당하기로 결정하고 현재 이에 맞춰 빌딩 개·보수 작업을 하고 있다.

한편	한편/MAG
뉴욕을	뉴욕/NNP+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
엠파이어스테이트빌딩은	엠파이어스테이트빌딩/NNP+은/JX
최근	최근/MAG
모든	모든/MMN
전력을	전력/NNG+을/JKO
뉴저지의	뉴저지/NNP+의/JKG
풍력발전소에서	풍력/NNG+발전소/NNG+에서/JKB
공급받아	공급/NNG+받/XSV+아/EC
충당하기로	충당/NNG+하/XSV+기/ETN+로/JKB
결정하고	결정/NNG+하/XSV+고/EC
현재	현재/MAG
이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
빌딩	빌딩/NNG
개·보수	개·보수/NNG
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.22.8.2
미국의 신재생에너지 기업인 버던트파워는 뉴욕 시 이스트 강에 30개의 수중 터빈 시설을 갖춘 조력발전소를 짓겠다며 1월 미 연방에너지규제위원회(FERC)에 건설 허가 신청서를 냈다.

미국의	미국/NNP+의/JKG
신재생에너지	신/XPN+재생/NNG+에너지/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
버던트파워는	버던트파워/NNP+는/JX
뉴욕	뉴욕/NNP
시	시/NNG
이스트	이스트/NNP
강에	강/NNG+에/JKB
30개의	30/SN+개/NNB+의/JKG
수중	수중/NNG
터빈	터빈/NNG
시설을	시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
조력발전소를	조력/NNG+발전소/NNG+를/JKO
짓겠다며	짓/VV+겠/EP+다며/EC
1월	1/SN+월/NNB
미	미/NNP
연방에너지규제위원회(FERC)에	연방에너지규제위원회/NNP+(/SS+FERC/SL+)/SS+에/JKB
건설	건설/NNG
허가	허가/NNG
신청서를	신청서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


