# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.305
metadata : {}


# id : NWRW1800000053.305.1.1
구직포기 59만명… 고용대책은 책상머리 짜깁기

구직포기	구직/NNG+포기/NNG
대책이	대책/NNG+이/JKS
‘보여주기’식으로	‘/SS+보이/VV+어/EC+주/VX+기/ETN+’/SS+식/NNB+으로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.305.5.1
15일 기획재정부 등에 따르면 정부는 16일 열리는 경제관계장관회의에서 올해 주요 일자리 과제 20여 개를 최종 확정 공개한다.

15일	15/SN+일/NNB
기획재정부	기획/NNG+재정부/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
정부는	정부/NNG+는/JX
16일	16/SN+일/NNB
열리는	열리/VV+는/ETM
경제관계장관회의에서	경제/NNG+관계/NNG+장관/NNG+회의/NNG+에서/JKB
올해	올해/NNG
주요	주요/NNG
일자리	일자리/NNG
과제	과제/NNG
20여	20/SN+여/XSN
개를	개/NNB+를/JKO
최종	최종/NNG
확정	확정/NNG
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.305.5.2
△연구개발특구 육성 △에너지신산업 육성 △특성화고 산업현장 중심 교육 강화 △간호·간병 통합서비스 확산 △시간선택제를 통한 국가공무원 잡 셰어링 활성화 등이 포함됐다.

△연구개발특구	△/SW+연구/NNG+개발/NNG+특구/NNG
육성	육성/NNG
△에너지신산업	△/SW+에너지/NNG+신/XPN+산업/NNG
△특성화고	△/SW+특성화고/NNG
산업현장	산업/NNG+현장/NNG
중심	중심/NNG
교육	교육/NNG
강화	강화/NNG
△간호·간병	△/SW+간호/NNG+·/SP+간병/NNG
통합서비스	통합/NNG+서비스/NNG
확산	확산/NNG
△시간선택제를	△/SW+시간/NNG+선택/NNG+제/XSN+를/JKO
통한	통하/VV+ㄴ/ETM
국가공무원	국가/NNG+공무원/NNG
잡	잡/NNG
셰어링	셰어링/NNG
활성화	활성/NNG+화/XSN
등이	등/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.305.6.1
하지만 정책 결정의 핵심인 ‘일자리 책임관’이 부처 내부에서조차 겉돌면서 불협화음이 터져 나오고 있다.

하지만	하지만/MAJ
정책	정책/NNG
결정의	결정/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
‘일자리	‘/SS+일자리/NNG
책임관’이	책임관/NNG+’/SS+이/JKS
부처	부처/NNG
내부에서조차	내부/NNG+에서/JKB+조차/JX
겉돌면서	겉돌/VV+면서/EC
불협화음이	불협화음/NNG+이/JKS
터져	터지/VV+어/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.305.6.2
인사혁신처의 ‘시간선택제 공무원 잡 셰어링 활성화’가 대표적이다.

인사혁신처의	인사/NNG+혁신처/NNG+의/JKG
‘시간선택제	‘/SS+시간/NNG+선택/NNG+제/XSN
공무원	공무원/NNG
잡	잡/NNG
셰어링	셰어링/NNG
활성화’가	활성/NNG+화/XSN+’/SS+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.305.6.3
이 사업은 인사혁신처의 일자리 책임관 역할을 맡는 인재채용국에서 선정했다.

이	이/MMD
사업은	사업/NNG+은/JX
인사혁신처의	인사/NNG+혁신처/NNG+의/JKG
일자리	일자리/NNG
책임관	책임관/NNG
역할을	역할/NNG+을/JKO
맡는	맡/VV+는/ETM
인재채용국에서	인재/NNG+채용국/NNG+에서/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.305.6.4
하지만 정작 시간선택제 정책을 담당하는 인사혁신국 관계자는 “주요 일자리 과제로 제출됐는지도 몰랐다”고 말했다.

하지만	하지만/MAJ
정작	정작/MAG
시간선택제	시간/NNG+선택/NNG+제/XSN
정책을	정책/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
인사혁신국	인사/NNG+혁신국/NNG
관계자는	관계자/NNG+는/JX
“주요	“/SS+주요/NNG
일자리	일자리/NNG
과제로	과제/NNG+로/JKB
제출됐는지도	제출/NNG+되/XSV+었/EP+는지/EF+도/JX
몰랐다”고	모르/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.305.6.5
가족이나 전문 간병인 없이 간호사가 입원 환자를 간병해주는 ‘간호·간병 통합서비스’는 보건복지부가 “당장 확대 실시는 불가능하다”고 밝힌 사업이다.

가족이나	가족/NNG+이나/JC
전문	전문/NNG
간병인	간병인/NNG
없이	없이/MAG
간호사가	간호사/NNG+가/JKS
입원	입원/NNG
환자를	환자/NNG+를/JKO
간병해주는	간병/NNG+하/XSV+아/EC+주/VX+는/ETM
‘간호·간병	‘/SS+간호/NNG+·/SP+간병/NNG
통합서비스’는	통합/NNG+서비스/NNG+’/SS+는/JX
보건복지부가	보건/NNG+복지부/NNG+가/JKS
“당장	“/SS+당장/NNG
확대	확대/NNG
실시는	실시/NNG+는/JX
불가능하다”고	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.305.6.6
이창준 복지부 보험정책과장은 “이미 2020년 이후 전면 확대하겠다고 결정한 내용”이라고 말했다.

이창준	이창준/NNP
복지부	복지부/NNG
보험정책과장은	보험/NNG+정책과장/NNG+은/JX
“이미	“/SS+이미/MAG
2020년	2020/SN+년/NNB
이후	이후/NNG
전면	전면/NNG
확대하겠다고	확대/NNG+하/XSV+겠/EP+다고/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
내용”이라고	내용/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.305.6.7
해당 과제의 일자리 창출 효과에 대한 분석은 아예 손도 대지 않았다.

해당	해당/NNG
과제의	과제/NNG+의/JKG
일자리	일자리/NNG
창출	창출/NNG
효과에	효과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분석은	분석/NNG+은/JX
아예	아예/MAG
손도	손/NNG+도/JX
대지	대/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.305.6.8
송진혁 기재부 인력정책과장은 “일단 과제를 선정하고 효과는 이후에 점검할 예정”이라고 말했다.

송진혁	송진혁/NNP
기재부	기재부/NNG
인력정책과장은	인력/NNG+정책과장/NNG+은/JX
“일단	“/SS+일단/MAG
과제를	과제/NNG+를/JKO
선정하고	선정/NNG+하/XSV+고/EC
효과는	효과/NNG+는/JX
이후에	이후/NNG+에/JKB
점검할	점검/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.305.7.1
한편 취업할 생각과 능력이 있는데도 구직활동을 하지 않는 ‘구직 단념자’는 지난달 58만9000명으로 사상 최대인 것으로 나타났다.

한편	한편/MAG
취업할	취업/NNG+하/XSV+ㄹ/ETM
생각과	생각/NNG+과/JC
능력이	능력/NNG+이/JKS
있는데도	있/VA+는데/EC+도/JX
구직활동을	구직/NNG+활동/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
‘구직	‘/SS+구직/NNG
단념자’는	단념자/NNG+’/SS+는/JX
지난달	지난달/NNG
58만9000명으로	58/SN+만/NR+9000/SN+명/NNB+으로/JKB
사상	사상/NNG
최대인	최대/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


