# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.264
metadata : {}


# id : NWRW1800000036.264.1.1
견공의 재능 기부야생동물 똥 찾기

견공의	견공/NNG+의/JKG
장치이지만,	장치/NNG+이/VCP+지만/EC+,/SP
만일	만일/MAG
크낙새가	크낙새/NNG+가/JKS
나타난다면	나타나/VV+ㄴ다면/EC
이	이/MMD
녹음	녹음/NNG
소리에	소리/NNG+에/JKB
실제로	실제로/MAG
응답할	응답/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.264.4.1
미국에서 가장 유명한 딱따구리인 북부점박이올빼미를 조사할 때도 녹음된 울음소리를 이용한다.

미국에서	미국/NNP+에서/JKB
가장	가장/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
딱따구리인	딱따구리/NNG+이/VCP+ㄴ/ETM
북부점박이올빼미를	북부점박이올빼미/NNG+를/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
녹음된	녹음/NNG+되/XSV+ㄴ/ETM
울음소리를	울음소리/NNG+를/JKO
이용한다.	이용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.4.2
미국 서북부 해안의 온대우림에 서식하는 이 딱따구리를 연방정부가 멸종위기종으로 지정하자 벌목 일자리 3만개가 사라진다며 큰 논란이 일었다.

미국	미국/NNP
서북부	서북부/NNG
해안의	해안/NNG+의/JKG
온대우림에	온대/NNG+우림/NNG+에/JKB
서식하는	서식/NNG+하/XSV+는/ETM
이	이/MMD
딱따구리를	딱따구리/NNG+를/JKO
연방정부가	연방/NNG+정부/NNG+가/JKS
멸종위기종으로	멸종/NNG+위기종/NNG+으로/JKB
지정하자	지정/NNG+하/XSV+자/EC
벌목	벌목/NNG
일자리	일자리/NNG
3만개가	3/SN+만/NR+개/NNB+가/JKS
사라진다며	사라지/VV+ㄴ다며/EC
큰	크/VA+ㄴ/ETM
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.264.4.3
이 새를 보전하려면 서식지가 어디인지 아는 것이 먼저다.

이	이/MMD
새를	새/NNG+를/JKO
보전하려면	보전/NNG+하/XSV+려면/EC
서식지가	서식지/NNG+가/JKS
어디인지	어디/NP+이/VCP+ㄴ지/EF
아는	알/VV+는/ETM
것이	것/NNB+이/JKS
먼저다.	먼저/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.4.4
연구자들이 녹음된 북부점박이올빼미 소리를 번식기에 들려주면 영역 지키기에 민감해진 올빼미가 곧바로 반응해 울음소리를 낸다.

연구자들이	연구자/NNG+들/XSN+이/JKS
녹음된	녹음/NNG+되/XSV+ㄴ/ETM
북부점박이올빼미	북부점박이올빼미/NNG
소리를	소리/NNG+를/JKO
번식기에	번식기/NNG+에/JKB
들려주면	들려주/VV+면/EC
영역	영역/NNG
지키기에	지키/VV+기/ETN+에/JKB
민감해진	민감/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
올빼미가	올빼미/NNG+가/JKS
곧바로	곧바로/MAG
반응해	반응/NNG+하/XSV+아/EC
울음소리를	울음소리/NNG+를/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.4.5
그런데 벌목이 이뤄지지 않는데도 이 올빼미의 수는 해마다 줄고 있다.

그런데	그런데/MAJ
벌목이	벌목/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않는데도	않/VX+는데/EC+도/JX
이	이/MMD
올빼미의	올빼미/NNG+의/JKG
수는	수/NNG+는/JX
해마다	해마다/MAG
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.264.4.6
북미 동부에 사는 줄무늬올빼미가 외래종으로 들어와 토종 올빼미를 밀어내고 있기 때문이다.

북미	북미/NNP
동부에	동부/NNG+에/JKB
사는	살/VV+는/ETM
줄무늬올빼미가	줄무늬올빼미/NNG+가/JKS
외래종으로	외래종/NNG+으로/JKB
들어와	들어오/VV+아/EC
토종	토종/NNG
올빼미를	올빼미/NNG+를/JKO
밀어내고	밀어내/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.4.7
외래종 올빼미에게 들킬 것을 겁낸 토종 올빼미는 과학자가 들려주는 녹음 소리에 잘 반응하지 않게 됐다.

외래종	외래종/NNG
올빼미에게	올빼미/NNG+에게/JKB
들킬	들키/VV+ㄹ/ETM
것을	것/NNB+을/JKO
겁낸	겁내/VV+ㄴ/ETM
토종	토종/NNG
올빼미는	올빼미/NNG+는/JX
과학자가	과학자/NNG+가/JKS
들려주는	들려주/VV+는/ETM
녹음	녹음/NNG
소리에	소리/NNG+에/JKB
잘	잘/MAG
반응하지	반응/NNG+하/XSV+지/EC
않게	않/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.264.5.1
이에 미국 워싱턴대 보전생물학센터가 내놓은 대안이 바로 탐지견이다.

이에	이/NP+에/JKB
미국	미국/NNP
워싱턴대	워싱턴대/NNP
보전생물학센터가	보전생물학센터/NNP+가/JKS
내놓은	내놓/VV+은/ETM
대안이	대안/NNG+이/JKS
바로	바로/MAG
탐지견이다.	탐지견/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.5.2
암에 걸린 사람의 미묘한 체취 차이도 가려내는 개의 후각을 이용해 북부점박이올빼미가 게워내는 먹이 찌꺼기인 펠릿을 찾아내는 것이다.

암에	암/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
사람의	사람/NNG+의/JKG
미묘한	미묘하/VA+ㄴ/ETM
체취	체취/NNG
차이도	차이/NNG+도/JX
가려내는	가려내/VV+는/ETM
개의	개/NNG+의/JKG
후각을	후각/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
북부점박이올빼미가	북부점박이올빼미/NNG+가/JKS
게워내는	게우/VV+어/EC+내/VX+는/ETM
먹이	먹이/NNG
찌꺼기인	찌꺼기/NNG+이/VCP+ㄴ/ETM
펠릿을	펠릿/NNG+을/JKO
찾아내는	찾아내/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.6.1
이 센터 새뮤얼 와서 소장은 최근 온라인 공개학술지 <플로스 원>에 실린 논문에서 탐지견을 이용해 북부점박이올빼미를 조사했더니 87%의 확률로 이 올빼미를 탐지해 내 울음소리를 이용한 탐지 성공률 59%를 크게 앞섰다고 밝혔다.

이	이/MMD
센터	센터/NNG
새뮤얼	새뮤얼/NNP
와서	와서/NNP
소장은	소장/NNG+은/JX
최근	최근/NNG
온라인	온라인/NNG
공개학술지	공개/NNG+학술지/NNG
<플로스	</SS+플로스/NNP
원>에	원/NNP+>/SS+에/JKB
실린	실리/VV+ㄴ/ETM
논문에서	논문/NNG+에서/JKB
탐지견을	탐지견/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
북부점박이올빼미를	북부점박이올빼미/NNG+를/JKO
조사했더니	조사/NNG+하/XSV+았/EP+더니/EC
87%의	87/SN+%/SW+의/JKG
확률로	확률/NNG+로/JKB
올빼미를	올빼미/NNG+를/JKO
탐지해	탐지/NNG+하/XSV+아/EC
내	내/VX+어/EC
울음소리를	울음소리/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
탐지	탐지/NNG
성공률	성공/NNG+률/XSN
59%를	59/SN+%/SW+를/JKO
크게	크/VA+게/EC
앞섰다고	앞서/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.264.6.2
이 센터는 1997년부터 개의 후각을 이용한 야생동물 배설물 조사를 광범하게 해오고 있다.

이	이/MMD
센터는	센터/NNG+는/JX
1997년부터	1997/SN+년/NNB+부터/JX
개의	개/NNG+의/JKG
후각을	후각/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
야생동물	야생/NNG+동물/NNG
배설물	배설물/NNG
조사를	조사/NNG+를/JKO
광범하게	광범하/VA+게/EC
해오고	하/VV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.264.6.3
조사 대상은 호랑이, 회색곰, 퓨마, 재규어, 늑대 등 다양한데, 특히 범고래의 배설물 추적이 유명하다.

조사	조사/NNG
대상은	대상/NNG+은/JX
호랑이,	호랑이/NNG+,/SP
회색곰,	회색곰/NNG+,/SP
퓨마,	퓨마/NNG+,/SP
재규어,	재규어/NNG+,/SP
늑대	늑대/NNG
등	등/NNB
다양한데,	다양/NNG+하/XSA+ㄴ데/EC+,/SP
특히	특히/MAG
범고래의	범고래/NNG+의/JKG
배설물	배설물/NNG
추적이	추적/NNG+이/JKS
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.264.7.1
야생동물의 배설물 탐지견은 유난히 집중력이 강하고 지치지 않고 놀이에 몰두하는 성격을 지닌 개에서 선발한다.

야생동물의	야생/NNG+동물/NNG+의/JKG
배설물	배설물/NNG
탐지견은	탐지견/NNG+은/JX
유난히	유난히/MAG
집중력이	집중력/NNG+이/JKS
강하고	강하/VA+고/EC
지치지	지치/VV+지/EC
않고	않/VX+고/EC
놀이에	놀이/NNG+에/JKB
몰두하는	몰두/NNG+하/XSV+는/ETM
성격을	성격/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
개에서	개/NNG+에서/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.7.2
지나치게 공에 집착해 가정에서 기르지 못하고 보호소로 보낸 개가 그런 예이다.

지나치게	지나치/VA+게/EC
공에	공/NNG+에/JKB
집착해	집착/NNG+하/XSV+아/EC
가정에서	가정/NNG+에서/JKB
기르지	기르/VV+지/EC
못하고	못하/VX+고/EC
보호소로	보호소/NNG+로/JKB
보낸	보내/VV+ㄴ/ETM
개가	개/NNG+가/JKS
그런	그런/MMD
예이다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.7.3
그런 개만이 하루 종일 평원을 가로지르고 산을 오르고 눈밭을 헤치고 다녀도 마침내 주인과 공을 가지고 노는 보상을 기대하며 즐겁게 일할 수 있다.

그런	그런/MMD
개만이	개/NNG+만/JX+이/JKS
하루	하루/NNG
종일	종일/MAG
평원을	평원/NNG+을/JKO
가로지르고	가로지르/VV+고/EC
산을	산/NNG+을/JKO
오르고	오르/VV+고/EC
눈밭을	눈밭/NNG+을/JKO
헤치고	헤치/VV+고/EC
다녀도	다니/VV+어도/EC
마침내	마침내/MAG
주인과	주인/NNG+과/JKB
공을	공/NNG+을/JKO
가지고	가지/VV+고/EC
노는	놀/VV+는/ETM
보상을	보상/NNG+을/JKO
기대하며	기대/NNG+하/XSV+며/EC
즐겁게	즐겁/VA+게/EC
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.264.7.4
이 센터에서 범고래 배설물 추적의 ‘달인’인 터커가 바로 그런 개였다.

이	이/MMD
센터에서	센터/NNG+에서/JKB
범고래	범고래/NNG
배설물	배설물/NNG
추적의	추적/NNG+의/JKG
‘달인’인	‘/SS+달인/NNG+’/SS+이/VCP+ㄴ/ETM
터커가	터커/NNP+가/JKS
바로	바로/MAG
그런	그런/MMD
개였다.	개/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.264.7.5
래브라도 레트리버 잡종견인 터커는 공놀이를 미친 듯이 좋아한다.

래브라도	래브라도/NNP
레트리버	레트리버/NNG
잡종견인	잡종견/NNG+이/VCP+ㄴ/ETM
터커는	터커/NNP+는/JX
공놀이를	공놀이/NNG+를/JKO
미친	미치/VV+ㄴ/ETM
듯이	듯이/NNB
좋아한다.	좋아하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.7.6
연구진은 조사선에 터커를 태우고 범고래 조사에 나선다.

연구진은	연구진/NNG+은/JX
조사선에	조사선/NNG+에/JKB
터커를	터커/NNP+를/JKO
태우고	태우/VV+고/EC
범고래	범고래/NNG
조사에	조사/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.7.7
범고래의 배설물은 물에 뜨는데 30분쯤 지나면 물에 풀려 사라져 버린다.

범고래의	범고래/NNG+의/JKG
배설물은	배설물/NNG+은/JX
물에	물/NNG+에/JKB
뜨는데	뜨/VV+는데/EC
30분쯤	30/SN+분/NNB+쯤/XSN
지나면	지나/VV+면/EC
풀려	풀리/VV+어/EC
사라져	사라지/VV+어/EC
버린다.	버리/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.264.7.8
연구자들은 배설물을 수거해 분석함으로써 고래가 무얼 먹었는지, 스트레스와 영양 상태는 어떤지, 성별은 무언지, 어떤 개체인지를 알아낸다.

연구자들은	연구자/NNG+들/XSN+은/JX
배설물을	배설물/NNG+을/JKO
수거해	수거/NNG+하/XSV+아/EC
분석함으로써	분석/NNG+하/XSV+ㅁ/ETN+으로써/JKB
고래가	고래/NNG+가/JKS
무얼	무어/NP+ㄹ/JKO
먹었는지,	먹/VV+었/EP+는지/EF+,/SP
스트레스와	스트레스/NNG+와/JC
영양	영양/NNG
상태는	상태/NNG+는/JX
어떤지,	어떻/VA+ㄴ지/EF+,/SP
성별은	성별/NNG+은/JX
무언지,	무어/NP+이/VCP+ㄴ지/EF+,/SP
어떤	어떤/MMD
개체인지를	개체/NNG+이/VCP+ㄴ지/EF+를/JKO
알아낸다.	알아내/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.7.9
터커가 벌떡 일어나 꼬리를 쳐들면 전방에 배설물이 있다는 뜻이다.

터커가	터커/NNP+가/JKS
벌떡	벌떡/MAG
일어나	일어나/VV+아/EC
꼬리를	꼬리/NNG+를/JKO
쳐들면	쳐들/VV+면/EC
전방에	전방/NNG+에/JKB
배설물이	배설물/NNG+이/JKS
있다는	있/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.7.10
이 개는 2㎞ 가까운 거리에서 배설물을 탐지할 수 있다.

이	이/MMD
개는	개/NNG+는/JX
2㎞	2/SN+㎞/SW
가까운	가깝/VA+ㄴ/ETM
거리에서	거리/NNG+에서/JKB
배설물을	배설물/NNG+을/JKO
탐지할	탐지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.264.7.11
배가 목표물에 접근할수록 개의 반응은 강해지는데, 반대로 멀어지면 개는 “뱃머리를 돌려라”라고 외치듯 뒤를 돌아본다.

배가	배/NNG+가/JKS
목표물에	목표물/NNG+에/JKB
접근할수록	접근/NNG+하/XSV+ㄹ수록/EC
개의	개/NNG+의/JKG
반응은	반응/NNG+은/JX
강해지는데,	강하/VA+아/EC+지/VX+는데/EC+,/SP
반대로	반대/NNG+로/JKB
멀어지면	멀어지/VV+면/EC
개는	개/NNG+는/JX
“뱃머리를	“/SS+뱃머리/NNG+를/JKO
돌려라”라고	돌리/VV+어라/EF+”/SS+라고/JKQ
외치듯	외치/VV+듯/EC
뒤를	뒤/NNG+를/JKO
돌아본다.	돌아보/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.7.12
물론 배설물을 수집하자마자 연구진은 터커와 공놀이를 해준다.

물론	물론/MAG
배설물을	배설물/NNG+을/JKO
수집하자마자	수집/NNG+하/XSV+자마자/EC
연구진은	연구진/NNG+은/JX
터커와	터커/NNP+와/JKB
공놀이를	공놀이/NNG+를/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.264.8.1
가축화 역사가 가장 긴 개는 야생동물보다 사람 편이다.

가축화	가축/NNG+화/XSN
역사가	역사/NNG+가/JKS
가장	가장/MAG
긴	길/VA+ㄴ/ETM
개는	개/NNG+는/JX
야생동물보다	야생/NNG+동물/NNG+보다/JKB
사람	사람/NNG
편이다.	편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.8.2
야생동물 사냥을 돕고 가축이 그들의 식사거리가 되지 않도록 헌신한다.

야생동물	야생/NNG+동물/NNG
사냥을	사냥/NNG+을/JKO
돕고	돕/VV+고/EC
가축이	가축/NNG+이/JKS
그들의	그/NP+들/XSN+의/JKG
식사거리가	식사/NNG+거리/NNB+가/JKC
되지	되/VV+지/EC
않도록	않/VX+도록/EC
헌신한다.	헌신/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.264.8.3
야생동물 시각에서 보면 일종의 배신이다.

야생동물	야생/NNG+동물/NNG
시각에서	시각/NNG+에서/JKB
보면	보/VV+면/EC
일종의	일종/NNG+의/JKG
배신이다.	배신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.264.8.4
이제 똥을 찾아내는 그들의 후각 덕분에 개는 야생동물 보전에 기여하는 역사적 변신을 하고 있는 셈이다.

이제	이제/MAG
똥을	똥/NNG+을/JKO
찾아내는	찾아내/VV+는/ETM
그들의	그/NP+들/XSN+의/JKG
후각	후각/NNG
덕분에	덕분/NNG+에/JKB
개는	개/NNG+는/JX
야생동물	야생/NNG+동물/NNG
보전에	보전/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
역사적	역사/NNG+적/XSN
변신을	변신/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


