# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.122
metadata : {}


# id : NWRW1800000040.122.1.1
석가탑 몸돌 47년만에 여니…청동 ‘사리함’ 소담히

석가탑	석가탑/NNP
작업이	작업/NNG+이/JKS
2층	2/SN+층/NNG
옥개석에	옥개석/NNG+에/JKB
이르러,	이르/VV+러/EC+,/SP
그	그/MMD
아래	아래/NNG
탑신(몸돌)에	탑신/NNG+(/SS+몸돌/NNG+)/SS+에/JKB
있는	있/VA+는/ETM
사리공(사리와	사리공/NNG+(/SS+사리/NNG+와/JC
사리장엄구를	사리/NNG+장엄구/NNG+를/JKO
넣는	넣/VV+는/ETM
구멍)이	구멍/NNG+)/SS+이/JKS
공개되는	공개/NNG+되/XSV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.122.5.3
사리공이 다시 열린 것은 1966년 해체보수 이후 47년 만이다.

사리공이	사리공/NNG+이/JKS
다시	다시/MAG
열린	열리/VV+ㄴ/ETM
것은	것/NNB+은/JX
1966년	1966/SN+년/NNB
해체보수	해체/NNG+보수/NNG
이후	이후/NNG
47년	47/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.122.6.1
변영섭 문화재청장과 불국사 주지 성타 스님 등이 지켜본 작업 현장엔 긴장이 감돌았다.

변영섭	변영섭/NNP
문화재청장과	문화재청장/NNG+과/JC
불국사	불국사/NNP
주지	주지/NNG
성타	성타/NNP
스님	스님/NNG
등이	등/NNB+이/JKS
지켜본	지켜보/VV+ㄴ/ETM
작업	작업/NNG
현장엔	현장/NNG+에/JKB+ㄴ/JX
긴장이	긴장/NNG+이/JKS
감돌았다.	감돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.122.6.2
광목천을 두른 2층 옥개석은 12㎝ 너비의 나일론끈 네겹으로 동여매여 크레인에 연결돼 있었다.

광목천을	광목천/NNG+을/JKO
두른	두르/VV+ㄴ/ETM
2층	2/SN+층/NNG
옥개석은	옥개석/NNG+은/JX
12㎝	12/SN+㎝/SW
너비의	너비/NNG+의/JKG
나일론끈	나일론/NNG+끈/NNG
네겹으로	네/MMN+겹/NNG+으로/JKB
동여매여	동여매이/VV+어/EC
크레인에	크레인/NNG+에/JKB
연결돼	연결/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.122.6.3
끈과 맞닿은 옥개석 모서리에는 솜포를 두툼하게 넣었다.

끈과	끈/NNG+과/JKB
맞닿은	맞닿/VV+은/ETM
옥개석	옥개석/NNG
모서리에는	모서리/NNG+에/JKB+는/JX
솜포를	솜/NNG+포/NNG+를/JKO
두툼하게	두툼하/VA+게/EC
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.6.4
이처럼 옥개석을 꽁꽁 동여맨 것은 1966년 해체수리 때의 ‘악몽’이 재연되지 않을까 하는 우려 때문이었다.

이처럼	이/NP+처럼/JKB
옥개석을	옥개석/NNG+을/JKO
꽁꽁	꽁꽁/MAG
동여맨	동여매/VV+ㄴ/ETM
것은	것/NNB+은/JX
1966년	1966/SN+년/NNB
해체수리	해체/NNG+수리/NNG
때의	때/NNG+의/JKG
‘악몽’이	‘/SS+악몽/NNG+’/SS+이/JKS
재연되지	재연/NNG+되/XSV+지/EC
않을까	않/VX+을까/EC
하는	하/VV+는/ETM
우려	우려/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.122.6.5
도굴꾼에게 훼손된 탑을 수리하던 당시, 2층 옥개석을 들어올리다 지지하던 나무기둥이 부러져 바닥에 떨어진 옥개석의 서쪽 모서리가 부서졌다.

도굴꾼에게	도굴/NNG+꾼/XSN+에게/JKB
훼손된	훼손/NNG+되/XSV+ㄴ/ETM
탑을	탑/NNG+을/JKO
수리하던	수리/NNG+하/XSV+던/ETM
당시,	당시/NNG+,/SP
2층	2/SN+층/NNG
옥개석을	옥개석/NNG+을/JKO
들어올리다	들/VV+어/EC+올리/VV+다/EC
지지하던	지지/NNG+하/XSV+던/ETM
나무기둥이	나무/NNG+기둥/NNG+이/JKS
부러져	부러지/VV+어/EC
바닥에	바닥/NNG+에/JKB
떨어진	떨어지/VV+ㄴ/ETM
옥개석의	옥개석/NNG+의/JKG
서쪽	서쪽/NNG
모서리가	모서리/NNG+가/JKS
부서졌다.	부서지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.6.6
이후 해체 작업은 중단됐고, 2층 탑신부에서 사리장엄구를 꺼내 수습한 뒤 다시 탑을 쌓아올렸다.

이후	이후/NNG
해체	해체/NNG
작업은	작업/NNG+은/JX
중단됐고,	중단/NNG+되/XSV+었/EP+고/EC+,/SP
2층	2/SN+층/NNG
탑신부에서	탑신부/NNG+에서/JKB
사리장엄구를	사리/NNG+장엄구/NNG+를/JKO
꺼내	꺼내/VV+어/EC
수습한	수습/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
탑을	탑/NNG+을/JKO
쌓아올렸다.	쌓/VV+아/EC+올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.7.1
이날 작업은 국립문화재연구소 경주석조문화재보수정비사업단의 배병선 단장이 신호를 보내면서 시작됐다.

이날	이날/NNG
작업은	작업/NNG+은/JX
국립문화재연구소	국립문화재연구소/NNP
경주석조문화재보수정비사업단의	경주/NNP+석조/NNG+문화재/NNG+보수/NNG+정비/NNG+사업단/NNG+의/JKG
배병선	배병선/NNP
단장이	단장/NNG+이/JKS
신호를	신호/NNG+를/JKO
보내면서	보내/VV+면서/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.7.2
크레인 굉음과 함께 가로세로 2m를 넘는 6.48t의 옥개석이 들어올려졌다.

크레인	크레인/NNG
굉음과	굉음/NNG+과/JKB
함께	함께/MAG
가로세로	가로세로/NNG
2m를	2/SN+m/SW+를/JKO
넘는	넘/VV+는/ETM
6.48t의	6/SN+./SP+48/SN+t/SW+의/JKG
옥개석이	옥개석/NNG+이/JKS
들어올려졌다.	들/VV+어/EC+올리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.122.7.3
그 아래 2층 몸돌에서 주홍색 비단이 덮인 정사각형 사리공(가로세로 41㎝, 깊이 19㎝)이 드러났다.

그	그/MMD
아래	아래/NNG
2층	2/SN+층/NNG
몸돌에서	몸돌/NNG+에서/JKB
주홍색	주홍색/NNG
비단이	비단/NNG+이/JKS
덮인	덮이/VV+ㄴ/ETM
정사각형	정사각형/NNG
사리공(가로세로	사리공/NNG+(/SS+가로세로/NNG
41㎝,	41/SN+㎝/SW+,/SP
깊이	깊이/NNG
19㎝)이	19/SN+㎝/SW+)/SS+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.122.7.4
마스크를 쓴 문화재보존과학센터 직원이 급히 유리덮개를 씌웠다.

마스크를	마스크/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
문화재보존과학센터	문화재/NNG+보존/NNG+과학/NNG+센터/NNG
직원이	직원/NNG+이/JKS
급히	급히/MAG
유리덮개를	유리/NNG+덮개/NNG+를/JKO
씌웠다.	씌우/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.8.1
옥개석은 10m 정도 옆으로 옮겨진 다음 지상으로 사뿐히 내려졌다.

옥개석은	옥개석/NNG+은/JX
10m	10/SN+m/SW
정도	정도/NNG
옆으로	옆/NNG+으로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
다음	다음/NNG
지상으로	지상/NNG+으로/JKB
사뿐히	사뿐히/MAG
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.8.2
스님과 신도들의 독경 소리가 높아졌다.

스님과	스님/NNG+과/JKB
신도들의	신도/NNG+들/XSN+의/JKG
독경	독경/NNG
소리가	소리/NNG+가/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.8.3
유물 손상을 우려해 급하게 습도조절용 비닐막이 쳐지고 사리장엄구 수습이 시작됐다.

유물	유물/NNG
손상을	손상/NNG+을/JKO
우려해	우려/NNG+하/XSV+아/EC
급하게	급하/VA+게/EC
습도조절용	습도/NNG+조절/NNG+용/XSN
비닐막이	비닐/NNG+막/NNG+이/JKS
쳐지고	치/VV+어/EC+지/VX+고/EC
사리장엄구	사리/NNG+장엄구/NNG
수습이	수습/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.9.1
비단 보자기에 덮였던 요(凹)자형 철제 뚜껑을 들어내자 사리공 속의 청동사리함이 드러났다.

비단	비단/NNG
보자기에	보자기/NNG+에/JKB
덮였던	덮이/VV+었/EP+던/ETM
요(凹)자형	요/NA+(/SS+凹/SH+)/SS+자/NNG+형/XSN
철제	철제/NNG
뚜껑을	뚜껑/NNG+을/JKO
들어내자	들어내/VV+자/EC
사리공	사리공/NNG
속의	속/NNG+의/JKG
청동사리함이	청동/NNG+사리함/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.122.9.2
66년 보수 당시 수습한 실물을 복제해 대신 넣은 것이다.

66년	66/SN+년/NNB
보수	보수/NNG
당시	당시/NNG
수습한	수습/NNG+하/XSV+ㄴ/ETM
실물을	실물/NNG+을/JKO
복제해	복제/NNG+하/XSV+아/EC
대신	대신/NNG
넣은	넣/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.122.9.3
함 안에는 1038년(고려 정종 4년) 탑 수리 당시 넣은 것으로 추정되는 은제사리호와 사리 47과가 든 목제사리병이 봉안된 것으로 알려졌다.

함	함/NNG
안에는	안/NNG+에/JKB+는/JX
1038년(고려	1038/SN+년/NNB+(/SS+고려/NNP
정종	정종/NNP
4년)	4/SN+년/NNB+)/SS
탑	탑/NNG
수리	수리/NNG
당시	당시/NNG
넣은	넣/VV+은/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
은제사리호와	은제/NNG+사리호/NNG+와/JC
사리	사리/NNG
47과가	47/SN+과/NNB+가/JKS
든	들/VV+ㄴ/ETM
목제사리병이	목제/NNG+사리병/NNG+이/JKS
봉안된	봉안/NNG+되/XSV+ㄴ/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.9.4
66년 함께 수습한 나머지 사리장엄구들, 즉 금동제외합과 은제내합, 세계 최고 목판인쇄물인 ‘무구정광대다라니경’, 중수문서 등 28건은 국보 126호로 지정돼 조계종 불교중앙박물관에 보관중이다.

66년	66/SN+년/NNB
함께	함께/MAG
수습한	수습/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
사리장엄구들,	사리/NNG+장엄구/NNG+들/XSN+,/SP
즉	즉/MAG
금동제외합과	금동제/NNG+외합/NNG+과/JC
은제내합,	은제/NNG+내합/NNG+,/SP
세계	세계/NNG
최고	최고/NNG
목판인쇄물인	목판/NNG+인쇄물/NNG+이/VCP+ㄴ/ETM
‘무구정광대다라니경’,	‘/SS+무구정광대다라니경/NNP+’/SS+,/SP
중수문서	중수/NNG+문서/NNG
등	등/NNB
28건은	28/SN+건/NNB+은/JX
국보	국보/NNG
126호로	126/SN+호/NNB+로/JKB
지정돼	지정/NNG+되/XSV+어/EC
조계종	조계종/NNP
불교중앙박물관에	불교중앙박물관/NNP+에/JKB
보관중이다.	보관/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.122.9.5
이날 작업에서는 한개의 사리가 수습됐고 나머지는 뭉개진 상태로 확인됐다.

이날	이날/NNG
작업에서는	작업/NNG+에서/JKB+는/JX
한개의	한/MMN+개/NNB+의/JKG
사리가	사리/NNG+가/JKS
수습됐고	수습/NNG+되/XSV+었/EP+고/EC
나머지는	나머지/NNG+는/JX
뭉개진	뭉개지/VV+ㄴ/ETM
상태로	상태/NNG+로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.122.10.1
연구소와 불국사 쪽은 수습된 사리들을 석탑에 다시 봉안할 때까지 불국사 무설전에 모시고 사리친견법회를 열 예정이다.

연구소와	연구소/NNG+와/JC
불국사	불국사/NNP
쪽은	쪽/NNB+은/JX
수습된	수습/NNG+되/XSV+ㄴ/ETM
사리들을	사리/NNG+들/XSN+을/JKO
석탑에	석탑/NNG+에/JKB
다시	다시/MAG
봉안할	봉안/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
무설전에	무설전/NNP+에/JKB
모시고	모시/VV+고/EC
사리친견법회를	사리/NNG+친견/NNG+법회/NNG+를/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.122.10.2
또 사리장엄구는 수습 뒤 연구소 문화재보존과학센터에서 조사와 보존처리를 하고 재봉안 여부를 결정하기로 했다.

또	또/MAG
사리장엄구는	사리/NNG+장엄구/NNG+는/JX
수습	수습/NNG
뒤	뒤/NNG
연구소	연구소/NNG
문화재보존과학센터에서	문화재/NNG+보존/NNG+과학/NNG+센터/NNG+에서/JKB
조사와	조사/NNG+와/JC
보존처리를	보존/NNG+처리/NNG+를/JKO
하고	하/VV+고/EC
재봉안	재/XPN+봉안/NNG
여부를	여부/NNG+를/JKO
결정하기로	결정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.122.11.1
연구소 쪽은 탑 기단부까지 해체한 뒤 그 아래 지반도 올해 말까지 발굴할 예정이어서, 지하에 봉안한 유물을 수습할 가능성도 있다.

연구소	연구소/NNG
쪽은	쪽/NNB+은/JX
탑	탑/NNG
기단부까지	기단부/NNG+까지/JX
해체한	해체/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
아래	아래/NNG
지반도	지반/NNG+도/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
발굴할	발굴/NNG+하/XSV+ㄹ/ETM
예정이어서,	예정/NNG+이/VCP+어서/EC+,/SP
지하에	지하/NNG+에/JKB
봉안한	봉안/NNG+하/XSV+ㄴ/ETM
유물을	유물/NNG+을/JKO
수습할	수습/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.122.11.2
문화재청은 내년 상반기에 석가탑 수리복원을 끝낼 계획이다.

문화재청은	문화재청/NNG+은/JX
내년	내년/NNG
상반기에	상반기/NNG+에/JKB
석가탑	석가탑/NNP
수리복원을	수리/NNG+복원/NNG+을/JKO
끝낼	끝내/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


