# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.425
metadata : {}


# id : NWRW1800000030.425.1.1
[수도권I] 성남은 지금, 게임산업의 메카로 변신중

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.425.6.2
또 게임을 친근하게 접하고 문화를 향유할 수 있도록 게임박물관을 건립하고, 상설게임체험관 조성 등 인프라도 확충할 예정이다.

또	또/MAG
게임을	게임/NNG+을/JKO
친근하게	친근하/VA+게/EC
접하고	접하/VV+고/EC
문화를	문화/NNG+를/JKO
향유할	향유/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
게임박물관을	게임/NNG+박물관/NNG+을/JKO
건립하고,	건립/NNG+하/XSV+고/EC+,/SP
상설게임체험관	상설/NNG+게임/NNG+체험관/NNG
조성	조성/NNG
등	등/NNB
인프라도	인프라/NNG+도/JX
확충할	확충/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.425.6.3
시는 2009년부터 게임분야를 전략산업으로 선정해 집중육성하고 있으며, 문화체육관광부로부터 문화산업진흥지구 지정을 받았다.

시는	시/NNG+는/JX
2009년부터	2009/SN+년/NNB+부터/JX
게임분야를	게임/NNG+분야/NNG+를/JKO
전략산업으로	전략/NNG+산업/NNG+으로/JKB
선정해	선정/NNG+하/XSV+아/EC
집중육성하고	집중/NNG+육성/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
문화체육관광부로부터	문화/NNG+체육/NNG+관광부/NNG+로부터/JKB
문화산업진흥지구	문화/NNG+산업/NNG+진흥/NNG+지구/NNG
지정을	지정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.425.6.4
또 성남에 글로벌게임허브센터와 모바일게임센터를 유치하는 등 다양한 인프라 조성과 산업육성 시책을 추진하고 있다.

또	또/MAG
성남에	성남/NNP+에/JKB
글로벌게임허브센터와	글로벌게임허브센터/NNP+와/JC
모바일게임센터를	모바일게임센터/NNP+를/JKO
유치하는	유치/NNG+하/XSV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
인프라	인프라/NNG
조성과	조성/NNG+과/JC
산업육성	산업/NNG+육성/NNG
시책을	시책/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.425.7.1
이재명 시장은 "2년 뒤 성남시 게임산업 규모가 국내 게임 시장의 절반에 이르는 등 그 중요도가 날로 높아지게 될 것"이라며 "정부가 내년도 세계 3위 게임강국 진입을 목표로 삼은 데 시가 부응하고, 궁극적으로는 게임 산업이 시민들에게 양질의 일자리를 제공할 수 있도록 하겠다"고 말했다.

이재명	이재명/NNP
시장은	시장/NNG+은/JX
"2년	"/SS+2/SN+년/NNB
뒤	뒤/NNG
성남시	성남시/NNP
게임산업	게임/NNG+산업/NNG
규모가	규모/NNG+가/JKS
국내	국내/NNG
게임	게임/NNG
시장의	시장/NNG+의/JKG
절반에	절반/NNG+에/JKB
이르는	이르/VV+는/ETM
등	등/NNB
그	그/MMD
중요도가	중요도/NNG+가/JKS
날로	날로/MAG
높아지게	높아지/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"정부가	"/SS+정부/NNG+가/JKS
내년도	내년도/NNG
세계	세계/NNG
3위	3/SN+위/NNB
게임강국	게임/NNG+강국/NNG
진입을	진입/NNG+을/JKO
목표로	목표/NNG+로/JKB
삼은	삼/VV+은/ETM
데	데/NNB
시가	시/NNG+가/JKS
부응하고,	부응/NNG+하/XSV+고/EC+,/SP
궁극적으로는	궁극/NNG+적/XSN+으로/JKB+는/JX
산업이	산업/NNG+이/JKS
시민들에게	시민/NNG+들/XSN+에게/JKB
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


