# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.272
metadata : {}


# id : NWRW1800000036.272.1.1
“이중간첩 누명, 사법부가 역할 못해 죄송합니다”

“이중간첩	“/SS+이중간첩/NNG
선고받아	선고/NNG+받/XSV+아/EC
1961년	1961/SN+년/NNB
처형당했다.	처형/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.7.1
심씨의 생사를 전혀 몰랐던 가족들은 처형된 지 45년 만인 2006년에야 심씨가 사망한 사실을 확인하고 ‘진실·화해를 위한 과거사정리위원회’에 진실규명을 요청했다.

심씨의	심/NNP+씨/NNB+의/JKG
생사를	생사/NNG+를/JKO
전혀	전혀/MAG
몰랐던	모르/VV+았/EP+던/ETM
가족들은	가족/NNG+들/XSN+은/JX
처형된	처형/NNG+되/XSV+ㄴ/ETM
지	지/NNB
45년	45/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
2006년에야	2006/SN+년/NNB+에/JKB+야/JX
심씨가	심/NNP+씨/NNB+가/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
‘진실·화해를	‘/SS+진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리위원회’에	과거사/NNG+정리/NNG+위원회/NNG+’/SS+에/JKB
진실규명을	진실/NNG+규명/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.7.2
진실화해위는 3년 뒤인 2009년 유족에 대한 사과와 함께, 심씨와 가족의 명예회복을 위한 재심 등의 조처를 권고했다.

진실화해위는	진실/NNG+화해위/NNG+는/JX
3년	3/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
2009년	2009/SN+년/NNB
유족에	유족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사과와	사과/NNG+와/JKB
함께,	함께/MAG+,/SP
심씨와	심/NNP+씨/NNB+와/JC
가족의	가족/NNG+의/JKG
명예회복을	명예/NNG+회복/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
재심	재심/NNG
등의	등/NNB+의/JKG
조처를	조처/NNG+를/JKO
권고했다.	권고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.8.1
이날 재판에서 재판부는 “위장자수했다는 공소사실을 합리적 의심을 배제할 정도로 증명할 수 있는 증거가 없다”며 무죄를 선고했다.

이날	이날/NNG
재판에서	재판/NNG+에서/JKB
재판부는	재판부/NNG+는/JX
“위장자수했다는	“/SS+위장/NNG+자수/NNG+하/XSV+았/EP+다는/ETM
공소사실을	공소/NNG+사실/NNG+을/JKO
합리적	합리/NNG+적/XSN
의심을	의심/NNG+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
증명할	증명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
증거가	증거/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
무죄를	무죄/NNG+를/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.8.2
이원범 재판장은 “심문규씨가 떳떳한 대한민국의 일원이었다고 선고함으로써 심씨와 유족의 명예가 일부라도 회복되기를 빈다”고 말했다.

이원범	이원범/NNP
재판장은	재판장/NNG+은/JX
“심문규씨가	“/SS+심문규/NNP+씨/NNB+가/JKS
떳떳한	떳떳하/VA+ㄴ/ETM
대한민국의	대한민국/NNP+의/JKG
일원이었다고	일원/NNG+이/VCP+었/EP+다고/EC
선고함으로써	선고/NNG+하/XSV+ㅁ/ETN+으로써/JKB
심씨와	심/NNP+씨/NNB+와/JC
유족의	유족/NNG+의/JKG
명예가	명예/NNG+가/JKS
일부라도	일부/NNG+이/VCP+라도/EC
회복되기를	회복/NNG+되/XSV+기/ETN+를/JKO
빈다”고	빌/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.8.3
심씨의 재심을 청구한 아들(63)은 “자식으로서 아버지를 위해 한 것이 없어서 부끄럽다”며 눈물을 흘렸다.

심씨의	심/NNP+씨/NNB+의/JKG
재심을	재심/NNG+을/JKO
청구한	청구/NNG+하/XSV+ㄴ/ETM
아들(63)은	아들/NNG+(/SS+63/SN+)/SS+은/JX
“자식으로서	“/SS+자식/NNG+으로서/JKB
아버지를	아버지/NNG+를/JKO
위해	위하/VV+아/EC
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
없어서	없/VA+어서/EC
부끄럽다”며	부끄럽/VA+다/EF+”/SS+며/EC
눈물을	눈물/NNG+을/JKO
흘렸다.	흘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.272.8.4
심씨의 유족들은 아직도 심씨의 주검을 찾지 못했다.

심씨의	심/NNP+씨/NNB+의/JKG
유족들은	유족/NNG+들/XSN+은/JX
아직도	아직/MAG+도/JX
주검을	주검/NNG+을/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


