# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.74
metadata : {}


# id : NWRW1800000029.74.1.1
삼성전자, ‘어닝 쇼크’는 없다

삼성전자,	삼성전자/NNP+,/SP
것으로	것/NNB+으로/JKB
증권	증권/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.74.5.1
6일 전자업계와 증권업계에 따르면 삼성전자의 3분기 영업이익은 3조3000억∼3조5000억 원, 매출액은 42조4000억∼43조 원에 이를 것으로 추정된다.

6일	6/SN+일/NNB
전자업계와	전자업/NNG+계/XSN+와/JC
증권업계에	증권업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
삼성전자의	삼성전자/NNP+의/JKG
3분기	3/SN+분기/NNG
영업이익은	영업/NNG+이익/NNG+은/JX
3조3000억∼3조5000억	3/SN+조/NR+3000/SN+억/NR+∼/SO+3/SN+조/NR+5000/SN+억/NR
원,	원/NNB+,/SP
매출액은	매출액/NNG+은/JX
42조4000억∼43조	42/SN+조/NR+4000/SN+억/NR+∼/SO+43/SN+조/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.74.5.2
지난해 3분기와 비교하면 매출은 6% 정도 늘지만 영업이익은 30%가량 줄어든 수준이다.

지난해	지난해/NNG
3분기와	3/SN+분기/NNG+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
매출은	매출/NNG+은/JX
6%	6/SN+%/SW
정도	정도/NNG
늘지만	늘/VV+지만/EC
영업이익은	영업/NNG+이익/NNG+은/JX
30%가량	30/SN+%/SW+가량/XSN
줄어든	줄어들/VV+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.74.5.3
하지만 미국의 경기침체와 유럽의 재정위기, 반도체 가격 급락 등 어려운 수출 여건을 감안하면 선방했다는 평가가 우세하다.

하지만	하지만/MAJ
미국의	미국/NNP+의/JKG
경기침체와	경기/NNG+침체/NNG+와/JC
유럽의	유럽/NNP+의/JKG
재정위기,	재정/NNG+위기/NNG+,/SP
반도체	반도체/NNG
가격	가격/NNG
급락	급락/NNG
등	등/NNB
어려운	어렵/VA+ㄴ/ETM
수출	수출/NNG
여건을	여건/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
선방했다는	선방/NNG+하/XSV+았/EP+다는/ETM
평가가	평가/NNG+가/JKS
우세하다.	우세/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.74.6.1
국제회계기준(IFRS) 적용 컨센서스(실적 전망치 평균) 추정치가 존재하는 264개 종목의 3분기 순이익은 총 25조 원으로 2분기 대비 13.3% 감소할 것으로 예상된다.

국제회계기준(IFRS)	국제/NNG+회계/NNG+기준/NNG+(/SS+IFRS/SL+)/SS
적용	적용/NNG
컨센서스(실적	컨센서스/NNG+(/SS+실적/NNG
전망치	전망/NNG+치/XSN
평균)	평균/NNG+)/SS
추정치가	추정/NNG+치/XSN+가/JKS
존재하는	존재/NNG+하/XSV+는/ETM
264개	264/SN+개/NNB
종목의	종목/NNG+의/JKG
3분기	3/SN+분기/NNG
순이익은	순이익/NNG+은/JX
총	총/MMA
25조	25/SN+조/NR
원으로	원/NNB+으로/JKB
2분기	2/SN+분기/NNG
대비	대비/NNG
13.3%	13/SN+./SP+3/SN+%/SW
감소할	감소/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.74.6.2
유럽 재정위기가 확산되면서 국내 상장사들의 실적 악화에 불안감이 높아지고 있다.

유럽	유럽/NNP
재정위기가	재정/NNG+위기/NNG+가/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
국내	국내/NNG
상장사들의	상장사/NNG+들/XSN+의/JKG
실적	실적/NNG
악화에	악화/NNG+에/JKB
불안감이	불안감/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.74.6.3
하지만 시장에서 우려하는 것만큼 대규모 실적 하락이 나타날 개연성이 크지 않다는 것이 증권업계의 대체적인 분석이다.

하지만	하지만/MAJ
시장에서	시장/NNG+에서/JKB
우려하는	우려/NNG+하/XSV+는/ETM
것만큼	것/NNB+만큼/JKB
대규모	대/XPN+규모/NNG
실적	실적/NNG
하락이	하락/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
개연성이	개연/NNG+성/XSN+이/JKS
크지	크/VA+지/EC
않다는	않/VX+다는/ETM
것이	것/NNB+이/JKS
증권업계의	증권업/NNG+계/XSN+의/JKG
대체적인	대체/NNG+적/XSN+이/VCP+ㄴ/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.74.6.4
실적 우려가 이미 주가에 상당 부분 반영되어 있는 만큼 추가적인 하락도 제한적일 것이라는 예측이 많다.

실적	실적/NNG
우려가	우려/NNG+가/JKS
이미	이미/MAG
주가에	주가/NNG+에/JKB
상당	상당/NNG
부분	부분/NNG
반영되어	반영/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
하락도	하락/NNG+도/JX
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예측이	예측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.74.6.5
2008년 글로벌 금융위기 때는 3분기 실적치가 연초 전망치보다 40%나 급락해 ‘어닝 쇼크’에 대한 불안심리가 컸다.

2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
때는	때/NNG+는/JX
3분기	3/SN+분기/NNG
실적치가	실적/NNG+치/XSN+가/JKS
연초	연초/NNG
전망치보다	전망/NNG+치/XSN+보다/JKB
40%나	40/SN+%/SW+나/JX
급락해	급락/NNG+하/XSV+아/EC
‘어닝	‘/SS+어닝/NNG
쇼크’에	쇼크/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
불안심리가	불안/NNG+심리/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.74.7.1
곽상현 토러스투자증권 연구원은 “실적 예측이 가능한 화학, 자동차 업종의 비중이 높아졌고 2008년 금융위기 당시 기업이익 감소를 주도한 반도체, 은행, 휴대전화, 조선업종도 이익 급락 소지가 낮다”며 “걱정했던 것보다 긍정적인 실적이 발표되면 투자심리를 안정시키는 계기가 될 수 있을 것”이라고 말했다.

곽상현	곽상현/NNP
토러스투자증권	토러스투자증권/NNP
연구원은	연구원/NNG+은/JX
“실적	“/SS+실적/NNG
예측이	예측/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
화학,	화학/NNG+,/SP
자동차	자동차/NNG
업종의	업종/NNG+의/JKG
비중이	비중/NNG+이/JKS
높아졌고	높아지/VV+었/EP+고/EC
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
당시	당시/NNG
기업이익	기업/NNG+이익/NNG
감소를	감소/NNG+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
반도체,	반도체/NNG+,/SP
은행,	은행/NNG+,/SP
휴대전화,	휴대/NNG+전화/NNG+,/SP
조선업종도	조선/NNG+업종/NNG+도/JX
이익	이익/NNG
급락	급락/NNG
소지가	소지/NNG+가/JKS
낮다”며	낮/VA+다/EF+”/SS+며/EC
“걱정했던	“/SS+걱정/NNG+하/XSV+았/EP+던/ETM
것보다	것/NNB+보다/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
실적이	실적/NNG+이/JKS
발표되면	발표/NNG+되/XSV+면/EC
투자심리를	투자/NNG+심리/NNG+를/JKO
안정시키는	안정/NNG+시키/XSV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.74.7.2
오히려 실적을 확인한 뒤 반등할 수 있다는 전망도 있다.

오히려	오히려/MAG
실적을	실적/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
반등할	반등/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망도	전망/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.74.7.3
동부증권 양해정 연구원은 “3분기 이익이 예상 수준으로 나오면 주가 하락 폭이 컸던 업종 중심으로 반등할 개연성이 높다”며 3분기 상승동력이 양호한 업종으로 건설, 기계, 상사, 에너지, 화학, 은행, 미디어 등을 꼽았다.

동부증권	동부증권/NNP
양해정	양해정/NNP
연구원은	연구원/NNG+은/JX
“3분기	“/SS+3/SN+분기/NNG
이익이	이익/NNG+이/JKS
예상	예상/NNG
수준으로	수준/NNG+으로/JKB
나오면	나오/VV+면/EC
주가	주가/NNG
하락	하락/NNG
폭이	폭/NNG+이/JKS
컸던	크/VA+었/EP+던/ETM
업종	업종/NNG
중심으로	중심/NNG+으로/JKB
반등할	반등/NNG+하/XSV+ㄹ/ETM
개연성이	개연/NNG+성/XSN+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
3분기	3/SN+분기/NNG
상승동력이	상승/NNG+동력/NNG+이/JKS
양호한	양호/NNG+하/XSA+ㄴ/ETM
업종으로	업종/NNG+으로/JKB
건설,	건설/NNG+,/SP
기계,	기계/NNG+,/SP
상사,	상사/NNG+,/SP
에너지,	에너지/NNG+,/SP
화학,	화학/NNG+,/SP
은행,	은행/NNG+,/SP
미디어	미디어/NNG
등을	등/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


