# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.9
metadata : {}


# id : NWRW1800000046.9.1.1
[월드 톡톡] 이슬람 못지않은 유대교의 '男女有別'

[월드	[/SS+월드/NNG
# id : NWRW1800000046.9.5.1
하지만 하 메바세르에 게재된 사진에선 메르켈 총리가 나온 부분이 지워졌고 그 자리에 마무드 아바스 팔레스타인 자치정부 수반이 있도록 편집됐다.

하지만	하지만/MAJ
하	하/NNP
메바세르에	메바세르/NNP+에/JKB
게재된	게재/NNG+되/XSV+ㄴ/ETM
사진에선	사진/NNG+에서/JKB+ㄴ/JX
메르켈	메르켈/NNP
총리가	총리/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
지워졌고	지우/VV+어/EC+지/VX+었/EP+고/EC
그	그/MMD
자리에	자리/NNG+에/JKB
마무드	마무드/NNP
아바스	아바스/NNP
팔레스타인	팔레스타인/NNP
자치정부	자치/NNG+정부/NNG
수반이	수반/NNG+이/JKS
있도록	있/VA+도록/EC
편집됐다.	편집/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.5.2
베냐민 네타냐후 이스라엘 총리의 왼쪽 둘째 자리에 있던 이달고 시장도 다른 남성으로 바뀌었다.

베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
이스라엘	이스라엘/NNP
총리의	총리/NNG+의/JKG
왼쪽	왼쪽/NNG
둘째	둘째/NR
자리에	자리/NNG+에/JKB
있던	있/VA+던/ETM
이달고	이달고/NNP
시장도	시장/NNG+도/JX
다른	다른/MMD
남성으로	남성/NNG+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.5.3
원본 사진에서 여성만 쏙 뺀 '조작' 사진이 실린 것이다.

원본	원본/NNG
사진에서	사진/NNG+에서/JKB
여성만	여성/NNG+만/JX
쏙	쏙/MAG
뺀	빼/VV+ㄴ/ETM
'조작'	'/SS+조작/NNG+'/SS
사진이	사진/NNG+이/JKS
실린	실리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.9.5.4
이스라엘 일간 하아레츠는 "하 메바세르가 '남녀는 특별한 경우가 아니면 공공장소에서 떨어져 있는다'는 하레디의 규율을 지키기 위해 이 같은 편집을 했다"고 지적했다.

이스라엘	이스라엘/NNP
일간	일간/NNG
하아레츠는	하아레츠/NNP+는/JX
"하	"/SS+하/NNP
메바세르가	메바세르/NNP+가/JKS
'남녀는	'/SS+남녀/NNG+는/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
경우가	경우/NNG+가/JKC
아니면	아니/VCN+면/EC
공공장소에서	공공장소/NNG+에서/JKB
떨어져	떨어지/VV+어/EC
있는다'는	있/VX+는다/EF+'/SS+는/ETM
하레디의	하레디/NNP+의/JKG
규율을	규율/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
편집을	편집/NNG+을/JKO
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.9.6.1
하레디의 '도를 넘는 행동'은 여객기 안에서도 일어난다.

하레디의	하레디/NNP+의/JKG
'도를	'/SS+도/NNG+를/JKO
넘는	넘/VV+는/ETM
행동'은	행동/NNG+'/SS+은/JX
여객기	여객기/NNG
안에서도	안/NNG+에서/JKB+도/JX
일어난다.	일어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.9.6.2
지난달 20일 뉴욕발 이스라엘행 여객기에서 하레디 남성 때문에 이륙이 30분 넘게 지연되는 소동이 벌어졌다.

지난달	지난달/NNG
20일	20/SN+일/NNB
뉴욕발	뉴욕/NNP+발/XSN
이스라엘행	이스라엘행/NNG
여객기에서	여객기/NNG+에서/JKB
하레디	하레디/NNP
남성	남성/NNG
때문에	때문/NNB+에/JKB
이륙이	이륙/NNG+이/JKS
30분	30/SN+분/NNB
넘게	넘/VV+게/EC
지연되는	지연/NNG+되/XSV+는/ETM
소동이	소동/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.6.3
이 남성은 "율법에 따라 낯선 여성 옆에 앉을 수 없다"면서 승무원과 실랑이를 벌였다.

이	이/MMD
남성은	남성/NNG+은/JX
"율법에	"/SS+율법/NNG+에/JKB
따라	따르/VV+아/EC
낯선	낯설/VA+ㄴ/ETM
여성	여성/NNG
옆에	옆/NNG+에/JKB
앉을	앉/VV+을/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
승무원과	승무원/NNG+과/JKB
실랑이를	실랑이/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.6.4
결국 미국인 남성 승객이 자리를 바꿔주면서 사태가 일단락됐다.

결국	결국/MAG
미국인	미국인/NNG
남성	남성/NNG
승객이	승객/NNG+이/JKS
자리를	자리/NNG+를/JKO
바꿔주면서	바꾸/VV+어/EC+주/VX+면서/EC
사태가	사태/NNG+가/JKS
일단락됐다.	일단락/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.6.5
자리를 바꾸는 데 실패한 하레디 남성들은 이륙 후 비행기 통로에 앉아 가 마찰을 빚기도 한다.

자리를	자리/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
데	데/NNB
실패한	실패/NNG+하/XSV+ㄴ/ETM
하레디	하레디/NNP
남성들은	남성/NNG+들/XSN+은/JX
이륙	이륙/NNG
후	후/NNG
비행기	비행기/NNG
통로에	통로/NNG+에/JKB
앉아	앉/VV+아/EC
가	가/VX+아/EC
마찰을	마찰/NNG+을/JKO
빚기도	빚/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


