# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.102
metadata : {}


# id : NWRW1800000049.102.1.1
백남준 10주기… 추억의 퍼포먼스 재연

백남준	백남준/NNP
28일 추모전에는 가야금 명인 황병기, 김동호 전 부산국제영화제 집행위원장 등 백남준의 지인들이 여럿 참석했다.

28일	28/SN+일/NNB
추모전에는	추모전/NNG+에/JKB+는/JX
가야금	가야금/NNG
명인	명인/NNG
황병기,	황병기/NNP+,/SP
김동호	김동호/NNP
전	전/MMD
부산국제영화제	부산/NNP+국제/NNG+영화제/NNG
집행위원장	집행/NNG+위원장/NNG
등	등/NNB
백남준의	백남준/NNP+의/JKG
지인들이	지인/NNG+들/XSN+이/JKS
여럿	여럿/NNG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.102.8.2
백남준에 관한 저서 2권을 낸 이용우 히말라야미술관 관장은 “백 작가는 윤명로 화백이 1978년 ‘신동아’에 그에 관한 글을 쓰면서 국내에 처음 소개됐다”며 “당시 백 작가는 전위적인 퍼포먼스로 ‘동양에서 온 테러리스트’로 불렸다”고 말했다.

백남준에	백남준/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
저서	저서/NNG
2권을	2/SN+권/NNB+을/JKO
낸	내/VV+ㄴ/ETM
이용우	이용우/NNP
히말라야미술관	히말라야미술관/NNP
관장은	관장/NNG+은/JX
“백	“/SS+백/NNP
작가는	작가/NNG+는/JX
윤명로	윤명로/NNP
화백이	화백/NNG+이/JKS
1978년	1978/SN+년/NNB
‘신동아’에	‘/SS+신동아/NNP+’/SS+에/JKB
그에	그/NP+에/JKB
글을	글/NNG+을/JKO
쓰면서	쓰/VV+면서/EC
국내에	국내/NNG+에/JKB
처음	처음/NNG
소개됐다”며	소개/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
백	백/NNP
전위적인	전위/NNG+적/XSN+이/VCP+ㄴ/ETM
퍼포먼스로	퍼포먼스/NNG+로/JKB
‘동양에서	‘/SS+동양/NNG+에서/JKB
온	오/VV+ㄴ/ETM
테러리스트’로	테러리스트/NNG+’/SS+로/JKB
불렸다”고	불리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


