# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.1
metadata : {}


# id : NWRW1800000033.1.1.1
[부자됩시다]뻥 터질라… 정치테마주 폭탄돌리기 과열

[부자됩시다]뻥	[/SS+부자/NNG+되/XSV+ㅂ시다/EF+]/SS+뻥/MAG
돌리기’의	돌리/VV+기/ETN+’/SS+의/JKG
희생자가	희생자/NNG+가/JKC
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.1.11.1
실제로 9일 정치인 테마주에 대한 금융당국의 단속이 강화된다는 소식이 전해지면서 관련주들은 급락세를 보였다.

실제로	실제로/MAG
9일	9/SN+일/NNB
정치인	정치인/NNG
테마주에	테마주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융당국의	금융/NNG+당국/NNG+의/JKG
단속이	단속/NNG+이/JKS
강화된다는	강화/NNG+되/XSV+ㄴ다는/ETM
소식이	소식/NNG+이/JKS
전해지면서	전하/VV+아/EC+지/VX+면서/EC
관련주들은	관련주/NNG+들/XSN+은/JX
급락세를	급락세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.1.11.2
금융당국이 ‘테마주 조사 전담팀’을 구성하고 불공정 거래가 발견되는 즉시 긴급조치권을 발동한다는 대책을 내놓자 비정상적인 주가 흐름을 주도했던 작전세력이 주춤했기 때문인 것으로 분석된다.

금융당국이	금융/NNG+당국/NNG+이/JKS
‘테마주	‘/SS+테마주/NNG
조사	조사/NNG
전담팀’을	전담/NNG+팀/NNG+’/SS+을/JKO
구성하고	구성/NNG+하/XSV+고/EC
불공정	불/XPN+공정/NNG
거래가	거래/NNG+가/JKS
발견되는	발견/NNG+되/XSV+는/ETM
즉시	즉시/MAG
긴급조치권을	긴급/NNG+조치/NNG+권/XSN+을/JKO
발동한다는	발동/NNG+하/XSV+ㄴ다는/ETM
대책을	대책/NNG+을/JKO
내놓자	내놓/VV+자/EC
비정상적인	비/XPN+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
주가	주가/NNG
흐름을	흐름/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
작전세력이	작전/NNG+세력/NNG+이/JKS
주춤했기	주춤/MAG+하/XSV+았/EP+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.1.12.1
‘박근혜 테마주’인 EG는 이날 전날보다 14.99% 추락한 6만2400원으로 장을 마감했다.

‘박근혜	‘/SS+박근혜/NNP
테마주’인	테마주/NNG+’/SS+이/VCP+ㄴ/ETM
EG는	EG/SL+는/JX
이날	이날/NNG
전날보다	전날/NNG+보다/JKB
14.99%	14/SN+./SP+99/SN+%/SW
추락한	추락/NNG+하/XSV+ㄴ/ETM
6만2400원으로	6/SN+만/NR+2400/SN+원/NNB+으로/JKB
장을	장/NNG+을/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.1.12.2
비트컴퓨터(―14.91%)와 아가방컴퍼니(―12.89%)도 급락했으며 솔고바이오(―11.23%)와 안철수연구소(―4.14%)도 하락세를 벗어나지 못했다.

비트컴퓨터(―14.91%)와	비트컴퓨터/NNP+(/SS+―/SS+14/SN+./SP+91/SN+%/SW+)/SS+와/JC
아가방컴퍼니(―12.89%)도	아가방컴퍼니/NNP+(/SS+―/SS+12/SN+./SP+89/SN+%/SW+)/SS+도/JX
급락했으며	급락/NNG+하/XSV+았/EP+으며/EC
솔고바이오(―11.23%)와	솔고바이오/NNP+(/SS+―/SS+11/SN+./SP+23/SN+%/SW+)/SS+와/JC
안철수연구소(―4.14%)도	안철수연구소/NNP+(/SS+―/SS+4/SN+./SP+14/SN+%/SW+)/SS+도/JX
하락세를	하락세/NNG+를/JKO
벗어나지	벗어나/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


