# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.303
metadata : {}


# id : NWRW1800000049.303.1.1
새누리 ‘김무성 권력자 발언’ 놓고 충돌 계속

새누리	새누리/NNP
대표를	대표/NNG+를/JKO
압박하기	압박/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.303.6.3
다만 최경환 의원은 “전혀 들은 바 없다”고 일축했다.

다만	다만/MAG
최경환	최경환/NNP
의원은	의원/NNG+은/JX
“전혀	“/SS+전혀/MAG
들은	듣/VV+은/ETM
바	바/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.303.7.1
비박(비박근혜)계도 물러서지 않았다.

비박(비박근혜)계도	비/XPN+박/NNP+(/SS+비/XPN+박근혜/NNP+)/SS+계/XSN+도/JX
물러서지	물러서/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.303.7.2
김 대표 측근인 김성태 의원은 라디오에서 “김 대표는 총선을 진두지휘해야 될 선장”이라며 “선장을 흔들면 배가 격랑에 난파될 수밖에 없다”고 말했다.

김	김/NNP
대표	대표/NNG
측근인	측근/NNG+이/VCP+ㄴ/ETM
김성태	김성태/NNP
의원은	의원/NNG+은/JX
라디오에서	라디오/NNG+에서/JKB
“김	“/SS+김/NNP
대표는	대표/NNG+는/JX
총선을	총선/NNG+을/JKO
진두지휘해야	진두지휘/NNG+하/XSV+아야/EC
될	되/VV+ㄹ/ETM
선장”이라며	선장/NNG+”/SS+이/VCP+라며/EC
“선장을	“/SS+선장/NNG+을/JKO
흔들면	흔들/VV+면/EC
배가	배/NNG+가/JKS
격랑에	격랑/NNG+에/JKB
난파될	난파/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.303.7.3
정두언 의원도 김 대표의 ‘권력자’ 발언에 대해 “없는 말을 한 것도 아니고, 틀린 말을 한 것도 아니다.

정두언	정두언/NNP
의원도	의원/NNG+도/JX
김	김/NNP
대표의	대표/NNG+의/JKG
‘권력자’	‘/SS+권력자/NNG+’/SS
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“없는	“/SS+없/VA+는/ETM
말을	말/NNG+을/JKO
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
아니고,	아니/VCN+고/EC+,/SP
틀린	틀리/VV+ㄴ/ETM
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.303.7.4
왜 시비를 거는 건지 이해가 잘 안 된다”고 거들었다.

왜	왜/MAG
시비를	시비/NNG+를/JKO
거는	걸/VV+는/ETM
건지	거/NNB+이/VCP+ㄴ지/EF
이해가	이해/NNG+가/JKS
잘	잘/MAG
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
거들었다.	거들/VV+었/EP+다/EF+./SF


