# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.189
metadata : {}


# id : NWRW1800000046.189.1.1
한국, 자살률 OECD 1위… 항우울제 소비는 하위

한국,	한국/NNP+,/SP
보는	보/VV+는/ETM
사회의	사회/NNG+의/JKG
부정적	부정/NNG+적/XSN
시선	시선/NNG
때문에	때문/NNB+에/JKB
병을	병/NNG+을/JKO
키우는	키우/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


