# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.347
metadata : {}


# id : NWRW1800000033.347.1.1
[야권 단일화 전쟁 시작]安, 文 후보확정 바로 다음날 ‘출마선언 예고’ 견제구

[야권	[/SS+야권/NNG
새누리당	새누리당/NNP
후보는	후보/NNG+는/JX
젊은이들이	젊은이/NNG+들/XSN+이/JKS
몰리는	몰리/VV+는/ETM
서울	서울/NNP
영등포의	영등포/NNP+의/JKG
쇼핑몰	쇼핑몰/NNG
타임스퀘어	타임스퀘어/NNP
광장에서	광장/NNG+에서/JKB
출마를	출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.347.7.3
소통을 강조하려는 박 후보의 의중이 반영된 결과였다.

소통을	소통/NNG+을/JKO
강조하려는	강조/NNG+하/XSV+려는/ETM
박	박/NNP
후보의	후보/NNG+의/JKG
의중이	의중/NNG+이/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
결과였다.	결과/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.347.7.4
문 후보는 서대문 독립공원을 택해 역사성을 강조했다.

문	문/NNP
후보는	후보/NNG+는/JX
서대문	서대문/NNP
독립공원을	독립공원/NNP+을/JKO
택해	택하/VV+아/EC
역사성을	역사/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.347.7.5
이곳은 자신이 민주화운동을 하다 투옥된 적이 있는 서대문구치소 자리다.

이곳은	이곳/NP+은/JX
자신이	자신/NNG+이/JKS
민주화운동을	민주/NNG+화/XSN+운동/NNG+을/JKO
하다	하/VV+다/EC
투옥된	투옥/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있는	있/VA+는/ETM
서대문구치소	서대문구치소/NNP
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.347.8.1
안 원장의 기자회견 시간이 ‘19일 오후 3시’로 잡히자 ‘안철수 타임’ 또는 ‘3시의 법칙’이라는 얘기도 나왔다.

안	안/NNP
원장의	원장/NNG+의/JKG
기자회견	기자/NNG+회견/NNG
시간이	시간/NNG+이/JKS
‘19일	‘/SS+19/SN+일/NNB
오후	오후/NNG
3시’로	3/SN+시/NNB+’/SS+로/JKB
잡히자	잡히/VV+자/EC
‘안철수	‘/SS+안철수/NNP
타임’	타임/NNG+’/SS
또는	또는/MAG
‘3시의	‘/SS+3/SN+시/NNB+의/JKG
법칙’이라는	법칙/NNG+’/SS+이/VCP+라는/ETM
얘기도	얘기/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.347.8.2
측근인 금태섭 변호사가 새누리당 정준길 전 공보위원의 협박과 불출마 종용을 폭로한 회견 시간도 6일 오후 3시경이었다.

측근인	측근/NNG+이/VCP+ㄴ/ETM
금태섭	금태섭/NNP
변호사가	변호사/NNG+가/JKS
새누리당	새누리당/NNP
정준길	정준길/NNP
전	전/MMD
공보위원의	공보/NNG+위원/NNG+의/JKG
협박과	협박/NNG+과/JC
불출마	불/XPN+출마/NNG
종용을	종용/NNG+을/JKO
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
회견	회견/NNG
시간도	시간/NNG+도/JX
6일	6/SN+일/NNB
오후	오후/NNG
3시경이었다.	3/SN+시/NNB+경/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.347.8.3
17일 안 원장 측으로부터 회견을 알리는 e메일과 문자가 기자들에게 도착한 시간은 3시 반경이었다.

17일	17/SN+일/NNB
안	안/NNP
원장	원장/NNG
측으로부터	측/NNB+으로부터/JKB
회견을	회견/NNG+을/JKO
알리는	알리/VV+는/ETM
e메일과	e/SL+메일/NNG+과/JC
문자가	문자/NNG+가/JKS
기자들에게	기자/NNG+들/XSN+에게/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
시간은	시간/NNG+은/JX
3시	3/SN+시/NNB
반경이었다.	반/NNG+경/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.347.8.4
앞서 13일 안 원장이 박원순 서울시장과 서울시청에서 면담한 시간도 오후 3시 50분경으로, 서울시와 안 원장 측은 면담이 끝난 뒤 이 사실을 공개했다.

앞서	앞서/MAG
13일	13/SN+일/NNB
안	안/NNP
원장이	원장/NNG+이/JKS
박원순	박원순/NNP
서울시장과	서울시장/NNG+과/JKB
서울시청에서	서울시청/NNP+에서/JKB
면담한	면담/NNG+하/XSV+ㄴ/ETM
시간도	시간/NNG+도/JX
오후	오후/NNG
3시	3/SN+시/NNB
50분경으로,	50/SN+분/NNB+경/XSN+으로/JKB+,/SP
서울시와	서울시/NNP+와/JC
원장	원장/NNG
측은	측/NNB+은/JX
면담이	면담/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
사실을	사실/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.347.8.5
안 원장 측은 “언론의 마감시간을 고려한 것”이라고 했지만, 일각에선 당일의 ‘안철수 테마주’ 주가에 미치는 영향을 최소화하기 위해 주식 시장 마감시간인 오후 3시경을 선택한 것이라는 해석도 나온다.

안	안/NNP
원장	원장/NNG
측은	측/NNB+은/JX
“언론의	“/SS+언론/NNG+의/JKG
마감시간을	마감/NNG+시간/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
일각에선	일각/NNG+에서/JKB+ㄴ/JX
당일의	당일/NNG+의/JKG
‘안철수	‘/SS+안철수/NNP
테마주’	테마주/NNG+’/SS
주가에	주가/NNG+에/JKB
미치는	미치/VV+는/ETM
영향을	영향/NNG+을/JKO
최소화하기	최소/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
주식	주식/NNG
시장	시장/NNG
마감시간인	마감/NNG+시간/NNG+이/VCP+ㄴ/ETM
오후	오후/NNG
3시경을	3/SN+시/NNB+경/XSN+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석도	해석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


