# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.93
metadata : {}


# id : NWRW1800000046.93.1.1
"밋밋하지 않아요, 제 눈엔 가장 우아한 그릇이죠"

"밋밋하지	"/SS+밋밋하/VA+지/EC
6000송이를	6000/SN+송이/NNG+를/JKO
꽂아	꽂/VV+아/EC
마을의	마을/NNG+의/JKG
수호신인	수호신/NNG+이/VCP+ㄴ/ETM
당산나무처럼	당산나무/NNG+처럼/JKB
꾸민	꾸미/VV+ㄴ/ETM
샹들리에,	샹들리에/NNG+,/SP
그리고	그리고/MAJ
우윳빛	우윳빛/NNG
뽀얀	뽀얗/VA+ㄴ/ETM
달항아리가	달/NNG+항아리/NNG+가/JKS
탐스럽게	탐/NNG+스럽/XSA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.3.5
각국에서 온 패션계 유명 인사들이 입맛을 다시며 음식 주위로 몰려들었다.

각국에서	각국/NNG+에서/JKB
온	오/VV+ㄴ/ETM
패션계	패션/NNG+계/XSN
유명	유명/NNG
인사들이	인사/NNG+들/XSN+이/JKS
입맛을	입맛/NNG+을/JKO
다시며	다시/VV+며/EC
음식	음식/NNG
주위로	주위/NNG+로/JKB
몰려들었다.	몰려들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.3.6
좀체 모습을 드러내지 않는 라거펠트는 주방을 찾아 "판타스틱!"을 외쳤다.

좀체	좀체/MAG
모습을	모습/NNG+을/JKO
드러내지	드러내/VV+지/EC
않는	않/VX+는/ETM
라거펠트는	라거펠트/NNP+는/JX
주방을	주방/NNG+을/JKO
찾아	찾/VV+아/EC
"판타스틱!"을	"/SS+판타스틱/NNG+!/SF+"/SS+을/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.3.7
패션쇼 당일 인스타그램은 '패피(패션 피플)'들이 맛깔스럽게 찍어올린 '샤넬표 한식' 사진들로 넘쳐났다.

패션쇼	패션쇼/NNG
당일	당일/NNG
인스타그램은	인스타그램/NNP+은/JX
'패피(패션	'/SS+패피/NNG+(/SS+패션/NNG
피플)'들이	피플/NNG+)/SS+'/SS+들/XSN+이/JKS
맛깔스럽게	맛깔/NNG+스럽/XSA+게/EC
찍어올린	찍/VV+어/EC+올리/VV+ㄴ/ETM
'샤넬표	'/SS+샤넬/NNP+표/NNG
한식'	한식/NNG+'/SS
사진들로	사진/NNG+들/XSN+로/JKB
넘쳐났다.	넘치/VV+어/EC+나/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.93.3.8
한국인보다 더 한국스럽게 한국의 맛과 아름다움을 표현한 이는 이탈리아 출신 요리사 스테파노 디 살보(Di Salvo ·43).

한국인보다	한국인/NNG+보다/JKB
더	더/MAG
한국스럽게	한국/NNP+스럽/XSA+게/EC
한국의	한국/NNP+의/JKG
맛과	맛/NNG+과/JC
아름다움을	아름다움/NNG+을/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
이는	이/NNB+는/JX
이탈리아	이탈리아/NNP
출신	출신/NNG
요리사	요리사/NNG
스테파노	스테파노/NNP
디	디/NNP
살보(Di	살보/NNP+(/SS+Di/SL
Salvo	Salvo/SL
·43).	·/SP+43/SN+)/SS+./SF


# id : NWRW1800000046.93.3.9
현재 JW메리어트 동대문스퀘어 서울 호텔의 총주방장이다.

현재	현재/MAG
JW메리어트	JW메리어트/NNP
동대문스퀘어	동대문/NNP+스퀘어/NNG
서울	서울/NNP
호텔의	호텔/NNG+의/JKG
총주방장이다.	총주방장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.93.4.1
초여름 햇빛이 동대문을 달구는 오후, 디 살보 총주방장은 호텔 한편에 놓아둔 찬장에서 주섬주섬 그릇을 꺼내고 있었다.

초여름	초여름/NNG
햇빛이	햇빛/NNG+이/JKS
동대문을	동대문/NNP+을/JKO
달구는	달구/VV+는/ETM
오후,	오후/NNG+,/SP
디	디/NNP
살보	살보/NNP
총주방장은	총주방장/NNG+은/JX
호텔	호텔/NNG
한편에	한편/NNG+에/JKB
놓아둔	놓아두/VV+ㄴ/ETM
찬장에서	찬장/NNG+에서/JKB
주섬주섬	주섬주섬/MAG
그릇을	그릇/NNG+을/JKO
꺼내고	꺼내/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.93.4.2
백자와 놋그릇, 동그스름한 옹기다.

백자와	백자/NNG+와/JC
놋그릇,	놋그릇/NNG+,/SP
동그스름한	동그스름하/VA+ㄴ/ETM
옹기다.	옹기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.93.4.3
직접 사 모은 것들이라 했다.

직접	직접/MAG
사	사/VV+아/EC
모은	모으/VV+ㄴ/ETM
것들이라	것/NNB+들/XSN+이/VCP+라/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.4.4
"한국인 눈엔 한국 그릇이 서양 그릇보다 밋밋하고 심심해 보일지 몰라도 제 눈엔 이보다 우아한 그릇이 없어요.

"한국인	"/SS+한국인/NNG
눈엔	눈/NNG+에/JKB+ㄴ/JX
한국	한국/NNP
그릇이	그릇/NNG+이/JKS
서양	서양/NNG
그릇보다	그릇/NNG+보다/JKB
밋밋하고	밋밋하/VA+고/EC
심심해	심심하/VA+아/EC
보일지	보이/VV+ㄹ지/EC
몰라도	모르/VV+아도/EC
제	저/NP+의/JKG
이보다	이/NP+보다/JKB
우아한	우아하/VA+ㄴ/ETM
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000046.93.4.5
무심한 형태, 깨끗한 색감, 손끝에 닿는 질감이 마냥 따스해요.

무심한	무심/NNG+하/XSA+ㄴ/ETM
형태,	형태/NNG+,/SP
깨끗한	깨끗하/VA+ㄴ/ETM
색감,	색감/NNG+,/SP
손끝에	손끝/NNG+에/JKB
닿는	닿/VV+는/ETM
질감이	질감/NNG+이/JKS
마냥	마냥/MAG
따스해요.	따스하/VA+아요/EF+./SF


# id : NWRW1800000046.93.4.6
제가 만든 음식을 돋보이게 해주죠."

제가	제/NP+가/JKS
만든	만들/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
돋보이게	돋보이/VV+게/EC
해주죠."	하/VX+아/EC+주/VX+죠/EF+./SF+"/SS


# id : NWRW1800000046.93.5.1
까만색의 네모난 찬합을 들어올리며 그는, "이 그릇은 장인이 한 땀 한 땀 바느질한 것처럼 일곱 번 정성을 다해 옻칠한 것이다. 그 뚝심이 마음에 든다"고 했다.

까만색의	까만색/NNG+의/JKG
네모난	네모나/VA+ㄴ/ETM
찬합을	찬합/NNG+을/JKO
들어올리며	들/VV+어/EC+올리/VV+며/EC
그는,	그/NP+는/JX+,/SP
"이	"/SS+이/MMD
그릇은	그릇/NNG+은/JX
장인이	장인/NNG+이/JKS
한	한/MMN
땀	땀/NNG
바느질한	바느질/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
일곱	일곱/NR
번	번/NNB
정성을	정성/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
옻칠한	옻칠/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
그	그/MMD
뚝심이	뚝심/NNG+이/JKS
마음에	마음/NNG+에/JKB
든다"고	들/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.5.2
한데 모으면 위로 높아지지만 따로 나눠 놓으면 바닥에 넓게 퍼지는 이 찬합에서 아이디어를 얻어, 그는 그만의 '애프터눈 티(afternoon tea) 세트'도 만들어 선보였다.

한데	한데/MAG
모으면	모으/VV+면/EC
위로	위/NNG+로/JKB
높아지지만	높아지/VV+지만/EC
따로	따로/MAG
나눠	나누/VV+어/EC
놓으면	놓/VX+으면/EC
바닥에	바닥/NNG+에/JKB
넓게	넓/VA+게/EC
퍼지는	퍼지/VV+는/ETM
이	이/MMD
찬합에서	찬합/NNG+에서/JKB
아이디어를	아이디어/NNG+를/JKO
얻어,	얻/VV+어/EC+,/SP
그는	그/NP+는/JX
그만의	그/NP+만/JX+의/JKG
'애프터눈	'/SS+애프터눈/NNG
티(afternoon	티/NNG+(/SS+afternoon/SL
tea)	tea/SL+)/SS
세트'도	세트/NNG+'/SS+도/JX
만들어	만들/VV+어/EC
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.5.3
찬합의 각 층마다 과일 젤리 타틀렛, 갓 구운 스콘과 마카롱, 쿠키 등 달콤한 디저트를 담아 고운 빛깔의 홍차와 함께 내놓는다.

찬합의	찬합/NNG+의/JKG
각	각/MMD
층마다	층/NNG+마다/JX
과일	과일/NNG
젤리	젤리/NNG
타틀렛,	타틀렛/NNG+,/SP
갓	갓/MAG
구운	굽/VV+ㄴ/ETM
스콘과	스콘/NNG+과/JC
마카롱,	마카롱/NNG+,/SP
쿠키	쿠키/NNG
등	등/NNB
달콤한	달콤하/VA+ㄴ/ETM
디저트를	디저트/NNG+를/JKO
담아	담/VV+아/EC
고운	곱/VA+ㄴ/ETM
빛깔의	빛깔/NNG+의/JKG
홍차와	홍차/NNG+와/JKB
함께	함께/MAG
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000046.93.6.1
이탈리아 북부 제노바에서 태어난 그는 열다섯 살 때부터 호텔 학교에서 요리를 배웠다.

이탈리아	이탈리아/NNP
북부	북부/NNG
제노바에서	제노바/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
그는	그/NP+는/JX
열다섯	열다섯/NR
살	살/NNB
때부터	때/NNG+부터/JX
호텔	호텔/NNG
학교에서	학교/NNG+에서/JKB
요리를	요리/NNG+를/JKO
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.6.2
로마의 에덴 호텔, 투스카니의 일 펠리카노 호텔 등 최고급 호텔 주방에서 일하다가 2001년부터 방콕과 상하이의 그랜드하얏트 호텔에서 경력을 쌓았다.

로마의	로마/NNP+의/JKG
에덴	에덴/NNP
호텔,	호텔/NNG+,/SP
투스카니의	투스카니/NNP+의/JKG
일	일/NNP
펠리카노	펠리카노/NNP
호텔	호텔/NNG
등	등/NNB
최고급	최/XPN+고급/NNG
주방에서	주방/NNG+에서/JKB
일하다가	일/NNG+하/XSV+다가/EC
2001년부터	2001/SN+년/NNB+부터/JX
방콕과	방콕/NNP+과/JC
상하이의	상하이/NNP+의/JKG
그랜드하얏트	그랜드하얏트/NNP
호텔에서	호텔/NNG+에서/JKB
경력을	경력/NNG+을/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.6.3
2007년 10월 한국에 왔다.

2007년	2007/SN+년/NNB
10월	10/SN+월/NNB
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.6.4
배우 옥소리와 스캔들이 난 이탈리아 요리사가 한국을 떠나면서 상하이에 있던 그가 급작스럽게 총주방장 제안을 받았다.

배우	배우/NNG
옥소리와	옥소리/NNP+와/JKB
스캔들이	스캔들/NNG+이/JKS
난	나/VV+ㄴ/ETM
이탈리아	이탈리아/NNP
요리사가	요리사/NNG+가/JKS
한국을	한국/NNP+을/JKO
떠나면서	떠나/VV+면서/EC
상하이에	상하이/NNP+에/JKB
있던	있/VA+던/ETM
그가	그/NP+가/JKS
급작스럽게	급작스럽/VA+게/EC
총주방장	총주방장/NNG
제안을	제안/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.6.5
"새로운 곳에 도전할 수 있어서 반가웠어요." 남들이 샘플 음식 10개를 만들 때 그는 20개를 내놓는다.

"새로운	"/SS+새롭/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
도전할	도전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
반가웠어요."	반갑/VA+었/EP+어요/EF+./SF+"/SS
남들이	남/NNG+들/XSN+이/JKS
샘플	샘플/NNG
음식	음식/NNG
10개를	10/SN+개/NNB+를/JKO
만들	만들/VV+ㄹ/ETM
때	때/NNG
그는	그/NP+는/JX
20개를	20/SN+개/NNB+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000046.93.6.6
음식 사진도 직접 찍어 일일이 설명을 단다.

음식	음식/NNG
사진도	사진/NNG+도/JX
직접	직접/MAG
찍어	찍/VV+어/EC
일일이	일일이/MAG
설명을	설명/NNG+을/JKO
단다.	달/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.93.6.7
야외에서 소고기 패티(햄버거용 고기) 하나를 굽더라도 보조에게 안 맡기고 직접 한다.

야외에서	야외/NNG+에서/JKB
소고기	소고기/NNG
패티(햄버거용	패티/NNG+(/SS+햄버거/NNG+용/XSN
고기)	고기/NNG+)/SS
하나를	하나/NR+를/JKO
굽더라도	굽/VV+더라도/EC
보조에게	보조/NNG+에게/JKB
안	안/MAG
맡기고	맡기/VV+고/EC
직접	직접/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.93.7.1
연애할 때 손잡고 이천 도자기축제를 보러 다녔던 한국인 아내(신혜영 디올코스메틱 부장)는 남편을 "나보다 더 한국적인 사람"이라고 했다.

연애할	연애/NNG+하/XSV+ㄹ/ETM
때	때/NNG
손잡고	손잡/VV+고/EC
이천	이천/NNP
도자기축제를	도자기/NNG+축제/NNG+를/JKO
보러	보/VV+러/EC
다녔던	다니/VV+었/EP+던/ETM
한국인	한국인/NNG
아내(신혜영	아내/NNG+(/SS+신혜영/NNP
디올코스메틱	디올코스메틱/NNP
부장)는	부장/NNG+)/SS+는/JX
남편을	남편/NNG+을/JKO
"나보다	"/SS+나/NP+보다/JKB
더	더/MAG
한국적인	한국/NNP+적/XSN+이/VCP+ㄴ/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.7.2
장모가 담근 김치를 가장 좋아하고, 파크하얏트 부산에서 총주방장으로 근무할 땐 자갈치시장을 뻔질나게 드나들며 갈치와 빨간고기(눈볼대)를 날마다 요리해 먹었다.

장모가	장모/NNG+가/JKS
담근	담그/VV+ㄴ/ETM
김치를	김치/NNG+를/JKO
가장	가장/MAG
좋아하고,	좋아하/VV+고/EC+,/SP
파크하얏트	파크하얏트/NNP
부산에서	부산/NNP+에서/JKB
총주방장으로	총주방장/NNG+으로/JKB
근무할	근무/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
자갈치시장을	자갈치시장/NNP+을/JKO
뻔질나게	뻔질나/VA+게/EC
드나들며	드나들/VV+며/EC
갈치와	갈치/NNG+와/JC
빨간고기(눈볼대)를	빨갛/VA+ㄴ/ETM+고기/NNG+(/SS+눈볼대/NNG+)/SS+를/JKO
날마다	날/NNG+마다/JX
요리해	요리/NNG+하/XSV+아/EC
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.7.3
집의 절반을 채우고 있는 옛날 항아리에 김치를 담가 먹고 옹기에서 된장을 푸는 게 그의 꿈이다.

집의	집/NNG+의/JKG
절반을	절반/NNG+을/JKO
채우고	채우/VV+고/EC
있는	있/VX+는/ETM
옛날	옛날/NNG
항아리에	항아리/NNG+에/JKB
김치를	김치/NNG+를/JKO
담가	담그/VV+아/EC
먹고	먹/VV+고/EC
옹기에서	옹기/NNG+에서/JKB
된장을	된장/NNG+을/JKO
푸는	푸/VV+는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
꿈이다.	꿈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.93.7.4
그러면서 "아침 8시 반 출근해 밤 9시 반에 퇴근할 만큼 바쁘지만 그때까지 참고 기다렸다가 매일 10시 반 나와 함께 저녁 먹어주는 아내가 있어 행복하다"고 했다.

그러면서	그러/VV+면서/EC
"아침	"/SS+아침/NNG
8시	8/SN+시/NNB
반	반/NNG
출근해	출근/NNG+하/XSV+아/EC
밤	밤/NNG
9시	9/SN+시/NNB
반에	반/NNG+에/JKB
퇴근할	퇴근/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
바쁘지만	바쁘/VA+지만/EC
그때까지	그때/NNG+까지/JX
참고	참/VV+고/EC
기다렸다가	기다리/VV+었/EP+다가/EC
매일	매일/MAG
10시	10/SN+시/NNB
나와	나/NP+와/JKB
함께	함께/MAG
저녁	저녁/NNG
먹어주는	먹/VV+어/EC+주/VX+는/ETM
아내가	아내/NNG+가/JKS
있어	있/VA+어/EC
행복하다"고	행복/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.8.1
말수 적고 농담과는 거리 먼 그가 진지하게 말했다.

말수	말수/NNG
적고	적/VA+고/EC
농담과는	농담/NNG+과/JKB+는/JX
거리	거리/NNG
먼	멀/VA+ㄴ/ETM
그가	그/NP+가/JKS
진지하게	진지하/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.93.8.2
"셰프는 기초가 탄탄해야 창의력도 생깁니다.

"셰프는	"/SS+셰프/NNG+는/JX
기초가	기초/NNG+가/JKS
탄탄해야	탄탄하/VA+아야/EC
창의력도	창의력/NNG+도/JX
생깁니다.	생기/VV+ㅂ니다/EF+./SF


# id : NWRW1800000046.93.8.3
토마토 소스와 멸치 육수를 맛있게 만들고 칼질, 익히기, 굽기를 완벽하게 해낼 줄 알아야 하죠." 초호화 빙수로 화제가 된 '돔 페리뇽 빙수'도 그의 손끝에서 탄생했다.

토마토	토마토/NNG
소스와	소스/NNG+와/JC
멸치	멸치/NNG
육수를	육수/NNG+를/JKO
맛있게	맛있/VA+게/EC
만들고	만들/VV+고/EC
칼질,	칼/NNG+질/XSN+,/SP
익히기,	익히/VV+기/ETN+,/SP
굽기를	굽/VV+기/ETN+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
해낼	해내/VV+ㄹ/ETM
줄	줄/NNB
알아야	알/VV+아야/EC
하죠."	하/VX+죠/EF+./SF+"/SS
초호화	초/XPN+호화/NNG
빙수로	빙수/NNG+로/JKB
화제가	화제/NNG+가/JKC
된	되/VV+ㄴ/ETM
'돔	'/SS+돔/NNP
페리뇽	페리뇽/NNP
빙수'도	빙수/NNG+'/SS+도/JX
그의	그/NP+의/JKG
손끝에서	손끝/NNG+에서/JKB
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


