# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.260
metadata : {}


# id : NWRW1800000038.260.1.1
'수원城'에 막힌 전북

'수원城'에	'/SS+수원/NNP+城/SH+'/SS+에/JKB
# id : NWRW1800000038.260.7.3
지난 28일 전역한 염기훈은 이날 출전 명단에 이름을 올리지 못했지만, 순위 싸움에서 힘겨운 모습을 보이는 팀 사정상 조만간 기용될 전망이다.

지난	지나/VV+ㄴ/ETM
28일	28/SN+일/NNB
전역한	전역/NNG+하/XSV+ㄴ/ETM
염기훈은	염기훈/NNP+은/JX
이날	이날/NNG
출전	출전/NNG
명단에	명단/NNG+에/JKB
이름을	이름/NNG+을/JKO
올리지	올리/VV+지/EC
못했지만,	못하/VX+았/EP+지만/EC+,/SP
순위	순위/NNG
싸움에서	싸움/NNG+에서/JKB
힘겨운	힘겹/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이는	보이/VV+는/ETM
팀	팀/NNG
사정상	사정/NNG+상/XSN
조만간	조만간/MAG
기용될	기용/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.260.8.1
같은 시각 제주월드컵경기장에서 열린 제주와 전남의 스플릿B(하위 그룹) 경기에서는 후반 33분 터진 페드로의 결승골로 제주가 1대0 승리를 거뒀다.

같은	같/VA+은/ETM
시각	시각/NNG
제주월드컵경기장에서	제주월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제주와	제주/NNP+와/JC
전남의	전남/NNP+의/JKG
스플릿B(하위	스플릿/NNG+B/SL+(/SS+하위/NNG
그룹)	그룹/NNG+)/SS
경기에서는	경기/NNG+에서/JKB+는/JX
후반	후반/NNG
33분	33/SN+분/NNB
터진	터지/VV+ㄴ/ETM
페드로의	페드로/NNP+의/JKG
결승골로	결승/NNG+골/NNG+로/JKB
제주가	제주/NNP+가/JKS
1대0	1/SN+대/NNB+0/SN
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.260.8.2
개인 득점 선두인 페드로는 이날 자신의 17호 골을 기록하며 2위 김신욱(15골·울산)과의 격차를 두 골로 벌렸다.

개인	개인/NNG
득점	득점/NNG
선두인	선두/NNG+이/VCP+ㄴ/ETM
페드로는	페드로/NNP+는/JX
이날	이날/NNG
자신의	자신/NNG+의/JKG
17호	17/SN+호/NNB
골을	골/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
2위	2/SN+위/NNB
김신욱(15골·울산)과의	김신욱/NNP+(/SS+15/SN+골/NNG+·/SP+울산/NNP+)/SS+과/JKB+의/JKG
격차를	격차/NNG+를/JKO
두	두/MMN
골로	골/NNG+로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


