# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.146
metadata : {}


# id : NWRW1800000024.146.1.1
1918, 서반아감기

1918,	1918/SN+,/SP
당시	당시/NNG
병원체가	병원체/NNG+가/JKS
‘파이퍼	‘/SS+파이퍼/NNG
바실루스’	바실루스/NNG+’/SS
균이라는	균/NNG+이/VCP+라는/ETM
설이	설/NNG+이/JKS
널리	널리/MAG
퍼졌으나	퍼지/VV+었/EP+으나/EC
‘여과되지	‘/SS+여과/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
바이러스’도	바이러스/NNG+’/SS+도/JX
병원체로	병원체/NNG+로/JKB
지목받고	지목/NNG+받/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.146.4.2
물론 바이러스란 말은 ‘병의 원인 독소’란 뜻으로 쓰였고 그 실체는 몰랐던 때였다.

물론	물론/MAG
바이러스란	바이러스/NNG+이/VCP+란/ETM
말은	말/NNG+은/JX
‘병의	‘/SS+병/NNG+의/JKG
원인	원인/NNG
독소’란	독소/NNG+’/SS+이/VCP+란/ETM
뜻으로	뜻/NNG+으로/JKB
쓰였고	쓰이/VV+었/EP+고/EC
그	그/MMD
실체는	실체/NNG+는/JX
몰랐던	모르/VV+았/EP+던/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.146.4.3
스코필드는 병원체를 찾으려는 실험을 벌였다.

스코필드는	스코필드/NNP+는/JX
병원체를	병원체/NNG+를/JKO
찾으려는	찾/VV+으려는/ETM
실험을	실험/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.146.4.4
세균 여과 필터로 조선인 환자의 혈액을 걸러내 얻은 액을 한국인 의사한테 접종했다.

세균	세균/NNG
여과	여과/NNG
필터로	필터/NNG+로/JKB
조선인	조선인/NNG
환자의	환자/NNG+의/JKG
혈액을	혈액/NNG+을/JKO
걸러내	거르/VV+어/EC+내/VX+어/EC
얻은	얻/VV+은/ETM
액을	액/NNG+을/JKO
한국인	한국인/NNG
의사한테	의사/NNG+한테/JKB
접종했다.	접종/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.146.4.5
여과하지 않은 혈액은 스코필드 자신과 다른 한국인한테 접종했다.

여과하지	여과/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
혈액은	혈액/NNG+은/JX
스코필드	스코필드/NNP
자신과	자신/NNG+과/JC
다른	다른/MMD
한국인한테	한국인/NNG+한테/JKB
접종했다.	접종/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.146.4.6
두 사례에서 모두 증상이 나타났다.

두	두/MMN
사례에서	사례/NNG+에서/JKB
모두	모두/MAG
증상이	증상/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.146.4.7
끝내 병원체는 찾지 못했다.

끝내	끝내/MAG
병원체는	병원체/NNG+는/JX
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.146.4.8
하지만 여과되지 않는 바이러스의 존재 가능성은 보여주었다.

하지만	하지만/MAJ
여과되지	여과/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
바이러스의	바이러스/NNG+의/JKG
존재	존재/NNG
가능성은	가능/NNG+성/XSN+은/JX
보여주었다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.146.4.9
(천명선·양일석 논문 ‘1918년 한국내 인플루엔자 유행의 양상과 연구현황’ 참조)

(천명선·양일석	(/SS+천명선/NNP+·/SP+양일석/NNP
논문	논문/NNG
‘1918년	‘/SS+1918/SN+년/NNB
한국내	한국/NNP+내/NNB
인플루엔자	인플루엔자/NNG
유행의	유행/NNG+의/JKG
양상과	양상/NNG+과/JC
연구현황’	연구/NNG+현황/NNG+’/SS
참조)	참조/NNG+)/SS


# id : NWRW1800000024.146.5.1
자기 몸에 환자 피를 접종한 스코필드의 실험은 인상적이다.

자기	자기/NNG
몸에	몸/NNG+에/JKB
환자	환자/NNG
피를	피/NNG+를/JKO
접종한	접종/NNG+하/XSV+ㄴ/ETM
스코필드의	스코필드/NNP+의/JKG
실험은	실험/NNG+은/JX
인상적이다.	인상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.146.5.2
비록 파란 눈의 연구자가 주도한 연구였지만 인플루엔자와 과학의 싸움은 식민지 조선에서도 벌어지고 있었다.

비록	비록/MAG
파란	파랗/VA+ㄴ/ETM
눈의	눈/NNG+의/JKG
연구자가	연구자/NNG+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
연구였지만	연구/NNG+이/VCP+었/EP+지만/EC
인플루엔자와	인플루엔자/NNG+와/JC
과학의	과학/NNG+의/JKG
싸움은	싸움/NNG+은/JX
식민지	식민지/NNG
조선에서도	조선/NNP+에서/JKB+도/JX
벌어지고	벌어지/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.146.5.3
지금 바이러스 정체가 드러난 것은 치열한 ‘스코필드들’이 무수히 있었던 덕분이다.

지금	지금/MAG
바이러스	바이러스/NNG
정체가	정체/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
것은	것/NNB+은/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
‘스코필드들’이	‘/SS+스코필드/NNP+들/XSN+’/SS+이/JKS
무수히	무수히/MAG
있었던	있/VA+었/EP+던/ETM
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


