# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.109
metadata : {}


# id : NWRW1800000030.109.1.1
"그날 사랑하는 이를 잃은 모두를 위해…"

"그날	"/SS+그날/NNG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.109.4.1
"별처럼 아름다운 사랑이여, 꿈처럼 행복했던 사랑이여~."

"별처럼	"/SS+별/NNG+처럼/JKB
아름다운	아름답/VA+ㄴ/ETM
사랑이여,	사랑/NNG+이여/JKV+,/SP
꿈처럼	꿈/NNG+처럼/JKB
행복했던	행복/NNG+하/XSA+았/EP+던/ETM
사랑이여~."	사랑/NNG+이여/JKV+~/SO+./SF+"/SS


# id : NWRW1800000030.109.5.1
한 대사는 클래식 기타를 직접 치면서 70~80년대 활동한 남성 듀엣 유심초의 '사랑이여'를 불렀다.

한	한/NNP
대사는	대사/NNG+는/JX
클래식	클래식/NNG
기타를	기타/NNG+를/JKO
직접	직접/MAG
치면서	치/VV+면서/EC
70~80년대	70/SN+~/SO+80/SN+년대/NNB
활동한	활동/NNG+하/XSV+ㄴ/ETM
남성	남성/NNG
듀엣	듀엣/NNG
유심초의	유심초/NNP+의/JKG
'사랑이여'를	'/SS+사랑이여/NNP+'/SS+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.109.5.2
다소 긴장한 듯한 모습이었지만 실수 한 번 없이 기타 연주와 노래를 마쳤다.

다소	다소/MAG
긴장한	긴장/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모습이었지만	모습/NNG+이/VCP+었/EP+지만/EC
실수	실수/NNG
한	한/MMN
번	번/NNB
없이	없이/MAG
기타	기타/NNG
연주와	연주/NNG+와/JC
노래를	노래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.109.6.1
공연 안내 책자에도 나와 있지 않은 그의 '깜짝 공연'을 감상한 관객은 일제히 박수와 환호로 호응했다.

공연	공연/NNG
안내	안내/NNG
책자에도	책자/NNG+에/JKB+도/JX
나와	나오/VV+아/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
그의	그/NP+의/JKG
'깜짝	'/SS+깜짝/MAG
공연'을	공연/NNG+'/SS+을/JKO
감상한	감상/NNG+하/XSV+ㄴ/ETM
관객은	관객/NNG+은/JX
일제히	일제히/MAG
박수와	박수/NNG+와/JC
환호로	환호/NNG+로/JKB
호응했다.	호응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.109.6.2
이경신 단장을 비롯한 WKSO 멤버들도 모두 일어나 손뼉을 쳤다.

이경신	이경신/NNP
단장을	단장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
WKSO	WKSO/SL
멤버들도	멤버/NNG+들/XSN+도/JX
모두	모두/MAG
일어나	일어나/VV+아/EC
손뼉을	손뼉/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.109.7.1
한 대사는 연주가 끝난 후 무대에서 인사말을 했다.

한	한/NNP
대사는	대사/NNG+는/JX
연주가	연주/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
무대에서	무대/NNG+에서/JKB
인사말을	인사말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.109.7.2
"10년 전 9·11테러 때 사랑하는 사람들을 잃은 분들의 마음을 생각하며 이 노래를 택했습니다."

"10년	"/SS+10/SN+년/NNB
전	전/NNG
9·11테러	9/SN+·/SP+11/SN+테러/NNG
때	때/NNG
사랑하는	사랑/NNG+하/XSV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
잃은	잃/VV+은/ETM
분들의	분/NNB+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
생각하며	생각/NNG+하/XSV+며/EC
이	이/MMD
노래를	노래/NNG+를/JKO
택했습니다."	택하/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000030.109.7.3
그는 이날 오전 뉴욕 '그라운드 제로' 추도식에서 노래 '핸디 맨'(handy man)으로 한국에도 잘 알려진 싱어송라이터 제임스 테일러가 '눈을 감아요'(close your eyes)를 기타를 치며 부른 것을 언급하며 "나보다 한 살 많은 제임스 테일러는 그라운드 제로에서 연주를 했고, 나는 워싱턴 케네디센터에서 기타를 치며 노래를 불렀다"고 말했고, 객석에선 웃음이 터졌다.

그는	그/NP+는/JX
이날	이날/NNG
오전	오전/NNG
뉴욕	뉴욕/NNP
'그라운드	'/SS+그라운드/NNG
제로'	제로/NNG+'/SS
추도식에서	추도식/NNG+에서/JKB
노래	노래/NNG
'핸디	'/SS+핸디/NNG
맨'(handy	맨/NNG+'/SS+(/SS+handy/SL
man)으로	man/SL+)/SS+으로/JKB
한국에도	한국/NNP+에/JKB+도/JX
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
싱어송라이터	싱어송라이터/NNG
제임스	제임스/NNP
테일러가	테일러/NNP+가/JKS
'눈을	'/SS+눈/NNG+을/JKO
감아요'(close	감/VV+아요/EF+'/SS+(/SS+close/SL
your	your/SL
eyes)를	eyes/SL+)/SS+를/JKO
기타를	기타/NNG+를/JKO
치며	치/VV+며/EC
부른	부르/VV+ㄴ/ETM
것을	것/NNB+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
"나보다	"/SS+나/NP+보다/JKB
한	한/MMN
살	살/NNB
많은	많/VA+은/ETM
테일러는	테일러/NNP+는/JX
그라운드	그라운드/NNG
제로에서	제로/NNG+에서/JKB
연주를	연주/NNG+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
나는	나/NP+는/JX
워싱턴	워싱턴/NNP
케네디센터에서	케네디센터/NNP+에서/JKB
노래를	노래/NNG+를/JKO
불렀다"고	부르/VV+었/EP+다/EF+"/SS+고/JKQ
말했고,	말/NNG+하/XSV+았/EP+고/EC+,/SP
객석에선	객석/NNG+에서/JKB+ㄴ/JX
웃음이	웃음/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.109.8.1
한 대사는 "한국과 미국은 가장 강력한 동맹 관계를 유지하고 있다"며 "특히 테러와 전쟁을 위해 이라크, 아프가니스탄에서 공조·협력 활동을 펼치고 있고, 전 세계에서 전개되는 평화 유지 노력에도 어깨를 함께하고 있으며 앞으로도 굳건한 공조를 유지할 것"이라고 말한 뒤 무대를 내려왔다.

한	한/NNP
대사는	대사/NNG+는/JX
"한국과	"/SS+한국/NNP+과/JC
미국은	미국/NNP+은/JX
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
동맹	동맹/NNG
관계를	관계/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"특히	"/SS+특히/MAG
테러와	테러/NNG+와/JC
전쟁을	전쟁/NNG+을/JKO
위해	위하/VV+아/EC
이라크,	이라크/NNP+,/SP
아프가니스탄에서	아프가니스탄/NNP+에서/JKB
공조·협력	공조/NNG+·/SP+협력/NNG
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있고,	있/VX+고/EC+,/SP
전	전/MMN
세계에서	세계/NNG+에서/JKB
전개되는	전개/NNG+되/XSV+는/ETM
평화	평화/NNG
유지	유지/NNG
노력에도	노력/NNG+에/JKB+도/JX
어깨를	어깨/NNG+를/JKO
함께하고	함께/MAG+하/XSV+고/EC
있으며	있/VX+으며/EC
앞으로도	앞/NNG+으로/JKB+도/JX
굳건한	굳건하/VA+ㄴ/ETM
공조를	공조/NNG+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
무대를	무대/NNG+를/JKO
내려왔다.	내려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.109.9.1
한 대사는 "원래는 주최 측에서 한마디 연설을 요청해왔는데, 공연 취지가 정말 좋고 해서 큰 마음 먹고 직접 기타를 치고 노래를 부르기로 한 것"이라고 말했다.

한	하/VV+ㄴ/ETM
대사는	대사/NNG+는/JX
"원래는	"/SS+원래/NNG+는/JX
주최	주최/NNG
측에서	측/NNB+에서/JKB
한마디	한마디/NNG
연설을	연설/NNG+을/JKO
요청해왔는데,	요청/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC+,/SP
공연	공연/NNG
취지가	취지/NNG+가/JKS
정말	정말/MAG
좋고	좋/VA+고/EC
해서	하/VX+아서/EC
큰	크/VA+ㄴ/ETM
마음	마음/NNG
먹고	먹/VV+고/EC
직접	직접/MAG
기타를	기타/NNG+를/JKO
치고	치/VV+고/EC
노래를	노래/NNG+를/JKO
부르기로	부르/VV+기/ETN+로/JKB
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.109.9.2
한 대사는 "대학 시절 잠깐 기타를 배웠지만 여러 사람 앞에서 연주하며 노래 부른 것은 처음"이라고 했다.

한	한/NNP
대사는	대사/NNG+는/JX
"대학	"/SS+대학/NNG
시절	시절/NNG
잠깐	잠깐/MAG
기타를	기타/NNG+를/JKO
배웠지만	배우/VV+었/EP+지만/EC
여러	여러/MMN
사람	사람/NNG
앞에서	앞/NNG+에서/JKB
연주하며	연주/NNG+하/XSV+며/EC
노래	노래/NNG
부른	부르/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.109.9.3
이날 공연을 위해 2주가량 업무 외 시간을 이용해 '특별 과외'까지 받았다고 한다.

이날	이날/NNG
공연을	공연/NNG+을/JKO
위해	위하/VV+아/EC
2주가량	2/SN+주/NNB+가량/XSN
업무	업무/NNG
외	외/NNB
시간을	시간/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
'특별	'/SS+특별/NNG
과외'까지	과외/NNG+'/SS+까지/JX
받았다고	받/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.109.9.4
처음에는 무대에 서는 것을 망설였지만 부인 최아영씨가 적극 응원했다고 한다.

처음에는	처음/NNG+에/JKB+는/JX
무대에	무대/NNG+에/JKB
서는	서/VV+는/ETM
것을	것/NNB+을/JKO
망설였지만	망설이/VV+었/EP+지만/EC
부인	부인/NNG
최아영씨가	최아영/NNP+씨/NNB+가/JKS
적극	적극/NNG
응원했다고	응원/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.109.9.5
한 대사는 "'사랑이여' 한 곡밖에 연습을 못해 앙코르 요청에 응하지 못했다"며 웃었다.

한	한/MMN
대사는	대사/NNG+는/JX
"'사랑이여'	"/SS+'/SS+사랑이여/NNP+'/SS
곡밖에	곡/NNG+밖에/JX
연습을	연습/NNG+을/JKO
못해	못/MAG+하/VV+아/EC
앙코르	앙코르/NNG
요청에	요청/NNG+에/JKB
응하지	응하/VV+지/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


