# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.187
metadata : {}


# id : NWRW1800000054.187.1.1
"내 인생을 응원한다" 실버 치어리더

"내	"/SS+나/NP+의/JKG
인생을	인생/NNG+을/JKO
18일 경기도 부천에서 열린 '전국 치어리딩 페스티벌' 시니어 부문(65세 이상)에 출전했다.

18일	18/SN+일/NNB
경기도	경기도/NNP
부천에서	부천/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
'전국	'/SS+전국/NNG
치어리딩	치어리딩/NNG
페스티벌'	페스티벌/NNG+'/SS
시니어	시니어/NNG
부문(65세	부문/NNG+(/SS+65/SN+세/NNB
이상)에	이상/NNG+)/SS+에/JKB
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.4.3
출전팀은 유일했다.

출전팀은	출전/NNG+팀/NNG+은/JX
유일했다.	유일/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000054.187.4.4
1위는 당연한 일.

1위는	1/SN+위/NNB+는/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
일.	일/NNG+./SF


# id : NWRW1800000054.187.4.5
차안자(74)씨는 "다음엔 일반부에 출전해 당당하게 실력을 겨루겠다"고 말했다.

차안자(74)씨는	차안자/NNP+(/SS+74/SN+)/SS+씨/NNB+는/JX
"다음엔	"/SS+다음/NNG+에/JKB+ㄴ/JX
일반부에	일반부/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
당당하게	당당/MAG+하/XSA+게/EC
실력을	실력/NNG+을/JKO
겨루겠다"고	겨루/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.5.1
50명 정도 되는 단원들의 평균 연령은 75세.

50명	50/SN+명/NNB
정도	정도/NNG
되는	되/VV+는/ETM
단원들의	단원/NNG+들/XSN+의/JKG
평균	평균/NNG
연령은	연령/NNG+은/JX
75세.	75/SN+세/NNB+./SF


# id : NWRW1800000054.187.5.2
60대뿐 아니라 80대 단원도 있다.

60대뿐	60/SN+대/NNB+뿐/JX
아니라	아니/VCN+라/EC
80대	80/SN+대/NNB
단원도	단원/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.187.5.3
간사 김도경(44)씨는 "일부 회원들은 신체 나이가 30대일 정도로 젊고 건강하다"고 말했다.

간사	간사/NNG
김도경(44)씨는	김도경/NNP+(/SS+44/SN+)/SS+씨/NNB+는/JX
"일부	"/SS+일부/NNG
회원들은	회원/NNG+들/XSN+은/JX
신체	신체/NNG
나이가	나이/NNG+가/JKS
30대일	30/SN+대/NNB+이/VCP+ㄹ/ETM
정도로	정도/NNG+로/JKB
젊고	젊/VA+고/EC
건강하다"고	건강/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.6.1
낭랑스쿨은 조혜란(46) 세계전통문화놀이협회장이 산파 역할을 했다.

낭랑스쿨은	낭랑스쿨/NNP+은/JX
조혜란(46)	조혜란/NNP+(/SS+46/SN+)/SS
세계전통문화놀이협회장이	세계/NNG+전통문화/NNG+놀이/NNG+협회장/NNG+이/JKS
산파	산파/NNG
역할을	역할/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.6.2
조 회장은 노인들을 상대로 치매 예방체조 등을 가르쳐왔다.

조	조/NNP
회장은	회장/NNG+은/JX
노인들을	노인/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
치매	치매/NNG
예방체조	예방/NNG+체조/NNG
등을	등/NNB+을/JKO
가르쳐왔다.	가르치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.187.6.3
대한치어리딩협회 활동도 했던 조씨는 "할머니들에게 치어리딩을 가르치면 어떨까" 생각했다.

대한치어리딩협회	대한치어리딩협회/NNP
활동도	활동/NNG+도/JX
했던	하/VV+았/EP+던/ETM
조씨는	조/NNP+씨/NNB+는/JX
"할머니들에게	"/SS+할머니/NNG+들/XSN+에게/JKB
치어리딩을	치어리딩/NNG+을/JKO
가르치면	가르치/VV+면/EC
어떨까"	어떻/VA+ㄹ까/EF+"/SS
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.7.1
'치매 예방체조'보다 동작이 크고 빠른 치어리딩 안무를 통해 할머니들의 체력을 키워야겠다고 생각한 것이다.

'치매	'/SS+치매/NNG
예방체조'보다	예방/NNG+체조/NNG+'/SS+보다/JKB
동작이	동작/NNG+이/JKS
크고	크/VA+고/EC
빠른	빠르/VA+ㄴ/ETM
치어리딩	치어리딩/NNG
안무를	안무/NNG+를/JKO
통해	통하/VV+아/EC
할머니들의	할머니/NNG+들/XSN+의/JKG
체력을	체력/NNG+을/JKO
키워야겠다고	키우/VV+어야/EC+하/VX+겠/EP+다고/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.187.7.2
몸이 약한 헐머니들에게 처음부터 과격한 운동을 시킬 수는 없었다.

몸이	몸/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
헐머니들에게	헐머니/NNG+들/XSN+에게/JKB
처음부터	처음/NNG+부터/JX
과격한	과격/NNG+하/XSA+ㄴ/ETM
운동을	운동/NNG+을/JKO
시킬	시키/VV+ㄹ/ETM
수는	수/NNB+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.187.7.3
필드하키 선수 출신인 조씨는 체지방 성분 검사와 기초 체력 운동을 병행하는 등 정성 들여 프로그램을 만들었다.

필드하키	필드하키/NNG
선수	선수/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
조씨는	조/NNP+씨/NNB+는/JX
체지방	체지방/NNG
성분	성분/NNG
검사와	검사/NNG+와/JC
기초	기초/NNG
체력	체력/NNG
운동을	운동/NNG+을/JKO
병행하는	병행/NNG+하/XSV+는/ETM
등	등/NNB
정성	정성/NNG
들여	들이/VV+어/EC
프로그램을	프로그램/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.7.4
조씨는 "많은 할머니들이 처음엔 아프다며 몸을 움직이지 않았다"며 "하지만 조금씩 자신감이 붙자 나중에는 오히려 무리하지 않을까 걱정이 될 정도였다"고 말했다.

조씨는	조/NNP+씨/NNB+는/JX
"많은	"/SS+많/VA+은/ETM
할머니들이	할머니/NNG+들/XSN+이/JKS
처음엔	처음/NNG+에/JKB+ㄴ/JX
아프다며	아프/VA+다며/EC
몸을	몸/NNG+을/JKO
움직이지	움직이/VV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"하지만	"/SS+하지만/MAJ
조금씩	조금/NNG+씩/XSN
자신감이	자신감/NNG+이/JKS
붙자	붙/VV+자/EC
나중에는	나중/NNG+에/JKB+는/JX
오히려	오히려/MAG
무리하지	무리/NNG+하/XSV+지/EC
않을까	않/VX+을까/EF
걱정이	걱정/NNG+이/JKC
될	되/VV+ㄹ/ETM
정도였다"고	정도/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.8.1
가면 재미있게 운동할 수 있다는 소문이 나면서, 전직 시장(市長)의 아내에서부터 교사, 약사, 식당일이나 청소일을 하던 사람들까지 다양한 배경의 회원들이 몰려들었다.

가면	가/VV+면/EC
재미있게	재미있/VA+게/EC
운동할	운동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
소문이	소문/NNG+이/JKS
나면서,	나/VV+면서/EC+,/SP
전직	전직/NNG
시장(市長)의	시장/NNG+(/SS+市長/SH+)/SS+의/JKG
아내에서부터	아내/NNG+에서부터/JKB
교사,	교사/NNG+,/SP
약사,	약사/NNG+,/SP
식당일이나	식당/NNG+일/NNG+이나/JC
청소일을	청소일/NNG+을/JKO
하던	하/VV+던/ETM
사람들까지	사람/NNG+들/XSN+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
배경의	배경/NNG+의/JKG
회원들이	회원/NNG+들/XSN+이/JKS
몰려들었다.	몰려들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.8.2
혼자 살거나, 남편과 사별 후 우울증에 시달리는 사람도 있었다.

혼자	혼자/MAG
살거나,	살/VV+거나/EC+,/SP
남편과	남편/NNG+과/JKB
사별	사별/NNG
후	후/NNG
우울증에	우울증/NNG+에/JKB
시달리는	시달리/VV+는/ETM
사람도	사람/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.187.8.3
'왕언니' 김순덕(81)씨도 7년 전 남편과 사별한 후 딸을 따라 전주에서 상경했다.

'왕언니'	'/SS+왕/XPN+언니/NNG+'/SS
김순덕(81)씨도	김순덕/NNP+(/SS+81/SN+)/SS+씨/NNB+도/JX
7년	7/SN+년/NNB
전	전/NNG
남편과	남편/NNG+과/JKB
사별한	사별/NNG+하/XSV+ㄴ/ETM
후	후/NNG
딸을	딸/NNG+을/JKO
따라	따르/VV+아/EC
전주에서	전주/NNP+에서/JKB
상경했다.	상경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.9.1
서울에 아무 연고가 없어 외로움을 느끼던 와중에 낭랑스쿨을 알게 됐다.

서울에	서울/NNP+에/JKB
아무	아무/MMD
연고가	연고/NNG+가/JKS
없어	없/VA+어/EC
외로움을	외로움/NNG+을/JKO
느끼던	느끼/VV+던/ETM
와중에	와중/NNG+에/JKB
낭랑스쿨을	낭랑스쿨/NNP+을/JKO
알게	알/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.9.2
지금은 "연습하는 날만을 손꼽아 기다린다"고 했다.

지금은	지금/NNG+은/JX
"연습하는	"/SS+연습/NNG+하/XSV+는/ETM
날만을	날/NNG+만/JX+을/JKO
손꼽아	손꼽/VV+아/EC
기다린다"고	기다리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.9.3
매주 세 번 두 시간씩 진행되는 연습 시간에는 모두 "언니, 동생"이라고 부르며 가족처럼 지냈다.

매주	매주/MAG
세	세/MMN
번	번/NNB
두	두/MMN
시간씩	시간/NNB+씩/XSN
진행되는	진행/NNG+되/XSV+는/ETM
연습	연습/NNG
시간에는	시간/NNG+에/JKB+는/JX
모두	모두/MAG
"언니,	"/SS+언니/NNG+,/SP
동생"이라고	동생/NNG+"/SS+이라고/JKQ
부르며	부르/VV+며/EC
가족처럼	가족/NNG+처럼/JKB
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.9.4
연습 후에는 서로 싸온 고구마나 과일을 나눠 먹는데, 여고생들처럼 이어지는 수다에 연습실 내부가 시끌벅적해지기 일쑤다.

연습	연습/NNG
후에는	후/NNG+에/JKB+는/JX
서로	서로/MAG
싸온	싸/VV+아/EC+오/VX+ㄴ/ETM
고구마나	고구마/NNG+나/JC
과일을	과일/NNG+을/JKO
나눠	나누/VV+어/EC
먹는데,	먹/VV+는데/EC+,/SP
여고생들처럼	여고/NNG+생/XSN+들/XSN+처럼/JKB
이어지는	이어지/VV+는/ETM
수다에	수다/NNG+에/JKB
연습실	연습실/NNG
내부가	내부/NNG+가/JKS
시끌벅적해지기	시끌벅적/MAG+하/XSA+아/EC+지/VX+기/ETN
일쑤다.	일쑤/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.187.9.5
허리 수술 후 한동안 우울증에 시달렸던 최순실(73)씨는 입단 2년 만에 '노인 치어리더 지도자'라는 새로운 꿈이 생겼다.

허리	허리/NNG
수술	수술/NNG
후	후/NNG
한동안	한/XPN+동안/NNG
우울증에	우울증/NNG+에/JKB
시달렸던	시달리/VV+었/EP+던/ETM
최순실(73)씨는	최순실/NNP+(/SS+73/SN+)/SS+씨/NNB+는/JX
입단	입단/NNG
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
'노인	'/SS+노인/NNG
치어리더	치어리더/NNG
지도자'라는	지도자/NNG+'/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
꿈이	꿈/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.9.6
낭랑스쿨은 현재 자체 교육과정을 통해 회원 10여명을 '노인 생활체육 지도자'로 양성 중이다.

낭랑스쿨은	낭랑스쿨/NNP+은/JX
현재	현재/MAG
자체	자체/NNG
교육과정을	교육/NNG+과정/NNG+을/JKO
통해	통하/VV+아/EC
회원	회원/NNG
10여명을	10/SN+여/XSN+명/NNB+을/JKO
'노인	'/SS+노인/NNG
생활체육	생활/NNG+체육/NNG
지도자'로	지도자/NNG+'/SS+로/JKB
양성	양성/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.187.9.7
약 6개월 동안 이론과 실기를 접목한 교육과정을 수료시켜 정부 공인 '실버체조강사'로 육성하겠다는 것이다.

약	약/MMA
6개월	6/SN+개월/NNB
동안	동안/NNG
이론과	이론/NNG+과/JC
실기를	실기/NNG+를/JKO
접목한	접목/NNG+하/XSV+ㄴ/ETM
교육과정을	교육/NNG+과정/NNG+을/JKO
수료시켜	수료/NNG+시키/XSV+어/EC
정부	정부/NNG
공인	공인/NNG
'실버체조강사'로	'/SS+실버/NNG+체조/NNG+강사/NNG+'/SS+로/JKB
육성하겠다는	육성/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.187.10.1
조씨는 "매번 형식적이고 일회성에 그치는 노인 체육이 아쉬웠다"며 "치어리딩을 통해 노인들의 건강도, 웃음도 되찾을 수 있다"고 말했다.

조씨는	조/NNP+씨/NNB+는/JX
"매번	"/SS+매번/MAG
형식적이고	형식/NNG+적/XSN+이/VCP+고/EC
일회성에	일회/NNG+성/XSN+에/JKB
그치는	그치/VV+는/ETM
노인	노인/NNG
체육이	체육/NNG+이/JKS
아쉬웠다"며	아쉽/VA+었/EP+다/EF+"/SS+며/EC
"치어리딩을	"/SS+치어리딩/NNG+을/JKO
통해	통하/VV+아/EC
노인들의	노인/NNG+들/XSN+의/JKG
건강도,	건강/NNG+도/JX+,/SP
웃음도	웃음/NNG+도/JX
되찾을	되찾/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.10.2
"노인 문제의 해결책?

"노인	"/SS+노인/NNG
문제의	문제/NNG+의/JKG
해결책?	해결책/NNG+?/SF


# id : NWRW1800000054.187.10.3
멀리 가지 마세요.

멀리	멀리/MAG
가지	가/VV+지/EC
마세요.	말/VX+시/EP+어요/EF+./SF


# id : NWRW1800000054.187.10.4
생각보다 가까이 있습니다!"

생각보다	생각/NNG+보다/JKB
가까이	가까이/MAG
있습니다!"	있/VA+습니다/EF+!/SF+"/SS


