# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.332
metadata : {}


# id : NWRW1800000049.332.1.1
강남재건축 뜀틀 삼아 서울분양가 高高

강남재건축	강남/NNP+재/XPN+건축/NNG
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.4.2
일각에서는 서울 주택시장의 ‘분양가 거품’에 대한 우려도 나오고 있다.

일각에서는	일각/NNG+에서/JKB+는/JX
서울	서울/NNP
주택시장의	주택/NNG+시장/NNG+의/JKG
‘분양가	‘/SS+분양/NNG+가/XSN
거품’에	거품/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.5.1
26일 부동산114에 따르면 올해 들어 24일까지 서울 아파트의 3.3m²당 평균 분양가는 지난해(1949만 원)보다 14.8% 오른 2237만 원으로 역대 최고치를 나타냈다.

26일	26/SN+일/NNB
부동산114에	부동산114/NNP+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
들어	들/VV+어/EC
24일까지	24/SN+일/NNB+까지/JX
서울	서울/NNP
아파트의	아파트/NNG+의/JKG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
평균	평균/NNG
분양가는	분양/NNG+가/XSN+는/JX
지난해(1949만	지난해/NNG+(/SS+1949/SN+만/NR
원)보다	원/NNB+)/SS+보다/JKB
14.8%	14/SN+./SP+8/SN+%/SW
오른	오르/VV+ㄴ/ETM
2237만	2237/SN+만/NR
원으로	원/NNB+으로/JKB
역대	역대/NNG
최고치를	최고/NNG+치/XSN+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.332.5.2
서울 아파트 평균 분양가가 2000만 원을 넘은 것은 2008년(2099만 원) 이후 8년 만이다.

서울	서울/NNP
아파트	아파트/NNG
평균	평균/NNG
분양가가	분양/NNG+가/XSN+가/JKS
2000만	2000/SN+만/NR
원을	원/NNB+을/JKO
넘은	넘/VV+은/ETM
것은	것/NNB+은/JX
2008년(2099만	2008/SN+년/NNB+(/SS+2099/SN+만/NR
원)	원/NNB+)/SS
이후	이후/NNG
8년	8/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.332.5.3
분양가는 2008년 글로벌 금융위기 이후 급락해 2011년 1549만 원까지 떨어졌다가 다시 반등했다.

분양가는	분양/NNG+가/XSN+는/JX
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
급락해	급락/NNG+하/XSV+아/EC
2011년	2011/SN+년/NNB
1549만	1549/SN+만/NR
원까지	원/NNB+까지/JX
떨어졌다가	떨어지/VV+었/EP+다가/EC
다시	다시/MAG
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.332.6.1
부동산 전문가들은 서울 아파트 분양가가 역대 최고 수준으로 오른 것은 강남권 재건축 단지의 고분양가가 큰 영향을 미친 것으로 보고 있다.

부동산	부동산/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
서울	서울/NNP
아파트	아파트/NNG
분양가가	분양/NNG+가/XSN+가/JKS
역대	역대/NNG
최고	최고/NNG
수준으로	수준/NNG+으로/JKB
오른	오르/VV+ㄴ/ETM
것은	것/NNB+은/JX
강남권	강남/NNP+권/XSN
재건축	재/XPN+건축/NNG
단지의	단지/NNG+의/JKG
고분양가가	고/XPN+분양/NNG+가/XSN+가/JKS
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.6.2
3.3m²당 3000만∼4000만 원대의 고가 분양이 이어지면서 다른 지역의 분양가까지 끌어올렸다는 해석이다.

3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
3000만∼4000만	3000/SN+만/NR+∼/SO+4000/SN+만/NR
원대의	원/NNB+대/XSN+의/JKG
고가	고가/NNG
분양이	분양/NNG+이/JKS
이어지면서	이어지/VV+면서/EC
다른	다른/MMD
지역의	지역/NNG+의/JKG
분양가까지	분양/NNG+가/XSN+까지/JX
끌어올렸다는	끌어올리/VV+었/EP+다는/ETM
해석이다.	해석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.332.7.1
1월 분양한 서초구 잠원동 신반포자이(반포한양아파트 재건축)가 3.3m²당 4290만 원으로 포문을 열었고, 3월 분양한 강남구 개포동 래미안블레스티지(개포주공2단지 재건축)가 3.3m²당 3760만 원으로 뒤를 이었다.

1월	1/SN+월/NNB
분양한	분양/NNG+하/XSV+ㄴ/ETM
서초구	서초구/NNP
잠원동	잠원동/NNP
신반포자이(반포한양아파트	신/XPN+반포/NNP+자이/NNP+(/SS+반포/NNP+한양/NNP+아파트/NNG
재건축)가	재/XPN+건축/NNG+)/SS+가/JKS
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
4290만	4290/SN+만/NR
원으로	원/NNB+으로/JKB
포문을	포문/NNG+을/JKO
열었고,	열/VV+었/EP+고/EC+,/SP
3월	3/SN+월/NNB
강남구	강남구/NNP
개포동	개포동/NNP
래미안블레스티지(개포주공2단지	래미안블레스티지/NNP+(/SS+개포주공2단지/NNP
3760만	3760/SN+만/NR
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.332.7.2
이 아파트들은 고분양가 논란에도 각각 평균 38 대 1, 34 대 1의 높은 청약 경쟁률을 올리며 흥행에 성공했다.

이	이/MMD
아파트들은	아파트/NNG+들/XSN+은/JX
고분양가	고/XPN+분양/NNG+가/XSN
논란에도	논란/NNG+에/JKB+도/JX
각각	각각/MAG
평균	평균/NNG
38	38/SN
대	대/NNB
1,	1/SN+,/SP
34	34/SN
1의	1/SN+의/JKG
높은	높/VA+은/ETM
청약	청약/NNG
경쟁률을	경쟁/NNG+률/XSN+을/JKO
올리며	올리/VV+며/EC
흥행에	흥행/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.332.8.1
다른 강남권 재건축 아파트 단지들도 분양가 인상을 검토하고 있다.

다른	다른/MMD
강남권	강남/NNP+권/XSN
재건축	재/XPN+건축/NNG
아파트	아파트/NNG
단지들도	단지/NNG+들/XSN+도/JX
분양가	분양/NNG+가/XSN
인상을	인상/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.8.2
부동산 업계에서는 다음 달 분양하는 ‘래미안 루체하임’(개포 일원현대 재건축)의 평균 분양가가 3.3m²당 3700만 원, 7월 분양 예정인 개포동 ‘디에이치아너힐즈’(개포주공3단지 재건축)의 분양가는 4000만 원에 이를 것으로 예상하고 있다.

부동산	부동산/NNG
업계에서는	업계/NNG+에서/JKB+는/JX
다음	다음/NNG
달	달/NNG
분양하는	분양/NNG+하/XSV+는/ETM
‘래미안	‘/SS+래미안/NNP
루체하임’(개포	루체하임/NNG+’/SS+(/SS+개포/NNP
일원현대	일원/NNP+현대/NNP
재건축)의	재/XPN+건축/NNG+)/SS+의/JKG
평균	평균/NNG
분양가가	분양/NNG+가/XSN+가/JKS
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
3700만	3700/SN+만/NR
원,	원/NNB+,/SP
7월	7/SN+월/NNB
분양	분양/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
개포동	개포동/NNP
‘디에이치아너힐즈’(개포주공3단지	‘/SS+디에이치아너힐즈/NNP+’/SS+(/SS+개포주공3단지/NNP
분양가는	분양/NNG+가/XSN+는/JX
4000만	4000/SN+만/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.8.3
디에이치아너힐즈 조합 측에서는 4300만∼4500만 원으로 올리자는 얘기까지 나오고 있다.

디에이치아너힐즈	디에이치아너힐즈/NNP
조합	조합/NNG
측에서는	측/NNB+에서/JKB+는/JX
4300만∼4500만	4300/SN+만/NR+∼/SO+4500/SN+만/NR
원으로	원/NNB+으로/JKB
올리자는	올리/VV+자는/ETM
얘기까지	얘기/NNG+까지/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.8.4
서초구 잠원동 ‘아크로리버뷰’(신반포5차 재건축) 등 다른 아파트들도 분양 일정을 미루며 분양가격을 저울질하고 있다.

서초구	서초구/NNP
잠원동	잠원동/NNP
‘아크로리버뷰’(신반포5차	‘/SS+아크로리버뷰/NNG+’/SS+(/SS+신/XPN+반포/NNP+5/SN+차/NNB
재건축)	재/XPN+건축/NNG+)/SS
등	등/NNB
다른	다른/MMD
아파트들도	아파트/NNG+들/XSN+도/JX
분양	분양/NNG
일정을	일정/NNG+을/JKO
미루며	미루/VV+며/EC
분양가격을	분양/NNG+가격/NNG+을/JKO
저울질하고	저울/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.9.1
강남권의 분양가가 고공행진을 하면서 인근 지역도 들썩이고 있다.

강남권의	강남/NNP+권/XSN+의/JKG
분양가가	분양/NNG+가/XSN+가/JKS
고공행진을	고공/NNG+행진/NNG+을/JKO
하면서	하/VV+면서/EC
인근	인근/NNG
지역도	지역/NNG+도/JX
들썩이고	들썩이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.9.2
경기 과천시에서는 ‘래미안 과천 센트럴스위트’(3.3m²당 2678만 원)가 25일 36 대 1의 청약경쟁률을 나타냈다.

경기	경기/NNP
과천시에서는	과천시/NNP+에서/JKB+는/JX
‘래미안	‘/SS+래미안/NNP
과천	과천/NNP
센트럴스위트’(3.3m²당	센트럴/NNG+스위트/NNG+’/SS+(/SS+3/SN+./SP+3/SN+m²/SW+당/XSN
2678만	2678/SN+만/NR
원)가	원/NNB+)/SS+가/JKS
25일	25/SN+일/NNB
36	36/SN
대	대/NNB
1의	1/SN+의/JKG
청약경쟁률을	청약/NNG+경쟁/NNG+률/XSN+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.332.9.3
서울 강동구 고덕지구 등에서도 3.3m²당 2000만 원 이상으로 분양가격을 책정할 분위기다.

서울	서울/NNP
강동구	강동구/NNP
고덕지구	고덕지구/NNP
등에서도	등/NNB+에서/JKB+도/JX
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
2000만	2000/SN+만/NR
원	원/NNB
이상으로	이상/NNG+으로/JKB
분양가격을	분양/NNG+가격/NNG+을/JKO
책정할	책정/NNG+하/XSV+ㄹ/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.332.9.4
고분양가는 고급빌라로 이어져 다음 달 분양 전환을 앞둔 용산구 한남동 ‘한남더힐’의 3.3m²당 분양가가 8000만 원대로 역대 최고가를 갱신할 것이 확실시된다.

고분양가는	고/XPN+분양/NNG+가/XSN+는/JX
고급빌라로	고급/NNG+빌라/NNG+로/JKB
이어져	이어지/VV+어/EC
다음	다음/NNG
달	달/NNG
분양	분양/NNG
전환을	전환/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
용산구	용산구/NNP
한남동	한남동/NNP
‘한남더힐’의	‘/SS+한남더힐/NNP+’/SS+의/JKG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
분양가가	분양/NNG+가/XSN+가/JKS
8000만	8000/SN+만/NR
원대로	원/NNB+대/XSN+로/JKB
역대	역대/NNG
최고가를	최고/NNG+가/XSN+를/JKO
갱신할	갱신/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
확실시된다.	확실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.332.10.1
시장 전망이 불투명한 상황에서 강남권을 대체할 만한 매력적인 투자처가 없어 강남 아파트의 고분양가 행진이 당분간 지속될 수 있다는 전망도 나온다.

시장	시장/NNG
전망이	전망/NNG+이/JKS
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
강남권을	강남/NNP+권/XSN+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
투자처가	투자처/NNG+가/JKS
없어	없/VA+어/EC
강남	강남/NNP
아파트의	아파트/NNG+의/JKG
고분양가	고/XPN+분양/NNG+가/XSN
행진이	행진/NNG+이/JKS
당분간	당분간/MAG
지속될	지속/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.332.10.2
판교 위례 광교 등 대규모 신도시 분양이 마무리된 반면 강남권 내에선 반포 잠원 서초 강동 과천 등 대기수요가 많던 유망 지역에서 분양이 나오고 있다.

판교	판교/NNP
위례	위례/NNP
광교	광교/NNP
등	등/NNB
대규모	대/XPN+규모/NNG
신도시	신/XPN+도시/NNG
분양이	분양/NNG+이/JKS
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
반면	반면/NNG
강남권	강남/NNP+권/XSN
내에선	내/NNB+에서/JKB+ㄴ/JX
반포	반포/NNP
잠원	잠원/NNP
서초	서초/NNP
강동	강동/NNP
과천	과천/NNP
대기수요가	대기/NNG+수요/NNG+가/JKS
많던	많/VA+던/ETM
유망	유망/NNG
지역에서	지역/NNG+에서/JKB
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.10.3
또 주택담보대출 심사가 강화되면서 풍선효과로 투자 수요가 분양시장으로 몰렸고, 분양가 상한제가 폐지되면서 재건축 시장의 전망이 좋아진 것도 고분양가의 원인으로 꼽고 있다.

또	또/MAG
주택담보대출	주택/NNG+담보/NNG+대출/NNG
심사가	심사/NNG+가/JKS
강화되면서	강화/NNG+되/XSV+면서/EC
풍선효과로	풍선/NNG+효과/NNG+로/JKB
투자	투자/NNG
수요가	수요/NNG+가/JKS
분양시장으로	분양/NNG+시장/NNG+으로/JKB
몰렸고,	몰리/VV+었/EP+고/EC+,/SP
분양가	분양/NNG+가/XSN
상한제가	상한/NNG+제/XSN+가/JKS
폐지되면서	폐지/NNG+되/XSV+면서/EC
재건축	재/XPN+건축/NNG
시장의	시장/NNG+의/JKG
전망이	전망/NNG+이/JKS
좋아진	좋/VA+아/EC+지/VX+ㄴ/ETM
것도	것/NNB+도/JX
고분양가의	고/XPN+분양/NNG+가/XSN+의/JKG
원인으로	원인/NNG+으로/JKB
꼽고	꼽/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.11.1
동시에 분양가 거품에 대한 우려도 커지고 있다.

동시에	동시/NNG+에/JKB
분양가	분양/NNG+가/XSN
거품에	거품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.332.11.2
함영진 부동산114 리서치센터장은 “지방 시장은 이미 꺾이는 분위기고 수도권에서도 공급이 많은 지역에선 마이너스 프리미엄의 위험이 있다”며 “무리하게 여러 채를 분양받고 시세 차익을 얻겠다는 생각은 버려야 한다”고 말했다.

함영진	함영진/NNP
부동산114	부동산114/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“지방	“/SS+지방/NNG
시장은	시장/NNG+은/JX
이미	이미/MAG
꺾이는	꺾이/VV+는/ETM
분위기고	분위기/NNG+이/VCP+고/EC
수도권에서도	수도/NNG+권/XSN+에서/JKB+도/JX
공급이	공급/NNG+이/JKS
많은	많/VA+은/ETM
지역에선	지역/NNG+에서/JKB+ㄴ/JX
마이너스	마이너스/NNG
프리미엄의	프리미엄/NNG+의/JKG
위험이	위험/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“무리하게	“/SS+무리/NNG+하/XSA+게/EC
여러	여러/MMN
채를	채/NNG+를/JKO
분양받고	분양/NNG+받/XSV+고/EC
시세	시세/NNG
차익을	차익/NNG+을/JKO
얻겠다는	얻/VV+겠/EP+다는/ETM
생각은	생각/NNG+은/JX
버려야	버리/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


