# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.361
metadata : {}


# id : NWRW1800000046.361.1.1
[국고보조금이 털리고 있다] (1) 멀쩡한 사찰 고쳐준다며 공사비 뻥튀기… 3년간 29억 빼돌린 업자

[국고보조금이	[/SS+국고/NNG+보조금/NNG+이/JKS
돌로 쌓아올린 옹벽과 계단에는 군데군데 시멘트가 덧발려 있었고, 마당 한편의 우물 역시 주변에 돌을 새로 이어붙인 흔적이 역력했다.

돌로	돌/NNG+로/JKB
쌓아올린	쌓/VV+아/EC+올리/VV+ㄴ/ETM
옹벽과	옹벽/NNG+과/JC
계단에는	계단/NNG+에/JKB+는/JX
군데군데	군데군데/MAG
시멘트가	시멘트/NNG+가/JKS
덧발려	덧발리/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
마당	마당/NNG
한편의	한/MMN+편/NNB+의/JKG
우물	우물/NNG
역시	역시/MAG
주변에	주변/NNG+에/JKB
돌을	돌/NNG+을/JKO
새로	새로/MAG
이어붙인	잇/VV+어/EC+붙이/VV+ㄴ/ETM
흔적이	흔적/NNG+이/JKS
역력했다.	역력하/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.361.4.3
1년 반 전, 이 사찰은 두 달 동안 보수공사를 했다.

1년	1/SN+년/NNB
반	반/NNG
전,	전/NNG+,/SP
이	이/MMD
사찰은	사찰/NNG+은/JX
두	두/MMN
달	달/NNB
동안	동안/NNG
보수공사를	보수/NNG+공사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.4.4
당시 시공업체는 공사비로 총 2억여원을 쓴 것으로 확인됐다.

당시	당시/NNG
시공업체는	시공업체/NNG+는/JX
공사비로	공사비/NNG+로/JKB
총	총/MMA
2억여원을	2/SN+억/NR+여/XSN+원/NNB+을/JKO
쓴	쓰/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.5.1
취재팀이 보수공사 이전의 사찰 사진을 구해 대조해 본 결과, 현재의 모습과 크게 달라진 곳은 없었다.

취재팀이	취재/NNG+팀/NNG+이/JKS
보수공사	보수/NNG+공사/NNG
이전의	이전/NNG+의/JKG
사찰	사찰/NNG
사진을	사진/NNG+을/JKO
구해	구하/VV+아/EC
대조해	대조/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
결과,	결과/NNG+,/SP
현재의	현재/NNG+의/JKG
모습과	모습/NNG+과/JKB
크게	크/VA+게/EC
달라진	달라지/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.361.5.2
〈사진 참조〉 법당 앞 무릎 높이의 돌 옹벽과 계단을 새로 단장한 것이 공사의 대부분으로 보였다.

〈사진	〈/SS+사진/NNG
참조〉	참조/NNG+〉/SS
법당	법당/NNG
앞	앞/NNG
무릎	무릎/NNG
높이의	높이/NNG+의/JKG
돌	돌/NNG
옹벽과	옹벽/NNG+과/JC
계단을	계단/NNG+을/JKO
새로	새로/MAG
단장한	단장/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
공사의	공사/NNG+의/JKG
대부분으로	대/XPN+부분/NNG+으로/JKB
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.5.3
우물 역시 시멘트로 돼 있던 주변 바닥을 정리하고 우물 둘레를 새롭게 장식한 것뿐이었다.

우물	우물/NNG
역시	역시/MAG
시멘트로	시멘트/NNG+로/JKB
돼	되/VV+어/EC
있던	있/VX+던/ETM
주변	주변/NNG
바닥을	바닥/NNG+을/JKO
정리하고	정리/NNG+하/XSV+고/EC
둘레를	둘레/NNG+를/JKO
새롭게	새롭/VA+게/EC
장식한	장식/NNG+하/XSV+ㄴ/ETM
것뿐이었다.	것/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.361.5.4
경내에 있던 나무 8그루는 공사 과정에서 뽑혀 나갔다.

경내에	경내/NNG+에/JKB
있던	있/VA+던/ETM
나무	나무/NNG
8그루는	8/SN+그루/NNB+는/JX
공사	공사/NNG
과정에서	과정/NNG+에서/JKB
뽑혀	뽑히/VV+어/EC
나갔다.	나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.361.5.5
사찰 주지 스님은 취재팀과 만나 "쓸데없는 공사가 오히려 절을 망쳐놨다"고 말했다.

사찰	사찰/NNG
주지	주지/NNG
스님은	스님/NNG+은/JX
취재팀과	취재/NNG+팀/NNG+과/JKB
만나	만나/VV+아/EC
"쓸데없는	"/SS+쓸데없/VA+는/ETM
공사가	공사/NNG+가/JKS
오히려	오히려/MAG
절을	절/NNG+을/JKO
망쳐놨다"고	망치/VV+어/EC+놓/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.5.6
사찰 측에 따르면 2012년 12월 문화재 보수업자인 이모(42)씨가 사찰에 찾아왔다.

사찰	사찰/NNG
측에	측/NNB+에/JKB
따르면	따르/VV+면/EC
2012년	2012/SN+년/NNB
12월	12/SN+월/NNB
문화재	문화재/NNG
보수업자인	보수/NNG+업자/NNG+이/VCP+ㄴ/ETM
이모(42)씨가	이/NNP+모/NP+(/SS+42/SN+)/SS+씨/NNB+가/JKS
사찰에	사찰/NNG+에/JKB
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.5.7
이씨는 "사찰의 부담 없이 주변 정리를 해줄 테니 스님은 신경 쓰지 말라"며 "보수공사를 하자"고 요구했다.

이씨는	이/NNP+씨/NNB+는/JX
"사찰의	"/SS+사찰/NNG+의/JKG
부담	부담/NNG
없이	없이/MAG
주변	주변/NNG
정리를	정리/NNG+를/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
스님은	스님/NNG+은/JX
신경	신경/NNG
쓰지	쓰/VV+지/EC
말라"며	말/VX+라/EF+"/SS+며/EC
"보수공사를	"/SS+보수/NNG+공사/NNG+를/JKO
하자"고	하/VV+자/EF+"/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.6.1
주지 스님은 공사 제안을 거절했지만 이씨가 끈질기게 요구하자 옹벽 공사를 하기로 했다.

주지	주지/NNG
스님은	스님/NNG+은/JX
공사	공사/NNG
제안을	제안/NNG+을/JKO
거절했지만	거절/NNG+하/XSV+았/EP+지만/EC
이씨가	이/NNP+씨/NNB+가/JKS
끈질기게	끈질기/VA+게/EC
요구하자	요구/NNG+하/XSV+자/EC
옹벽	옹벽/NNG
공사를	공사/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.6.2
이씨는 사찰의 자기 부담금 1900만원을 받은 것처럼 서류를 위조했고, 관할 시청에서 보조금 1억9000만원을 받아 챙겼다.

이씨는	이/NNP+씨/NNB+는/JX
사찰의	사찰/NNG+의/JKG
자기	자기/NNG
부담금	부담금/NNG
1900만원을	1900/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
것처럼	것/NNB+처럼/JKB
서류를	서류/NNG+를/JKO
위조했고,	위조/NNG+하/XSV+았/EP+고/EC+,/SP
관할	관할/NNG
시청에서	시청/NNG+에서/JKB
보조금	보조금/NNG
1억9000만원을	1/SN+억/NR+9000/SN+만/NR+원/NNB+을/JKO
받아	받/VV+아/EC
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.7.1
J사찰의 건축 공사 원가 계획서에 따르면 64일간 진행된 공사 기간에 인건비 9000만원이 책정됐다.

J사찰의	J/SL+사찰/NNG+의/JKG
건축	건축/NNG
공사	공사/NNG
원가	원가/NNG
계획서에	계획서/NNG+에/JKB
따르면	따르/VV+면/EC
64일간	64/SN+일/NNB+간/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
기간에	기간/NNG+에/JKB
인건비	인건비/NNG
9000만원이	9000/SN+만/NR+원/NNB+이/JKS
책정됐다.	책정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.7.2
그러나 실제 공사를 시행한 기간은 37일에 불과했다.

그러나	그러나/MAJ
실제	실제/NNG
공사를	공사/NNG+를/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
기간은	기간/NNG+은/JX
37일에	37/SN+일/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.361.8.1
취재팀이 의뢰한 원가 계획서를 검토한 전문가들은 "아무리 전통 사찰 보수라지만 단청 채색도 아니고 돌을 쌓아 올린 것뿐인데 견적 자체가 터무니없이 높게 잡혔다"고 지적했다.

취재팀이	취재/NNG+팀/NNG+이/JKS
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
원가	원가/NNG
계획서를	계획서/NNG+를/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
전문가들은	전문가/NNG+들/XSN+은/JX
"아무리	"/SS+아무리/MAG
전통	전통/NNG
사찰	사찰/NNG
보수라지만	보수/NNG+이/VCP+라지만/EC
단청	단청/NNG
채색도	채색/NNG+도/JX
아니고	아니/VCN+고/EC
돌을	돌/NNG+을/JKO
쌓아	쌓/VV+아/EC
올린	올리/VV+ㄴ/ETM
것뿐인데	것/NNB+뿐/JX+이/VCP+ㄴ데/EC
견적	견적/NNG
자체가	자체/NNG+가/JKS
터무니없이	터무니없이/MAG
높게	높/VA+게/EC
잡혔다"고	잡히/VV+었/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.8.2
이씨는 2010년 6월부터 2013년 11월까지 사찰 등을 돌아다니며 10여 차례 보수공사를 벌여 보조금 29억원을 불법으로 빼돌린 사실이 검찰에 적발돼 구속됐다.

이씨는	이/NNP+씨/NNB+는/JX
2010년	2010/SN+년/NNB
6월부터	6/SN+월/NNB+부터/JX
2013년	2013/SN+년/NNB
11월까지	11/SN+월/NNB+까지/JX
사찰	사찰/NNG
등을	등/NNB+을/JKO
돌아다니며	돌아다니/VV+며/EC
10여	10/SN+여/XSN
차례	차례/NNG
보수공사를	보수/NNG+공사/NNG+를/JKO
벌여	벌이/VV+어/EC
보조금	보조금/NNG
29억원을	29/SN+억/NR+원/NNB+을/JKO
불법으로	불법/NNG+으로/JKB
빼돌린	빼돌리/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
검찰에	검찰/NNG+에/JKB
적발돼	적발/NNG+되/XSV+어/EC
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.8.3
사찰들도 공사비를 일부 부담해야만 보조금이 나오지만, 이씨는 사찰들이 공사비를 낸 것처럼 서류를 가짜로 꾸몄다.

사찰들도	사찰/NNG+들/XSN+도/JX
공사비를	공사비/NNG+를/JKO
일부	일부/NNG
부담해야만	부담/NNG+하/XSV+아야/EC+만/JX
보조금이	보조금/NNG+이/JKS
나오지만,	나오/VV+지만/EC+,/SP
이씨는	이/NNP+씨/NNB+는/JX
사찰들이	사찰/NNG+들/XSN+이/JKS
낸	내/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
서류를	서류/NNG+를/JKO
가짜로	가짜/NNG+로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.8.4
이씨는 검찰 조사에서 "사찰로부터 받지 못한 공사비를 메꾸기 위해 인부들의 일당이나 자재비 등을 매일 조금씩 부풀렸다"며 "거래처에 공사비가 입금되면 부풀린 금액만큼을 현금으로 돌려받았다"고 진술했다.

이씨는	이/NNP+씨/NNB+는/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
"사찰로부터	"/SS+사찰/NNG+로부터/JKB
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
공사비를	공사비/NNG+를/JKO
메꾸기	메꾸/VV+기/ETN
위해	위하/VV+아/EC
인부들의	인부/NNG+들/XSN+의/JKG
일당이나	일당/NNG+이나/JC
자재비	자재비/NNG
등을	등/NNB+을/JKO
매일	매일/MAG
조금씩	조금/NNG+씩/XSN
부풀렸다"며	부풀리/VV+었/EP+다/EF+"/SS+며/EC
"거래처에	"/SS+거래처/NNG+에/JKB
공사비가	공사비/NNG+가/JKS
입금되면	입금/NNG+되/XSV+면/EC
부풀린	부풀리/VV+ㄴ/ETM
금액만큼을	금액/NNG+만큼/JKB+을/JKO
현금으로	현금/NNG+으로/JKB
돌려받았다"고	돌려받/VV+았/EP+다/EF+"/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.361.8.5
이씨는 국내산 육송(陸松)을 쓰는 것처럼 공사 계획을 짠 뒤 실제로는 값싼 외국산 더글러스 목재를 쓰며 공사비를 빼돌리기도 했다.

이씨는	이/NNP+씨/NNB+는/JX
국내산	국내/NNG+산/XSN
육송(陸松)을	육송/NNG+(/SS+陸松/SH+)/SS+을/JKO
쓰는	쓰/VV+는/ETM
것처럼	것/NNB+처럼/JKB
공사	공사/NNG
계획을	계획/NNG+을/JKO
짠	짜/VV+ㄴ/ETM
뒤	뒤/NNG
실제로는	실제로/MAG+는/JX
값싼	값싸/VA+ㄴ/ETM
외국산	외국/NNG+산/XSN
더글러스	더글러스/NNG
목재를	목재/NNG+를/JKO
쓰며	쓰/VV+며/EC
공사비를	공사비/NNG+를/JKO
빼돌리기도	빼돌리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.361.9.1
전통사찰의 보존 및 지원에 관한 법률에 따르면 역사적 가치가 있는 사찰이 보존 및 관리를 위한 보수공사를 할 경우 국고 보조금이 지원된다.

전통사찰의	전통/NNG+사찰/NNG+의/JKG
보존	보존/NNG
및	및/MAG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률에	법률/NNG+에/JKB
따르면	따르/VV+면/EC
역사적	역사/NNG+적/XSN
가치가	가치/NNG+가/JKS
있는	있/VA+는/ETM
사찰이	사찰/NNG+이/JKS
관리를	관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
보수공사를	보수/NNG+공사/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
국고	국고/NNG
보조금이	보조금/NNG+이/JKS
지원된다.	지원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.361.9.2
사찰 측이 공사비의 10~20%를 먼저 시공업체에 지불하면 나머지 80~90%를 국가가 충당해 주도록 했다.

사찰	사찰/NNG
측이	측/NNB+이/JKS
공사비의	공사비/NNG+의/JKG
10~20%를	10/SN+~/SO+20/SN+%/SW+를/JKO
먼저	먼저/MAG
시공업체에	시공업체/NNG+에/JKB
지불하면	지불/NNG+하/XSV+면/EC
나머지	나머지/NNG
80~90%를	80/SN+~/SO+90/SN+%/SW+를/JKO
국가가	국가/NNG+가/JKS
충당해	충당/NNG+하/XSV+아/EC
주도록	주/VX+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.361.9.3
하지만 일부 문화재 보수업체는 "사찰의 공사 부담금은 받은 셈 쳐줄 테니 공사를 하자"며 사찰 측에 접근해 필요 없는 보수공사를 벌이고 막대한 보조금을 받아 빼돌리고 있다.

하지만	하지만/MAJ
일부	일부/NNG
문화재	문화재/NNG
보수업체는	보수/NNG+업체/NNG+는/JX
"사찰의	"/SS+사찰/NNG+의/JKG
공사	공사/NNG
부담금은	부담금/NNG+은/JX
받은	받/VV+은/ETM
셈	셈/NNB
쳐줄	쳐주/VV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
공사를	공사/NNG+를/JKO
하자"며	하/VV+자/EF+"/SS+며/EC
사찰	사찰/NNG
측에	측/NNB+에/JKB
접근해	접근/NNG+하/XSV+아/EC
필요	필요/NNG
없는	없/VA+는/ETM
보수공사를	보수/NNG+공사/NNG+를/JKO
벌이고	벌이/VV+고/EC
막대한	막대하/VA+ㄴ/ETM
보조금을	보조금/NNG+을/JKO
받아	받/VV+아/EC
빼돌리고	빼돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


