# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.5
metadata : {}


# id : NWRW1800000022.5.1.1
[우리 대학 비전을 말한다] 전주대학교 이남식 총장; "학생 스스로 100% 만족하는 대학으로"

[우리	[/SS+우리/NP
이 총장은 "전주의 비빔밥은 대표적인 지역 음식이면서 동시에 전 세계적 인기를 얻고 있는 우리의 전통음식"이라며 "마찬가지로 전주대는 지역에 기반을 두고 지역발전을 이끌면서 동시에 세계적인 대학으로 거듭나는 '글로컬(global+local) 대학'이 될 것"이라고 밝혔다.

이	이/NNP
총장은	총장/NNG+은/JX
"전주의	"/SS+전주/NNP+의/JKG
비빔밥은	비빔밥/NNG+은/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
지역	지역/NNG
음식이면서	음식/NNG+이/VCP+면서/EC
동시에	동시/NNG+에/JKB
전	전/MMD
세계적	세계/NNG+적/XSN
인기를	인기/NNG+를/JKO
얻고	얻/VV+고/EC
있는	있/VX+는/ETM
우리의	우리/NP+의/JKG
전통음식"이라며	전통/NNG+음식/NNG+"/SS+이/VCP+라며/EC
"마찬가지로	"/SS+마찬가지/NNG+로/JKB
전주대는	전주대/NNP+는/JX
지역에	지역/NNG+에/JKB
기반을	기반/NNG+을/JKO
두고	두/VV+고/EC
지역발전을	지역/NNG+발전/NNG+을/JKO
이끌면서	이끌/VV+면서/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
대학으로	대학/NNG+으로/JKB
거듭나는	거듭나/VV+는/ETM
'글로컬(global+local)	'/SS+글로컬/NNG+(/SS+global/SL++/SW+local/SL+)/SS
대학'이	대학/NNG+'/SS+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.5.7.1
대체의학대학은 고령사회를 대비한 보건인력을 양성한다.

대체의학대학은	대체/NNG+의학/NNG+대학/NNG+은/JX
고령사회를	고령/NNG+사회/NNG+를/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
보건인력을	보건/NNG+인력/NNG+을/JKO
양성한다.	양성/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.7.2
체내 면역력을 증강시켜 건강을 유지하는 자연치유에 중점을 두고 비만관리, 예술치료, 아로마테라피 등 대체요법과 물리치료 등을 가르친다.

체내	체내/NNG
면역력을	면역력/NNG+을/JKO
증강시켜	증강/NNG+시키/XSV+어/EC
건강을	건강/NNG+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
자연치유에	자연/NNG+치유/NNG+에/JKB
중점을	중점/NNG+을/JKO
두고	두/VV+고/EC
비만관리,	비만/NNG+관리/NNG+,/SP
예술치료,	예술/NNG+치료/NNG+,/SP
아로마테라피	아로마테라피/NNG
등	등/NNB
대체요법과	대체/NNG+요법/NNG+과/JC
물리치료	물리/NNG+치료/NNG
등을	등/NNB+을/JKO
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.7.3
문화산업대학은 우리 전통문화와 디지털을 접목시키는 것은 물론 문화기획자로서의 능력을 갖추도록 한다.

문화산업대학은	문화/NNG+산업/NNG+대학/NNG+은/JX
우리	우리/NP
전통문화와	전통문화/NNG+와/JC
디지털을	디지털/NNG+을/JKO
접목시키는	접목/NNG+시키/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
문화기획자로서의	문화/NNG+기획자/NNG+로서/JKB+의/JKG
능력을	능력/NNG+을/JKO
갖추도록	갖추/VV+도록/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.8.1
산학협력 중심대학이란 구호에 그치지 않고, 창업보육센터와 벤처창업관 등을 마련해 학생들이 직접 참여해서 시제품까지 만들 수 있도록 했다.

산학협력	산학/NNG+협력/NNG
중심대학이란	중심/NNG+대학/NNG+이/VCP+란/ETM
구호에	구호/NNG+에/JKB
그치지	그치/VV+지/EC
않고,	않/VX+고/EC+,/SP
창업보육센터와	창업/NNG+보육/NNG+센터/NNG+와/JC
벤처창업관	벤처/NNG+창업관/NNG
등을	등/NNB+을/JKO
마련해	마련/NNG+하/XSV+아/EC
학생들이	학생/NNG+들/XSN+이/JKS
직접	직접/MAG
참여해서	참여/NNG+하/XSV+아서/EC
시제품까지	시제품/NNG+까지/JX
만들	만들/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.9.1
지난 2004년부터는 캄보디아 국립기술대학(NPIC)을 운영, 총장 등 91명의 교직원을 파견해 1000여명의 학생을 가르치고 있다.

지난	지나/VV+ㄴ/ETM
2004년부터는	2004/SN+년/NNB+부터/JX+는/JX
캄보디아	캄보디아/NNP
국립기술대학(NPIC)을	국립기술대학/NNP+(/SS+NPIC/SL+)/SS+을/JKO
운영,	운영/NNG+,/SP
총장	총장/NNG
등	등/NNB
91명의	91/SN+명/NNB+의/JKG
교직원을	교직원/NNG+을/JKO
파견해	파견/NNG+하/XSV+아/EC
1000여명의	1000/SN+여/XSN+명/NNB+의/JKG
학생을	학생/NNG+을/JKO
가르치고	가르치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.5.9.2
현재 이 학교는 캄보디아 최고 대학으로 성장하고 있다.

현재	현재/MAG
이	이/MMD
학교는	학교/NNG+는/JX
캄보디아	캄보디아/NNP
최고	최고/NNG
대학으로	대학/NNG+으로/JKB
성장하고	성장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.5.9.3
이 총장은 "나눔과 봉사의 기독교 정신에 입각해 교육여건이 열악한 캄보디아에서 학생들을 가르치고 있으며 매년 20명씩 전액 장학금으로 한국에서 교육을 받도록 도와주고 있다"며 "이외에 우물사업 등으로 현지 주민들의 생활수준을 높이는 사업도 함께 벌이고 있다"고 설명했다.

이	이/NNP
총장은	총장/NNG+은/JX
"나눔과	"/SS+나누/VV+ㅁ/ETN+과/JC
봉사의	봉사/NNG+의/JKG
기독교	기독교/NNG
정신에	정신/NNG+에/JKB
입각해	입각/NNG+하/XSV+아/EC
교육여건이	교육/NNG+여건/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
캄보디아에서	캄보디아/NNP+에서/JKB
학생들을	학생/NNG+들/XSN+을/JKO
가르치고	가르치/VV+고/EC
있으며	있/VX+으며/EC
매년	매년/MAG
20명씩	20/SN+명/NNB+씩/XSN
전액	전액/NNG
장학금으로	장학금/NNG+으로/JKB
한국에서	한국/NNP+에서/JKB
교육을	교육/NNG+을/JKO
받도록	받/VV+도록/EC
도와주고	도와주/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"이외에	"/SS+이외/NNG+에/JKB
우물사업	우물/NNG+사업/NNG
등으로	등/NNB+으로/JKB
현지	현지/NNG
주민들의	주민/NNG+들/XSN+의/JKG
생활수준을	생활/NNG+수준/NNG+을/JKO
높이는	높이/VV+는/ETM
사업도	사업/NNG+도/JX
함께	함께/MAG
벌이고	벌이/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.10.1
3스타(star) 프로그램

3스타(star)	3/SN+스타/NNG+(/SS+star/SL+)/SS
프로그램	프로그램/NNG


# id : NWRW1800000022.5.11.1
전주대의 특색은 3스타 프로그램으로 압축된다.

전주대의	전주대/NNP+의/JKG
특색은	특색/NNG+은/JX
3스타	3/SN+스타/NNG
프로그램으로	프로그램/NNG+으로/JKB
압축된다.	압축/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.11.2
3스타 프로그램은 '스타트(starT) 프로그램', '스타트랙(starTrack) 프로그램', '스타넷(starNet) 프로그램' 등으로 구성된다.

3스타	3/SN+스타/NNG
프로그램은	프로그램/NNG+은/JX
'스타트(starT)	'/SS+스타트/NNG+(/SS+starT/SL+)/SS
프로그램',	프로그램/NNG+'/SS+,/SP
'스타트랙(starTrack)	'/SS+스타트랙/NNG+(/SS+starTrack/SL+)/SS
'스타넷(starNet)	'/SS+스타넷/NNG+(/SS+starNet/SL+)/SS
프로그램'	프로그램/NNG+'/SS
등으로	등/NNB+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.12.1
스타트 프로그램은 전국 최초의 자기주도적 학습시스템이다.

스타트	스타트/NNG
프로그램은	프로그램/NNG+은/JX
전국	전국/NNG
최초의	최초/NNG+의/JKG
자기주도적	자기/NNG+주도/NNG+적/XSN
학습시스템이다.	학습/NNG+시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.5.12.2
학생들의 교내외 활동의 참여정도 및 성과에 따라 일정한 점수를 부여하고, 그 점수를 합산해 그에 따른 인센티브를 주는 포인트시스템으로 운영된다.

학생들의	학생/NNG+들/XSN+의/JKG
교내외	교내외/NNG
활동의	활동/NNG+의/JKG
참여정도	참여/NNG+정도/NNG
및	및/MAG
성과에	성과/NNG+에/JKB
따라	따르/VV+아/EC
일정한	일정/NNG+하/XSA+ㄴ/ETM
점수를	점수/NNG+를/JKO
부여하고,	부여/NNG+하/XSV+고/EC+,/SP
그	그/MMD
합산해	합산/NNG+하/XSV+아/EC
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
인센티브를	인센티브/NNG+를/JKO
주는	주/VV+는/ETM
포인트시스템으로	포인트시스템/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.12.3
예를 들어 토익·토플 시험에 응시하면 포인트, 다음 시험에 성적이 올라가면 포인트 등의 식으로 운영돼 일정 포인트를 획득하면 장학금, 해외연수 등 혜택을 주는 식이다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
토익·토플	토익/NNG+·/SP+토플/NNG
시험에	시험/NNG+에/JKB
응시하면	응시/NNG+하/XSV+면/EC
포인트,	포인트/NNG+,/SP
다음	다음/NNG
성적이	성적/NNG+이/JKS
올라가면	올라가/VV+면/EC
포인트	포인트/NNG
등의	등/NNB+의/JKG
식으로	식/NNB+으로/JKB
운영돼	운영/NNG+되/XSV+어/EC
일정	일정/NNG
포인트를	포인트/NNG+를/JKO
획득하면	획득/NNG+하/XSV+면/EC
장학금,	장학금/NNG+,/SP
해외연수	해외/NNG+연수/NNG
등	등/NNB
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.5.13.1
스타트랙은 취업을 준비하는 학생들을 대상으로 각종 시험에 효과적으로 대비할 수 있도록 각 트랙별 담당교수가 10~20명 내외의 소수정예로 집중교육을 시키는 프로그램이다.

스타트랙은	스타트랙/NNG+은/JX
취업을	취업/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
각종	각종/NNG
시험에	시험/NNG+에/JKB
효과적으로	효과/NNG+적/XSN+으로/JKB
대비할	대비/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
각	각/MMD
트랙별	트랙/NNG+별/XSN
담당교수가	담당/NNG+교수/NNG+가/JKS
10~20명	10/SN+~/SO+20/SN+명/NNB
내외의	내외/NNG+의/JKG
소수정예로	소수/NNG+정예/NNG+로/JKB
집중교육을	집중/NNG+교육/NNG+을/JKO
시키는	시키/VV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.5.13.2
공무원 준비 트랙, 임용고시 준비 트랙, 자격증 교육 트랙, 외국어 교육 트랙, 창업 교육 트랙 등 다양한 트랙이 운영되고 있다.

공무원	공무원/NNG
준비	준비/NNG
트랙,	트랙/NNG+,/SP
임용고시	임용/NNG+고시/NNG
자격증	자격증/NNG
교육	교육/NNG
외국어	외국어/NNG
창업	창업/NNG
트랙	트랙/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
트랙이	트랙/NNG+이/JKS
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.5.14.1
스타넷 프로그램은 다양한 네트워크로 연계된 기업들과의 산학협력으로 기업이 원하는 인재를 육성하는 프로그램이다.

스타넷	스타넷/NNG
프로그램은	프로그램/NNG+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
네트워크로	네트워크/NNG+로/JKB
연계된	연계/NNG+되/XSV+ㄴ/ETM
기업들과의	기업/NNG+들/XSN+과/JKB+의/JKG
산학협력으로	산학/NNG+협력/NNG+으로/JKB
기업이	기업/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
인재를	인재/NNG+를/JKO
육성하는	육성/NNG+하/XSV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.5.14.2
현재 전국에 600여개 이상의 스타넷 연계 기업들이 있다.

현재	현재/MAG
전국에	전국/NNG+에/JKB
600여개	600/SN+여/XSN+개/NNB
이상의	이상/NNG+의/JKG
스타넷	스타넷/NNG
연계	연계/NNG
기업들이	기업/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.5.15.1
이 총장은 "자기주도적 학습시스템인 스타트 프로그램은 전주대가 슈퍼스타를 키워내겠다는 열의를 단적으로 보여주는 사례라고 볼 수 있다"며 "자기주도적 학습으로 도전정신을 키우고 스스로의 역량을 극대화시키는 프로그램으로 매년 수백명의 학생들이 장학금을 받고 있으며, 수십여명이 해외연수 혜택을 얻고 있다"고 말했다.

이	이/NNP
총장은	총장/NNG+은/JX
"자기주도적	"/SS+자기/NNG+주도/NNG+적/XSN
학습시스템인	학습/NNG+시스템/NNG+이/VCP+ㄴ/ETM
스타트	스타트/NNG
프로그램은	프로그램/NNG+은/JX
전주대가	전주대/NNP+가/JKS
슈퍼스타를	슈퍼스타/NNG+를/JKO
키워내겠다는	키우/VV+어/EC+내/VX+겠/EP+다는/ETM
열의를	열의/NNG+를/JKO
단적으로	단적/NNG+으로/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
사례라고	사례/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
학습으로	학습/NNG+으로/JKB
도전정신을	도전/NNG+정신/NNG+을/JKO
키우고	키우/VV+고/EC
스스로의	스스로/NNG+의/JKG
역량을	역량/NNG+을/JKO
극대화시키는	극대/NNG+화/XSN+시키/XSV+는/ETM
프로그램으로	프로그램/NNG+으로/JKB
매년	매년/MAG
수백명의	수백/NR+명/NNB+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
장학금을	장학금/NNG+을/JKO
받고	받/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
수십여명이	수십/NR+여/XSN+명/NNB+이/JKS
해외연수	해외/NNG+연수/NNG
혜택을	혜택/NNG+을/JKO
얻고	얻/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.16.1
지속가능경영대상 창조경영상

지속가능경영대상	지속/NNG+가능/NNG+경영/NNG+대상/NNG
창조경영상	창조/NNG+경영/NNG+상/NNG


# id : NWRW1800000022.5.17.1
전주대는 지난해 10월 국내 대학 최초로 지속가능경영대상 12개 분야 가운데 '창조경영상'을 받았다.

전주대는	전주대/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
국내	국내/NNG
대학	대학/NNG
최초로	최초/NNG+로/JKB
지속가능경영대상	지속/NNG+가능/NNG+경영/NNG+대상/NNG
12개	12/SN+개/NNB
분야	분야/NNG
가운데	가운데/NNG
'창조경영상'을	'/SS+창조/NNG+경영/NNG+상/NNG+'/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.17.2
지속가능경영대상 수상식은 지식경제부가 주최하고 대한상공회의소, 산업정책연구원이 공동 주관했다.

지속가능경영대상	지속/NNG+가능/NNG+경영/NNG+대상/NNG
수상식은	수상식/NNG+은/JX
지식경제부가	지식/NNG+경제부/NNG+가/JKS
주최하고	주최/NNG+하/XSV+고/EC
대한상공회의소,	대한상공회의소/NNP+,/SP
산업정책연구원이	산업정책연구원/NNP+이/JKS
공동	공동/NNG
주관했다.	주관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.17.3
단기적 이익추구보다 장기적으로 존속가능한 기관이 되기 위해 각종 혁신과 창조를 이뤘다는 평가를 받았다.

단기적	단기/NNG+적/XSN
이익추구보다	이익/NNG+추구/NNG+보다/JKB
장기적으로	장기/NNG+적/XSN+으로/JKB
존속가능한	존속/NNG+가능/NNG+하/XSA+ㄴ/ETM
기관이	기관/NNG+이/JKC
되기	되/VV+기/ETN
위해	위하/VV+아/EC
각종	각종/NNG
혁신과	혁신/NNG+과/JC
창조를	창조/NNG+를/JKO
이뤘다는	이루/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.18.1
그는 "전주대는 급변하는 교육환경 하에서 학교운영의 모든 면에 걸쳐 새로운 성장기회를 탐색하고 이를 학교발전으로 연결시키는 창조경영 부문에서 높은 점수를 받았다"고 강조했다.

그는	그/NP+는/JX
"전주대는	"/SS+전주대/NNP+는/JX
급변하는	급변/NNG+하/XSV+는/ETM
교육환경	교육/NNG+환경/NNG
하에서	하/XSN+에서/JKB
학교운영의	학교/NNG+운영/NNG+의/JKG
모든	모든/MMN
면에	면/NNG+에/JKB
걸쳐	걸치/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
성장기회를	성장/NNG+기회/NNG+를/JKO
탐색하고	탐색/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
학교발전으로	학교/NNG+발전/NNG+으로/JKB
연결시키는	연결/NNG+시키/XSV+는/ETM
창조경영	창조/NNG+경영/NNG
부문에서	부문/NNG+에서/JKB
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.18.2
누리사업 대형과제 선정, 한지 및 고창 복분자 지역혁신센터 운영, 학교기업 약고추장 운영, 에너지인력양성과제 선정 등 1000억원에 이르는 각종 국책사업을 따 낸 것도 바탕이 됐다.

누리사업	누리/NNG+사업/NNG
대형과제	대형/NNG+과제/NNG
선정,	선정/NNG+,/SP
한지	한지/NNG
및	및/MAG
고창	고창/NNP
복분자	복분자/NNG
지역혁신센터	지역혁신센터/NNP
운영,	운영/NNG+,/SP
학교기업	학교/NNG+기업/NNG
약고추장	약고추장/NNG
에너지인력양성과제	에너지/NNG+인력/NNG+양성/NNG+과제/NNG
선정	선정/NNG
등	등/NNB
1000억원에	1000/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
각종	각종/NNG
국책사업을	국책/NNG+사업/NNG+을/JKO
따	따/VV+아/EC
낸	내/VX+ㄴ/ETM
것도	것/NNB+도/JX
바탕이	바탕/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.5.19.1
이 총장은 "전주대가 단순한 기능적 교육기관이 아니라 사회의 지속가능성 창출에 기여하고, 사회로부터 사랑받는 대학이 되기 위해 노력한 활동들을 인정 받은 것"이라며 "앞으로도 창조적 혁신으로 '수퍼스타'를 키우는 글로컬 대학으로 성장할 것"이라고 밝혔다.

이	이/NNP
총장은	총장/NNG+은/JX
"전주대가	"/SS+전주대/NNP+가/JKS
단순한	단순/NNG+하/XSA+ㄴ/ETM
기능적	기능/NNG+적/XSN
교육기관이	교육/NNG+기관/NNG+이/JKC
아니라	아니/VCN+라/EC
사회의	사회/NNG+의/JKG
지속가능성	지속/NNG+가능/NNG+성/XSN
창출에	창출/NNG+에/JKB
기여하고,	기여/NNG+하/XSV+고/EC+,/SP
사회로부터	사회/NNG+로부터/JKB
사랑받는	사랑/NNG+받/XSV+는/ETM
대학이	대학/NNG+이/JKC
되기	되/VV+기/ETN
위해	위하/VV+아/EC
노력한	노력/NNG+하/XSV+ㄴ/ETM
활동들을	활동/NNG+들/XSN+을/JKO
인정	인정/NNG
받은	받/VV+은/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"앞으로도	"/SS+앞/NNG+으로/JKB+도/JX
창조적	창조/NNG+적/XSN
혁신으로	혁신/NNG+으로/JKB
'수퍼스타'를	'/SS+수퍼스타/NNG+'/SS+를/JKO
키우는	키우/VV+는/ETM
글로컬	글로컬/NNG
대학으로	대학/NNG+으로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.5.20.1
'신화'를 일구는 대학

'신화'를	'/SS+신화/NNG+'/SS+를/JKO
일구는	일구/VV+는/ETM
대학	대학/NNG


# id : NWRW1800000022.5.21.1
이 총장은 지난 2003년 총장으로 부임하면서 전체 교직원들에게 짧은 동영상을 보여줬다.

이	이/NNP
총장은	총장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
총장으로	총장/NNG+으로/JKB
부임하면서	부임/NNG+하/XSV+면서/EC
전체	전체/NNG
