# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.24
metadata : {}


# id : NWRW1800000033.24.1.1
일본-중국인은 쇼핑,미국인은 술값으로 긁었다

일본-중국인은	일본-중국인/NNG+은/JX
결제가	결제/NNG+가/JKS
보편화되지	보편/NNG+화/XSN+되/XSV+지/EC
않은	않/VX+은/ETM
나라”라며	나라/NNG+”/SS+이/VCP+라며/EC
“사용기록이	“/SS+사용/NNG+기록/NNG+이/JKS
고스란히	고스란히/MAG
남는	남/VV+는/ETM
신용카드보다	신용/NNG+카드/NNG+보다/JKB
현금	현금/NNG
결제를	결제/NNG+를/JKO
더	더/MAG
좋아하는	좋아하/VV+는/ETM
편”이라고	편/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.7.1
씀씀이는 싱가포르인이 가장 컸다.

씀씀이는	씀씀이/NNG+는/JX
싱가포르인이	싱가포르인/NNG+이/JKS
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.24.7.2
결제건당 사용금액이 23만2539원으로 1위였고 태국(21만3793원)과 홍콩(21만1753원)이 뒤를 이었다.

결제건당	결제/NNG+건당/NNG
사용금액이	사용/NNG+금액/NNG+이/JKS
23만2539원으로	23/SN+만/NR+2539/SN+원/NNB+으로/JKB
1위였고	1/SN+위/NNB+이/VCP+었/EP+고/EC
태국(21만3793원)과	태국/NNP+(/SS+21/SN+만/NR+3793/SN+원/NNB+)/SS+과/JC
홍콩(21만1753원)이	홍콩/NNP+(/SS+21/SN+만/NR+1753/SN+원/NNB+)/SS+이/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.7.3
중국(16만6096원·8위)과 미국(8만8110원·10위)은 하위권이었다.

중국(16만6096원·8위)과	중국/NNP+(/SS+16/SN+만/NR+6096/SN+원/NNB+·/SP+8/SN+위/NNB+)/SS+과/JC
미국(8만8110원·10위)은	미국/NNP+(/SS+8/SN+만/NR+8110/SN+원/NNB+·/SP+10/SN+위/NNB+)/SS+은/JX
하위권이었다.	하위/NNG+권/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.24.7.4
카드업계 관계자는 “싱가포르인은 성형 같은 고가의 지출이 많다”며 “태국인과 홍콩인도 값비싼 건강식품에 관심이 높다”고 했다.

카드업계	카드업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“싱가포르인은	“/SS+싱가포르인/NNG+은/JX
성형	성형/NNG
같은	같/VA+은/ETM
고가의	고가/NNG+의/JKG
지출이	지출/NNG+이/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“태국인과	“/SS+태국인/NNG+과/JC
홍콩인도	홍콩인/NNG+도/JX
값비싼	값비싸/VA+ㄴ/ETM
건강식품에	건강식품/NNG+에/JKB
관심이	관심/NNG+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.7.5
실제로 태국인과 홍콩인은 국내 건강식품 가맹점의 외국인 카드매출 순위에서 상위권을 다퉜다.

실제로	실제로/MAG
태국인과	태국인/NNG+과/JC
홍콩인은	홍콩인/NNG+은/JX
국내	국내/NNG
건강식품	건강식품/NNG
가맹점의	가맹점/NNG+의/JKG
외국인	외국인/NNG
카드매출	카드/NNG+매출/NNG
순위에서	순위/NNG+에서/JKB
상위권을	상위/NNG+권/XSN+을/JKO
다퉜다.	다투/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.8.1
국적별 카드 사용행태도 제각각이었다.

국적별	국적/NNG+별/XSN
카드	카드/NNG
사용행태도	사용/NNG+행태/NNG+도/JX
제각각이었다.	제각각/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.24.8.2
일본과 중국은 면세점과 호텔, 백화점 등에서 신용카드 사용이 많았던 반면 미국은 일반음식점과 유흥주점이 카드 사용처 3, 4위에 올랐다.

일본과	일본/NNP+과/JC
중국은	중국/NNP+은/JX
면세점과	면세점/NNG+과/JC
호텔,	호텔/NNG+,/SP
백화점	백화점/NNG
등에서	등/NNB+에서/JKB
신용카드	신용/NNG+카드/NNG
사용이	사용/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
반면	반면/NNG
미국은	미국/NNP+은/JX
일반음식점과	일반/NNG+음식점/NNG+과/JC
유흥주점이	유흥/NNG+주점/NNG+이/JKS
카드	카드/NNG
사용처	사용처/NNG
3,	3/SN+,/SP
4위에	4/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.8.3
일본인과 중국인은 관광 및 쇼핑, 미국인은 비즈니스 목적의 방문이 많았기 때문으로 풀이된다.

일본인과	일본인/NNG+과/JC
중국인은	중국인/NNG+은/JX
관광	관광/NNG
및	및/MAG
쇼핑,	쇼핑/NNG+,/SP
미국인은	미국인/NNG+은/JX
비즈니스	비즈니스/NNG
목적의	목적/NNG+의/JKG
방문이	방문/NNG+이/JKS
많았기	많/VA+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.24.9.1
○ 인기 1위 유흥주점은?

○	○/SW
인기	인기/NNG
1위	1/SN+위/NNB
유흥주점은?	유흥/NNG+주점/NNG+은/JX+?/SF


# id : NWRW1800000033.24.10.1
일부 분야는 가맹점에 따라 외국인의 선호가 달랐다.

일부	일부/NNG
분야는	분야/NNG+는/JX
가맹점에	가맹점/NNG+에/JKB
따라	따르/VV+아/EC
외국인의	외국인/NNG+의/JKG
선호가	선호/NNG+가/JKS
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.24.10.2
최근 성형을 위한 방한이 늘고 있는 가운데 서울 강남구 논현동의 ‘BK동양성형외과’가 외국인에게 가장 인기가 높았다.

최근	최근/NNG
성형을	성형/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방한이	방한/NNG+이/JKS
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
서울	서울/NNP
강남구	강남구/NNP
논현동의	논현동/NNP+의/JKG
‘BK동양성형외과’가	‘/SS+BK동양성형외과/NNP+’/SS+가/JKS
외국인에게	외국인/NNG+에게/JKB
가장	가장/MAG
인기가	인기/NNG+가/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.24.10.3
특히 싱가포르인이 BK동양성형외과를 선호하는 것으로 나타났다.

특히	특히/MAG
싱가포르인이	싱가포르인/NNG+이/JKS
BK동양성형외과를	BK동양성형외과/NNP+를/JKO
선호하는	선호/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.10.4
‘청담차움의원’은 중국인, ‘허쉬성형외과’는 베트남인의 카드 결제가 많았다.

‘청담차움의원’은	‘/SS+청담차움의원/NNP+’/SS+은/JX
중국인,	중국인/NNG+,/SP
‘허쉬성형외과’는	‘/SS+허쉬성형외과/NNP+’/SS+는/JX
베트남인의	베트남인/NNG+의/JKG
카드	카드/NNG
결제가	결제/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.24.11.1
BK동양성형외과 관계자는 “싱가포르인을 포함한 동양인은 눈과 코가 서양인보다 작고 못생겼다고 생각해 눈, 코 수술을 많이 하는 편”이라고 귀띔했다.

BK동양성형외과	BK동양성형외과/NNP
관계자는	관계자/NNG+는/JX
“싱가포르인을	“/SS+싱가포르인/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
동양인은	동양인/NNG+은/JX
눈과	눈/NNG+과/JC
코가	코/NNG+가/JKS
서양인보다	서양인/NNG+보다/JKB
작고	작/VA+고/EC
못생겼다고	못생기/VV+었/EP+다고/EC
생각해	생각/NNG+하/XSV+아/EC
눈,	눈/NNG+,/SP
코	코/NNG
수술을	수술/NNG+을/JKO
많이	많이/MAG
하는	하/VV+는/ETM
편”이라고	편/NNB+”/SS+이라고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.11.2
성형 외에 다양한 고급의료 서비스를 제공하는 청담차움의원은 아랍에미리트인이 중국인 홍콩인에 이어 3위를 차지해 눈길을 끌었다.

성형	성형/NNG
외에	외/NNB+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
고급의료	고급/NNG+의료/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
청담차움의원은	청담차움의원/NNP+은/JX
아랍에미리트인이	아랍에미리트인/NNG+이/JKS
중국인	중국인/NNG
홍콩인에	홍콩인/NNG+에/JKB
이어	잇/VV+어/EC
3위를	3/SN+위/NNB+를/JKO
차지해	차지/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.11.3
이 병원 관계자는 “아랍에미리트인은 성형보다는 건강검진을 많이 받는다”고 전했다.

이	이/MMD
병원	병원/NNG
관계자는	관계자/NNG+는/JX
“아랍에미리트인은	“/SS+아랍에미리트인/NNG+은/JX
성형보다는	성형/NNG+보다/JKB+는/JX
건강검진을	건강/NNG+검진/NNG+을/JKO
많이	많이/MAG
받는다”고	받/VV+는다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.12.1
미국인이 지난해 유흥주점에서만 167억 원을 카드 결제하는 등 외국인의 술값 지출도 적지 않았다.

미국인이	미국인/NNG+이/JKS
지난해	지난해/NNG
유흥주점에서만	유흥/NNG+주점/NNG+에서/JKB+만/JX
167억	167/SN+억/NR
원을	원/NNB+을/JKO
카드	카드/NNG
결제하는	결제/NNG+하/XSV+는/ETM
등	등/NNB
외국인의	외국인/NNG+의/JKG
술값	술값/NNG
지출도	지출/NNG+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.24.12.2
외국인이 카드를 가장 많이 쓴 유흥주점은 서울 강남구 논현동의 한 호텔에 있는 ‘어제오늘내일’이었다.

외국인이	외국인/NNG+이/JKS
카드를	카드/NNG+를/JKO
가장	가장/MAG
많이	많이/MAG
쓴	쓰/VV+ㄴ/ETM
유흥주점은	유흥/NNG+주점/NNG+은/JX
서울	서울/NNP
강남구	강남구/NNP
논현동의	논현동/NNP+의/JKG
한	한/MMN
호텔에	호텔/NNG+에/JKB
있는	있/VA+는/ETM
‘어제오늘내일’이었다.	‘/SS+어제오늘내일/NNP+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.24.12.3
국적별로는 미국인 일본인 홍콩인 순으로 많이 찾았다.

국적별로는	국적/NNG+별/XSN+로/JKB+는/JX
미국인	미국인/NNG
일본인	일본인/NNG
홍콩인	홍콩인/NNG
순으로	순/NNB+으로/JKB
많이	많이/MAG
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.13.1
유흥주점 3위인 ‘스팅클럽’에서는 미국인에 이어 노르웨이인의 카드 결제금액이 컸다.

유흥주점	유흥/NNG+주점/NNG
3위인	3/SN+위/NNB+이/VCP+ㄴ/ETM
‘스팅클럽’에서는	‘/SS+스팅클럽/NNP+’/SS+에서/JKB+는/JX
미국인에	미국인/NNG+에/JKB
이어	잇/VV+어/EC
노르웨이인의	노르웨이인/NNG+의/JKG
카드	카드/NNG
결제금액이	결제/NNG+금액/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.24.13.2
유흥업계 관계자는 “외국인은 가격이 다소 비싸더라도 은밀하고 고급스러운 곳을 찾는 편”이라며 “노르웨이인의 결제액이 많은 것은 선박 해운회사 관계자들이 배를 발주하거나 계약하러 한국을 많이 찾기 때문일 것”이라고 풀이했다.

유흥업계	유흥업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“외국인은	“/SS+외국인/NNG+은/JX
가격이	가격/NNG+이/JKS
다소	다소/MAG
비싸더라도	비싸/VA+더라도/EC
은밀하고	은밀하/VA+고/EC
고급스러운	고급/NNG+스럽/XSA+ㄴ/ETM
곳을	곳/NNG+을/JKO
찾는	찾/VV+는/ETM
편”이라며	편/NNB+”/SS+이/VCP+라며/EC
“노르웨이인의	“/SS+노르웨이인/NNG+의/JKG
결제액이	결제액/NNG+이/JKS
많은	많/VA+은/ETM
것은	것/NNB+은/JX
선박	선박/NNG
해운회사	해운/NNG+회사/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
배를	배/NNG+를/JKO
발주하거나	발주/NNG+하/XSV+거나/EC
계약하러	계약/NNG+하/XSV+러/EC
한국을	한국/NNP+을/JKO
많이	많이/MAG
찾기	찾/VV+기/ETN
때문일	때문/NNB+이/VCP+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.14.1
이 밖에 일반음식점 중에서는 고깃집인 서울 강남 ‘삼원가든’이 1위, 중구의 ‘참숯골’이 2위였고 일반의류점에서는 ‘H&M’ ‘포에버21’ ‘자라’ ‘에르메스’ 같은 글로벌 브랜드가 1∼4위를 휩쓸었다.

이	이/MMD
밖에	밖/NNG+에/JKB
일반음식점	일반/NNG+음식점/NNG
중에서는	중/NNB+에서/JKB+는/JX
고깃집인	고깃집/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
강남	강남/NNP
‘삼원가든’이	‘/SS+삼원가든/NNP+’/SS+이/JKS
1위,	1/SN+위/NNB+,/SP
중구의	중구/NNP+의/JKG
‘참숯골’이	‘/SS+참숯골/NNP+’/SS+이/JKS
2위였고	2/SN+위/NNB+이/VCP+었/EP+고/EC
일반의류점에서는	일반/NNG+의류점/NNG+에서/JKB+는/JX
‘H&M’	‘/SS+H/SL+&/SW+M/SL+’/SS
‘포에버21’	‘/SS+포에버21/NNP+’/SS
‘자라’	‘/SS+자라/NNP+’/SS
‘에르메스’	‘/SS+에르메스/NNP+’/SS
같은	같/VA+은/ETM
글로벌	글로벌/NNG
브랜드가	브랜드/NNG+가/JKS
1∼4위를	1/SN+∼/SO+4/SN+위/NNB+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.14.2
호텔은 파르나스(인터컨티넨탈), 하얏트, JW메리어트 같은 외국계가 1∼3위를 차지했고 호텔신라는 4위에 머물렀다.

호텔은	호텔/NNG+은/JX
파르나스(인터컨티넨탈),	파르나스/NNP+(/SS+인터컨티넨탈/NNP+)/SS+,/SP
하얏트,	하얏트/NNP+,/SP
JW메리어트	JW/SL+메리어트/NNP
같은	같/VA+은/ETM
외국계가	외국/NNG+계/XSN+가/JKS
1∼3위를	1/SN+∼/SO+3/SN+위/NNB+를/JKO
차지했고	차지/NNG+하/XSV+았/EP+고/EC
호텔신라는	호텔신라/NNP+는/JX
4위에	4/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.15.1
한국은행에 따르면 지난해 외국인이 한국에서 쓴 신용카드 사용금액은 39억2000만 달러로 2010년보다 32.4% 급증했다.

한국은행에	한국은행/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
외국인이	외국인/NNG+이/JKS
한국에서	한국/NNP+에서/JKB
쓴	쓰/VV+ㄴ/ETM
신용카드	신용/NNG+카드/NNG
사용금액은	사용/NNG+금액/NNG+은/JX
39억2000만	39/SN+억/NR+2000/SN+만/NR
달러로	달러/NNB+로/JKB
2010년보다	2010/SN+년/NNB+보다/JKB
32.4%	32/SN+./SP+4/SN+%/SW
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.24.15.2
1인당 사용금액도 평균 402달러로 2010년보다 12.6% 늘었다.

1인당	1/SN+인/NNG+당/XSN
사용금액도	사용/NNG+금액/NNG+도/JX
평균	평균/NNG
402달러로	402/SN+달러/NNB+로/JKB
2010년보다	2010/SN+년/NNB+보다/JKB
12.6%	12/SN+./SP+6/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.15.3
카드업계 관계자는 “외국인 카드 결제 자료를 면밀히 분석해 이들의 소비행태에 맞는 ‘맞춤형 마케팅’을 펼친다면 외국인의 지갑을 더 열 수 있을 것”이라고 말했다.

카드업계	카드업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“외국인	“/SS+외국인/NNG
카드	카드/NNG
결제	결제/NNG
자료를	자료/NNG+를/JKO
면밀히	면밀히/MAG
분석해	분석/NNG+하/XSV+아/EC
이들의	이/NP+들/XSN+의/JKG
소비행태에	소비/NNG+행태/NNG+에/JKB
맞는	맞/VV+는/ETM
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
마케팅’을	마케팅/NNG+’/SS+을/JKO
펼친다면	펼치/VV+ㄴ다면/EC
외국인의	외국인/NNG+의/JKG
지갑을	지갑/NNG+을/JKO
더	더/MAG
열	열/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


