# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.94
metadata : {}


# id : NWRW1800000046.94.1.1
[추억人] '영국판 쉰들러 리스트' 니컬러스 윈턴 卿

[추억人]	[/SS+추억/NNG+人/SH+]/SS
난민들을	난민/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
자원봉사하던	자원봉사/NNG+하/XSV+던/ETM
친구가	친구/NNG+가/JKS
도와달라고	돕/VV+아/EC+달/VX+라고/EC
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.94.4.5
난민 수용소를 찾아간 그는 나치의 잔혹성에 경악했다.

난민	난민/NNG
수용소를	수용소/NNG+를/JKO
찾아간	찾아가/VV+ㄴ/ETM
그는	그/NP+는/JX
나치의	나치/NNP+의/JKG
잔혹성에	잔혹/NNG+성/XSN+에/JKB
경악했다.	경악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.4.6
수용자들 모두가 나치에 의해 살던 집과 가게를 잃고 하루아침에 빈털터리가 된 사람들이었다.

수용자들	수용자/NNG+들/XSN
모두가	모두/NNG+가/JKS
나치에	나치/NNP+에/JKB
의해	의하/VV+아/EC
살던	살/VV+던/ETM
집과	집/NNG+과/JC
가게를	가게/NNG+를/JKO
잃고	잃/VV+고/EC
하루아침에	하루아침/NNG+에/JKB
빈털터리가	빈털터리/NNG+가/JKC
된	되/VV+ㄴ/ETM
사람들이었다.	사람/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.94.5.1
윈턴 경은 전쟁이 머지않았음을 직감했다.

윈턴	윈턴/NNP
경은	경/NNG+은/JX
전쟁이	전쟁/NNG+이/JKS
머지않았음을	멀/VA+지/EC+않/VX+았/EP+음/ETN+을/JKO
직감했다.	직감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.5.2
수용소의 어린아이들이 가장 걱정됐다.

수용소의	수용소/NNG+의/JKG
어린아이들이	어린아이/NNG+들/XSN+이/JKS
가장	가장/MAG
걱정됐다.	걱정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.94.5.3
그는 재산을 털어 아이들을 영국으로 데려올 기차 등 교통편과 위탁 가정을 찾을 때 필요한 입양 서류를 마련했다.

그는	그/NP+는/JX
재산을	재산/NNG+을/JKO
털어	털/VV+어/EC
아이들을	아이/NNG+들/XSN+을/JKO
영국으로	영국/NNP+으로/JKB
데려올	데려오/VV+ㄹ/ETM
기차	기차/NNG
등	등/NNB
교통편과	교통편/NNG+과/JC
위탁	위탁/NNG
가정을	가정/NNG+을/JKO
찾을	찾/VV+을/ETM
때	때/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
입양	입양/NNG
서류를	서류/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.5.4
발각되면 자신마저 위험에 처할 수 있었지만, 뜻을 굽히지 않았다.

발각되면	발각/NNG+되/XSV+면/EC
자신마저	자신/NNG+마저/JX
위험에	위험/NNG+에/JKB
처할	처하/VV+ㄹ/ETM
수	수/NNB
있었지만,	있/VA+었/EP+지만/EC+,/SP
뜻을	뜻/NNG+을/JKO
굽히지	굽히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.94.5.5
총 8차례에 걸쳐 아이들을 기차로 체코슬로바키아에서 탈출시켰다.

총	총/MMA
8차례에	8/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
아이들을	아이/NNG+들/XSN+을/JKO
기차로	기차/NNG+로/JKB
체코슬로바키아에서	체코슬로바키아/NNP+에서/JKB
탈출시켰다.	탈출/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.94.5.6
영국까지 무사히 건너온 아이들은 신문 광고 등을 통해 입양 가정을 알선해 줬다.

영국까지	영국/NNP+까지/JX
무사히	무사히/MAG
건너온	건너오/VV+ㄴ/ETM
아이들은	아이/NNG+들/XSN+은/JX
신문	신문/NNG
광고	광고/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
입양	입양/NNG
가정을	가정/NNG+을/JKO
알선해	알선/NNG+하/XSV+아/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.94.5.7
입국 서류가 제대로 갖춰지지 않아 영국 세관을 찾아가 수차례 설득하고, 국경을 통과할 때 뇌물을 건네야 했던 적도 있다.

입국	입국/NNG
서류가	서류/NNG+가/JKS
제대로	제대로/MAG
갖춰지지	갖추/VV+어/EC+지/VX+지/EC
않아	않/VX+아/EC
영국	영국/NNP
세관을	세관/NNG+을/JKO
찾아가	찾아가/VV+아/EC
수차례	수차례/NNG
설득하고,	설득/NNG+하/XSV+고/EC+,/SP
국경을	국경/NNG+을/JKO
통과할	통과/NNG+하/XSV+ㄹ/ETM
때	때/NNG
뇌물을	뇌물/NNG+을/JKO
건네야	건네/VV+어야/EC
했던	하/VX+았/EP+던/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.94.6.1
이렇게 669명을 구출한 뒤, 윈턴 경은 50년간 자신이 한 일을 누구에게도 이야기하지 않았다.

이렇게	이렇/VA+게/EC
669명을	669/SN+명/NNB+을/JKO
구출한	구출/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
윈턴	윈턴/NNP
경은	경/NNG+은/JX
50년간	50/SN+년/NNB+간/XSN
자신이	자신/NNG+이/JKS
한	하/VV+ㄴ/ETM
일을	일/NNG+을/JKO
누구에게도	누구/NP+에게/JKB+도/JX
이야기하지	이야기/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.94.6.2
비밀은 50년 뒤인 1988년, 다락방을 청소하던 아내가 아이들 사진과 산더미 같은 서류를 발견하면서 밝혀졌다.

비밀은	비밀/NNG+은/JX
50년	50/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1988년,	1988/SN+년/NNB+,/SP
다락방을	다락방/NNG+을/JKO
청소하던	청소/NNG+하/XSV+던/ETM
아내가	아내/NNG+가/JKS
아이들	아이/NNG+들/XSN
사진과	사진/NNG+과/JC
산더미	산더미/NNG
같은	같/VA+은/ETM
서류를	서류/NNG+를/JKO
발견하면서	발견/NNG+하/XSV+면서/EC
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.94.6.3
아내의 계속된 질문에 그는 마지못해 털어놓았다.

아내의	아내/NNG+의/JKG
계속된	계속/NNG+되/XSV+ㄴ/ETM
질문에	질문/NNG+에/JKB
그는	그/NP+는/JX
마지못해	마지못하/VA+아/EC
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.6.4
그가 자신이 한 일을 오랜 세월 말하지 않았던 이유는 죄책감 때문이다.

그가	그/NP+가/JKS
자신이	자신/NNG+이/JKS
한	하/VV+ㄴ/ETM
일을	일/NNG+을/JKO
오랜	오랜/MMA
세월	세월/NNG
말하지	말/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
이유는	이유/NNG+는/JX
죄책감	죄책감/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.94.6.5
1939년 9월 1일, 250명의 아이들을 실은 마지막 열차가 출발할 예정이었다.

1939년	1939/SN+년/NNB
9월	9/SN+월/NNB
1일,	1/SN+일/NNB+,/SP
250명의	250/SN+명/NNB+의/JKG
아이들을	아이/NNG+들/XSN+을/JKO
실은	싣/VV+은/ETM
마지막	마지막/NNG
열차가	열차/NNG+가/JKS
출발할	출발/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.94.6.6
그런데 하필 그날 히틀러가 폴란드를 침공하면서 열차 운행이 통제됐다.

그런데	그런데/MAJ
하필	하필/MAG
그날	그날/NNG
히틀러가	히틀러/NNP+가/JKS
폴란드를	폴란드/NNP+를/JKO
침공하면서	침공/NNG+하/XSV+면서/EC
열차	열차/NNG
운행이	운행/NNG+이/JKS
통제됐다.	통제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.94.6.7
그 뒤로 아이들 소식은 듣지 못했다.

그	그/MMD
뒤로	뒤/NNG+로/JKB
아이들	아이/NNG+들/XSN
소식은	소식/NNG+은/JX
듣지	듣/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.94.6.8
윈턴 경은 구출하지 못한 아이들에 대한 미안함을 평생 가슴에 품고 살아왔던 것이다.

윈턴	윈턴/NNP
경은	경/NNG+은/JX
구출하지	구출/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
아이들에	아이/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
미안함을	미안/NNG+하/XSA+ㅁ/ETN+을/JKO
평생	평생/NNG
가슴에	가슴/NNG+에/JKB
품고	품/VV+고/EC
살아왔던	살아오/VV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.94.7.1
비밀을 털어놓은 뒤 그는 아내에게 서류를 처분하라고 했지만, 아내는 이렇게 말했다.

비밀을	비밀/NNG+을/JKO
털어놓은	털어놓/VV+은/ETM
뒤	뒤/NNG
그는	그/NP+는/JX
아내에게	아내/NNG+에게/JKB
서류를	서류/NNG+를/JKO
처분하라고	처분/NNG+하/XSV+라고/EC
했지만,	하/VV+았/EP+지만/EC+,/SP
아내는	아내/NNG+는/JX
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.7.2
"말도 안 돼요.

"말도	"/SS+말/NNG+도/JX
안	안/MAG
돼요.	되/VV+어요/EF+./SF


# id : NWRW1800000046.94.7.3
이건 그 아이들 삶이 담긴 기록이에요." 윈턴 경의 이야기는 아내에 의해 영국 BBC 등에 소개됐고, 곧 세계 각지에서 그가 구출한 아이들로부터 연락이 오기 시작했다.

이건	이거/NP+ㄴ/JX
그	그/MMD
아이들	아이/NNG+들/XSN
삶이	삶/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
기록이에요."	기록/NNG+이/VCP+에요/EF+./SF+"/SS
윈턴	윈턴/NNP
경의	경/NNG+의/JKG
이야기는	이야기/NNG+는/JX
아내에	아내/NNG+에/JKB
의해	의하/VV+아/EC
영국	영국/NNP
BBC	BBC/SL
등에	등/NNB+에/JKB
소개됐고,	소개/NNG+되/XSV+었/EP+고/EC+,/SP
곧	곧/MAG
세계	세계/NNG
각지에서	각지/NNG+에서/JKB
그가	그/NP+가/JKS
구출한	구출/NNG+하/XSV+ㄴ/ETM
아이들로부터	아이/NNG+들/XSN+로부터/JKB
연락이	연락/NNG+이/JKS
오기	오/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.7.4
'프랑스 중위의 여자'를 만든 영화감독 카렐 라이츠, 영국 노동당 의원 앨프리드 덥스, 미국 대학 석좌 교수 등 유명인과 사회 지도층도 여럿 있었다.

'프랑스	'/SS+프랑스/NNP
중위의	중위/NNG+의/JKG
여자'를	여자/NNG+'/SS+를/JKO
만든	만들/VV+ㄴ/ETM
영화감독	영화감독/NNG
카렐	카렐/NNP
라이츠,	라이츠/NNP+,/SP
영국	영국/NNP
노동당	노동당/NNP
의원	의원/NNG
앨프리드	앨프리드/NNP
덥스,	덥스/NNP+,/SP
미국	미국/NNP
대학	대학/NNG
석좌	석좌/NNG
교수	교수/NNG
등	등/NNB
유명인과	유명인/NNG+과/JC
사회	사회/NNG
지도층도	지도/NNG+층/XSN+도/JX
여럿	여럿/NNG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.94.7.5
669명의 아이들이 낳은 자녀와 손주까지 합하면 그에게서 직·간접적 도움을 받은 일명 '니키의 아이들'은 5700명에 이른다.

669명의	669/SN+명/NNB+의/JKG
아이들이	아이/NNG+들/XSN+이/JKS
낳은	낳/VV+은/ETM
자녀와	자녀/NNG+와/JC
손주까지	손주/NNG+까지/JX
합하면	합/NNG+하/XSV+면/EC
그에게서	그/NP+에게서/JKB
직·간접적	직·간접/NNG+적/XSN
도움을	도움/NNG+을/JKO
받은	받/VV+은/ETM
일명	일명/NNG
'니키의	'/SS+니키/NNP+의/JKG
아이들'은	아이/NNG+들/XSN+'/SS+은/JX
5700명에	5700/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.94.7.6
윈턴 경은 2002년 '니키의 아이들' 5000여명과 감동적인 만남을 가졌다.

윈턴	윈턴/NNP
경은	경/NNG+은/JX
2002년	2002/SN+년/NNB
'니키의	'/SS+니키/NNP+의/JKG
아이들'	아이/NNG+들/XSN+'/SS
5000여명과	5000/SN+여/XSN+명/NNB+과/JC
감동적인	감동/NNG+적/XSN+이/VCP+ㄴ/ETM
만남을	만남/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.94.8.1
그는 2003년 영국 정부로부터 기사 작위를 받았고, 작년엔 체코 정부가 주는 국가 최고 훈장을 받았다.

그는	그/NP+는/JX
2003년	2003/SN+년/NNB
영국	영국/NNP
정부로부터	정부/NNG+로부터/JKB
기사	기사/NNG
작위를	작위/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
작년엔	작년/NNG+에/JKB+ㄴ/JX
체코	체코/NNP
정부가	정부/NNG+가/JKS
주는	주/VV+는/ETM
국가	국가/NNG
최고	최고/NNG
훈장을	훈장/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.8.2
윈턴 경이 사망한 1일은 8차례의 대탈주 중 가장 많은 인원(241명)이 영국에 도착한 날이었다.

윈턴	윈턴/NNP
경이	경/NNG+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
1일은	1/SN+일/NNB+은/JX
8차례의	8/SN+차례/NNG+의/JKG
대탈주	대/XPN+탈주/NNG
중	중/NNB
가장	가장/MAG
많은	많/VA+은/ETM
인원(241명)이	인원/NNG+(/SS+241/SN+명/NNB+)/SS+이/JKS
영국에	영국/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


