# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.229
metadata : {}


# id : NWRW1800000038.229.1.1
"절반은 2군 남는다…" 알에서 깬 공룡, 생존 경쟁

"절반은	"/SS+절반/NNG+은/JX
A조가	A/SL+조/NNG+가/JKS
타격	타격/NNG
훈련을	훈련/NNG+을/JKO
하는	하/VV+는/ETM
동안	동안/NNG
B조	B/SL+조/NNG
선수들이	선수/NNG+들/XSN+이/JKS
부랴부랴	부랴부랴/MAG
점심을	점심/NNG+을/JKO
해결하고	해결/NNG+하/XSV+고/EC
교대했다.	교대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.5.5
코치들은 오후 2시가 되도록 식사도 하지 못했다.

코치들은	코치/NNG+들/XSN+은/JX
오후	오후/NNG
2시가	2/SN+시/NNB+가/JKC
되도록	되/VV+도록/EC
식사도	식사/NNG+도/JX
하지	하/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.229.6.1
훈련장엔 뜨거운 열기와 함께 긴장감이 맴돌았다.

훈련장엔	훈련장/NNG+에/JKB+ㄴ/JX
뜨거운	뜨겁/VA+ㄴ/ETM
열기와	열기/NNG+와/JKB
함께	함께/MAG
긴장감이	긴장감/NNG+이/JKS
맴돌았다.	맴돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.6.2
NC는 지난해 퓨처스리그(2군 리그)에서 한솥밥을 먹었던 12명의 선수가 무더기로 방출됐다.

NC는	NC/SL+는/JX
지난해	지난해/NNG
퓨처스리그(2군	퓨처스리그/NNG+(/SS+2/SN+군/NNG
리그)에서	리그/NNG+)/SS+에서/JKB
한솥밥을	한솥밥/NNG+을/JKO
먹었던	먹/VV+었/EP+던/ETM
12명의	12/SN+명/NNB+의/JKG
선수가	선수/NNG+가/JKS
무더기로	무더기/NNG+로/JKB
방출됐다.	방출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.229.6.3
외국인 선수와 FA 등으로 영입한 선수들에게 밀렸다.

외국인	외국인/NNG
선수와	선수/NNG+와/JC
FA	FA/SL
등으로	등/NNB+으로/JKB
영입한	영입/NNG+하/XSV+ㄴ/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.229.7.1
서바이벌 게임은 새해에도 진행형이다.

서바이벌	서바이벌/NNG
게임은	게임/NNG+은/JX
새해에도	새해/NNG+에/JKB+도/JX
진행형이다.	진행/NNG+형/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.229.7.2
NC는 1월 중순 시작하는 미국 애리조나 전훈캠프를 통해 1, 2군을 가린다.

NC는	NC/SL+는/JX
1월	1/SN+월/NNB
중순	중순/NNG
시작하는	시작/NNG+하/XSV+는/ETM
미국	미국/NNP
애리조나	애리조나/NNP
전훈캠프를	전훈/NNG+캠프/NNG+를/JKO
통해	통하/VV+아/EC
1,	1/SN+,/SP
2군을	2/SN+군/NNG+을/JKO
가린다.	가리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.229.7.3
총 50명의 선수 중 시즌 개막 1군 명단에 들 수 있는 선수는 27명.

총	총/MMA
50명의	50/SN+명/NNB+의/JKG
선수	선수/NNG
중	중/NNB
시즌	시즌/NNG
개막	개막/NNG
1군	1/SN+군/NNG
명단에	명단/NNG+에/JKB
들	들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선수는	선수/NNG+는/JX
27명.	27/SN+명/NNB+./SF


# id : NWRW1800000038.229.7.4
나머지는 지난해처럼 2군 리그에서 다음을 기약해야 한다.

나머지는	나머지/NNG+는/JX
지난해처럼	지난해/NNG+처럼/JKB
2군	2/SN+군/NNG
리그에서	리그/NNG+에서/JKB
다음을	다음/NNG+을/JKO
기약해야	기약/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.229.8.1
"선수들이 열심히 뛰는 모습을 지켜보면 감독으로서도 같이 뛰는 것 같아 기분이 좋아요." NC의 초대 사령탑인 김경문 감독은 흐뭇한 표정이었다.

"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
열심히	열심히/MAG
뛰는	뛰/VV+는/ETM
모습을	모습/NNG+을/JKO
지켜보면	지켜보/VV+면/EC
감독으로서도	감독/NNG+으로서/JKB+도/JX
같이	같이/MAG
것	것/NNB
같아	같/VA+아/EC
기분이	기분/NNG+이/JKS
좋아요."	좋/VA+아요/EF+./SF+"/SS
NC의	NC/SL+의/JKG
초대	초대/NNG
사령탑인	사령탑/NNG+이/VCP+ㄴ/ETM
김경문	김경문/NNP
감독은	감독/NNG+은/JX
흐뭇한	흐뭇하/VA+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.229.9.1
김 감독은 NC의 올해 목표를 5할 승률과 4강 진입으로 꼽았다.

김	김/NNP
감독은	감독/NNG+은/JX
NC의	NC/SL+의/JKG
올해	올해/NNG
목표를	목표/NNG+를/JKO
5할	5/SN+할/NNB
승률과	승률/NNG+과/JC
4강	4/SN+강/NNB
진입으로	진입/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.9.2
시즌 개막 전까지 기존 팀들에 밀리지 않을 경쟁력을 갖춘 팀을 만들겠다는 목표다.

시즌	시즌/NNG
개막	개막/NNG
전까지	전/NNG+까지/JX
기존	기존/NNG
팀들에	팀/NNG+들/XSN+에/JKB
밀리지	밀리/VV+지/EC
않을	않/VX+을/ETM
경쟁력을	경쟁력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
팀을	팀/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.229.9.3
김 감독은 "프로 세계에서 가장 슬픈 일은 자꾸 패하면서 약팀으로 밀려나는 것"이라며 "어려운 상황을 이겨낼 수 있는 자생력을 갖춘 팀이 되어야 한다"고 강조했다.

김	김/NNP
감독은	감독/NNG+은/JX
"프로	"/SS+프로/NNG
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
슬픈	슬프/VA+ㄴ/ETM
일은	일/NNG+은/JX
자꾸	자꾸/MAG
패하면서	패/NNG+하/XSV+면서/EC
약팀으로	약팀/NNG+으로/JKB
밀려나는	밀려나/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"어려운	"/SS+어렵/VA+ㄴ/ETM
상황을	상황/NNG+을/JKO
이겨낼	이기/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자생력을	자생력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
팀이	팀/NNG+이/JKC
되어야	되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.10.1
그는 신생팀의 무게중심을 잡아줄 선수로 이호준(37), 송신영(36) 등 다른 팀에서 영입한 고참 선수들을 지목했다.

그는	그/NP+는/JX
신생팀의	신생/NNG+팀/NNG+의/JKG
무게중심을	무게/NNG+중심/NNG+을/JKO
잡아줄	잡/VV+아/EC+주/VX+ㄹ/ETM
선수로	선수/NNG+로/JKB
이호준(37),	이호준/NNP+(/SS+37/SN+)/SS+,/SP
송신영(36)	송신영/NNP+(/SS+36/SN+)/SS
등	등/NNB
다른	다른/MMD
팀에서	팀/NNG+에서/JKB
영입한	영입/NNG+하/XSV+ㄴ/ETM
고참	고참/NNG
선수들을	선수/NNG+들/XSN+을/JKO
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.10.2
그는 "아무리 강팀이라도 시즌 초부터 몇 번 흔들리는 상황을 맞게 마련"이라며 "그럴 때 이호준 같은 선배들이 후배들을 잘 잡아줘야 한다"고 말했다.

그는	그/NP+는/JX
"아무리	"/SS+아무리/MAG
강팀이라도	강팀/NNG+이/VCP+라도/EC
시즌	시즌/NNG
초부터	초/NNB+부터/JX
몇	몇/NR
번	번/NNB
흔들리는	흔들리/VV+는/ETM
상황을	상황/NNG+을/JKO
맞게	맞/VV+게/EC
마련"이라며	마련/NNB+"/SS+이/VCP+라며/EC
"그럴	"/SS+그렇/VA+ㄹ/ETM
때	때/NNG
이호준	이호준/NNP
같은	같/VA+은/ETM
선배들이	선배/NNG+들/XSN+이/JKS
후배들을	후배/NNG+들/XSN+을/JKO
잘	잘/MAG
잡아줘야	잡/VV+아/EC+주/VX+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.11.1
SK에서 NC 다이노스 유니폼으로 갈아입은 이호준은 훈련 내내 밝은 표정이었다.

SK에서	SK/SL+에서/JKB
NC	NC/SL
다이노스	다이노스/NNP
유니폼으로	유니폼/NNG+으로/JKB
갈아입은	갈아입/VV+은/ETM
이호준은	이호준/NNP+은/JX
훈련	훈련/NNG
내내	내내/MAG
밝은	밝/VA+은/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.229.11.2
수비 훈련 때는 실수한 어린 후배에게 농담을 던지며 긴장을 풀어줬다.

수비	수비/NNG
훈련	훈련/NNG
때는	때/NNG+는/JX
실수한	실수/NNG+하/XSV+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
후배에게	후배/NNG+에게/JKB
농담을	농담/NNG+을/JKO
던지며	던지/VV+며/EC
긴장을	긴장/NNG+을/JKO
풀어줬다.	풀/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.229.11.3
하지만 타석에 설 때는 혼신을 다해 방망이를 휘둘렀다.

하지만	하지만/MAJ
타석에	타석/NNG+에/JKB
설	서/VV+ㄹ/ETM
때는	때/NNG+는/JX
혼신을	혼신/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
방망이를	방망이/NNG+를/JKO
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.229.11.4
훈련을 마친 뒤엔 NC의 대표적 스타 후보로 지목된 나성범(24)의 훈련 모습을 유심히 지켜봤다.

훈련을	훈련/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
NC의	NC/SL+의/JKG
대표적	대표/NNG+적/XSN
스타	스타/NNG
후보로	후보/NNG+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
나성범(24)의	나성범/NNP+(/SS+24/SN+)/SS+의/JKG
훈련	훈련/NNG
모습을	모습/NNG+을/JKO
유심히	유심히/MAG
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.12.1
이호준은 "올해 깜짝 놀랄 일이 생길 것"이라며 "어린 선수들이 기량이 떨어질 것이라고 생각했는데 훈련 모습을 지켜보니 배트 스피드나 수비 기량이 전혀 뒤지지 않는다"고 했다.

이호준은	이호준/NNP+은/JX
"올해	"/SS+올해/NNG
깜짝	깜짝/MAG
놀랄	놀라/VV+ㄹ/ETM
일이	일/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"어린	"/SS+어리/VA+ㄴ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
기량이	기량/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
훈련	훈련/NNG
모습을	모습/NNG+을/JKO
지켜보니	지켜보/VV+니/EC
배트	배트/NNG
스피드나	스피드/NNG+나/JC
수비	수비/NNG
전혀	전혀/MAG
뒤지지	뒤지/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.12.2
그는 또 "내가 잘해야 후배들을 질책할 자격이 생기지 않겠느냐"며 "어린 선수들에게 창피당하지 않으려고 열심히 하니 시너지가 생긴다"고 했다.

그는	그/NP+는/JX
또	또/MAG
"내가	"/SS+내/NP+가/JKS
잘해야	잘/MAG+하/XSV+아야/EC
후배들을	후배/NNG+들/XSN+을/JKO
질책할	질책/NNG+하/XSV+ㄹ/ETM
자격이	자격/NNG+이/JKS
생기지	생기/VV+지/EC
않겠느냐"며	않/VX+겠/EP+느냐/EF+"/SS+며/EC
"어린	"/SS+어리/VA+ㄴ/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
창피당하지	창피/NNG+당하/XSV+지/EC
않으려고	않/VX+으려고/EC
열심히	열심히/MAG
하니	하/VV+니/EC
시너지가	시너지/NNG+가/JKS
생긴다"고	생기/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.13.1
1군 데뷔를 앞둔 NC 신인들의 의욕은 뜨거웠다.

1군	1/SN+군/NNG
데뷔를	데뷔/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
NC	NC/SL
신인들의	신인/NNG+들/XSN+의/JKG
의욕은	의욕/NNG+은/JX
뜨거웠다.	뜨겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.229.13.2
지난해 퓨처스리그에서 타율 0.303, 16홈런 67타점을 기록했던 나성범은 "올 시즌 전 경기를 소화하는 게 목표"라며 "투수를 상대하는 노하우를 비롯해 선배들에게 많은 조언을 구하겠다"고 했다.

지난해	지난해/NNG
퓨처스리그에서	퓨처스리그/NNG+에서/JKB
타율	타율/NNG
0.303,	0/SN+./SP+303/SN+,/SP
16홈런	16/SN+홈런/NNG
67타점을	67/SN+타점/NNG+을/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
나성범은	나성범/NNP+은/JX
"올	"/SS+올/NNG
시즌	시즌/NNG
전	전/MMN
경기를	경기/NNG+를/JKO
소화하는	소화/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
목표"라며	목표/NNG+"/SS+이/VCP+라며/EC
"투수를	"/SS+투수/NNG+를/JKO
상대하는	상대/NNG+하/XSV+는/ETM
노하우를	노하우/NNG+를/JKO
비롯해	비롯하/VV+아/EC
선배들에게	선배/NNG+들/XSN+에게/JKB
많은	많/VA+은/ETM
조언을	조언/NNG+을/JKO
구하겠다"고	구하/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.13.3
지난 시즌 퓨처스리그 15승2패, 평균자책점 1.55의 성적을 올린 이재학(23)은 "지난 시즌에 1군 무대에서 던진다는 생각을 하면서 경기 때마다 이미지 트레이닝을 많이 했다"고 말했다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
퓨처스리그	퓨처스리그/NNG
15승2패,	15/SN+승/NNB+2/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
1.55의	1/SN+./SP+55/SN+의/JKG
성적을	성적/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
이재학(23)은	이재학/NNP+(/SS+23/SN+)/SS+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
시즌에	시즌/NNG+에/JKB
1군	1/SN+군/NNG
무대에서	무대/NNG+에서/JKB
던진다는	던지/VV+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
하면서	하/VV+면서/EC
경기	경기/NNG
때마다	때/NNG+마다/JX
이미지	이미지/NNG
트레이닝을	트레이닝/NNG+을/JKO
많이	많이/MAG
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.13.4
NC에 우선지명 1순위에 뽑힌 투수 윤형배(19)는 "어떤 보직을 맡든 최선을 다하겠다"며 "각 팀의 중심 타자와 좋은 대결을 벌이고 싶다"고 각오를 밝혔다.

NC에	NC/SL+에/JKB
우선지명	우선/NNG+지명/NNG
1순위에	1/SN+순위/NNG+에/JKB
뽑힌	뽑히/VV+ㄴ/ETM
투수	투수/NNG
윤형배(19)는	윤형배/NNP+(/SS+19/SN+)/SS+는/JX
"어떤	"/SS+어떤/MMD
보직을	보직/NNG+을/JKO
맡든	맡/VV+든/EC
최선을	최선/NNG+을/JKO
다하겠다"며	다/MAG+하/XSV+겠/EP+다/EF+"/SS+며/EC
"각	"/SS+각/MMD
팀의	팀/NNG+의/JKG
중심	중심/NNG
타자와	타자/NNG+와/JKB
좋은	좋/VA+은/ETM
대결을	대결/NNG+을/JKO
벌이고	벌이/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.229.14.1
NC는 13일까지 마산야구장에서 훈련하고 15일 미국 애리조나로 전지훈련을 떠난다.

NC는	NC/SL+는/JX
13일까지	13/SN+일/NNB+까지/JX
마산야구장에서	마산야구장/NNP+에서/JKB
훈련하고	훈련/NNG+하/XSV+고/EC
15일	15/SN+일/NNB
미국	미국/NNP
애리조나로	애리조나/NNP+로/JKB
전지훈련을	전지훈련/NNG+을/JKO
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.229.14.2
2월 17일 잠시 귀국한 뒤 다음 날부터 3월 2일까지 대만으로 이동한다.

2월	2/SN+월/NNB
17일	17/SN+일/NNB
잠시	잠시/MAG
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
다음	다음/NNG
날부터	날/NNG+부터/JX
3월	3/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
대만으로	대만/NNP+으로/JKB
이동한다.	이동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.229.14.3
대만에서는 WBC(월드베이스볼클래식)에 출전하는 대표팀과 연습 경기를 치르며 실전 감각을 익힌다.

대만에서는	대만/NNP+에서/JKB+는/JX
WBC(월드베이스볼클래식)에	WBC/SL+(/SS+월드베이스볼클래식/NNG+)/SS+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
대표팀과	대표/NNG+팀/NNG+과/JC
연습	연습/NNG
경기를	경기/NNG+를/JKO
치르며	치르/VV+며/EC
실전	실전/NNG
감각을	감각/NNG+을/JKO
익힌다.	익히/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.229.14.4
NC는 4월 2일 홈구장인 마산야구장에서 '지역 라이벌' 롯데와 1군 첫 경기를 치른다.

NC는	NC/SL+는/JX
4월	4/SN+월/NNB
2일	2/SN+일/NNB
홈구장인	홈구장/NNG+이/VCP+ㄴ/ETM
마산야구장에서	마산야구장/NNP+에서/JKB
'지역	'/SS+지역/NNG
라이벌'	라이벌/NNG+'/SS
롯데와	롯데/NNP+와/JC
1군	1/SN+군/NNG
첫	첫/MMN
경기를	경기/NNG+를/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


