# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.113
metadata : {}


# id : NWRW1800000038.113.1.1
[월요바둑] "여성 바둑 첫 500勝 절대 양보 못해"

[월요바둑]	[/SS+월요/NNG+바둑/NNG+]/SS
1~3위인	1/SN+~/SO+3/SN+위/NNB+이/VCP+ㄴ/ETM
조훈현(1899승)	조훈현/NNP+(/SS+1899/SN+승/NNB+)/SS
이창호(1644승)	이창호/NNP+(/SS+1644/SN+승/NNB+)/SS
서봉수(1537승)의	서봉수/NNP+(/SS+1537/SN+승/NNB+)/SS+의/JKG
기록엔	기록/NNG+에/JKB+ㄴ/JX
비할	비/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
첫	첫/MMN
'여성	'/SS+여성/NNG
500승'의	500/SN+승/NNB+'/SS+의/JKG
상징성은	상징/NNG+성/XSN+은/JX
제법	제법/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.113.4.2
게다가 '고지'까지 30승도 채 안 남았고, 둘 간의 현재 승차도 3승에 불과해 앞으로 경쟁이 볼 만해졌다.

게다가	게다가/MAG
'고지'까지	'/SS+고지/NNG+'/SS+까지/JX
30승도	30/SN+승/NNB+도/JX
채	채/MAG
안	안/MAG
남았고,	남/VV+았/EP+고/EC+,/SP
둘	둘/NR
간의	간/NNB+의/JKG
현재	현재/MAG
승차도	승차/NNG+도/JX
3승에	3/SN+승/NNB+에/JKB
불과해	불과/MAG+하/XSA+아/EC
앞으로	앞/NNG+으로/JKB
경쟁이	경쟁/NNG+이/JKS
볼	보/VV+ㄹ/ETM
만해졌다.	만/NNB+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.113.4.3
앞서 통산 400승은 조혜연(2010년 12월)이 박지은(2011년 3월)에게 3개월여 앞서 달성했다.

앞서	앞서/MAG
통산	통산/NNG
400승은	400/SN+승/NNB+은/JX
조혜연(2010년	조혜연/NNP+(/SS+2010/SN+년/NNB
12월)이	12/SN+월/NNB+)/SS+이/JKS
박지은(2011년	박지은/NNP+(/SS+2011/SN+년/NNB
3월)에게	3/SN+월/NNB+)/SS+에게/JKB
3개월여	3/SN+개월/NNB+여/XSN
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.113.5.1
한국 여자 바둑은 70년대 윤희율·조영숙, 90년대 윤영선·이영신의 라이벌 시대를 거쳐 97년부터 조혜연·박지은의 양강 체제로 이어져왔다.

한국	한국/NNP
여자	여자/NNG
바둑은	바둑/NNG+은/JX
70년대	70/SN+년대/NNB
윤희율·조영숙,	윤희율/NNP+·/SP+조영숙/NNP+,/SP
90년대	90/SN+년대/NNB
윤영선·이영신의	윤영선/NNP+·/SP+이영신/NNP+의/JKG
라이벌	라이벌/NNG
시대를	시대/NNG+를/JKO
거쳐	거치/VV+어/EC
97년부터	97/SN+년/NNB+부터/JX
조혜연·박지은의	조혜연/NNP+·/SP+박지은/NNP+의/JKG
양강	양/MMN+강/NNB
체제로	체제/NNG+로/JKB
이어져왔다.	이어지/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.113.5.2
전반부는 조혜연의 우세.

전반부는	전반부/NNG+는/JX
조혜연의	조혜연/NNP+의/JKG
우세.	우세/NNG+./SF


# id : NWRW1800000038.113.5.3
2004년 여류 국수와 명인 동시 제패로 '루이 독재 타도'의 꿈을 먼저 달성했다.

2004년	2004/SN+년/NNB
여류	여류/NNG
국수와	국수/NNG+와/JC
명인	명인/NNG
동시	동시/NNG
제패로	제패/NNG+로/JKB
'루이	'/SS+루이/NNP
독재	독재/NNG
타도'의	타도/NNG+'/SS+의/JKG
꿈을	꿈/NNG+을/JKO
먼저	먼저/MAG
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.113.6.1
하지만 박지은은 이후 국제무대에서 눈부신 활약을 펼치기 시작했다.

하지만	하지만/MAJ
박지은은	박지은/NNP+은/JX
이후	이후/NNG
국제무대에서	국제/NNG+무대/NNG+에서/JKB
눈부신	눈부시/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
펼치기	펼치/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.113.6.2
제2회 정관장배를 신호탄으로 국제 개인전 5개를 연속 석권, 이 부문서 루이나이웨이(8개)에 이은 역대 2위 기록을 갖고 있다.

제2회	제/XPN+2/SN+회/NNB
정관장배를	정관장/NNP+배/NNB+를/JKO
신호탄으로	신호탄/NNG+으로/JKB
국제	국제/NNG
개인전	개인전/NNG
5개를	5/SN+개/NNB+를/JKO
연속	연속/NNG
석권,	석권/NNG+,/SP
이	이/MMD
부문서	부문/NNG+서/JKB
루이나이웨이(8개)에	루이나이웨이/NNP+(/SS+8/SN+개/NNB+)/SS+에/JKB
이은	잇/VV+은/ETM
역대	역대/NNG
2위	2/SN+위/NNB
기록을	기록/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.113.7.1
우승 횟수를 비교하면 박지은이 국내 2회 포함 7회, 조혜연은 국내만 4회다.

우승	우승/NNG
횟수를	횟수/NNG+를/JKO
비교하면	비교/NNG+하/XSV+면/EC
박지은이	박지은/NNP+이/JKS
국내	국내/NNG
2회	2/SN+회/NNB
포함	포함/NNG
7회,	7/SN+회/NNB+,/SP
조혜연은	조혜연/NNP+은/JX
국내만	국내/NNG+만/JX
4회다.	4/SN+회/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.113.7.2
조혜연은 학업 병행, 종교적 이유에 따른 주말 대국 불참 등으로 대부분의 국제 대회에 못 나갔다.

조혜연은	조혜연/NNP+은/JX
학업	학업/NNG
병행,	병행/NNG+,/SP
종교적	종교/NNG+적/XSN
이유에	이유/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
주말	주말/NNG
대국	대국/NNG
불참	불참/NNG
등으로	등/NNB+으로/JKB
대부분의	대/XPN+부분/NNG+의/JKG
국제	국제/NNG
대회에	대회/NNG+에/JKB
못	못/MAG
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.113.7.3
그 아쉬움을 2010 아시안게임 여자 단체 금메달로 씻어냈다.

그	그/MMD
아쉬움을	아쉬움/NNG+을/JKO
2010	2010/SN
아시안게임	아시안/NNP+게임/NNG
여자	여자/NNG
단체	단체/NNG
금메달로	금메달/NNG+로/JKB
씻어냈다.	씻/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.113.7.4
박지은에겐 2003년 농심배 한국 대표란 자랑스러운 경력이 있다.

박지은에겐	박지은/NNP+에게/JKB+ㄴ/JX
2003년	2003/SN+년/NNB
농심배	농심/NNP+배/NNB
한국	한국/NNP
대표란	대표/NNG+이/VCP+란/ETM
자랑스러운	자랑/NNG+스럽/XSA+ㄴ/ETM
경력이	경력/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.113.7.5
한국리그엔 조혜연이 3회, 박지은이 2회 출전해 국내 최고 강자들을 상대로 손색없는 강펀치를 휘둘러왔다.

한국리그엔	한국/NNP+리그/NNG+에/JKB+ㄴ/JX
조혜연이	조혜연/NNP+이/JKS
3회,	3/SN+회/NNB+,/SP
박지은이	박지은/NNP+이/JKS
2회	2/SN+회/NNB
출전해	출전/NNG+하/XSV+아/EC
국내	국내/NNG
최고	최고/NNG
강자들을	강자/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
손색없는	손색없/VA+는/ETM
강펀치를	강펀치/NNG+를/JKO
휘둘러왔다.	휘두르/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.113.7.6
맞대결 21번의 성적은 조혜연이 14대7로 앞서있다.

맞대결	맞대결/NNG
21번의	21/SN+번/NNB+의/JKG
성적은	성적/NNG+은/JX
조혜연이	조혜연/NNP+이/JKS
14대7로	14/SN+대/NNB+7/SN+로/JKB
앞서있다.	앞서/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000038.113.8.1
둘은 라이벌이면서도 가깝다.

둘은	둘/NR+은/JX
라이벌이면서도	라이벌/NNG+이/VCP+면서/EC+도/JX
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000038.113.8.2
박지은은 "혜연이의 다양한 재주가 부럽다. 국제 단체전에 나갈 때마다 혜연이의 부재가 너무 아쉬웠다"면서 "지금도 가장 두려운 대국 상대는 조혜연"이라고 털어놓았다.

박지은은	박지은/NNP+은/JX
"혜연이의	"/SS+혜연이/NNP+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
재주가	재주/NNG+가/JKS
부럽다.	부럽/VA+다/EF+./SF
국제	국제/NNG
단체전에	단체전/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
혜연이의	혜연이/NNP+의/JKG
부재가	부재/NNG+가/JKS
너무	너무/MAG
아쉬웠다"면서	아쉽/VA+었/EP+다/EF+"/SS+면서/EC
"지금도	"/SS+지금/NNG+도/JX
가장	가장/MAG
두려운	두렵/VA+ㄴ/ETM
대국	대국/NNG
상대는	상대/NNG+는/JX
조혜연"이라고	조혜연/NNP+"/SS+이라고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.113.8.3
조혜연은 "우리가 중국과 치열하게 대결하면서 버텨낼 수 있었던 것은 지은 언니의 공로"라며 "현재 누구도 부인 못 할 여성 바둑계 1인자"라고 치켜세웠다.

조혜연은	조혜연/NNP+은/JX
"우리가	"/SS+우리/NP+가/JKS
중국과	중국/NNP+과/JKB
치열하게	치열/NNG+하/XSA+게/EC
대결하면서	대결/NNG+하/XSV+면서/EC
버텨낼	버티/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
지은	지은/NNP
언니의	언니/NNG+의/JKG
공로"라며	공로/NNG+"/SS+이/VCP+라며/EC
"현재	"/SS+현재/MAG
누구도	누구/NP+도/JX
부인	부인/NNG
못	못/MAG
할	하/VV+ㄹ/ETM
여성	여성/NNG
바둑계	바둑/NNG+계/XSN
1인자"라고	1인자/NNG+"/SS+라고/JKQ
치켜세웠다.	치켜세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.113.9.1
올해 시즌 조혜연은 20승(11패), 박지은은 17승(12패)을 각각 기록 중이다.

올해	올해/NNG
시즌	시즌/NNG
조혜연은	조혜연/NNP+은/JX
20승(11패),	20/SN+승/NNB+(/SS+11/SN+패/NNB+)/SS+,/SP
박지은은	박지은/NNP+은/JX
17승(12패)을	17/SN+승/NNB+(/SS+12/SN+패/NNB+)/SS+을/JKO
각각	각각/MAG
기록	기록/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.113.9.2
연말까지 남은 대회는 26일 시작될 여류기성전과 GS칼텍스배(11월) 정도뿐이다.

연말까지	연말/NNG+까지/JX
남은	남/VV+은/ETM
대회는	대회/NNG+는/JX
26일	26/SN+일/NNB
시작될	시작/NNG+되/XSV+ㄹ/ETM
여류기성전과	여류/NNG+기성전/NNG+과/JC
GS칼텍스배(11월)	GS칼텍스/NNP+배/NNB+(/SS+11/SN+월/NNB+)/SS
정도뿐이다.	정도/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000038.113.9.3
이런 상황을 종합하면 첫 여성 500승의 주인공은 내년 중반쯤 드러날 전망.

이런	이런/MMD
상황을	상황/NNG+을/JKO
종합하면	종합/NNG+하/XSV+면/EC
첫	첫/MMN
여성	여성/NNG
500승의	500/SN+승/NNB+의/JKG
주인공은	주인공/NNG+은/JX
내년	내년/NNG
중반쯤	중반/NNG+쯤/XSN
드러날	드러나/VV+ㄹ/ETM
전망.	전망/NNG+./SF


# id : NWRW1800000038.113.9.4
두 기사 모두 "첫 500승만큼은 양보 못 한다"며 전의를 가다듬고 있다.

두	두/MMN
기사	기사/NNG
모두	모두/MAG
"첫	"/SS+첫/MMN
500승만큼은	500/SN+승/NNB+만큼/JKB+은/JX
양보	양보/NNG
못	못/MAG
한다"며	하/VV+ㄴ다/EF+"/SS+며/EC
전의를	전의/NNG+를/JKO
가다듬고	가다듬/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.113.9.5
바둑계 구경거리가 하나 더 늘었다.

바둑계	바둑/NNG+계/XSN
구경거리가	구경거리/NNG+가/JKS
하나	하나/NR
더	더/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


