# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.154
metadata : {}


# id : NWRW1800000026.154.1.1
민병철 교수, 제자들과 거리에서 '에티켓 운동';"G20 열리는 나라답게 국격 높여야죠"

민병철	민병철/NNP
민 교수는 "우선 보름간 수강생 73명이 주제에 따라 7개 조로 나뉘어 건국대 주변 지하철역과 버스 정류장에서 시민들에게 기초질서 지키기에 동참할 것을 호소할 것"이라며 "G20 회의가 열리는 다음 학기까지 계속할 계획"이라고 했다.

민	민/NNP
교수는	교수/NNG+는/JX
"우선	"/SS+우선/MAG
보름간	보름/NNG+간/XSN
수강생	수강/NNG+생/XSN
73명이	73/SN+명/NNB+이/JKS
주제에	주제/NNG+에/JKB
따라	따르/VV+아/EC
7개	7/SN+개/NNB
조로	조/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
건국대	건국대/NNP
주변	주변/NNG
지하철역과	지하철역/NNG+과/JC
버스	버스/NNG
정류장에서	정류장/NNG+에서/JKB
시민들에게	시민/NNG+들/XSN+에게/JKB
기초질서	기초/NNG+질서/NNG
지키기에	지키/VV+기/ETN+에/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
호소할	호소/NNG+하/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"G20	"/SS+G/SL+20/SN
회의가	회의/NNG+가/JKS
열리는	열리/VV+는/ETM
다음	다음/NNG
학기까지	학기/NNG+까지/JX
계속할	계속/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.154.3.2
글로벌 에티켓 운동에 나설 건국대 학생 중에는 중국·러시아·몽골 등 외국인 학생도 15명 있다.

글로벌	글로벌/NNG
에티켓	에티켓/NNG
운동에	운동/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
건국대	건국대/NNP
학생	학생/NNG
중에는	중/NNB+에/JKB+는/JX
중국·러시아·몽골	중국/NNP+·/SP+러시아/NNP+·/SP+몽골/NNP
등	등/NNB
외국인	외국인/NNG
학생도	학생/NNG+도/JX
15명	15/SN+명/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.154.4.1
주제는 '공공장소에서 금연하기' '뒷사람을 위해 문 열어주기' '전철·엘리베이터에서 모두 내린 후 타기' 등이며, 민 교수가 지난해 운동본부를 꾸려 새로운 문화운동으로 만들어가려는 '선플달기'도 추가된다.

주제는	주제/NNG+는/JX
'공공장소에서	'/SS+공공장소/NNG+에서/JKB
금연하기'	금연/NNG+하/XSV+기/ETN+'/SS
'뒷사람을	'/SS+뒷사람/NNG+을/JKO
위해	위하/VV+아/EC
문	문/NNG
열어주기'	열/VV+어/EC+주/VX+기/ETN+'/SS
'전철·엘리베이터에서	'/SS+전철/NNG+·/SP+엘리베이터/NNG+에서/JKB
모두	모두/MAG
내린	내리/VV+ㄴ/ETM
후	후/NNG
타기'	타/VV+기/ETN+'/SS
등이며,	등/NNB+이/VCP+며/EC+,/SP
민	민/NNP
교수가	교수/NNG+가/JKS
지난해	지난해/NNG
운동본부를	운동/NNG+본부/NNG+를/JKO
꾸려	꾸리/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
문화운동으로	문화/NNG+운동/NNG+으로/JKB
만들어가려는	만들/VV+어/EC+가/VX+려는/ETM
'선플달기'도	'/SS+선플/NNG+달/VV+기/ETN+'/SS+도/JX
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.154.4.2
학생들은 수업이 끝난 후 캠페인 활동에 대한 자료집도 낸다.

학생들은	학생/NNG+들/XSN+은/JX
수업이	수업/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
캠페인	캠페인/NNG
활동에	활동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자료집도	자료집/NNG+도/JX
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.154.5.1
민 교수는 "건국대에서 시작한 이 운동을 범국민적 캠페인으로 확산시켜 국격을 높이고 싶다"며 "글로벌 무대에서 활동할 학생들에게도 좋은 경험이 될 것"이라고 말했다.

민	민/NNP
교수는	교수/NNG+는/JX
"건국대에서	"/SS+건국대/NNP+에서/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
이	이/MMD
운동을	운동/NNG+을/JKO
범국민적	범/XPN+국민/NNG+적/XSN
캠페인으로	캠페인/NNG+으로/JKB
확산시켜	확산/NNG+시키/XSV+어/EC
국격을	국격/NNG+을/JKO
높이고	높이/VV+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
"글로벌	"/SS+글로벌/NNG
무대에서	무대/NNG+에서/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
학생들에게도	학생/NNG+들/XSN+에게/JKB+도/JX
좋은	좋/VA+은/ETM
경험이	경험/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


