# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.236
metadata : {}


# id : NWRW1800000044.236.1.1
방통위, 지상파 광고총량제 도입 “방송 상업화 가속” 우려 목소리

방통위,	방통위/NNG+,/SP
실시되면	실시/NNG+되/XSV+면/EC
지상파	지상파/NNG
3사가	3사/NNG+가/JKS
연간	연간/NNG
약	약/MMA
1000억원	1000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
추가	추가/NNG
수익을	수익/NNG+을/JKO
올리게	올리/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“그만큼	“/SS+그만큼/NNG
사업자들은	사업자/NNG+들/XSN+은/JX
광고매출이	광고/NNG+매출/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.236.10.1
언론단체들도 우려를 나타냈다.

언론단체들도	언론/NNG+단체/NNG+들/XSN+도/JX
우려를	우려/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.236.10.2
인기프로에 광고가 편중되면 시청률 지상주의로 흘러 방송의 상업화를 가속화할 수 있다는 것이다.

인기프로에	인기/NNG+프로/NNG+에/JKB
광고가	광고/NNG+가/JKS
편중되면	편중/NNG+되/XSV+면/EC
시청률	시청/NNG+률/XSN
지상주의로	지상주의/NNG+로/JKB
흘러	흐르/VV+어/EC
방송의	방송/NNG+의/JKG
상업화를	상업/NNG+화/XSN+를/JKO
가속화할	가속/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.236.10.3
민주언론시민연합(민언련) 이완기 공동대표는 “이번 결정은 지상파 방송사들의 민원을 받아들인 결과로밖에 보이지 않는다”며 “전체 방송 광고시장이 침체된 상황에서 효과도 미미하고, 되레 늘어난 광고가 시청권을 침해해 콘텐츠 경쟁력의 약화를 가져올 수 있다”고 지적했다.

민주언론시민연합(민언련)	민주언론시민연합/NNP+(/SS+민언련/NNP+)/SS
이완기	이완기/NNP
공동대표는	공동/NNG+대표/NNG+는/JX
“이번	“/SS+이번/NNG
결정은	결정/NNG+은/JX
지상파	지상파/NNG
방송사들의	방송사/NNG+들/XSN+의/JKG
민원을	민원/NNG+을/JKO
받아들인	받아들이/VV+ㄴ/ETM
결과로밖에	결과/NNG+로/JKB+밖에/JX
보이지	보이/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“전체	“/SS+전체/NNG
방송	방송/NNG
광고시장이	광고/NNG+시장/NNG+이/JKS
침체된	침체/NNG+되/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
효과도	효과/NNG+도/JX
미미하고,	미미하/VA+고/EC+,/SP
되레	되레/MAG
늘어난	늘어나/VV+ㄴ/ETM
광고가	광고/NNG+가/JKS
시청권을	시청/NNG+권/XSN+을/JKO
침해해	침해/NNG+하/XSV+아/EC
콘텐츠	콘텐츠/NNG
경쟁력의	경쟁력/NNG+의/JKG
약화를	약화/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


