# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.204
metadata : {}


# id : NWRW1800000054.204.1.1
[서초동 24시] "北 해킹 막아라" 대검서 열공하는 외교부 사무관

[서초동	[/SS+서초동/NNP
3월엔	3/SN+월/NNB+에/JKB+ㄴ/JX
중국	중국/NNP
해커	해커/NNG
조직이	조직/NNG+이/JKS
한국의	한국/NNP+의/JKG
사드(고고도	사드/NNG+(/SS+고/XPN+고도/NNG
미사일	미사일/NNG
방어체계)	방어/NNG+체계/NNG+)/SS
배치와	배치/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
사이버	사이버/NNG
보복을	보복/NNG+을/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.204.5.4
당국에 따르면 이후 중국 IP(인터넷 주소)를 기반으로 하는 해킹 공격이 외교부에 집중됐다.

당국에	당국/NNG+에/JKB
따르면	따르/VV+면/EC
이후	이후/NNG
중국	중국/NNP
IP(인터넷	IP/SL+(/SS+인터넷/NNG
주소)를	주소/NNG+)/SS+를/JKO
기반으로	기반/NNG+으로/JKB
하는	하/VV+는/ETM
해킹	해킹/NNG
공격이	공격/NNG+이/JKS
외교부에	외교부/NNG+에/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.204.5.5
외교부는 최근 '사이버보안팀'도 새로 만들었다고 한다.

외교부는	외교부/NNG+는/JX
최근	최근/MAG
'사이버보안팀'도	'/SS+사이버/NNG+보안/NNG+팀/NNG+'/SS+도/JX
새로	새로/MAG
만들었다고	만들/VV+었/EP+다고/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.204.6.1
검찰 관계자는 "해커가 컴퓨터에 침입해 무엇을 했는지에 관한 핵심 정보(로그 기록)는 컴퓨터 내부에 저장된다"며 "이 기록을 온전히 되살려내는 기술이 바로 디지털포렌식"이라고 했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"해커가	"/SS+해커/NNG+가/JKS
컴퓨터에	컴퓨터/NNG+에/JKB
침입해	침입/NNG+하/XSV+아/EC
무엇을	무엇/NP+을/JKO
했는지에	하/VV+았/EP+는지/EF+에/JKB
관한	관하/VV+ㄴ/ETM
핵심	핵심/NNG
정보(로그	정보/NNG+(/SS+로그/NNG
기록)는	기록/NNG+)/SS+는/JX
컴퓨터	컴퓨터/NNG
내부에	내부/NNG+에/JKB
저장된다"며	저장/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
"이	"/SS+이/MMD
기록을	기록/NNG+을/JKO
온전히	온전히/MAG
되살려내는	되살리/VV+어/EC+내/VX+는/ETM
기술이	기술/NNG+이/JKS
바로	바로/MAG
디지털포렌식"이라고	디지털포렌식/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.204.6.2
해킹 조직의 정체를 추적할 수 있는 단서를 제공하는 핵심 기술이란 것이다.

해킹	해킹/NNG
조직의	조직/NNG+의/JKG
정체를	정체/NNG+를/JKO
추적할	추적/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단서를	단서/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
핵심	핵심/NNG
기술이란	기술/NNG+이/VCP+란/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.204.7.1
대검은 2001년부터 내부 직원들을 대상으로 한 디지털포렌식 교육을 해왔다.

대검은	대검/NNG+은/JX
2001년부터	2001/SN+년/NNB+부터/JX
내부	내부/NNG
직원들을	직원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
디지털포렌식	디지털포렌식/NNG
교육을	교육/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.204.7.2
외교·안보 부처 공무원 1~2명도 종종 참여하는데 지금까지는 대부분 국방부 소속이었다.

외교·안보	외교/NNG+·/SP+안보/NNG
부처	부처/NNG
공무원	공무원/NNG
1~2명도	1/SN+~/SO+2/SN+명/NNB+도/JX
종종	종종/MAG
참여하는데	참여/NNG+하/XSV+는데/EC
지금까지는	지금/NNG+까지/JX+는/JX
대부분	대/XPN+부분/NNG
국방부	국방부/NNG
소속이었다.	소속/NNG+이/VCP+었/EP+다/EF+./SF


