# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.317
metadata : {}


# id : NWRW1800000046.317.1.1
[이완구 총리 인준] 본회의 불참땐 逆風… 충청 민심도 부담

[이완구	[/SS+이완구/NNP
제안)을	제안/NNG+)/SS+을/JKO
빨리	빨리/MAG
희석시켜야	희석/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견도	의견/NNG+도/JX
작용한	작용/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.317.5.1
그동안 새정치연합은 현안마다 강온파, 계파 간 갈등을 빚어왔다.

그동안	그동안/NNG
새정치연합은	새정치연합/NNP+은/JX
현안마다	현안/NNG+마다/JX
강온파,	강온파/NNG+,/SP
계파	계파/NNG
간	간/NNB
갈등을	갈등/NNG+을/JKO
빚어왔다.	빚/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.317.5.2
하지만 이번엔 달랐다.

하지만	하지만/MAJ
이번엔	이번/NNG+에/JKB+ㄴ/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.317.5.3
격론이 예상됐던 의원총회에선 유인태·김동철 의원 등 다수가 "그래도 의회주의 원칙에 따르자"고 한 것으로 전해졌다.

격론이	격론/NNG+이/JKS
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
의원총회에선	의원/NNG+총회/NNG+에서/JKB+ㄴ/JX
유인태·김동철	유인태/NNP+·/SP+김동철/NNP
의원	의원/NNG
등	등/NNB
다수가	다수/NNG+가/JKS
"그래도	"/SS+그렇/VA+어도/EC
의회주의	의회주의/NNG
원칙에	원칙/NNG+에/JKB
따르자"고	따르/VV+자/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.317.5.4
한 충청 출신 의원이 "지역 어르신들 사이에서 '이 후보자가 문제가 있다는 것 안다. 그러나 반대표를 찍더라도 표결은 해라'는 얘기가 많았다"고 전한 것도 표결 쪽에 힘을 실었다는 후문이다.

한	한/MMN
충청	충청/NNP
출신	출신/NNG
의원이	의원/NNG+이/JKS
"지역	"/SS+지역/NNG
어르신들	어르신/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
'이	'/SS+이/NNP
후보자가	후보자/NNG+가/JKS
문제가	문제/NNG+가/JKS
있다는	있/VA+다는/ETM
것	것/NNB
안다.	알/VV+ㄴ다/EF+./SF
그러나	그러나/MAJ
반대표를	반대표/NNG+를/JKO
찍더라도	찍/VV+더라도/EC
표결은	표결/NNG+은/JX
해라'는	하/VV+아라/EF+'/SS+는/ETM
얘기가	얘기/NNG+가/JKS
많았다"고	많/VA+았/EP+다/EF+"/SS+고/JKQ
전한	전하/VV+ㄴ/ETM
것도	것/NNB+도/JX
표결	표결/NNG
쪽에	쪽/NNB+에/JKB
힘을	힘/NNG+을/JKO
실었다는	싣/VV+었/EP+다는/ETM
후문이다.	후문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.317.5.5
본회의 불참을 주장한 강경 성향의 정청래 최고위원, 친노계 이목희 의원조차도 "당이 결정하면 그 뜻에 따르겠다"고 했다고 한다.

본회의	본회의/NNG
불참을	불참/NNG+을/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
강경	강경/NNG
성향의	성향/NNG+의/JKG
정청래	정청래/NNP
최고위원,	최고/NNG+위원/NNG+,/SP
친노계	친/XPN+노/NNP+계/XSN
이목희	이목희/NNP
의원조차도	의원/NNG+조차/JX+도/JX
"당이	"/SS+당/NNG+이/JKS
결정하면	결정/NNG+하/XSV+면/EC
그	그/MMD
뜻에	뜻/NNG+에/JKB
따르겠다"고	따르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.317.6.1
여러 주장을 다 들은 우윤근 원내대표는 "우리(야당) 숫자가 부족하더라도 새로운 모습, 달라진 모습을 보이자"고 투표를 독려한 것으로 알려졌다.

여러	여러/MMN
주장을	주장/NNG+을/JKO
다	다/MAG
들은	듣/VV+은/ETM
우윤근	우윤근/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
"우리(야당)	"/SS+우리/NP+(/SS+야당/NNG+)/SS
숫자가	숫자/NNG+가/JKS
부족하더라도	부족/NNG+하/XSA+더라도/EC
새로운	새롭/VA+ㄴ/ETM
모습,	모습/NNG+,/SP
달라진	달라지/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이자"고	보이/VV+자/EF+"/SS+고/JKQ
투표를	투표/NNG+를/JKO
독려한	독려/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.317.6.2
표결도 당론이 아닌 자유투표로 정했지만, 사실상 이탈표가 없는 일사불란한 모습을 보였다.

표결도	표결/NNG+도/JX
당론이	당론/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
자유투표로	자유/NNG+투표/NNG+로/JKB
정했지만,	정하/VV+았/EP+지만/EC+,/SP
사실상	사실/NNG+상/XSN
이탈표가	이탈/NNG+표/NNG+가/JKS
없는	없/VA+는/ETM
일사불란한	일사불란/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.317.6.3
여론조사를 제안했던 문 대표도 막상 의총에선 "이미 국민이 (이 후보자를 부적격하다고) 판단한 것이니 본회의에 들어가서 우리 뜻을 확실히 표현하자"고 말했다고 한다.

여론조사를	여론/NNG+조사/NNG+를/JKO
제안했던	제안/NNG+하/XSV+았/EP+던/ETM
문	문/NNP
대표도	대표/NNG+도/JX
막상	막상/MAG
의총에선	의총/NNG+에서/JKB+ㄴ/JX
"이미	"/SS+이미/MAG
국민이	국민/NNG+이/JKS
(이	(/SS+이/NNP
후보자를	후보자/NNG+를/JKO
부적격하다고)	부/XPN+적격/NNG+하/XSA+다고/EC+)/SS
판단한	판단/NNG+하/XSV+ㄴ/ETM
것이니	것/NNB+이/VCP+니/EC
본회의에	본회의/NNG+에/JKB
들어가서	들어가/VV+아서/EC
우리	우리/NP
뜻을	뜻/NNG+을/JKO
확실히	확실히/MAG
표현하자"고	표현/NNG+하/XSV+자/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.317.7.1
이날 이 총리 임명 동의안은 국회를 통과했지만, 이탈표 없이 당을 하나로 이끈 문재인·우윤근 지도부 체제는 큰 잡음 없이 당분간 순항할 것으로 보인다.

이날	이날/NNG
이	이/NNP
총리	총리/NNG
임명	임명/NNG
동의안은	동의안/NNG+은/JX
국회를	국회/NNG+를/JKO
통과했지만,	통과/NNG+하/XSV+았/EP+지만/EC+,/SP
이탈표	이탈/NNG+표/NNG
없이	없이/MAG
당을	당/NNG+을/JKO
하나로	하나/NR+로/JKB
이끈	이끌/VV+ㄴ/ETM
문재인·우윤근	문재인/NNP+·/SP+우윤근/NNP
지도부	지도부/NNG
체제는	체제/NNG+는/JX
큰	크/VA+ㄴ/ETM
잡음	잡음/NNG
당분간	당분간/MAG
순항할	순항/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


