# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.150
metadata : {}


# id : NWRW1800000028.150.1.1
모처럼 외식, 공짜여행 ‘행운’ 잡아볼까

모처럼	모처럼/MAG
패밀리레스토랑 ‘아웃백스테이크하우스’는 봄 한정 메뉴로, ‘마일럽 어니언 치즈 스테이크와 코코넛 프로운’ 등을 판매한다.

패밀리레스토랑	패밀리레스토랑/NNG
‘아웃백스테이크하우스’는	‘/SS+아웃백스테이크하우스/NNP+’/SS+는/JX
봄	봄/NNG
한정	한정/NNG
메뉴로,	메뉴/NNG+로/JKB+,/SP
‘마일럽	‘/SS+마일럽/NNG
어니언	어니언/NNG
치즈	치즈/NNG
스테이크와	스테이크/NNG+와/JC
코코넛	코코넛/NNG
프로운’	프로운/NNG+’/SS
등을	등/NNB+을/JKO
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.3.2
오스트레일리아(호주) 서부의 대자연을 주제로 선보이는 메뉴로, 호주산 쇠고기 스테이크에 양파와 치즈 소스를 올려 달콤하고 고소한 맛을 살렸다.

오스트레일리아(호주)	오스트레일리아/NNP+(/SS+호주/NNP+)/SS
서부의	서부/NNG+의/JKG
대자연을	대/XPN+자연/NNG+을/JKO
주제로	주제/NNG+로/JKB
선보이는	선보이/VV+는/ETM
메뉴로,	메뉴/NNG+로/JKB+,/SP
호주산	호주/NNP+산/XSN
쇠고기	쇠고기/NNG
스테이크에	스테이크/NNG+에/JKB
양파와	양파/NNG+와/JC
치즈	치즈/NNG
소스를	소스/NNG+를/JKO
올려	올리/VV+어/EC
달콤하고	달콤하/VA+고/EC
고소한	고소하/VA+ㄴ/ETM
맛을	맛/NNG+을/JKO
살렸다.	살리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.150.3.3
또 호주 서부의 대자연을 직접 체험하는 가족 여행의 행운도 내걸었다.

또	또/MAG
호주	호주/NNP
서부의	서부/NNG+의/JKG
대자연을	대/XPN+자연/NNG+을/JKO
직접	직접/MAG
체험하는	체험/NNG+하/XSV+는/ETM
가족	가족/NNG
여행의	여행/NNG+의/JKG
행운도	행운/NNG+도/JX
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.150.3.4
이달부터 6월 말까지 두 달 동안 아웃백을 이용하고 영수증에 적힌 응모번호 10자리를 아웃백 누리집(outback.co.kr)에 입력하면 추첨을 통해 1등 1명에겐 호주 서부 4인 가족여행권을 선물로 준다.

이달부터	이달/NNG+부터/JX
6월	6/SN+월/NNB
말까지	말/NNB+까지/JX
두	두/MMN
달	달/NNB
동안	동안/NNG
아웃백을	아웃백/NNP+을/JKO
이용하고	이용/NNG+하/XSV+고/EC
영수증에	영수증/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
응모번호	응모/NNG+번호/NNG
10자리를	10/SN+자리/NNG+를/JKO
아웃백	아웃백/NNP
누리집(outback.co.kr)에	누리집/NNG+(/SS+outback/SL+./SP+co/SL+./SP+kr/SL+)/SS+에/JKB
입력하면	입력/NNG+하/XSV+면/EC
추첨을	추첨/NNG+을/JKO
통해	통하/VV+아/EC
1등	1/SN+등/NNB
1명에겐	1/SN+명/NNB+에게/JKB+ㄴ/JX
호주	호주/NNP
서부	서부/NNG
4인	4/SN+인/NNG
가족여행권을	가족/NNG+여행/NNG+권/XSN+을/JKO
선물로	선물/NNG+로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.3.5
또 2등 3명에겐 3인 가족 호텔 1박 상품권, 3등 30명에겐 7~8월 한정 메뉴 커플 식사권 등의 경품이 준비돼 있다.

또	또/MAG
2등	2/SN+등/NNB
3명에겐	3/SN+명/NNB+에게/JKB+ㄴ/JX
3인	3/SN+인/NNG
가족	가족/NNG
호텔	호텔/NNG
1박	1/SN+박/NNB
상품권,	상품/NNG+권/XSN+,/SP
3등	3/SN+등/NNB
30명에겐	30/SN+명/NNB+에게/JKB+ㄴ/JX
7~8월	7/SN+~/SO+8/SN+월/NNB
한정	한정/NNG
메뉴	메뉴/NNG
커플	커플/NNG
식사권	식사/NNG+권/XSN
등의	등/NNB+의/JKG
경품이	경품/NNG+이/JKS
준비돼	준비/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.150.3.6
중국 요리를 주로 하는 패밀리레스토랑 ‘차이나팩토리’는 5월을 맞아 ‘화목한 식사는 행복입니다’라는 주제로 3~4인 가족 추천 메뉴를 마련했다.

중국	중국/NNP
요리를	요리/NNG+를/JKO
주로	주로/MAG
하는	하/VV+는/ETM
패밀리레스토랑	패밀리레스토랑/NNG
‘차이나팩토리’는	‘/SS+차이나팩토리/NNP+’/SS+는/JX
5월을	5/SN+월/NNB+을/JKO
맞아	맞/VV+아/EC
‘화목한	‘/SS+화목/NNG+하/XSA+ㄴ/ETM
식사는	식사/NNG+는/JX
행복입니다’라는	행복/NNG+이/VCP+ㅂ니다/EF+’/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
3~4인	3/SN+~/SO+4/SN+인/NNG
가족	가족/NNG
추천	추천/NNG
메뉴를	메뉴/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.150.3.7
이달 말까지 전복 등 해산물 요리인 전가복이나 스파이시 마늘 갈비 등이 포함된 추천 메뉴를 먹고 패밀리포인트 회원 적립을 하면, 추첨을 통해 1등 1명에겐 푸껫 4인 가족 여행상품권을, 2등 70명에겐 뮤지컬 <오! 당신이 잠든 사이> 관람권 2장씩을 선물로 준다.

이달	이달/NNG
말까지	말/NNB+까지/JX
전복	전복/NNG
등	등/NNB
해산물	해산물/NNG
요리인	요리/NNG+이/VCP+ㄴ/ETM
전가복이나	전가복/NNG+이나/JX
스파이시	스파이시/NNG
마늘	마늘/NNG
갈비	갈비/NNG
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
추천	추천/NNG
메뉴를	메뉴/NNG+를/JKO
먹고	먹/VV+고/EC
패밀리포인트	패밀리포인트/NNG
회원	회원/NNG
적립을	적립/NNG+을/JKO
하면,	하/VV+면/EC+,/SP
추첨을	추첨/NNG+을/JKO
통해	통하/VV+아/EC
1등	1/SN+등/NNB
1명에겐	1/SN+명/NNB+에게/JKB+ㄴ/JX
푸껫	푸껫/NNP
4인	4/SN+인/NNG
가족	가족/NNG
여행상품권을,	여행/NNG+상품/NNG+권/XSN+을/JKO+,/SP
2등	2/SN+등/NNB
70명에겐	70/SN+명/NNB+에게/JKB+ㄴ/JX
뮤지컬	뮤지컬/NNG
<오!	</SS+오/IC+!/SF
당신이	당신/NP+이/JKS
잠든	잠들/VV+ㄴ/ETM
사이>	사이/NNG+>/SS
관람권	관람/NNG+권/XSN
2장씩을	2/SN+장/NNB+씩/XSN+을/JKO
선물로	선물/NNG+로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.3.8
또 8~13살 어린이를 데리고 오는 가족 손님은 무조건 어린이 1명의 식사값을 50% 깎아주고, 어린이 뮤지컬 <방귀대장 뿡뿡이> 30% 할인권도 증정한다.

또	또/MAG
8~13살	8/SN+~/SO+13/SN+살/NNB
어린이를	어린이/NNG+를/JKO
데리고	데리/VV+고/EC
오는	오/VV+는/ETM
가족	가족/NNG
손님은	손/NNG+님/XSN+은/JX
무조건	무/XPN+조건/NNG
어린이	어린이/NNG
1명의	1/SN+명/NNB+의/JKG
식사값을	식사/NNG+값/NNG+을/JKO
50%	50/SN+%/SW
깎아주고,	깎/VV+아/EC+주/VX+고/EC+,/SP
뮤지컬	뮤지컬/NNG
<방귀대장	</SS+방귀/NNG+대장/NNG
뿡뿡이>	뿡뿡이/NNP+>/SS
30%	30/SN+%/SW
할인권도	할인/NNG+권/XSN+도/JX
증정한다.	증정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.3.9
‘도미노피자’는 얇고 바삭한 이탈리아식 피자 도와 도톰하고 쫄깃한 미국식 피자 도를 함께 맛볼 수 있는 ‘나폴리 도우’를 모든 피자 메뉴로 확대하면서, ‘사이드 메뉴 반값’ 이벤트를 마련했다.

‘도미노피자’는	‘/SS+도미노피자/NNP+’/SS+는/JX
얇고	얇/VA+고/EC
바삭한	바삭/MAG+하/XSA+ㄴ/ETM
이탈리아식	이탈리아식/NNG
피자	피자/NNG
도와	도/NNG+와/JC
도톰하고	도톰하/VA+고/EC
쫄깃한	쫄깃하/VA+ㄴ/ETM
미국식	미국식/NNG
도를	도/NNG+를/JKO
함께	함께/MAG
맛볼	맛보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘나폴리	‘/SS+나폴리/NNP
도우’를	도우/NNG+’/SS+를/JKO
모든	모든/MMN
메뉴로	메뉴/NNG+로/JKB
확대하면서,	확대/NNG+하/XSV+면서/EC+,/SP
‘사이드	‘/SS+사이드/NNG
메뉴	메뉴/NNG
반값’	반값/NNG+’/SS
이벤트를	이벤트/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.150.3.10
다음달 3일까지 피자를 주문할 때 나폴리 도우를 선택하고 코카콜라를 함께 주문하면 치킨윙 등 사이드 메뉴를 50% 할인 가격에 맛볼 수 있게 해준다.

다음달	다음/NNG+달/NNG
3일까지	3/SN+일/NNB+까지/JX
피자를	피자/NNG+를/JKO
주문할	주문/NNG+하/XSV+ㄹ/ETM
때	때/NNG
나폴리	나폴리/NNP
도우를	도우/NNG+를/JKO
선택하고	선택/NNG+하/XSV+고/EC
코카콜라를	코카콜라/NNP+를/JKO
함께	함께/MAG
주문하면	주문/NNG+하/XSV+면/EC
치킨윙	치킨윙/NNG
등	등/NNB
사이드	사이드/NNG
메뉴를	메뉴/NNG+를/JKO
50%	50/SN+%/SW
할인	할인/NNG
가격에	가격/NNG+에/JKB
맛볼	맛보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해준다.	하/VX+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.150.4.1
6월로 바짝 다가온 월드컵을 앞두고 축구 축제 분위기를 돋우는 메뉴나 이벤트들도 다양하다.

6월로	6/SN+월/NNB+로/JKB
바짝	바짝/MAG
다가온	다가오/VV+ㄴ/ETM
월드컵을	월드컵/NNG+을/JKO
앞두고	앞두/VV+고/EC
축구	축구/NNG
축제	축제/NNG
분위기를	분위기/NNG+를/JKO
돋우는	돋우/VV+는/ETM
메뉴나	메뉴/NNG+나/JC
이벤트들도	이벤트/NNG+들/XSN+도/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.150.4.2
패밀리레스토랑 ‘빕스’는 이달부터 2010년 월드컵이 끝나는 다음달 27일까지 ‘빕스 코리아파이팅 세트’를 내놓는다.

패밀리레스토랑	패밀리레스토랑/NNG
‘빕스’는	‘/SS+빕스/NNP+’/SS+는/JX
이달부터	이달/NNG+부터/JX
2010년	2010/SN+년/NNB
월드컵이	월드컵/NNG+이/JKS
끝나는	끝나/VV+는/ETM
다음달	다음/NNG+달/NNG
27일까지	27/SN+일/NNB+까지/JX
‘빕스	‘/SS+빕스/NNP
코리아파이팅	코리아/NNP+파이팅/IC
세트’를	세트/NNG+’/SS+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000028.150.4.3
이 메뉴는 ‘빕스 스테이크와 코코넛 쉬림프’ ‘얌 스톤 안심과 쉬림프 투탑 스테이크’가 함께 나오는 구성인데, 이를 주문한 고객들을 추첨해 1등 4명에겐 넷북을 주고, 2등 400명에겐 월드컵 공인구인 자블라니 보급형 축구공을 선물로 준다.

이	이/MMD
메뉴는	메뉴/NNG+는/JX
‘빕스	‘/SS+빕스/NNP
스테이크와	스테이크/NNG+와/JC
코코넛	코코넛/NNG
쉬림프’	쉬림프/NNG+’/SS
‘얌	‘/SS+얌/NNG
스톤	스톤/NNG
안심과	안심/NNG+과/JC
쉬림프	쉬림프/NNG
투탑	투탑/NNG
스테이크’가	스테이크/NNG+’/SS+가/JKS
함께	함께/MAG
나오는	나오/VV+는/ETM
구성인데,	구성/NNG+이/VCP+ㄴ데/EC+,/SP
이를	이/NP+를/JKO
주문한	주문/NNG+하/XSV+ㄴ/ETM
고객들을	고객/NNG+들/XSN+을/JKO
추첨해	추첨/NNG+하/XSV+아/EC
1등	1/SN+등/NNB
4명에겐	4/SN+명/NNB+에게/JKB+ㄴ/JX
넷북을	넷북/NNG+을/JKO
주고,	주/VV+고/EC+,/SP
2등	2/SN+등/NNB
400명에겐	400/SN+명/NNB+에게/JKB+ㄴ/JX
월드컵	월드컵/NNG
공인구인	공인구/NNG+이/VCP+ㄴ/ETM
자블라니	자블라니/NNG
보급형	보급/NNG+형/XSN
축구공을	축구공/NNG+을/JKO
선물로	선물/NNG+로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.4.4
또 3등 500명에겐 대한축구협회 응원용 머플러를 준다.

또	또/MAG
3등	3/SN+등/NNB
500명에겐	500/SN+명/NNB+에게/JKB+ㄴ/JX
대한축구협회	대한축구협회/NNP
응원용	응원/NNG+용/XSN
머플러를	머플러/NNG+를/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.4.5
또 월드컵 개최국인 남아프리카공화국 와인을 병 단위로 주문하는 고객에겐 스크래치 복권을 주는데, 당첨자 1300명은 월드컵 지정 와인인 ‘니더버그 트웬티텐 카베르네 소비뇽’을 선물로 받아 과일향이 선명한 남아공 와인 특유의 맛을 한차례 더 즐길 수 있다.

또	또/MAG
월드컵	월드컵/NNG
개최국인	개최국/NNG+이/VCP+ㄴ/ETM
남아프리카공화국	남아프리카공화국/NNP
와인을	와인/NNG+을/JKO
병	병/NNG
단위로	단위/NNG+로/JKB
주문하는	주문/NNG+하/XSV+는/ETM
고객에겐	고객/NNG+에게/JKB+ㄴ/JX
스크래치	스크래치/NNG
복권을	복권/NNG+을/JKO
주는데,	주/VV+는데/EC+,/SP
당첨자	당첨자/NNG
1300명은	1300/SN+명/NNB+은/JX
지정	지정/NNG
와인인	와인/NNG+이/VCP+ㄴ/ETM
‘니더버그	‘/SS+니더버그/NNP
트웬티텐	트웬티텐/NNP
카베르네	카베르네/NNP
소비뇽’을	소비뇽/NNP+’/SS+을/JKO
선물로	선물/NNG+로/JKB
받아	받/VV+아/EC
과일향이	과일/NNG+향/NNG+이/JKS
선명한	선명/NNG+하/XSA+ㄴ/ETM
남아공	남아공/NNP
와인	와인/NNG
특유의	특유/NNG+의/JKG
맛을	맛/NNG+을/JKO
한차례	한차례/NNG
더	더/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.150.5.1
퓨전 요리 주점인 ‘피시앤그릴’은 최근 월드컵을 앞두고 ‘한국인의 매운맛’을 주제로 한 ‘으랏차차 신메뉴’ 8종을 선보였다.

퓨전	퓨전/NNG
요리	요리/NNG
주점인	주점/NNG+이/VCP+ㄴ/ETM
‘피시앤그릴’은	‘/SS+피시앤그릴/NNP+’/SS+은/JX
최근	최근/NNG
월드컵을	월드컵/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘한국인의	‘/SS+한국인/NNG+의/JKG
매운맛’을	매운맛/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
‘으랏차차	‘/SS+으랏차차/IC
신메뉴’	신/XPN+메뉴/NNG+’/SS
8종을	8/SN+종/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.150.5.2
치킨·족발 등 대중적인 안줏거리에 통마늘과 고추를 더해 매콤한 맛을 강조한 메뉴들로, ‘깐풍치킨 봉봉’ ‘쿨한 족발’ 등 재미난 이름을 달고 있다.

치킨·족발	치킨/NNG+·/SP+족발/NNG
등	등/NNB
대중적인	대중/NNG+적/XSN+이/VCP+ㄴ/ETM
안줏거리에	안줏거리/NNG+에/JKB
통마늘과	통마늘/NNG+과/JC
고추를	고추/NNG+를/JKO
더해	더/MAG+하/XSV+아/EC
매콤한	매콤하/VA+ㄴ/ETM
맛을	맛/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
메뉴들로,	메뉴/NNG+들/XSN+로/JKB+,/SP
‘깐풍치킨	‘/SS+깐풍/NNG+치킨/NNG
봉봉’	봉봉/NNG+’/SS
‘쿨한	‘/SS+쿨하/VA+ㄴ/ETM
족발’	족발/NNG+’/SS
재미난	재미나/VV+ㄴ/ETM
이름을	이름/NNG+을/JKO
달고	달/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.150.5.3
또 한산 소곡주를 바탕으로 들국화를 넣어 빚은 ‘달빛 13’이란 전통주도 새로 내놓았는데, 이 술이나 으랏차차 신메뉴를 주문하는 이들에겐 뿔 머리띠나 두건 등 축구 응원 도구를 선물로 준다.

또	또/MAG
한산	한산/NNP
소곡주를	소곡주/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
들국화를	들국화/NNG+를/JKO
넣어	넣/VV+어/EC
빚은	빚/VV+은/ETM
‘달빛	‘/SS+달빛/NNG
13’이란	13/SN+’/SS+이/VCP+란/ETM
전통주도	전통주/NNG+도/JX
새로	새로/MAG
내놓았는데,	내놓/VV+았/EP+는데/EC+,/SP
이	이/MMD
술이나	술/NNG+이나/JC
으랏차차	으랏차차/IC
신메뉴를	신/XPN+메뉴/NNG+를/JKO
주문하는	주문/NNG+하/XSV+는/ETM
이들에겐	이/NNB+들/XSN+에게/JKB+ㄴ/JX
뿔	뿔/NNG
머리띠나	머리띠/NNG+나/JC
두건	두건/NNG
등	등/NNB
축구	축구/NNG
응원	응원/NNG
도구를	도구/NNG+를/JKO
선물로	선물/NNG+로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.5.4
또 이 메뉴를 주문한 고객들이 매장에서 한국 축구를 응원하는 모습을 사진으로 찍어 누리집(fishngrill.net)에 올리면, 111명을 추첨해 모두 1300만원의 휴가비를 지원할 계획이다.

또	또/MAG
이	이/MMD
메뉴를	메뉴/NNG+를/JKO
주문한	주문/NNG+하/XSV+ㄴ/ETM
고객들이	고객/NNG+들/XSN+이/JKS
매장에서	매장/NNG+에서/JKB
한국	한국/NNP
축구를	축구/NNG+를/JKO
응원하는	응원/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
사진으로	사진/NNG+으로/JKB
찍어	찍/VV+어/EC
누리집(fishngrill.net)에	누리집/NNG+(/SS+fishngrill/SL+./SP+net/SL+)/SS+에/JKB
올리면,	올리/VV+면/EC+,/SP
111명을	111/SN+명/NNB+을/JKO
추첨해	추첨/NNG+하/XSV+아/EC
모두	모두/MAG
1300만원의	1300/SN+만/NR+원/NNB+의/JKG
휴가비를	휴가비/NNG+를/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


