# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.251
metadata : {}


# id : NWRW1800000024.251.1.1
쑥대밭 검찰…핵심 수사라인은 아예 ‘올스톱’

쑥대밭	쑥대밭/NNG
후보자의	후보자/NNG+의/JKG
사퇴가	사퇴/NNG+가/JKS
있고	있/VA+고/EC
난	나/VX+ㄴ/ETM
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
15일,	15/SN+일/NNB+,/SP
검찰의	검찰/NNG+의/JKG
겉모습은	겉모습/NNG+은/JX
여느	여느/MMA
때와	때/NNG+와/JKB
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.251.3.2
대검찰청에서 열린 아침보고회의는, 전날 문성우 전 차장의 퇴임으로 총장 직무대행을 맡게 된 한명관 기획조정부장이 주재했다.

대검찰청에서	대/XPN+검찰청/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
아침보고회의는,	아침/NNG+보고/NNG+회의/NNG+는/JX+,/SP
전날	전날/NNG
문성우	문성우/NNP
전	전/MMD
차장의	차장/NNG+의/JKG
퇴임으로	퇴임/NNG+으로/JKB
총장	총장/NNG
직무대행을	직무/NNG+대행/NNG+을/JKO
맡게	맡/VV+게/EC
된	되/VV+ㄴ/ETM
한명관	한명관/NNP
기획조정부장이	기획/NNG+조정부장/NNG+이/JKS
주재했다.	주재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.251.3.3
원래 검찰총장·차장·중앙수사부장·공안부장·기획조정부장·대변인이 참석하는 회의는 총·차장과 중수부장 등 3명이 빠져 썰렁한 분위기에서 진행됐다.

원래	원래/MAG
검찰총장·차장·중앙수사부장·공안부장·기획조정부장·대변인이	검찰/NNG+총장/NNG+·/SP+차장/NNG+·/SP+중앙/NNG+수사부장/NNG+·/SP+공안부장/NNG+·/SP+기획/NNG+조정부장/NNG+·/SP+대변인/NNG+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
회의는	회의/NNG+는/JX
총·차장과	총·차장/NNG+과/JC
중수부장	중수부장/NNG
등	등/NNB
3명이	3/SN+명/NNB+이/JKS
빠져	빠지/VV+어/EC
썰렁한	썰렁하/VA+ㄴ/ETM
분위기에서	분위기/NNG+에서/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.251.3.4
대검은 이어 예정에 없던 확대간부회의를 열어 ‘비상 상황’에 따른 업무 지침을 내리는 등 사태 수습에 나섰다.

대검은	대검/NNG+은/JX
이어	잇/VV+어/EC
예정에	예정/NNG+에/JKB
없던	없/VA+던/ETM
확대간부회의를	확대/NNG+간부/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
‘비상	‘/SS+비상/NNG
상황’에	상황/NNG+’/SS+에/JKB
따른	따르/VV+ㄴ/ETM
업무	업무/NNG
지침을	지침/NNG+을/JKO
내리는	내리/VV+는/ETM
등	등/NNB
사태	사태/NNG
수습에	수습/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.251.4.1
검찰에선 “당장 중요한 수사 현안이 없기 때문에 조직 운영에 큰 문제가 없을 것”이라고 한다.

검찰에선	검찰/NNG+에서/JKB+ㄴ/JX
“당장	“/SS+당장/NNG
중요한	중요/NNG+하/XSA+ㄴ/ETM
수사	수사/NNG
현안이	현안/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
조직	조직/NNG
운영에	운영/NNG+에/JKB
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.251.4.2
하지만 새 총장 후보자의 내정과 국회 인사청문회, 그 이후에 있을 연쇄적인 인사 등을 고려하면 최소한 한달 이상 검찰 조직 전체가 안정되기는 어려운 상황이다.

하지만	하지만/MAJ
새	새/MMA
총장	총장/NNG
후보자의	후보자/NNG+의/JKG
내정과	내정/NNG+과/JC
국회	국회/NNG
인사청문회,	인사/NNG+청문회/NNG+,/SP
그	그/MMD
이후에	이후/NNG+에/JKB
있을	있/VA+을/ETM
연쇄적인	연쇄/NNG+적/XSN+이/VCP+ㄴ/ETM
인사	인사/NNG
등을	등/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
최소한	최소한/MAG
한달	한/MMN+달/NNB
이상	이상/NNG
검찰	검찰/NNG
조직	조직/NNG
전체가	전체/NNG+가/JKS
안정되기는	안정/NNG+되/XSV+기/ETN+는/JX
어려운	어렵/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.251.4.3
검찰 관계자는 “지난달 21일 천 후보자가 지명된 뒤부터 주요 업무 진행은 사실상 중단됐다고 보는 것이 맞다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“지난달	“/SS+지난달/NNG
21일	21/SN+일/NNB
천	천/NNP
후보자가	후보자/NNG+가/JKS
지명된	지명/NNG+되/XSV+ㄴ/ETM
뒤부터	뒤/NNG+부터/JX
주요	주요/NNG
업무	업무/NNG
진행은	진행/NNG+은/JX
사실상	사실/NNG+상/XSN
중단됐다고	중단/NNG+되/XSV+었/EP+다고/EC
보는	보/VV+는/ETM
것이	것/NNB+이/JKS
맞다”고	맞/VV+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.251.4.4
당장 수사 핵심부서인 서울중앙지검 3차장 산하 특수부도 사실상 일손을 놓은 상태로 알려졌다.

당장	당장/NNG
수사	수사/NNG
핵심부서인	핵심/NNG+부서/NNG+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
3차장	3/SN+차장/NNG
산하	산하/NNG
특수부도	특수부/NNG+도/JX
사실상	사실/NNG+상/XSN
일손을	일손/NNG+을/JKO
놓은	놓/VV+은/ETM
상태로	상태/NNG+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.251.4.5
하던 수사는 몰라도 새로운 수사에 착수하기는 꺼리는 분위기가 뚜렷하다.

하던	하/VV+던/ETM
수사는	수사/NNG+는/JX
몰라도	모르/VV+아도/EC
새로운	새롭/VA+ㄴ/ETM
수사에	수사/NNG+에/JKB
착수하기는	착수/NNG+하/XSV+기/ETN+는/JX
꺼리는	꺼리/VV+는/ETM
분위기가	분위기/NNG+가/JKS
뚜렷하다.	뚜렷하/VA+다/EF+./SF


# id : NWRW1800000024.251.5.1
천 후보자를 중심으로 윤곽을 잡아놓은 검찰 인사안도 손질이 불가피해졌다.

천	천/NNP
후보자를	후보자/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
윤곽을	윤곽/NNG+을/JKO
잡아놓은	잡/VV+아/EC+놓/VX+은/ETM
검찰	검찰/NNG
인사안도	인사안/NNG+도/JX
손질이	손질/NNG+이/JKS
불가피해졌다.	불가피하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.251.5.2
주요 보직 인사는 천 후보자의 사법시험 기수와 나이, 지역을 고려해 안배가 이뤄졌다.

주요	주요/NNG
보직	보직/NNG
인사는	인사/NNG+는/JX
천	천/NNP
후보자의	후보자/NNG+의/JKG
사법시험	사법/NNG+시험/NNG
기수와	기수/NNG+와/JC
나이,	나이/NNG+,/SP
지역을	지역/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
안배가	안배/NNG+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.251.5.3
그러나 새 총장 후보자가 천 후보자보다 윗 기수에서 결정된다면, 일부 고검장-검사장 승진 대상자 및 주요 보직 예정자들이 연쇄적으로 바뀔 수밖에 없다.

그러나	그러나/MAJ
새	새/MMA
총장	총장/NNG
후보자가	후보자/NNG+가/JKS
천	천/NNP
후보자보다	후보자/NNG+보다/JKB
윗	윗/NNG
기수에서	기수/NNG+에서/JKB
결정된다면,	결정/NNG+되/XSV+ㄴ다면/EC+,/SP
일부	일부/NNG
고검장-검사장	고검장/NNG+-/SO+검사장/NNG
승진	승진/NNG
대상자	대상자/NNG
및	및/MAG
주요	주요/NNG
보직	보직/NNG
예정자들이	예정자/NNG+들/XSN+이/JKS
연쇄적으로	연쇄/NNG+적/XSN+으로/JKB
바뀔	바뀌/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.251.5.4
검찰 조직 안정을 위해 법무부 장관이 고검장급 인사를 먼저 할 수도 있다는 전망이 나온다.

검찰	검찰/NNG
조직	조직/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+아/EC
법무부	법무부/NNG
장관이	장관/NNG+이/JKS
고검장급	고검장급/NNG
인사를	인사/NNG+를/JKO
먼저	먼저/MAG
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.251.5.5
하지만 조직을 통할하게 될 사람은 새 총장이라는 점에서 최소한 새 후보자가 내정 뒤 협의가 불가피하다는 게 중론이다.

하지만	하지만/MAJ
조직을	조직/NNG+을/JKO
통할하게	통할/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
사람은	사람/NNG+은/JX
새	새/MMA
총장이라는	총장/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
최소한	최소한/MAG
후보자가	후보자/NNG+가/JKS
내정	내정/NNG
뒤	뒤/NNG
협의가	협의/NNG+가/JKS
불가피하다는	불가피하/VA+다는/ETM
게	거/NNB+이/JKS
중론이다.	중론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.251.6.1
가장 관심을 모으는 새 총장 후보로는, 얼마전 옷을 벗은 사법시험 20~22회 출신들이 우선 거론된다.

가장	가장/MAG
관심을	관심/NNG+을/JKO
모으는	모으/VV+는/ETM
새	새/MMA
총장	총장/NNG
후보로는,	후보/NNG+로/JKB+는/JX+,/SP
얼마전	얼마/NNG+전/NNG
옷을	옷/NNG+을/JKO
벗은	벗/VV+은/ETM
사법시험	사법/NNG+시험/NNG
20~22회	20/SN+~/SO+22/SN+회/NNB
출신들이	출신/NNG+들/XSN+이/JKS
우선	우선/MAG
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.251.6.2
하지만 이미 천 후보자와의 ‘경쟁’에서 배제됐다는 한계가 있다.

하지만	하지만/MAJ
이미	이미/MAG
천	천/NNP
후보자와의	후보자/NNG+와/JKB+의/JKG
‘경쟁’에서	‘/SS+경쟁/NNG+’/SS+에서/JKB
배제됐다는	배제/NNG+되/XSV+었/EP+다는/ETM
한계가	한계/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.251.6.3
쇄신 인사를 주도한 청와대와 법무부도 이런 인식을 공유하고 있는 것으로 알려졌다.

쇄신	쇄신/NNG
인사를	인사/NNG+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
청와대와	청와대/NNP+와/JC
법무부도	법무부/NNG+도/JX
이런	이런/MMD
인식을	인식/NNG+을/JKO
공유하고	공유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.251.6.4
따라서 올해 초나 지난해에 옷을 벗은 고검장급 인사들 가운데서 후보자가 나올 가능성도 배제할 수 없다.

따라서	따라서/MAJ
올해	올해/NNG
초나	초/NNB+나/JC
지난해에	지난해/NNG+에/JKB
옷을	옷/NNG+을/JKO
벗은	벗/VV+은/ETM
고검장급	고검장급/NNG
인사들	인사/NNG+들/XSN
가운데서	가운데/NNG+서/JKB
후보자가	후보자/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.251.6.5
사시 19회 출신에선 대검 중수부장 등 특수부의 요직을 두루 섭렵한 박상길(56) 전 부산고검장이 입에 오르내린다.

사시	사시/NNG
19회	19/SN+회/NNB
출신에선	출신/NNG+에서/JKB+ㄴ/JX
대검	대검/NNG
중수부장	중수부장/NNG
등	등/NNB
특수부의	특수부/NNG+의/JKG
요직을	요직/NNG+을/JKO
두루	두루/MAG
섭렵한	섭렵/NNG+하/XSV+ㄴ/ETM
박상길(56)	박상길/NNP+(/SS+56/SN+)/SS
전	전/MMD
부산고검장이	부산고검장/NNG+이/JKS
입에	입/NNG+에/JKB
오르내린다.	오르내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.251.6.6
그러나 현재 ‘김앤장’에 몸담고 있다는 ‘약점’이 있다.

그러나	그러나/MAJ
현재	현재/MAG
‘김앤장’에	‘/SS+김앤장/NNP+’/SS+에/JKB
몸담고	몸담/VV+고/EC
있다는	있/VX+다는/ETM
‘약점’이	‘/SS+약점/NNG+’/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.251.6.7
사시 20회 출신에선 김태현(54) 전 법무연수원장이 유력하게 거론된다.

사시	사시/NNG
20회	20/SN+회/NNB
출신에선	출신/NNG+에서/JKB+ㄴ/JX
김태현(54)	김태현/NNP+(/SS+54/SN+)/SS
전	전/MMD
법무연수원장이	법무/NNG+연수원장/NNG+이/JKS
유력하게	유력/NNG+하/XSA+게/EC
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.251.6.8
고향이 대구인데다 경북고를 나왔다는 점이 눈에 띠는 요소다.

고향이	고향/NNG+이/JKS
대구인데다	대구/NNP+이/VCP+ㄴ/ETM+데/NNB+다/JX
경북고를	경북고/NNP+를/JKO
나왔다는	나오/VV+았/EP+다는/ETM
점이	점/NNG+이/JKS
눈에	눈/NNG+에/JKB
띠는	띠/VV+는/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.251.6.9
그의 동기에선 권재진(56) 전 서울고검장, 21회에선 문성우(53) 전 대검 차장, 22회에선 이귀남(58) 전 법무부 차관이 후보군에 이름을 올리고 있다.

그의	그/NP+의/JKG
동기에선	동기/NNG+에서/JKB+ㄴ/JX
권재진(56)	권재진/NNP+(/SS+56/SN+)/SS
전	전/MMD
서울고검장,	서울고검장/NNG+,/SP
21회에선	21/SN+회/NNB+에서/JKB+ㄴ/JX
문성우(53)	문성우/NNP+(/SS+53/SN+)/SS
대검	대검/NNG
차장,	차장/NNG+,/SP
22회에선	22/SN+회/NNB+에서/JKB+ㄴ/JX
이귀남(58)	이귀남/NNP+(/SS+58/SN+)/SS
법무부	법무부/NNG
차관이	차관/NNG+이/JKS
후보군에	후보군/NNG+에/JKB
이름을	이름/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


