# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.289
metadata : {}


# id : NWRW1800000038.289.1.1
[특파원 칼럼] 사회인프라도 늙고 병드는 시대

[특파원	[/SS+특파원/NNG
경우,	경우/NNG+,/SP
향후	향후/NNG
40년간	40/SN+년/NNB+간/XSN
개보수	개보수/NNG
비용으로	비용/NNG+으로/JKB
600조엔이	600/SN+조/NR+엔/NNB+이/JKS
넘게	넘/VV+게/EC
들	들/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
추산이	추산/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.289.5.3
인구 고령화로 연금·의료비 등 사회보장비가 급증하고 있어 일본 정부가 인프라 개보수에 무작정 돈을 쏟아 부을 수도 없는 형편이다.

인구	인구/NNG
고령화로	고령/NNG+화/XSN+로/JKB
연금·의료비	연금/NNG+·/SP+의료비/NNG
등	등/NNB
사회보장비가	사회/NNG+보장비/NNG+가/JKS
급증하고	급증/NNG+하/XSV+고/EC
있어	있/VX+어/EC
일본	일본/NNP
정부가	정부/NNG+가/JKS
인프라	인프라/NNG
개보수에	개보수/NNG+에/JKB
무작정	무/XPN+작정/NNG
돈을	돈/NNG+을/JKO
쏟아	쏟/VV+아/EC
부을	붓/VV+을/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
형편이다.	형편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.5.4
더군다나 인구 감소가 본격화하면서 이용자가 거의 없는 도로 등 불필요한 시설도 급증하고 있다.

더군다나	더군다나/MAG
인구	인구/NNG
감소가	감소/NNG+가/JKS
본격화하면서	본격/NNG+화/XSN+하/XSV+면서/EC
이용자가	이용자/NNG+가/JKS
거의	거의/MAG
없는	없/VA+는/ETM
도로	도로/NNG
등	등/NNB
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
시설도	시설/NNG+도/JX
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.289.6.1
일본 인구는 현재 1억2700여만명이지만 2045년에는 1억명 이하로 떨어질 전망이다.

일본	일본/NNP
인구는	인구/NNG+는/JX
현재	현재/MAG
1억2700여만명이지만	1/SN+억/NR+2700/SN+여/XSN+만/NR+명/NNB+이/VCP+지만/EC
2045년에는	2045/SN+년/NNB+에/JKB+는/JX
1억명	1/SN+억/NR+명/NNB
이하로	이하/NNG+로/JKB
떨어질	떨어지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.6.2
야마가타(山形)현의 경우 30년 후 30%의 인구가 감소하고 현내 35개 기초자치단체의 인구는 절반으로 줄어든다.

야마가타(山形)현의	야마가타/NNP+(/SS+山形/SH+)/SS+현/NNG+의/JKG
경우	경우/NNG
30년	30/SN+년/NNB
후	후/NNG
30%의	30/SN+%/SW+의/JKG
인구가	인구/NNG+가/JKS
감소하고	감소/NNG+하/XSV+고/EC
현내	현/NNG+내/NNB
35개	35/SN+개/NNB
기초자치단체의	기초/NNG+자치/NNG+단체/NNG+의/JKG
인구는	인구/NNG+는/JX
절반으로	절반/NNG+으로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.289.6.3
고령자 인구 비율이 급증하게 됨에 따라 자동차 이용 인구 감소는 인구 감소보다 훨씬 빠르다.

고령자	고령자/NNG
인구	인구/NNG
비율이	비율/NNG+이/JKS
급증하게	급증/NNG+하/XSV+게/EC
됨에	되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
자동차	자동차/NNG
이용	이용/NNG
감소는	감소/NNG+는/JX
감소보다	감소/NNG+보다/JKB
훨씬	훨씬/MAG
빠르다.	빠르/VA+다/EF+./SF


# id : NWRW1800000038.289.7.1
고령화는 근본적 패러다임 전환을 요구한다.

고령화는	고령/NNG+화/XSN+는/JX
근본적	근본/NNG+적/XSN
패러다임	패러다임/NNG
전환을	전환/NNG+을/JKO
요구한다.	요구/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.289.7.2
고령화 시대에는 신규 건설보다는 노후 시설의 개보수와 퇴출에 초점을 맞춰야 한다.

고령화	고령/NNG+화/XSN
시대에는	시대/NNG+에/JKB+는/JX
신규	신규/NNG
건설보다는	건설/NNG+보다/JKB+는/JX
노후	노후/NNG
시설의	시설/NNG+의/JKG
개보수와	개보수/NNG+와/JC
퇴출에	퇴출/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춰야	맞추/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.289.7.3
이미 일본의 도시정책은 인구 감소에 대비하고 있다.

이미	이미/MAG
일본의	일본/NNP+의/JKG
도시정책은	도시/NNG+정책/NNG+은/JX
인구	인구/NNG
감소에	감소/NNG+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.289.7.4
신도시 건설은 포기한 지 오래됐다.

신도시	신/XPN+도시/NNG
건설은	건설/NNG+은/JX
포기한	포기/NNG+하/XSV+ㄴ/ETM
지	지/NNB
오래됐다.	오래/MAG+되/XSA+었/EP+다/EF+./SF


# id : NWRW1800000038.289.8.1
오히려 교외 지역 주민들의 도심 이주를 유도하는 정책이 등장했다.

오히려	오히려/MAG
교외	교외/NNG
지역	지역/NNG
주민들의	주민/NNG+들/XSN+의/JKG
도심	도심/NNG
이주를	이주/NNG+를/JKO
유도하는	유도/NNG+하/XSV+는/ETM
정책이	정책/NNG+이/JKS
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.289.8.2
교외 지역 쇼핑센터 건설 등을 규제, 교외 지역 인프라 투자를 줄이고 있다.

교외	교외/NNG
지역	지역/NNG
쇼핑센터	쇼핑센터/NNG
건설	건설/NNG
등을	등/NNB+을/JKO
규제,	규제/NNG+,/SP
인프라	인프라/NNG
투자를	투자/NNG+를/JKO
줄이고	줄이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.289.8.3
일본 정부는 또 노인 인구의 급증에 맞춰 '의(醫)·직(職)·주(住) 근접화 도시'를 새로운 도시 모델로 제시했다.

일본	일본/NNP
정부는	정부/NNG+는/JX
또	또/MAG
노인	노인/NNG
인구의	인구/NNG+의/JKG
급증에	급증/NNG+에/JKB
맞춰	맞추/VV+어/EC
'의(醫)·직(職)·주(住)	'/SS+의/NA+(/SS+醫/SH+)/SS+·/SP+직/NNG+(/SS+職/SH+)/SS+·/SP+주/NA+(/SS+住/SH+)/SS
근접화	근접/NNG+화/XSN
도시'를	도시/NNG+'/SS+를/JKO
새로운	새롭/VA+ㄴ/ETM
도시	도시/NNG
모델로	모델/NNG+로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.289.8.4
의료, 노인 복지시설과 아파트를 동일 공간에 집약적으로 배치, 노인들이 병원을 쉽게 이용할 수 있도록 하는 도시 개념이다.

의료,	의료/NNG+,/SP
노인	노인/NNG
복지시설과	복지/NNG+시설/NNG+과/JC
아파트를	아파트/NNG+를/JKO
동일	동일/NNG
공간에	공간/NNG+에/JKB
집약적으로	집약/NNG+적/XSN+으로/JKB
배치,	배치/NNG+,/SP
노인들이	노인/NNG+들/XSN+이/JKS
병원을	병원/NNG+을/JKO
쉽게	쉽/VA+게/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
도시	도시/NNG
개념이다.	개념/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.8.5
후쿠오카현 이즈카(飯塚)시 등에 시범 적용했고, 전국으로 확대하기로 했다.

후쿠오카현	후쿠오카현/NNP
이즈카(飯塚)시	이즈카/NNP+(/SS+飯塚/SH+)/SS+시/NNG
등에	등/NNB+에/JKB
시범	시범/NNG
적용했고,	적용/NNG+하/XSV+았/EP+고/EC+,/SP
전국으로	전국/NNG+으로/JKB
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.289.9.1
인구 성장기에 유치원·초등학교가 필수 시설이었다면 고령화 시대에는 노인 복지시설이 필수적이다.

인구	인구/NNG
성장기에	성장기/NNG+에/JKB
유치원·초등학교가	유치원/NNG+·/SP+초등학교/NNG+가/JKS
필수	필수/NNG
시설이었다면	시설/NNG+이/VCP+었/EP+다면/EC
고령화	고령/NNG+화/XSN
시대에는	시대/NNG+에/JKB+는/JX
노인	노인/NNG
복지시설이	복지/NNG+시설/NNG+이/JKS
필수적이다.	필수/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.9.2
'노인 천국'을 위해서가 아니다.

'노인	'/SS+노인/NNG
천국'을	천국/NNG+'/SS+을/JKO
위해서가	위하/VV+아서/EC+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.289.9.3
비용이 많이 드는 노인들의 병원 입원을 최소화, 의료비를 줄이기 위한 고육지책(苦肉之策)이다.

비용이	비용/NNG+이/JKS
많이	많이/MAG
드는	들/VV+는/ETM
노인들의	노인/NNG+들/XSN+의/JKG
병원	병원/NNG
입원을	입원/NNG+을/JKO
최소화,	최소/NNG+화/XSN+,/SP
의료비를	의료비/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고육지책(苦肉之策)이다.	고육지책/NNG+(/SS+苦肉之策/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.10.1
그러나 이미 인구 감소기에 들어간 일본에서도 정책 전환에 반대하는 사람이 많다.

그러나	그러나/MAJ
이미	이미/MAG
인구	인구/NNG
감소기에	감소기/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
일본에서도	일본/NNP+에서/JKB+도/JX
정책	정책/NNG
전환에	전환/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.289.10.2
특히 정치인들은 자신의 치적으로 내세울 수 있는 도로·철도·댐을 건설하기를 염원한다.

특히	특히/MAG
정치인들은	정치인/NNG+들/XSN+은/JX
자신의	자신/NNG+의/JKG
치적으로	치적/NNG+으로/JKB
내세울	내세우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
도로·철도·댐을	도로/NNG+·/SP+철도/NNG+·/SP+댐/NNG+을/JKO
건설하기를	건설/NNG+하/XSV+기/ETN+를/JKO
염원한다.	염원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.289.10.3
곰과 다람쥐만 뛰어노는 도로가 수도 없이 널려 있지만, 아베 신조 총리는 10년간 200조엔을 토목공사에 투자하겠다고 공언했다.

곰과	곰/NNG+과/JC
다람쥐만	다람쥐/NNG+만/JX
뛰어노는	뛰어놀/VV+는/ETM
도로가	도로/NNG+가/JKS
수도	수/NNG+도/JX
없이	없이/MAG
널려	널리/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
아베	아베/NNP
신조	신조/NNP
총리는	총리/NNG+는/JX
10년간	10/SN+년/NNB+간/XSN
200조엔을	200/SN+조/NR+엔/NNB+을/JKO
토목공사에	토목/NNG+공사/NNG+에/JKB
투자하겠다고	투자/NNG+하/XSV+겠/EP+다고/EC
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.289.11.1
한국도 고령화 속도가 일본보다 빠르다는 탄식이 터져나오지만 인프라 정책은 여전히 인구 성장기의 관성에서 벗어나지 못하고 있다.

한국도	한국/NNP+도/JX
고령화	고령/NNG+화/XSN
속도가	속도/NNG+가/JKS
일본보다	일본/NNP+보다/JKB
빠르다는	빠르/VA+다는/ETM
탄식이	탄식/NNG+이/JKS
터져나오지만	터지/VV+어/EC+나오/VV+지만/EC
인프라	인프라/NNG
정책은	정책/NNG+은/JX
여전히	여전히/MAG
인구	인구/NNG
성장기의	성장기/NNG+의/JKG
관성에서	관성/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


