# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.4
metadata : {}


# id : NWRW1800000037.4.1.1
[시선집중, 이 주식]하이트진로…소주 가격 인상으로 실적 개선 기대

[시선집중,	[/SS+시선/NNG+집중/NNG+,/SP
주점에서	주점/NNG+에서/JKB
소주	소주/NNG
가격을	가격/NNG+을/JKO
4000원으로	4000/SN+원/NNB+으로/JKB
인상할	인상/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
장기적으로	장기/NNG+적/XSN+으로/JKB
소비	소비/NNG
감소로	감소/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“하이트진로는	“/SS+하이트진로/NNP+는/JX
새로운	새롭/VA+ㄴ/ETM
주류	주류/NNG
제품을	제품/NNG+을/JKO
출시해	출시/NNG+하/XSV+아/EC
매출	매출/NNG
규모를	규모/NNG+를/JKO
유지해야	유지/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.13.1
맥주시장 점유율 회복도 풀어야 할 숙제다.

맥주시장	맥주/NNG+시장/NNG
점유율	점유/NNG+율/XSN
회복도	회복/NNG+도/JX
풀어야	풀/VV+어야/EC
할	하/VX+ㄹ/ETM
숙제다.	숙제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.13.2
경쟁사의 맥주 브랜드가 선전하며 하이트진로의 맥주시장 점유율이 점차 감소하고 있기 때문이다.

경쟁사의	경쟁사/NNG+의/JKG
맥주	맥주/NNG
브랜드가	브랜드/NNG+가/JKS
선전하며	선전/NNG+하/XSV+며/EC
하이트진로의	하이트진로/NNP+의/JKG
맥주시장	맥주/NNG+시장/NNG
점유율이	점유/NNG+율/XSN+이/JKS
점차	점차/MAG
감소하고	감소/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.13.3
2010년 53% 수준이던 점유율은 2011년 48%, 2012년 45%로 낮아졌다.

2010년	2010/SN+년/NNB
53%	53/SN+%/SW
수준이던	수준/NNG+이/VCP+던/ETM
점유율은	점유/NNG+율/XSN+은/JX
2011년	2011/SN+년/NNB
48%,	48/SN+%/SW+,/SP
2012년	2012/SN+년/NNB
45%로	45/SN+%/SW+로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.4.13.4
올해에도 비슷한 수준의 점유율을 보일 것으로 전망된다.

올해에도	올해/NNG+에/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
수준의	수준/NNG+의/JKG
점유율을	점유/NNG+율/XSN+을/JKO
보일	보이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.4.14.1
하이트진로 관계자는 “현재 해외시장 개척을 본격화하고 있고 맥주와 소주의 통합영업도 자리를 잡고 있어서 1분기부터 본격적인 실적 개선이 예상된다”고 밝혔다.

하이트진로	하이트진로/NNP
관계자는	관계자/NNG+는/JX
“현재	“/SS+현재/MAG
해외시장	해외/NNG+시장/NNG
개척을	개척/NNG+을/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있고	있/VX+고/EC
맥주와	맥주/NNG+와/JC
소주의	소주/NNG+의/JKG
통합영업도	통합/NNG+영업/NNG+도/JX
자리를	자리/NNG+를/JKO
잡고	잡/VV+고/EC
있어서	있/VX+어서/EC
1분기부터	1/SN+분기/NNG+부터/JX
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
실적	실적/NNG
개선이	개선/NNG+이/JKS
예상된다”고	예상/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


